you,toi
propeller,hélice
novice,novice
scarier,plus effrayant
bloodthirsty,sanguinaire
nightcap,bonnet de nuit
entries,entrées
curved,courbé
chants,chants
juanita,Juanita
warms,réchauffe
viceroy,vice-roi
cornelius,Corneille
rustle,bruissement
vertigo,vertige
communal,communautaire
pu,pu
hemorrhaging,hémorragie
springtime,printemps
avi,avi
puzzled,perplexe
syrian,syrien
pedestrian,piéton
marino,marin
blazer,blazer
ballpark,stade
plagued,pestiféré
consistency,cohérence
bronson,Bronson
untraceable,introuvable
relativity,relativité
grazing,pâturage
paging,pagination
regretting,regrettant
recharge,recharger
ahhhh,ahhhh
polluted,pollué
plotted,tracé
smoky,enfumé
bertrand,Bertrand
buggers,salauds
katia,Katia
revered,vénéré
aman,un homme
nandu,nandu
cassius,Cassius
uss,USS
deepak,Deepak
vittorio,Vittorio
bloodbath,bain de sang
psychosis,psychose
mulligan,mulligan
backgrounds,arrière-plans
downing,abattage
ramesh,Ramesh
affections,affections
cbi,cbi
finley,Finley
repercussions,répercussions
krang,krang
humping,chevauchement
shone,brillait
dietrich,diététique riche
bub,bébé
hornet,frelon
emperors,empereurs
mme,mme
rhetorical,rhétorique
unsettling,troublant
wacko,cinglé
famished,affamé
distortion,distorsion
vishnu,Vishnu
publishers,éditeurs
meek,doux
reunite,réunir
carotid,carotide
chinaman,Chinois
terrance,Terrance
telephones,téléphones
tock,tack
competitions,compétitions
lapse,laps
gayle,Gayle
lightyears,années-lumière
plunder,pillage
unloaded,déchargé
plump,dodu
trendy,branché
sears,Sears
vasquez,Vasquez
bureaucracy,bureaucratie
carlotta,Carlotta
rhode,rhode
fins,nageoires
intending,intention
conspiring,complot
sadist,sadique
seminary,séminaire
bicycles,vélos
sculpting,sculpture
condescending,condescendant
orgasms,orgasmes
lenore,Lenore
moonshine,alcool de contrebande
incurable,incurable
pamphlet,brochure
clinics,cliniques
nottingham,Nottingham
nominate,désigner
wholesome,sain
termites,termites
thunderbird,oiseau-tonnerre
mckenna,McKenna
frigid,froid
aviv,Aviv
occurring,se produisant
ese,ese
summertime,été
skype,Skype
bikers,motards
induced,induit
missionaries,missionnaires
arabian,arabe
lacrosse,lacrosse
rarity,rareté
gaines,gaines
dumpling,ravioli
brood,nichée
creamy,crémeux
weenie,weenie
goddam,putain
supergirl,supergirl
roadblocks,barrages routiers
lennie,Lennie
seductive,séduisant
ornaments,ornements
annoys,agace
wards,services
tintin,Tintin
dimensional,dimensionnel
reverence,révérence
charly,Charly
belches,rots
hooligans,hooligans
lavatory,toilettes
cabbie,chauffeur de taxi
adrien,Adrien
extinguisher,extincteur
vader,Vader
madagascar,Madagascar
breeds,races
audacity,audace
cadaver,cadavre
fluff,duvet
yoshida,Yoshida
raina,Raina
willpower,volonté
sicilian,sicilien
bewitched,enchanté
cannonball,boulet de canon
esta,esta
sampson,Samson
aorta,aorte
head-on,de front
sidelines,lignes de touche
candies,bonbons
defeating,défaite
kruger,Kruger
penetrating,pénétrant
aqua,aqua
quitter,abandon
wil,volonté
hydraulic,hydraulique
pulitzer,Pulitzer
trucker,camionneur
clinks,cliquetis
pooped,a fait caca
calculus,calcul
tau,tau
peeling,peeling
filters,filtres
overtake,dépasser
ell,aune
kobayashi,Kobayashi
transforming,transformation
cultured,cultivé
magnets,aimants
cartridge,cartouche
langston,Langston
choppers,hélicoptères
sera,sérum
nuggets,pépites
honoring,honorer
historians,historiens
shanti,shanti
fainting,évanouissement
dears,chers
delights,délices
soothe,apaiser
gazette,gazette
unhappiness,tristesse
bertram,Bertram
continuity,continuité
pauly,Pauly
packaging,conditionnement
suns,soleils
sheba,Sheba
enmity,hostilité
mansfield,Mansfield
scorn,mépris
staple,agrafe
sitcom,sitcom
commie,communiste
toasted,grillé
coyotes,coyotes
vary,varier
singin,chanter
decorator,décorateur
laird,laird
liner,doublure
eggplant,aubergine
alliances,alliances
huts,cabanes
appealed,appel
molecule,molécule
mossad,Mossad
petite,menue
synagogue,synagogue
palestinians,Palestiniens
quilt,édredon
gynecologist,gynécologue
stutter,bégayer
warhead,ogive
articulate,articuler
spacetime,espace-temps
giulio,Giulio
nudge,coup de coude
os,os
mordecai,Mordecai
bombshell,bombe
monaco,Monaco
brooding,ruminer
vertebrae,vertèbres
therapeutic,thérapeutique
booker,booker
coordination,coordination
atf,atf
mathematician,mathématicien
smeared,étalé
mizuki,mizuki
uncontrollable,incontrôlable
stampede,débandade
giselle,Giselle
amor,amour
prospective,éventuel
limestone,calcaire
conduit,conduit
kabul,Kaboul
modern-day,les temps modernes
dipper,louche
willoughby,Willoughby
avenger,vengeur
orbits,orbites
sentry,sentinelle
scrapes,éraflures
mishap,mésaventure
lyric,lyrique
disapprove,désapprouver
intimidation,intimidation
doubling,doubler
impending,imminent
sachin,Sachin
shootin,fusillade
shrinks,rétrécit
themes,thèmes
shamed,honteux
indications,indications
senora,señora
crumb,miette
limitless,illimité
ahmad,Ahmad
tiberius,Tibère
caveman,homme des cavernes
bonny,beau
faintest,très faible
hawkes,faucons
grandeur,grandeur
deke,deke
prasad,prasad
showering,douche
dildo,godemiché
executions,exécutions
corroborate,corroborer
contingency,contingence
suri,suri
avenged,vengé
defenders,défenseurs
translates,traduit
mila,mila
primo,premier
bestow,donner
combinations,combinaisons
godforsaken,paumé
pedestal,piédestal
stout,gros
glaciers,glaciers
mahal,mahal
moby,Moby
valentino,Valentino
dishonor,déshonorer
otter,loutre
eminent,éminent
supernova,supernova
weir,barrage
java,Java
seasick,le mal de mer
populations,populations
flips,retournements
mooing,meuglement
mani,mani
cabins,cabines
pang,serrement
presumptuous,présomptueux
subversive,subversif
tokugawa,tokugawa
elastic,élastique
libya,Libye
single-handedly,à lui seul
pristine,parfait
width,largeur
sweats,sueurs
accomplishments,réalisations
remainder,reste
resides,réside
impaired,handicapé
yellowstone,Yellowstone
retreated,retraite
lateral,latéral
remembrance,souvenir
smelt,éperlan
biased,biaisé
strangulation,étranglement
prying,indiscret
hermes,Hermès
two-way,bidirectionnel
sphinx,sphinx
self-defence,légitime défense
internally,intérieurement
rhoda,rhoda
fisk,poisson
sympathies,sympathies
nickels,pièces de cinq cents
galloping,galopant
lamar,Lamar
dara,dara
never-ending,sans fin
downloading,téléchargement
douchebag,connard
lotto,loto
danvers,Danvers
rephrase,reformuler
casablanca,Casablanca
ventilator,ventilateur
kraut,choucroute
sanitation,sanitaire
ekg,ECG
diseased,malade
eskimo,esquimau
confessor,confesseur
aladdin,Aladdin
rutledge,Rutledge
ruddy,rouge
brodie,Brodie
flashback,retour en arrière
caged,en cage
imperfect,imparfait
routines,routines
reconnect,reconnect
plymouth,Plymouth
quantico,Quantico
sanctioned,sanctionné
vulnerability,vulnérabilité
rearrange,réarranger
synced,synchronisé
citadel,citadelle
guillermo,Guillermo
nibble,grignoter
forcibly,de force
world-famous,mondialement connu
insinuating,insinuant
malignant,malin
enslaved,esclave
canister,boîte
intersect,couper
zeros,zéros
undefeated,invaincu
gunned,armé
candlelight,lumière des bougies
clancy,clancy
big-ass,gros cul
meng,meng
salesmen,vendeurs
britta,Britta
daisies,marguerites
maxie,maxie
thad,thad
hairdo,coiffure
oblivious,inconscient
yoda,Yoda
criticizing,critiquer
truffle,truffe
vie,vie
crisps,chips
strangling,étranglement
petit,petit
shootout,fusillade
abduct,enlever
cloning,clonage
ranked,classé
dazzle,éblouir
stork,cigogne
coronary,coronaire
jive,swing
mathieu,Mathieu
lard,saindoux
shedding,perte
massages,massages
poaching,braconnage
immaculate,immaculé
hefty,lourd
stocked,approvisionné
buddhism,bouddhisme
monologue,monologue
mehmet,Mehmet
satanic,satanique
linear,linéaire
swami,swami
blackmailer,maître chanteur
bora,bora
endorse,approuver
enid,enid
liege,lige
looky,regard
subsequent,ultérieur
madden,Madden
snip,couper
hernia,hernie
philosophers,philosophes
rapists,violeurs
recommending,recommander
highways,autoroutes
bloodline,lignée
septic,septique
categories,catégories
graces,grâces
hammers,marteaux
yeast,levure
mueller,Mueller
cummings,Cummings
avocado,avocat
logically,logiquement
oaf,lourdaud
corbett,Corbett
prompt,rapide
alonzo,Alonzo
mushy,détrempé
ei,ei
campsite,camping
eels,anguilles
safeguard,sauvegarde
bling,bling
farted,pété
auf,auf
flex,fléchir
fruitcake,gâteau aux fruits
danes,danois
fulton,Fulton
heiress,héritière
beets,betteraves
izzie,Izzie
racetrack,piste
ganesh,Ganesh
escorts,escortes
leaps,sauts
rajesh,Rajesh
parson,pasteur
gazing,regarder
pap,bouillie
imprint,imprimer
jigsaw,puzzle
coven,coven
palin,Palin
ach,ach
discourage,décourager
recycle,recycler
constantinople,Constantinople
sheesh,pff
appalled,horrifié
lisbeth,Lisbeth
unlawful,illicite
birthplace,lieu de naissance
wank,branler
thriller,thriller
hepatitis,hépatite
clutches,embrayages
yves,Yves
publicist,journaliste
briscoe,briscoe
insistent,insistant
hires,embauches
tentacles,tentacules
archangel,archange
schiller,Schiller
submerged,submergé
brianna,Brianna
manuela,Manuela
rd,rd
intoxicating,enivrant
crock,cruche
hither,ici
cliche,cliché
castor,castor
forty-five,quarante-cinq
anastasia,Anastasia
timeless,intemporel
enquiries,demandes de renseignements
occurrence,occurrence
pilates,pilates
hypocritical,hypocrite
sharper,plus net
healy,sain
manufacturers,fabricants
governed,gouverné
proteins,protéines
resurrected,ressuscité
hearst,Hearst
cushions,coussins
psychiatrists,psychiatres
halves,moitiés
menopause,ménopause
butchers,bouchers
preserving,conservation
environments,environnements
ponytail,queue de cheval
all-out,tout
louse,pou
dilated,dilaté
garbled,brouillé
prognosis,pronostic
neutron,neutron
airtight,hermétique
yo-yo,yo-yo
jazzy,jazzy
ufos,ovnis
compounds,composés
blazes,incendies
bulgarian,bulgare
lebeau,lebeau
coney,Coney
bulgaria,Bulgarie
armageddon,Armageddon
contributing,contribuer
sinbad,sinbad
inauguration,inauguration
slicing,trancher
restraints,contraintes
accents,accents
frederic,Frédéric
cavern,caverne
kremlin,kremlin
warship,navire de guerre
olly,Olly
militant,militant
objectives,objectifs
newscaster,présentateur de nouvelles
verne,Verne
calculator,calculatrice
nicknames,surnoms
kiddie,enfant
replay,rejouer
tibetan,tibétain
daycare,garderie
abuses,abus
zee,zee
righto,droit
programmes,programmes
yung,jeune
snout,museau
rein,rêne
dwarfs,nains
mono,mono
darned,Zut !
embryo,embryon
frosting,glaçage
obituary,nécrologie
tickled,chatouillé
truffles,truffes
susceptible,sensible
heaps,tas
tingling,picotements
canvass,solliciter
brits,Britanniques
cherokee,cherokee
tov,tov
twenties,les années vingt
neanderthals,Néandertaliens
perk,avantage
pebbles,cailloux
braid,tresser
fleece,toison
sensory,sensoriel
chirp,gazouiller
assaults,agressions
pheasant,faisan
variables,variables
mas,mas
moping,bouderie
docked,amarré
websites,sites web
bj,bj
popeye,Popeye
minefield,champ de mines
sp,sp
histories,histoires
distrust,méfiance
yapping,jacassant
vigil,veillée
problematic,problématique
conventions,conventions
smitten,frappé
craps,craps
invoke,invoquer
unconventional,non conventionnel
barnett,Barnett
rundown,délabré
oily,huileux
giacomo,Giacomo
coordinated,coordonné
prejudiced,partial
scrambling,brouillage
seams,coutures
eyelashes,cils
frannie,Frannie
arose,se leva
corky,liège
discard,jeter
purchasing,achat
ignacio,Ignacio
hijack,détourner
yam,patate douce
masquerade,mascarade
logging,enregistrement
arises,surgit
dempsey,Dempsey
michiko,michiko
settlements,colonies
fetching,récupération
goebbels,Goebbels
eagerly,avec empressement
wring,tordre
orbital,orbital
janeway,Janeway
maggot,asticot
umbrellas,parapluies
nationality,nationalité
cheddar,Cheddar
mana,mana
keel,quille
meryl,Meryl
alignment,alignement
heterosexual,hétérosexuel
fats,graisses
narrows,rétrécissements
heinz,Heinz
irritate,irriter
emissary,émissaire
taunting,moqueries
hangman,bourreau
bjorn,Björn
cunts,connards
comma,virgule
whimsical,capricieux
format,format
peachy,pêche
godspeed,bonne chance
sony,Sony
hitman,tueur à gages
bleeping,bip
demonstrating,démonstration
jove,Jupiter
overflowing,débordé
tully,tully
censorship,censure
hispanic,hispanique
rizzo,riz
bestowed,conféré
shuddering,frissonnant
fitch,Fitch
pathological,pathologique
silhouette,silhouette
mccann,McCann
obsessing,obsessionnel
sugars,sucres
bachelorette,enterrement de vie de jeune fille
bonaparte,Bonaparte
impartial,impartial
metabolism,métabolisme
astronomical,astronomique
newcomers,nouveaux arrivants
tabloid,tabloïde
vanquish,vaincre
zorro,Zorro
willa,Willa
slurps,slurps
preschool,préscolaire
remake,remake
heresy,hérésie
homeboy,pote
ag,ag
ravishing,ravissant
finesse,finesse
ticktock,tic-tac
minimize,minimiser
boca,boca
woodrow,Woodrow
nigh,près
nil,néant
astronomer,astronome
selective,sélectif
choo,choo
arraignment,accusation
crawley,Crawley
superpowers,superpouvoirs
springer,springer
impenetrable,impénétrable
underdog,outsider
gossiping,bavardage
jig,gigue
poached,poché
sculpt,sculpter
hokkaido,Hokkaidō
daniela,Daniela
equator,équateur
sexier,plus sexy
incorporate,intégrer
cath,cathéter
shivers,frisson
vinyl,vinyle
long-range,longue portée
accumulated,accumulé
malpractice,faute professionnelle
ascend,monter
ecosystem,écosystème
vs,contre
forefathers,aïeux
grit,grincer
etienne,Étienne
emilie,Émilie
soles,semelles
determines,détermine
nylon,nylon
blob,goutte
snug,confortable
gladiators,gladiateurs
valentin,Valentin
collaborate,collaborer
clothed,habillé
uproar,tumulte
avail,profiter
gentry,noblesse
defied,défié
parkinson,Parkinson
prune,élaguer
hem,ourlet
ellison,Ellison
ning,ning
hide-and-seek,cache-cache
lawfully,légalement
fairfax,Fairfax
tumors,tumeurs
hots,chauds
cade,cade
ver,ver
mimic,imiter
nacho,nacho
gordo,gordo
thoughtless,irréfléchi
shitload,une tonne
thrice,trois fois
schoolboy,écolier
dusting,saupoudrage
ori,ori
tabloids,tabloïds
mermaids,sirènes
residual,résiduel
sancho,Sancho
striped,rayé
dod,dod
blisters,ampoules
aftermath,conséquences
stems,tiges
inhaler,inhalateur
reinforce,renforcer
qualifies,qualifie
lube,lubrifiant
provoking,provocateur
continuum,continuum
guan,guan
uma,uma
observant,observateur
peng,peng
peppermint,menthe poivrée
fused,fusionné
csu,csu
neanderthal,Néandertal
dukes,ducs
pierrot,Pierrot
measurement,mesures
prima,prima
sergey,Sergey
authenticity,authenticité
swagger,fanfaronnade
soundtrack,bande originale
taipei,Taipei
forman,contremaître
strut,se pavaner
ensemble,ensemble
duval,duval
tantrum,colère
motivate,motiver
annihilate,annihiler
signore,monsieur
disrupted,perturbé
divorcing,divorce
medics,médecins
confided,confié
beale,beale
brandi,Brandi
wreath,couronne
maui,Maui
bale,balle
clergy,clergé
aida,Aida
bieber,Bieber
retaliate,user de représailles
genome,génome
vacancy,vacance
tranquilizer,tranquillisant
diligence,diligence
loops,boucles
impertinent,impertinent
hwan,hwan
advancement,avancement
armpit,armpit
districts,districts
cavalier,cavalier
specializes,se spécialise
chong,chong
combing,ratissage
self-control,maîtrise de soi
mascara,mascara
massa,masse
revised,révisé
compulsion,compulsion
bran,son
buoy,bouée
criticized,critiqué
adversity,adversité
beneficiary,bénéficiaire
punjabi,punjabi
openings,ouvertures
arne,Arne
graphics,graphique
huntsmen,chasseurs
ozone,ozone
interpreted,interprété
incomprehensible,incompréhensible
kaoru,kaoru
lenient,indulgent
perky,guilleret
herod,Hérode
unavoidable,inévitable
retract,rétracter
flowed,coulait
compression,compression
demolish,démolir
prodigal,prodigue
generously,généreusement
anonymously,anonymement
peabody,Peabody
crocker,crocker
amid,au milieu de
youths,jeunes
dispense,dispenser
roe,chevreuil
telepathy,télépathie
occupational,professionnel
osgood,osgood
roxie,Roxie
loudspeaker,haut-parleur
torched,incendié
yawn,bâillement
hyena,hyène
reiko,reiko
milkman,laitier
dal,dal
hillside,flanc de coteau
transcripts,transcriptions
prevention,prévention
tout,tout
toenails,ongles d'orteils
mazel,mazel
imaginative,imaginatif
heretic,hérétique
hives,urticaire
squawk,cri
repression,répression
arithmetic,arithmétique
dramas,drames
subsequently,ensuite
cardassian,cardassien
clanks,cliquetis
renewal,renouvellement
shocker,choc
spectacles,lunettes
interval,intervalle
quickie,coup rapide
proceeded,a procédé
prometheus,Prométhée
performs,exécute
senorita,señorita
deadbeat,mauvais payeur
burbank,Burbank
mooney,Mooney
geology,géologie
withdrawing,retrait
nav,navigation
thi,ce
sinus,sinus
kennel,chenil
feldman,Feldman
sixpack,sixpack
millennia,millénaires
subscription,abonnement
marquise,marquise
warlord,chef militaire
zed,zed
governors,gouverneurs
unintelligible,inintelligible
dag,dag
gaia,Gaïa
withheld,retenu
involuntary,involontaire
reciting,réciter
massacred,massacre
rosetta,Rosette
boa,boa
oils,huiles
pelt,peau
brittle,fragile
unprepared,non préparé
willingness,volonté
cutters,coupe-coupeurs
ins,ins
coarse,grossier
frieda,frite
mala,mala
walrus,morse
portrayed,représenté
contemplating,contempler
blaster,blaster
tricia,Tricia
scrubs,blouses
bebe,bébé
defeats,défaites
hollering,hurlements
simmer,mijoter
valencia,Valence
annihilation,annihilation
textbooks,manuels scolaires
filipino,philippin
filmmakers,cinéastes
tennyson,Tennyson
ps,ps
luv,amour
firewall,pare-feu
lyons,Lyon
weld,souder
facade,façade
conserve,conserver
stepdad,beau-père
khanna,Khanna
divulge,divulguer
gab,gab
kieran,Kieran
ravens,corbeaux
ta-ta,ta-ta
wiley,rusé
weirdos,bizarres
quartet,quatuor
kickass,botter le cul
conferences,conférences
dusted,poussiéreux
silicone,silicone
clocked,chronométré
tanning,bronzage
breathless,haletant
smacking,fessée
mantra,mantra
vests,gilets
epiphany,Épiphanie
motherhood,maternité
decor,décor
perch,perche
flux,flux
maynard,Maynard
totem,totem
cherie,chérie
secluded,isolé
smother,étouffer
checkup,check-up
patronize,fréquenter
mower,tondeuse
pediatrician,pédiatre
bridesmaids,demoiselles d'honneur
jehovah,Jéhovah
dem,dém
informants,informateurs
thunk,bruit sourd
tract,tract
pliers,pinces
harming,nuire
pooch,cabot
coca-cola,Coca-Cola
anti,anti
reinstated,réintégré
gland,glande
stricken,sinistré
dials,cadrans
zeta,zêta
exes,ex
haines,Haines
tandy,tandy
disputes,conflits
dizziness,vertiges
knowingly,sciemment
frida,Frida
newcastle,Newcastle
groves,bosquets
stalag,stalag
festivals,festivals
grudges,rancunes
blabbering,bavardage
plural,pluriel
curriculum,programme d'études
firehouse,caserne de pompiers
coo,roucouler
pug,carlin
clerks,commis
savvy,avisé
chopin,Chopin
rebekah,Rebecca
dictated,dicté
siding,revêtement
dios,dios
peking,Pékin
valor,valeur
dahlia,dahlia
liras,lires
affordable,abordable
scrawny,maigre
disorderly,désordonné
psi,psi
unattractive,peu attrayant
eulogy,éloge
marlow,Marlow
felonies,crimes
gingerbread,pain d'épice
gent,monsieur
misdemeanor,délit
spaniard,Espagnol
flagged,signalé
optimist,optimiste
mori,mori
commons,Chambre des communes
waitresses,serveuses
wanders,errent
mugging,agression
crammed,bourré
babysit,garder les enfants
cayman,caïman
accommodations,hébergements
possessive,possessif
shutdown,fermer
compressed,comprimé
czechoslovakia,Tchécoslovaquie
geologist,géologue
crossbow,arbalète
aspiring,en herbe
autism,autisme
commandment,commandement
fateful,fatidique
rooftops,toits
leningrad,Leningrad
lexington,Lexington
archers,archers
cremation,incinération
petroleum,pétrole
diem,diem
moped,vélomoteur
clair,clair
blooms,fleurs
lamborghini,Lamborghini
dysfunctional,dysfonctionnel
picturing,image
ifl,ifl
purchases,achats
debrief,débriefing
pulses,impulsions
make-believe,faire semblant
devin,devin
barbershop,salon de coiffure
rana,rana
condone,fermer les yeux sur
excitedly,avec enthousiasme
antarctic,antarctique
manned,personnel
crafts,artisanat
awaited,attendu
atkins,atkins
beards,barbes
chaser,chasseur
subbing,sous-traitance
chatty,bavard
inez,Inez
maintains,entretient
readily,facilement
gunny,fusil
baffled,perplexe
insatiable,insatiable
archibald,Archibald
skater,patineur
jungles,jungles
upstanding,droit
spacious,spacieux
probst,probst
sheng,Sheng
foolproof,infaillible
nutter,cinglé
confine,confiner
fam,famille
diablo,diablo
leone,Leone
daydreaming,rêverie
incest,inceste
abba,abba
mathilde,Mathilde
unanswered,sans réponse
exaggeration,exagération
shorten,raccourcir
ramu,ramu
biggs,Biggs
guise,apparence
graze,pâturer
clarinet,clarinette
cuddly,câlin
americas,Amériques
scavenger,charognard
middleman,intermédiaire
garde,garde
alot,beaucoup
crusader,croisé
baa,bêlement
propane,propane
sickening,écœurant
thrills,sensations fortes
toothache,mal aux dents
overhear,surprendre
altercation,altercation
tudor,Tudor
freckles,taches de rousseur
furthest,le plus éloigné
fuses,fusibles
swamps,marais
ambassadors,ambassadeurs
zhen,Zhen
superpower,superpuissance
enraged,furieux
esmeralda,émeraude
loomis,loomis
unpopular,impopulaire
locating,localisation
fitzpatrick,Fitzpatrick
ordinance,ordonnance
grocer,épicier
courtship,cour
zak,zak
pics,photos
ripple,ondulation
smashes,fracasse
conjure,conjurer
winch,treuil
shipments,expéditions
hustling,se démener
glorified,glorifié
spied,espionné
cabinets,armoires
cylinders,cylindres
mongrel,bâtard
dui,dui
chlorine,chlore
radiology,radiologie
hadley,Hadley
oscars,Oscars
projections,projections
soggy,détrempé
regal,royal
assumes,suppose
boycott,boycotter
klingons,klingons
progressed,progressé
telescopes,télescopes
bradshaw,Bradshaw
pats,tapes
unclean,impur
banners,bannières
mesa,mesa
consumers,consommateurs
germ,germe
stafford,Stafford
excursion,excursion
heartland,cœur du pays
jenn,Jenn
gm,gm
spontaneously,spontanément
takeda,Takeda
dun,dun
initiating,initier
modifications,modifications
feces,matières fécales
droid,droïde
alcoholics,alcooliques
horde,horde
grips,poignées
roderick,Roderick
premise,prémisse
scorpions,scorpions
campaigning,campagne
obstinate,obstiné
fiver,billet de cinq livres
outburst,explosion
diaphragm,diaphragme
handbook,manuel
rudolf,Rudolf
serbs,Serbes
derived,dérivé
croak,crever
executing,exécuter
interim,intérimaire
snowed,neige
rosary,chapelet
scourge,fléau
pippi,pippi
drowns,noie
crore,crore
tic,tic
adrift,à la dérive
bisexual,bisexuel
pointers,pointeurs
eradicate,éradiquer
spunk,cran
snyder,Snyder
three-way,trois voies
self-conscious,conscient de soi
hyper,hyper
inning,tour de batte
expendable,consommable
addams,Addams
noelle,Noëlle
chandu,chandu
ono,ono
sutter,Sutter
hazy,brumeux
relocate,déménager
alleys,ruelles
sunflower,tournesol
irritable,irritable
hanger,cintre
neuro,neuro
clooney,Clooney
silky,soyeux
tricking,tromperie
popsicle,glace à l'eau
yau,yau
urging,exhortant
moroccan,marocain
encyclopedia,encyclopédie
stripe,bande
stationary,stationnaire
ptsd,syndrome de stress post-traumatique
secondhand,d'occasion
sermons,sermons
dink,dink
parched,desséché
guinness,Guinness
ravioli,ravioli
predicting,prédiction
masterson,Masterson
helsinki,Helsinki
excruciating,atroce
callum,Callum
consensual,consensuel
compute,calculer
trays,plateaux
nikhil,Nikhil
overjoyed,ravi
liberals,libéraux
mcguire,McGuire
warehouses,entrepôts
durga,Durga
harald,Harald
stereotype,stéréotype
cartridges,cartouches
whitaker,Whitaker
raiding,raids
sustainable,durable
commissar,commissaire
soiled,souillé
standpoint,point de vue
fruity,fruité
rafa,Rafa
creams,crèmes
watcher,observateur
thereafter,par la suite
egon,Egon
drifter,vagabond
financed,financé
fairytale,conte de fées
intimately,intimement
keisha,keisha
wrapper,emballage
spectator,spectateur
purest,pur
raisin,raisin
alchemy,alchimie
antimatter,antimatière
withered,flétri
saki,saké
maki,maki
rutherford,Rutherford
shovels,pelles
piers,jetées
deprivation,privation
loren,Loren
landon,Landon
curing,durcissement
deluded,illusionné
wynn,Wynn
rumored,rumeurs
eject,éjecter
banzai,banzaï
qc,contrôle qualité
caved,s'est effondré
mackey,mackey
binds,liaisons
keating,Keating
nailing,cloutage
botched,raté
takeshi,Takeshi
botox,botox
pinto,pinto
tinkle,tintement
nfl,NFL
supplement,supplément
tragedies,tragédies
overcooked,trop cuit
immersed,immergé
rollo,rollo
crucifix,crucifix
tamed,apprivoisé
czar,tsar
withhold,retenir
seismic,sismique
muppet,marionnette
asphalt,asphalte
bobbi,Bobbi
charred,carbonisé
bowed,courbé
floorboards,planches de plancher
tycoon,magnat
defects,défauts
aristocrat,aristocrate
vocals,chant
recurring,récurrent
epilepsy,épilepsie
shakily,tremblant
self-centered,égocentrique
weller,Weller
poachers,braconniers
garments,habits
welcomes,bienvenue
balm,baume
nagasaki,Nagasaki
cooker,cuisinière
swaying,balancement
georgetown,Georgetown
pardoned,gracié
mach,mach
moors,landes
yeong,yeong
yippee,Hourra
sheds,hangars
fifi,fifi
quirky,excentrique
steamer,bateau à vapeur
ritter,ritter
nim,nim
flunked,échec
sparring,combat
sabina,Sabina
ceases,cesse
lexie,Lexie
nesting,nidification
blackberry,mûre
fiercely,violemment
impound,mettre en fourrière
ucla,UCLA
bengal,Bengale
cache,cache
lifeboat,canot de sauvetage
creme,crème
hallie,Hallie
rhine,Rhin
consequently,par conséquent
revolutions,révolutions
shim,cale
shyam,Shyam
rosewood,palissandre
larvae,larves
hos,hos
yeti,yéti
fluttering,flottement
gregson,Gregson
mandela,Mandela
occupying,occupant
jeanie,Jeanie
aphrodite,Aphrodite
cools,rafraîchit
lasse,lasse
snuggle,câlin
riled,irrité
turnover,chiffre d'affaires
misleading,trompeur
presiding,présidant
accessing,accéder
kicker,botteur
pre,pré
hosted,hébergé
ordained,ordonné
nassau,Nassau
hombre,homme
brazen,effronté
prof,prof
stitching,piqûre
nook,coin
splashes,éclaboussures
cyclone,cyclone
zheng,Zheng
lovingly,avec amour
colonists,colons
researched,recherches
physicians,médecins
hogs,porcs
unwise,imprudent
affliction,affliction
aspire,aspirer
dow,dow
hooch,gnôle
pai,pai
lacerations,lacérations
tasteless,insipide
deirdre,Deirdre
welch,gallois
unbreakable,incassable
carnal,charnel
generic,générique
melodramatic,mélodramatique
distressing,pénible
sentinel,sentinelle
lifetimes,durées de vie
yelping,jappement
projecting,en saillie
takahashi,Takahashi
nepal,Népal
bela,bela
unattended,sans surveillance
hellhole,trou à rats
renault,Renault
efficiently,efficacement
gonzales,Gonzales
wobbly,bancal
recruitment,recrutement
lasalle,Lasalle
wilhelmina,Wilhelmine
hashtag,hashtag
reek,puanteur
emphasize,souligner
melons,melons
dept,département
chore,corvée
scat,scat
aired,diffusé
chardonnay,chardonnay
nigeria,Nigeria
meats,viandes
monetary,monétaire
lowry,Lowry
tormenting,torturant
combining,combiner
vixen,renarde
napping,faire la sieste
deactivate,désactiver
goblins,gobelins
merrier,plus joyeux
busts,bustes
regrettable,regrettable
ugliest,le plus laid
tac,tac
evasion,évasion
clementine,clémentine
overworked,surmené
pta,pta
waterproof,étanche
alamo,alamo
salome,Salomé
halibut,flétan
seon,seon
communicator,communicateur
laced,lacé
fuels,carburants
phi,phi
supervising,surveillance
slogans,slogans
garnish,garnir
kam,kam
mendez,Mendez
spruce,épicéa
seducing,séduire
implicate,impliquer
leper,lépreux
unpacking,déballage
germaine,Germaine
ponder,réfléchir
nicknamed,surnommé
femur,fémur
detonated,détoné
technicality,technicité
double-check,revérifier
situated,situé
vindictive,vindicatif
twit,crétin
obeying,obéir
lutz,Lutz
waldorf,Waldorf
larissa,Larissa
gopi,gopi
hypocrites,hypocrites
shogunate,shogunat
mural,mural
enlarged,agrandi
glittering,scintillant
woven,tissé
contender,concurrent
orpheus,Orphée
illnesses,maladies
captures,captures
margaritas,margaritas
hammock,hamac
prolong,prolonger
gallop,galop
lieutenants,lieutenants
whistler,siffleur
chihuahua,chihuahua
tehran,Téhéran
pasadena,Pasadena
stroller,poussette
bs,bs
issuing,émettre
ie,c'est-à-dire
foes,ennemis
tig,tigre
proprietor,propriétaire
speciality,spécialité
centered,centré
rosita,Rosita
granting,octroi
hindus,hindous
