a back answer,逆答え
be keen on,熱心に
be kept in bed,ベッドに寝かせておく
be known as,として知られる
be known for,～で知られる
be known to,知られている
be laid under restraint,拘束される
be late for,遅れる
be left,残される
be left in the basket,かごの中に残しておく
be left to the tender mercy of,優しい慈悲に委ねられる
be light in the head,頭が軽い
be likely to,可能性が高い
be little accounted of,ほとんど考慮されない
be looking up,上を見上げる
be lost on,迷子になる
be lucked out,幸運に恵まれる
be mad about,怒る
be mad at,怒る
be mad on,怒る
be made from,から作られる
be made of,でできている
be made of money,お金でできている
be made possible by,によって可能になる
be made up of,で構成されている
be married at a registry,役所で結婚する
be married to,結婚する
be master in one’s own house,自分の家では主人である
be master of,マスターになる
be meant to,意図されている
be meat and drink to sb.,誰かにとっての食べ物と飲み物となる。
be mistaken for,と間違えられる
be mixed up,混同される
be mixed up in sth.,何かに巻き込まれる。
be much accounted of,大いに評価される
be much to seek,求めるものが多い
be named after,～にちなんで名付けられる
be nervous of,緊張する
be no party to,当事者にならない
be no respecter of persons,人を差別しない
be no skin off sb.‘s back,誰にとっても何の害にもならない
be not a patch on,全く及ばない
be not fit to hold a candle to,ろうそくを持つ資格がない
be not made of salt,塩でできていない
be not worth the candle,ろうそくの価値もない
be noted for,注目される
be nothing to,何もない
be notorious for,悪名高い
be nuts about,夢中になる
be obliged to,義務を負う
be obliged to someone for,誰かに恩義を感じる
be obsequious to,へつらう
be observed,観察される
be occupied in,従事する
be of age,成人であること
be of good cheer,元気を出してください
be of no effect,効果がない
be of one mind,心を一つにする
be of opinion that,意見としては
be of service to,役に立つ
be of some help to sb.,誰かの役に立つ。
be of the same mind,同じ考えを持つ
be of use,役に立つ
be off,オフになる
be off one’s beat,自分の担当区域から外れる
be off one’s game,調子を崩す
be off one’s head,頭がおかしくなる
be off the habit,その習慣をやめる
be on,オン
be on a false scent,誤った手がかりをつかむ
be on a good wicket,良いピッチで
be on a razor’s edge,危うい状況にある
be on a sticky wicket,窮地に立たされる
be on an equality with,平等である
be on fire,燃えている
be on good terms with,良好な関係を築く
be on one’s back,仰向けになる
be on one’s ear,耳に届く
be on one’s game,気を引き締める
be on one’s good behavior,行儀よく振る舞う
be on one’s high horse,偉そうに振る舞う
be on one’s honour to do sth.,名誉にかけて何かをする。
be on one’s mettle,気概を持つ
be on one’s own,一人でいる
be on parole,仮釈放中である
be on sb.‘s back,誰かの背中に乗る
be on short commons,短い共有地にある
be on speaking terms,口をきく関係にある
be on the advance,前進する
be on the bench,ベンチ入りする
be on the drink,お酒を飲む
be on the hedge,中途半端な立場をとる
be on the market,市場に出回る
be on the rack,ラックに載せられる
be on the rates,料金に反映される
be on the razzle,華やかに
be on the receiving end,受け取る側になる
be on the roop,ループにいる
be on the safe side,念のため
be on the scene,現場にいる
be on the spree,遊びに出かける
be on the stick,棒に乗る
be on the straight,まっすぐ進む
be on the strength,強さに基づいて
be on the team,チームの一員になる
be on the tiles,タイル張りの床に立つ
be on the track of sb.,誰かの足跡を追う。
be on thorns,いばらの上にいる
be on to,に取り掛かる
be on wires,ワイヤーに乗る
be one’s baby,誰かの赤ちゃんになる
be one’s bag,自分のバッグになる
be one’s own man,自分の道を歩む
be only skin and bone,骨と皮だけ
be open to,オープンになる
be out,外出する
be out for,外出する
be out of,外に出る
be out of all relation to,全く関係がない
be out of one’s mind,正気を失う
be out of patience with,我慢の限界に達する
be out of pocket,自腹を切る
be out of puff,息切れする
be out of the fashion,流行遅れになる
be out of use,使用できない
be out on bail,保釈される
be outside the law,法律の枠外にある
be over,終わる
be overcome with fear,恐怖に打ち負かされる
be overwhelmed by,圧倒される
be packed as close as herrings,ニシンのようにぎっしり詰まっている
be particular about,こだわりを持つ
be past praying for,祈るのをやめる
be patient of,忍耐強く
be patient with,辛抱強く
be peculiar to,特有の
be pervious to,透過性がある
be pissed off,腹を立てる
be pleased with,喜んで
be popular with,人気が出る
be possessed,憑依される
be possessed by,憑依される
be possessed of,所有する
be potty about,気を抜く
be pressed for,プレッシャーをかけられる
be pressed to,プレッシャーをかけられる
be pressed with,押し付けられる
be prodigal of,浪費する
be proficient in,熟練している
be profuse in,豊富である
be prognostic of,予後予測となる
be prolific of,多産である
be prone to,なりやすい
be propitious to,幸運をもたらす
be proud of,誇りに思う
be queer for,クィアになる
be queer on,クィアになる
be quick in the uptake,理解が早い
be quits with,やめる
be rained out,雨天中止
be raised to the skies,空高く舞い上がる
be ransacked of,略奪される
be ready to,準備して
be reckless of,無謀な
be reconciled to doing sth.,何かをすることに納得する。
be regardful of,配慮する
be remiss of,怠慢である
be repentant of,悔い改める
be reputed to,評判が良い
be responsible for,責任を負う
be rich in,裕福になる
be rid of,取り除く
be rife with,満ち溢れている
be rolling in,転がり込む
be rooted in,根付く
be rotten to the core,根っから腐っている
be rough on sb.,誰かに乱暴する。
be run off one’s legs,足が動かなくなるほど走る
be satisfactory to,満足できる
be satisfied with,満足する
be scandalized at,スキャンダルになる
be scant of,不足している
be seasoned with,味付けをする
be seated,座る
be second to,2番目になる
be seized of,捕らえられる
be seized with,捕らえられる
be senior to,より上位である
be sensitive to,敏感になる
be sharp-set upon,鋭く構える
be short and sweet,簡潔に
be shut of sb.,誰かを遮断する。
be shy of,恥ずかしがる
be sick and tired of,うんざりする
be sick for,病気になる
be sick of,うんざりする
be sick with,病気になる
be similar to,に似ている
be skillful in,熟練する
be slow to wrath,怒りを遅らせる
be snowed in,雪で閉じ込められる
be solicitous about,気を配る
be sorry for,申し訳ない
be sound on the goose,ガチョウの上で健康である
be spoons on,スプーンを
be spoony over,スプーンのように甘く
be sprung from sb.‘s loins,誰かの腰から生まれた
be steeped to the lips in,唇まで浸す
be stone dead,完全に死んでいる
be stuck,行き詰まる
be stuck on,行き詰まる
be studying for,勉強している
be subject to,対象となる
be sufficient for,十分である
be suitable for,適している
be superior to,より優れている
be supposed to,とされる
be sure of,必ず
be sure of oneself,自分に自信を持つ
be susceptible to,影響を受けやすい
be suspicious of,疑わしい
be sweet on,甘い
be sworn of the peace,平和を誓う
be taken aback,驚く
be taken at a disadvantage,不利な立場に置かれる
be taken bad,悪い意味で受け取られる
be taken ill,病気になる
be taken in,連れて行かれる
be tarred with the same brush,同じように非難される
be thankful to someone for,誰かに感謝する
be the death of sb.,誰かの死の原因となる。
be the devil,悪魔になれ
be the equal of one’s word,言葉に責任を持つ
be the rage,流行する
be the same with,同じである
be the whole show,ショーの全てとなる
be the worse for wear,ひどく傷む
be thirsty for,喉が渇く
be through,やり遂げる
be through with,終わらせる
be tired of,飽き飽きしている
be tired with,疲れている
be to blame,責められるべき
be togged to the bricks,レンガに着替える
be tolerant of sth.,何かに対して寛容である。
be tolerant toward sb.,誰かに対して寛容になる。
be too big for one’s boots,身の丈に合わない
be too much for,多すぎる
be top dog,トップになる
be transformed into,に変化する
be true of,真実である
be turned of,電源を切る
be two,2つ
be unacted on,実行されない
be unaware of,知らない
be unbecoming to,ふさわしくない
be uncertain of,不確かである
be under a curse,呪われている
be under an accusation,告発されている
be under an embargo,禁輸措置の対象となる
be under an obligation to sb.,誰かに対して義務を負う。
be under dog,劣勢に立たされる
be under the hammer,競売にかけられる
be under the weather,体調が悪い
be unfit for,不適格である
be up,起きる
be up against,対峙する
be up and abunt,元気で活発である
be up and around,起き上がって動き回る
be up and doing,起きて行動する
be up before,起きる時間
be up for grabs,入手可能
be up on,最新情報を入手する
be up to,まで
be up to all dodges,あらゆる回避行動に対応できる
be up to one’s shoulders,肩まで浸かる
be up to sample,サンプルに準拠
be up to someone,誰かに任せる
be up to something,何か企んでいる
be up to the mustard,マスタードにふさわしい
be up to trap,罠を仕掛ける
be used for,使用する
be used to,慣れている
be used up,使い果たす
be versed in,精通している
be vexed about,腹を立てる
be wary of,注意してください
be weak in,弱い
be weak in the head,頭が弱い
be weary of,気をつける
be well left,左によく
be well mounted,しっかりと取り付けられている
be well off,裕福である
be well out of sth.,何かからうまく抜け出す。
be well repute,評判が良い
be well up in,十分に上に行く
be wet behind the ears,経験が浅い
be wild about,夢中になる
be willing to,喜んで
be wise to,賢明に
be with someone,誰かと一緒にいる
be within sb.‘s discretion,誰かの裁量の範囲内である
be within the law,法律の範囲内である
be without equal,比類なき
be worried about,心配する
be wrapped up in,包まれる
be-all and end-all,すべてであり、究極のもの
beach bag,ビーチバッグ
beach ball,ビーチボール
beach coat,ビーチコート
beach house,ビーチハウス
beach umbrella,ビーチパラソル
beach wagon,ビーチワゴン
beach wear,ビーチウェア
beam compass,ビームコンパス
beam currnet,ビーム電流
beam of light,光線
beam on,ビームオン
beam sea,ビームシー
bean cake,豆餅
bean counter,会計担当者
bean curd,豆腐
bean curd with odor,臭い豆腐
bean oil,豆油
bean sprout,もやし
bean thread,豆糸
beans-and bullets shooter,豆と弾丸のシューティングゲーム
bear a hand,手を握る
bear a hand in,手を貸す
bear a part in,役割を果たす
bear and forbear,耐え忍ぶ、控える
bear arms,武器を所持する
bear away,向かって
bear cat,クマネコ
bear comparison with,比較対象として
bear down,力を込める
bear down on,押して
bear fruit,実を結ぶ
bear garden,ベアガーデン
bear hard on,強く突き進む
bear in mind,心に留めておいてください
bear in on,に気を付ける
bear in with,我慢して
bear leader,クマのリーダー
bear malice to sb.,誰かに悪意を抱く。
bear off,ベアオフ
bear on,持ち続ける
bear oneself,自分自身を
bear out,クマ
bear record to,記録を保管する
bear some analogy to,類似点がある
bear the bell,鐘を運ぶ
bear the brunt of,の負担を負う
bear the palm,ヤシの木を運ぶ
bear to,クマ
bear up,耐える
bear up for,耐える
bear upon,影響を与える
bear watching,クマの監視
bear with,我慢してください
bear witness,証言する
bear witness to,目撃する
beard the lion in his den,ライオンの巣穴でヒゲを生やす
bearer cheque,無記名小切手
beast of burden,荷役獣
beast of chase,追跡の獣
beast of prey,肉食獣
beat a retreat,退却する
beat about,ビート・アバウト
beat about the bush,遠回しに言う
beat all,すべてを打ち負かす
beat away,打ちのめせ
beat back,反撃する
beat down,打ち負かす
beat for,ビート
beat generation,ビート生成
beat in,打ち負かす
beat into,打ちのめす
beat it out,打ち負かす
beat off,打ち負かす
beat on,打ち続ける
beat one,ビートワン
beat one’s brains,頭を悩ませる
beat one’s gums,歯を磨く
beat one’s way,道を切り開く
beat out,打ち負かす
beat sb. into fits,誰かを殴って発作を起こさせる
beat sb. on the post,投稿で誰かを打ち負かす
beat sb.‘s head off,誰かの頭を殴り飛ばす
beat the air,空気を打ち砕く
beat the drum for,太鼓を叩いて
beat the dutch,オランダ人を倒す
beat the gun,銃を撃つ
beat the rap,ラップを打ち負かす
beat time,ビートタイム
beat to a frazzle,疲れ果てるまで打ちのめす
beat to a mummy,ミイラを殴る
beat to the draw,引き分けに勝利
beat up,殴る
beat up and down,上下に叩きつける
beat up for,殴って
beat up the quarters of,四分の一を打ち砕いた
beat upon,殴る
beat-up car,ボロボロの車
beaten track,舗装された道
beau monde,上流社会
beaufort scale,ビューフォート風力階級
beauty culture,美容文化
beauty is but skin deep.,美しさは表面的なものに過ぎない。
beauty parlor,美容院
beauty sleep,美容のための睡眠
beauty spot,景勝地
beaux yeux,美しい目
beaux-arts,ボザール様式
because of,のため
become accustomed to,慣れる
become aware of,気づく
become conscious of,意識する
become of,になる
become one,一つになる
become one flesh,一体となる
become used to,慣れる
becoming to,になる
bed and board,ベッドと食事
bed and breakfast,ベッド＆ブレックファスト
bed board,ベッドボード
bed down,ベッドダウン
bed of down,羽毛のベッド
bed of dust,塵のベッド
bed of honour,名誉の寝床
bed of roses,バラのベッド
bed of state,国賓の寝床
bed of thorns,いばらのベッド
bed out,ベッドアウト
bed rest,安静
bed up,ベッドアップ
bedewed with,露に濡れた
bedford cord,ベッドフォードコード
bedford-stuyvesant,ベッドフォード・スタイベサント
bedroom suburb,ベッドタウン
bedroom town,ベッドタウン
bedsheet ballot,ベッドシーツ投票
bedside lamp,ベッドサイドランプ
bedside manner,患者への接し方
bedside rug,ベッドサイドラグ
bedtime story,寝る前のお話
bee eater,ハチクイ
bee-eaters,ハチクイ
beef cattle,肉牛
beef extract,牛肉エキス
beef jerky,ビーフジャーキー
beef squad,ビーフスクワッド
beef tea,牛肉茶
beer and skittles,ビールとスキットルズ
beer belly,ビール腹
beer garden,ビアガーデン
beer money,ビール代
beer on draft,生ビール
beer pump,ビールポンプ
beet root,ビートルート
beet sugar,ビート糖
before dark,暗くなる前に
before day,前日
before long,やがて
before one’s time,時期尚早
before sb.‘s very eyes,誰かの目の前で
before sheet,シートの前に
before the lights,ライトが点灯する前に
before the times,時代以前
before the wind,風の前に
before you can say knife,ナイフと言う前に
beg borrow or steal,物乞いをする、借りる、盗む
beg for,懇願する
beg leave,お願いして立ち去る
beg off,断る
beg sb. off,誰かに頼む
beg the question,論点先取
beg to differ,異議を唱えたい
beg your pardon.,失礼しました。
beggars can not be choosers,物乞いは選り好みできない
beggars must not be choosers.,物乞いは選り好みをしてはならない。
begging bowl,物乞い用の鉢
begin at the wrong end,間違った端から始める
begin school,学校に通い始める
begin the world,世界を始める
begin with,から始める
beginning of term,学期開始
behave yourself,行儀よくしなさい
behind closed doors,密室で
behind one’s back,背後で
behind sb.‘s back,誰かの背後で
behind schedule,予定より遅れている
behind the bars,鉄格子の向こう側
behind the curtain,舞台裏
behind the scenes,舞台裏
behind the time,時間の遅れ
behind time,遅れている
behind-the-scenes,舞台裏
beira-mar,ベイラ・マール
bel-air,ベルエア
belch out,げっぷをする
believe in,信じる
believe sb.‘s bare word,誰かの言葉をそのまま信じる
bell buoy,鐘ブイ
bell button,ベルボタン
bell captain,ベルキャプテン
bell cow,ベルカウ
bell founder,ベルの創設者
bell foundry,鐘鋳造所
bell glass,ベルグラス
bell jar,ベルジャー
bell metal,ベルメタル
bell ringer,鐘つき
bell ten,ベルテン
bell the cat,猫に鈴をつける
bell tower,鐘楼
bell-bottomed pants,ベルボトムパンツ
bell-shaped,鐘形
bell-tower,鐘楼
belles-lettres,文学
bellow out,うなり声をあげる
belly dance,ベリーダンス
belly flop,腹打ち
belly landing,腹部着陸
belly laugh,大爆笑
belly tank,ベリータンクトップ
belong in,所属する
belong to,に属する
below ground,地下
below one’s breath,ささやくように
below par,平均以下
below stairs,階段下
below the mark,マークより下
below the moon,月の下
below the salt,塩の下
below-average,平均以下
belt conveyor,ベルトコンベア
belt line,ベルトライン
ben-gurion,ベン＝グリオン
ben-hur,ベン・ハー
bench mark,ベンチマーク
bench warmer,ベンチウォーマー
bend one’s elbow,肘を曲げる
bend one’s head over,頭を下げて
bend one’s knee to,膝を曲げて
bend one’s mind to,心を曲げて
bend oneself to,自分を曲げて
bend over,腰をかがめる
bend over backwards,無理をする
bend sb.‘s ears,誰かの耳を曲げる
bend to,曲げる
bend to the oars,オールに身を任せる
beneath one’s dignity,尊厳を損なう
beneath sb.‘s dignity,誰かの尊厳を損なう
benefit association,ベネフィット協会
benefit from,恩恵を受ける
benefit of clergy,聖職者の恩恵
benefit one,メリット1
benefit society,互助会
berbice chair,バービスチェア
bereave of,亡くなる
bergen-belsen,ベルゲン・ベルゼン
bering sea,ベーリング海
bering strait,ベーリング海峡
berlin wall,ベルリンの壁
berlin-based,ベルリンを拠点とする
berlin-brandenburg,ベルリン・ブランデンブルク
bermuda triangle,バミューダトライアングル
berners-lee,バーナーズリー
berth ticket,寝台券
berwick-upon-tweed,ベリック・アポン・ツイード
beside oneself,我を忘れて
beside the mark,マークの横
beside the point,論点とは関係ない
beside the question,質問の横に
bessemer process,ベッセマー法
best bet,ベストベット
best bib and tucker,ベストビブアンドタッカー
best foot,ベストフット
best girl,最高の女の子
best gold,最高の金
best man,ベストマン
best of all,何よりも
best seller,ベストセラー
best the pistol,最高のピストル
best times,最高の時間
best-ever,史上最高
best-known,最もよく知られている
best-loved,最も愛されている
best-of,ベスト
best-of-five,5戦3勝制
best-of-seven,7戦制
best-of-three,3戦2勝制
best-performing,最も優れたパフォーマンス
best-placed,最も有利な位置
best-preserved,最も保存状態が良い
best-remembered,最も記憶に残る
best-seller,ベストセラー
best-sellers,ベストセラー
best-selling,ベストセラー
bestir oneself,自分を奮い立たせる
bestow for,贈る
bestow on,授ける
bet on,賭ける
bet one’s bottom dollar,一番安いお金を賭ける
bet one’s hat,帽子を賭ける
bet your boots,ブーツを賭けて
beta particle,ベータ粒子
beta testing,ベータテスト
betake oneself to one’s heels,踵を返して逃げる
bete noire,ベテノワール
betel nut,ビンロウの実
betel palm,ビンロウヤシ
bethink of,考える
bethune-cookman,ベチューン・クックマン
betray oneself,自分自身を裏切る
betray the pot to the roses,鉢をバラに裏切る
better and better,ますます良くなる
better half,最高のパートナー
better late than never.,遅れてもやらないよりはましだ。
better than one’s word,言葉よりも良い
better-known,よりよく知られている
between a and b,aとbの間
between cup and lip,カップとリップの間
between man and man,人と人の間で
between ourselves,私たちだけの話
between plane connections,飛行機間の接続
between scylla and charybdis,スキュラとカリュブディスの間
between the lights,ライトの間
between the teeth,歯の間
between times,時間帯の間
between two fires,二つの火の間で
between whiles,その間
between wind and water,風と水の間
bevel wheel,ベベルホイール
beware of,注意してください
beyond all doubt,疑いの余地なく
beyond all praise,称賛に値する
beyond belief,信じられないほど
beyond challenge,挑戦を超えて
beyond compare,比類なき
beyond comparison,比類なき
beyond control,制御不能
beyond count,数えきれないほど
beyond description,言葉では言い表せない
beyond dispute,議論の余地なし
beyond doubt,疑いの余地なく
beyond endurance,忍耐力を超えて
beyond example,例を超えて
beyond expression,表現を超えて
beyond hope,希望がない
beyond measure,計り知れないほど
beyond question,間違いなく
beyond recall,リコールを超えて
beyond redemption,救済の限界を超えて
beyond retrieval,回収を超えて
beyond sb.‘s grasp,誰かの理解を超えている
beyond the mark,基準値を超えている
beyond the memory of men,人間の記憶を超えて
beyond the sea,海の向こう側
bi-annual,年2回
bidirectional,双方向
bi-monthly,隔月
binational,二国間
bi-partisan,超党派
bi-weekly,隔週
bib and tucker,よだれかけとタッカー
bible oath,聖書の誓い
bible paper,聖書用紙
bicycle pump,自転車用空気入れ
bicycle saddle,自転車のサドル
bid against,入札に対して
bid defiance to,反抗を誓う
bid fair to,公正な入札
bid for,入札する
bid in sth.,何かに入札する。
bid sb. adieu,誰かに別れを告げる
bid sb. welcome,入札者歓迎
bid up,入札額を上げる
bidding block,入札ブロック
bide one’s time,時を待つ
bidirectional printing,双方向印刷
bielsko-bia��a,bielsko-biaşá
bien seance,ビエン・セッション
biggest-selling,ベストセラー
bilge water,ビルジ水
bilinear interpolation,双線形補間
bilinear mip mapping,バイリニアミップマッピング
bilingual education,バイリンガル教育
bill and coo,ビルとクー
bill book,請求書
bill broker,請求書ブローカー
bill discounter,紙幣割引業者
bill goat,ビルゴート
bill of document,書類請求書
bill of entry,輸入申告書
bill of estimate,見積書
bill of exchange,為替手形
bill of fare,メニュー
bill of health,健康診断書
bill of lading,船荷証券
bill of materials,部品表
bill of right,権利章典
bill of rights,権利章典
bill of sale,売買証書
billiard ball,ビリヤードボール
billiard marker,ビリヤードマーカー
billiard table,ビリヤード台
billinear filternig,バイリニアフィルタリング
billion-dollar,10億ドル
billy goat,雄ヤギ
bimetallic strip,バイメタルストリップ
binary code,バイナリコード
binary compound,二元化合物
binary digit,バイナリ数字
binary file,バイナリファイル
binary operation,二項演算
binary opertor,二項演算子
binary rx,バイナリrx
binary scale,バイナリスケール
binary star,連星
binary transfers,バイナリ転送
binary tx,バイナリ tx
bind oneself to do sth.,何かをすることを自分に約束する。
bind sb. over to do sth.,誰かを拘束して何かをさせる。
bind up,縛る
bind up in,縛り付ける
binding energy,結合エネルギー
bindiny mechanism,ビンディニー機構
binomial theorem,二項定理
bio-research laboratory,バイオ研究ラボ
biological warfare,生物兵器
biotic potential,生物学的潜在能力
bird cage,鳥かご
bird dog,鳥猟犬
bird fancier,鳥好き
bird of ill omen,不吉な鳥
bird of paradise,極楽鳥
bird of passage,渡り鳥
bird of peace,平和の鳥
bird of prey,猛禽類
bird of wonder,驚異の鳥
bird shot,鳥撃ち弾
bird watcher,バードウォッチャー
bird’s eye,鳥瞰図
bird’s nest,鳥の巣
bird-like,鳥のような
birds of a feather,類は友を呼ぶ
birth certificate,出生証明書
birth control,避妊
birth pangs,産みの苦しみ
birthday party,誕生日パーティー
birthday suit,バースデースーツ
bishop’s ring,司教の指輪
bit by bit,少しずつ
bit of a place,ちょっとした場所
bit police,ビットポリス
bit radiation,ビット放射線
bite a file,ヤスリを噛む
bite and sup,噛んで飲む
bite at,かじって
bite away,かじりつく
bite back,反撃する
bite in,一口かじる
bite off,噛み切る
bite on,かじりつく
bite one’s lips,唇を噛む
bite one’s tongue,舌を噛む
bite sb.‘s nose off,誰かの鼻を噛みちぎる
bite the dust,死にゆく
bite the ground,地面を噛む
bite the hand that feeds one,恩を仇で返す
bite the thumbs at,親指を噛む
bite the tongue,舌を噛む
bitmap file,ビットマップファイル
bits about bits,ビットについてのビット
bits and pieces,断片
bitter about,苦々しく思う
bitter aloes,苦味のあるアロエ
bitter end,苦い結末
bitter pill,苦い薬
bitter salt,苦味塩
bituminous coal,瀝青炭
bituminous macadam,瀝青マカダム
bitwise logical operator,ビットごとの論理演算子
bjelke-petersen,ビェルケ・ペテルセン
black & white picture,白黒写真
black and blue,黒と青
black and white,白黒
black art,黒魔術
black ball,ブラックボール
black bear,クロクマ
black beetle,黒い甲虫
black belt,黒帯
black body,黒色
black book,ブラックブック
black box,ブラックボックス
black coffee,ブラックコーヒー
black currant,ブラックカラント
black date,ブラックデート
black death,黒死病
black dog,黒い犬
black draught,黒いドラフト
black eye,目の周りにあざができる
black flag,黒旗
black forest,黒い森
black gauze cap,黒のガーゼキャップ
black gold,黒い金
black hand,黒い手
black hole,ブラックホール
black humor,ブラックユーモア
black humorist,ブラックユーモア作家
black in the face,顔が黒い
black lead,黒鉛
black magic,黒魔術
black market,闇市場
black matte,マットブラック
black money,ブラックマネー
black out,停電
black pudding,ブラックプディング
black sheep,厄介者
black tea,紅茶
black tie,ブラックタイ
black widow,ブラックウィドウ
black-and-white,白黒
black-backed,クロバック
black-eyed,黒い目
black-faced,黒塗り
black-figure,黒像式
black-headed,黒ニキビ
black-owned,黒人経営
black-tailed,クロオビ
black-throated,クロノド
blackish-brown,黒褐色
blackwater fever,黒水熱
blank cartridge,空カートリッジ
blank cell,空白セル
blank check,白紙小切手
blank endorsement,白紙の裏書
blank line,空白行
blank off,空白にする
blank out,空白
blank screen,画面が真っ暗
blank wall,何もない壁
blast area,爆発地域
blast furnace,高炉
blast hole,爆風穴
blast off,発射
blast pipe,ブラストパイプ
blast proof,耐爆性
blast shelter,爆発シェルター
blast wave,爆風
blaze a trail,道を切り開く
blaze a way in,道を切り開く
blaze abroad,海外で大炎上
blaze away,燃え上がれ
blaze sth. abroad,海外で何かを燃やす
blaze up,燃え上がる
blazing star,燃える星
blazon forth,紋章を掲げよ
bleach out,漂白剤で洗い流す
bleaching powder,漂白剤
bleed white,白血
bleeding heart,血の通った心臓
blend in,溶け込む
blend with,ブレンド
blenheim spaniel,ブレンハイム・スパニエル
blessed event,祝福された出来事
blessed virgin,聖母マリア
blind alley,袋小路
blind as a beetle,カブトムシのように盲目
blind as a mole,モグラのように目が見えない
blind bend,ブラインドカーブ
blind coal,盲炭
blind date,お見合い
blind flying,目視できない飛行
blind gut,盲腸
blind hookey,ブラインドスクープ
blind man’s holiday,盲人の休日
blind reader,盲目の読者
blind side,死角側
blind spot,死角
blind turning,見通しの悪い方向転換
blindman’s buff,ブラインドマンズバフ
blindman’s holiday,盲人の休日
blitz tactics,電撃戦術
block and tackle,ブロックとタックル
block caprtal,ブロックキャパルタル
block chain,ブロックチェーン
block device,ブロックデバイス
block for erection,勃起阻害
block header,ブロックヘッダー
block in,ブロックイン
block letter,ブロック体
block of flats,集合住宅
block off,ブロックする
block out,ブロックアウト
block up,ブロックアップ
blocked shot,ブロックショット
blond hair,金髪
blood orange,ブラッドオレンジ
blood plasma,血漿
blood platelet,血小板
blood poisoning,敗血症
blood pressure,血圧
blood relationship,血縁関係
blood relative,血縁者
blood sausage,ブラッドソーセージ
blood serum,血清
blood star,ブラッドスター
blood stream,血流
blood sugar,血糖値
blood test,血液検査
blood transfusion,輸血
blood type,血液型
blood vessel,血管
blood-brain,血液脳関門
blood-pressure meter,血圧計
blood-red,血のように赤い
blood-stained,血痕のついた
bloody murder,血まみれの殺人
bloody noun,血まみれの名詞
bloom into,咲き誇る
bloomer boy,ブルマーボーイ
bloomer girl,ブルマを着た女の子
blooming mill,ブルーミングミル
bloop hit,ブループヒット
blossom out,花開く
blot one’s copybook,帳簿を汚す
blot out,消し去る
blot up,吸い取る
blotting paper,吸取紙
blow a cloud,雲を吹く
blow a fuse,ヒューズを飛ばす
blow away,吹き飛ばす
blow away the cobwebs,蜘蛛の巣を吹き飛ばす
blow back,反撃
blow down,吹き倒す
blow great guns,大砲を吹く
blow hot and cold,温風と冷風
blow in,息を吹き込む
blow off,吹く
blow off steam,ストレスを発散する
blow on,息を吹きかける
blow one’s lid,頭に血が上る
blow one’s nose,鼻をかむ
blow one’s own horn,自慢する
blow one’s stack,スタックを吹き飛ばす
blow one’s top,頭に血が上る
blow out,吹き消す
blow out sb.‘s brains,誰かの脳みそを吹き飛ばす
blow over,風が吹き飛ばす
blow sky-high,空高く吹き上げる
blow the coals,石炭を吹き飛ばす
blow the expense,費用を無駄にする
blow the gab,おしゃべりをする
blow the gaff,秘密を暴露する
blow trade,ブロートレード
blow up,爆発する
blow upon,息を吹きかける
blu-ray,ブルーレイ
blue about the gills,エラが青い
blue belt,青帯
blue blood,高貴な血筋
blue book,ブルーブック
blue checse,ブルーチェス
blue chip,優良株
blue eye,青い目
blue green,青緑
blue helmit,青いヘルメット
blue jeans,ブルージーンズ
blue monday,ブルーマンデー
blue moon,ブルームーン
blue mountains,ブルーマウンテンズ
blue movie,ブルームービー
blue note,ブルーノート
blue print,設計図
blue ribbon,ブルーリボン
blue ruin,ブルールーイン
blue streak,青い筋
blue tooth,ブルートゥース
blue water,青い水
blue-black,青黒色
blue-collar,ブルーカラー
blue-eyed,青い目
blue-gray,青灰色
blue-green,青緑色
blue-grey,青灰色
blue-white,青白
blues-rock,ブルースロック
bluish-green,青緑色
blunder away,失敗して
blunder into,うっかり
blunder upon sth.,何かに失敗する。
blurred image,ぼやけた画像
blush for,頬を赤らめる
bluster oneself into anger,怒りを爆発させる
bluster out,威勢よく
bnc connector jack,BNCコネクタジャック
bo ride a bicycle,自転車に乗る
boa constrictor,ボアコンストリクター
board chairman,取締役会長
board measure,ボードの寸法
board of censors,検閲委員会
board of directors,取締役会
board of education,教育委員会
board of elections,選挙管理委員会
board of examiners,審査委員会
board of health,保健委員会
board of trade,貿易委員会
board wages,役員報酬
boarding card,搭乗券
boarding check,搭乗チェック
boarding gate,搭乗ゲート
boarding house,下宿
boarding party,搭乗者一行
boarding pass,搭乗券
boarding school,寄宿学校
boast about,自慢する
boast of,自慢する
boat deck,ボートデッキ
boat drill,ボート訓練
boat race,ボートレース
boat the oars,ボートのオール
boat train,ボートトレイン
bob up,ボブアップ
bob up like a cork,コルクのように浮かび上がる
bob wig,ボブウィッグ
bobby calf,ボビー・カーフ
bobby pin,ヘアピン
bobby sox,ボビーソックス
bodhi tree,菩提樹
body blow,ボディブロー
body color,ボディカラー
body corporate,法人
body forth,本体を前に
body language,ボディランゲージ
body mechanics,身体力学
body politic,政治体
body protractor,体分度器
body snatcher,死体泥棒
bodyline bowling,ボディラインボウリング
boer war,ボーア戦争
bog down,行き詰まる
boggle at,驚く
boil away,沸騰して
boil down,要約すると
boil down to,要約すると
boil over,沸騰して吹きこぼれる
boiled dinner,ゆでた夕食
boiled eggs,ゆで卵
boiler scale,ボイラースケール
boiler suit,作業服
boiling point,沸点
boiling water,沸騰したお湯
bold as brass,真鍮のように大胆
