11 Downing Street,唐寧街11
bowl down,摧毀
bowl of cherries,一碗櫻桃
bowl out,擊出
bowl over,擊倒
bowl up,一鍋煮
Box and Cox,箱與柯克斯
box clever,巧妙地解決
box in,盒子
box off,隔離
box oneself into a corner,把自己逼入困境
box out,阻擋
box seat,座位
box someone's ears,摑人一巴
box the compass,固定羅盤
box up,打包
boy howdy,哎呀
boy in the boat,船上的男孩
boy off,男孩
boy toy,男孩玩具
boys and girls,男孩和女孩
boys and their toys,男孩和他們的玩具
boys will be boys,男性嘛
brace aback,措手不及
brace about,擔心
brace by,支撐
brace in,支撐
brace of shakes,搖晃的組合
brace up,振作
brag on,炫耀
bragging rights,炫耀的權利
brain blast,大腦爆炸
brain bucket,腦袋
brain candy,消遣
brain drain,人才流失
brain surgeon,神經外科醫生
brain surgery,腦部手術
branch off,分支出
branch out,拓展
brass ceiling,黃銅天花板
brass farthing,黃銅貨
brass it out,炫耀
brass monkey,黃銅猴
brass monkeys,黃銅猴
brass neck,膽大妄為
brass off,離開
brass out,炫耀
brass up,提升
brassed off,徹底擊潰
brave new world,嶄新世界
brave out,勇敢地
Bravo Zulu,好棒
brazen out,大膽地
bread and butter,主要收入
bread and circuses,食物和戲劇
bread of life,生命之糧
breadcrumb up,返回
break a leg,祝你好運
break a sweat,大吃一虧
break apart,拆開
break away,分離
break back,反彈
break cover,揭開外殼
break down,分解
break even,達到盈虧平衡
break from,休息
break gates,打破閘
break in,闖入
break into,闖入
break into a run,突然開始奔跑
break it down,分解
break it to,告知
break new ground,開闢新途
break off,斷開
break on,暫停
break one off,切斷
break one's back,付出極大的努力
break one's chops,打擾
break one's duck,首次遭遇
break one's heart,令人心碎
break one's lance,放棄競爭
break one's neck,拚命
break one's promise,背叛承諾
break out,逃脫
break ranks,脫離隊伍
break reality,打破現實
break someone's back,使人陷入困境
break someone's face,打傷某人
break someone's heart,使人傷心
break the back of,擊潰
break the bank,花費大量金錢
break the buck,破壞
break the cycle,打破循環
break the deadlock,打破僵局
break the fourth wall,打破第四面牆
break the ice,破冰
break the Internet,癱瘓網路
break the mold,打破傳統
break the Sabbath,打破安息日
break the seal,打破封口
break the story,打破故事
break the wheel,打破輪子
break through,突破
break up,分手
break wind,打破沉默
break with,斷開
breast down,乳房
breast up,乳房
breath and britches,呼吸和褲子
breath of fresh air,新的空氣
breathe a sigh of relief,鬆一口氣
breathe a word,說一詞
breathe down someone's neck,威脅
breathe easy,放鬆
breathe in,吸氣
breathe life into something,賦予生命
breathe new life into something,賦予新的活力
breathe one's last,嚥下最後一口氣
breathe out,呼氣
breathe upon,呼吸
breed in the bone,在骨骼中
breed up,繁殖
breeze off,微風
breeze past,輕輕掠過
breeze through,輕鬆完成
breeze up,微風
brevity is the soul of wit,精簡是幽默的靈魂
brew up,製成
brick in,磚
brick in one's hat,戴在帽子裡
brick off,拆除
brick over,砌磚
brick up,砌起來
bricks and mortar,磚和水泥
bridge over troubled waters,跨越困境
bridge the gap,彌合差距
bridge up,連接
bridle up,控制
brief against,反對理由
bright and early,提早起床
bright lights,明亮的燈光
bright line,明確界線
bright side,積極的一面
bright spark,有才之人
bright young thing,聰明年輕人
bright-eyed and bushy-tailed,精神飽滿
bright-line rule,明確原則
brighten up,讓...更明亮
brim over,溢滿
bring a knife to a gunfight,帶著刀去與槍戰
bring a lump to someone's throat,令人感動
bring about,引發
bring along,帶走
bring around,帶來
bring away,帶走
bring back,帶回來
bring back to life,重新啟動
bring down,使倒塌
bring down on,使...倒塌
bring down the curtain,落下帷幕
bring down the hammer,敲打
bring down the house,引爆全場
bring forth,創造
bring forward,提早
bring home,帶回家
bring home the bacon,為家庭帶來收入
bring in,帶來
bring it weak,要弱一點
bring off,成功完成
bring on,開始
bring one's arse to an anchor,把屁股放在船錨上
bring one's own hide to market,自行帶貨
bring oneself away,離開
bring oneself to,鼓起勇氣
bring out,發揮
bring out in a rash,突然出現
bring out of oneself,從自我中解放
bring over,帶來
bring owls to Athens,將貓頭鷹帶到雅典
bring round,帶來
bring someone to their knees,使人屈服
bring through,兌現
bring to,帶來
bring to an end,結束
bring to bear,運用
bring to heel,使服從
bring to justice,繩之以法
bring to life,使栩栩如生
bring to light,揭露
bring to nought,使無功
bring to the hammer,用錘子敲
bring to the table,提供
bring together,匯集
bring under,帶來
bring up,提起
bring up against,挑戰
bring up the rear,在後方
bring up to,提高
bring upon,帶來
bring with,帶走
brisk up,提神
bristle up,變得毛躁
bro down,放輕鬆
bro out,兄弟
broach to,探討
broad and shallow,廣而疏
broad brush,粗略
broad in the beam,寬度
broad shoulders,寬肩膀
broad strokes,概括
broaden one's horizons,拓展視野
broaden someone's horizons,拓展某人的視野
broil up,烤
broken arrow,失敗的箭
broken heart,破碎的心
broken hearted,心碎
broken home,破碎的家庭
broken man,破碎的人
broken record,重複的說法
broken reed,破損的竹子
broken vessel,破損的船
Bronx cheer,布朗克斯歡呼
bronze up,曬成古銅色
brood above,孵育
broom up,清理
bros before hoes,兄弟優先
bros before hos,兄弟優先
brother from another mother,親如兄弟
brown bag,棕色袋
brown bread,棕色麵包
brown noser,討好人
brown out,停電
brown power,棕色力量
brown study,棕色研究
brown thumb,不擅長種植
brown up,變棕色
browned off,退伍
Brownian motion,布朗運動
brownie point,小小的優勢
bruise up,瘀傷
brush aside,輕輕置之
brush away,拂去
brush back,後退
brush by,擦過
brush down,清理
brush off,輕輕拂開
brush out,梳理
brush over,輕輕提及
brush past,擦肩而過
brush up,加強
brush up to,加強
bubble in,氣泡
bubble over,溢出
bubble under,冒泡
bubble up,浮上
buck down,屈服
buck fever,驚弓
buck for,一美元
buck in,一美元
buck off,擺脫
buck out,退出
buck the trend,打破趨勢
buck up,振作
buck up one's ideas,強化自己的想法
buck up to,鼓起勇氣
bucket about,關於
bucket down,順利完成
bucket list,願望清單
bucket of bolts,雜亂無章
bucket of rust,鏽桶
bucket of syrup,糖漿罐
buckle down,集中精力
buckle in,繫好安全帶
buckle over,屈服
buckle to,屈服
buckle under,屈服
buckle up,繫好安全帶
Buckley's and none,巴克利
Buckley's chance,布克利的機會
bud off,削減
bud out,結束
bud up,增長
buddy up,一起行動
budge up,稍微移動
buff down,磨平
buff nor stye,紅眼病或結膜炎
buff out,填補
buff the muffin,烤鬆餅
buff up,提升
buffer up,儲存
buffing the muffin,烤餅乾
Bufton Tufton,布夫頓·托夫頓
bug down,解決問題
bug in,程式錯誤
bug off,離開
bug out,慌張
bug storm,蟲群
bug up,出現問題
bugger about,混蛋
bugger around,閒晃
bugger off,滾開
bugger up,搞砸
buggerise about,粗暴地說
Buggins's turn,布金斯輪到
build a better mousetrap,製造更有效的老鼠陷
build a case,建立證據
build bridges,建立橋樑
build castles in the air,構建空中城堡
build character,培養品格
build down,拆除
build in,內建
build into,整合
build on,進一步發展
build on sand,建立在沙子上
build out,擴展
build the plane while flying it,同時建造和飛行
build up,建立
build upon,在...之上
built different,與眾不同
built like a brick outhouse,像磚房一樣堅固
built like a brick shipyard,像磚塊一樣堅固
built like a brick shithouse,像堅固的磚塊
bulk billing,一次性付費
bulk out,增加體積
bulk up,增強體力
bull in a china shop,笨手笨腳
bull session,閒聊
bull up,鼓舞
bully off,欺負
bum around,四處遊蕩
bum out,心情低落
bum rap,糟糕的遭遇
bum rush,猛衝
bum steer,差勁的方向控制
bum's rush,突襲
bumble along,悠閒地走動
bump across,碰撞
bump and grind,搏鬥
bump and jump,撞擊和跳躍
bump down,降低
bump in the road,阻礙
bump into,偶然相遇
bump off,謀殺
bump on,凸起
bump up,提高
bumper crop,豐收
bun fight,烤麵包比賽
bunch in,一團
bunch together,聚集
bunch up,聚集
bundle of energy,能量包
bundle of joy,帶來喜悅的寶寶
bundle of laughs,歡笑不斷
bundle of nerves,焦慮不安
bundle off,匆忙離開
bundle together,組合在一起
bundle up,穿上保暖衣物
bundy off,邦迪離開
bundy on,邦迪
bung it on,隨意添加
bung on,安裝
bung out,放鬆
bung up,封住
bunk down,休息
bunk in,臨時住宿
bunk into,分開
bunk off,蹺課
bunk out,逃兵
bunk together,一起住
bunk up,堆積
bunker out,失敗
bunker up,囤積
bunny hop,跳躍
bunny hug,擁抱兔子
buoy up,提升
buried treasure,埋藏的寶藏
burn a hole in someone's pocket,耗費某人的財力
burn away,燃燒
burn bread,烤麵包
burn daylight,浪費光陰
burn down,夷為平地
burn in,焚燒
burn off,消耗
burn one down,燒掉一個
burn one's boats,放棄希望
burn one's bridges,自掘墳墓
burn one's fingers,付諸實踐
burn out,精疲力竭
burn rubber,加速、飆車
burn someone's ears,讓某人難堪
burn the candle at both ends,蠟燭兩頭燒
burn the midnight oil,熬夜
burn the roof,燒毀屋頂
burn through,迅速消耗
burn time,燒的時間
burn up,燒光
burning question,最令人困惑的問題
burr in one's saddle,在馬背上的不適
burst forth,爆發
burst in,突然出現
burst into,爆發
burst into tears,哇嗚
burst out,爆發
burst out laughing,爆笑
burst someone's bubble,打破某人的幻想
burst up,突然爆發
bury one's head in the sand,置之不理
bury the hatchet,放下武器
bury the lede,隱藏重點
bus plunge,巴士墜毀
bush league,菜鳥
bush out,擴大
bush telegraph,傳遞消息的速度慢
business as usual,如常
business before pleasure,工作勝於娛樂
business end,商業方面
business girl,職場女性
business is business,生意就是生意
busman's holiday,自滿
buss down,生意慘澹
buss it down,徹底檢查
bust a cap,爆料
bust a move,跳舞
bust a nut,勃起
bust a U,爆破
bust around,四處走動
bust ass,努力工作
bust chops,打擊
bust down,徹底失敗
bust in,爆發
bust into,突然闖入
bust it down,詳細說明
bust off,奮鬥
bust on,揭露
bust one's balls,遭受嚴重傷害
bust one's butt,奮鬥
bust one's chops,嘮叨
bust out,爆發
bust the dust,清除灰塵
bust up,瓦解
busted flush,爆牌
busy around,忙碌地
busy as a bee,像蜜蜂一樣忙碌
busy as a nailer,忙得不可開交
busy work,繁瑣的工作
but for,但是
but for the grace of God,但若不是上帝的恩典
but good,但很好
but me no buts,但這不是唯一因素
but seriously folks,但說真的
but who's counting,但誰在算
butch up,粗暴
butcher's bill,屠宰的費用
butcher's thumb,屠夫的手
butt heads,意見不合
butt in,插嘴
butt out,袖手旁觀
butt up,干涉
butter down,融化
butter face,奶油臉
butter one's bread on both sides,雙倍努力
butter out,擠奶油
butter the cony,塗上奶油
butter up,吹捧
butter won't melt in someone's mouth,奶油不會在人的嘴裡融化
butter wouldn't melt in someone's mouth,讓人無法反駁
butterfly upon a wheel,在輪上的蝴蝶
button nose,圓臉
button one's lip,閉嘴
button pusher,按鈕操作員
button through,按鈕
button up,拉上
buy a dog and bark oneself,養狗並自己吠
buy a ticket to,購買一張票
buy and hold,買入持有
buy back,回購
buy down,降低
buy in,購買
buy into,相信
buy it,購買
buy nice or buy twice,買高品質或買兩次
buy off,收買
buy out,收購
buy out from under,奪取
buy over,購買
buy straw hats in winter,冬天購買草帽
buy the farm,買下農場
buy the rights,購買權利
buy the rumor,相信傳言
buy the same horse twice,重複購買同匹馬
buy time,拖延
buy to let,轉租
buy up,大量採購
buy yourself a hat,為自己買一頂帽子
buyer beware,買方需自行注意
buzz about,關於
buzz in,引起注意
buzz off,走開
buzz up,炒作
buzzin' dozen,高滿分
by a hair's breadth,僅僅差一點
by a landslide,以壓倒性的方式
by a long chalk,遠遠超過
by a long shot,遠遠不勝
by a long way,遠遠超過
by a time,在某個時間內
by a whisker,險勝
by accident,意外地
by all accounts,據說
by all appearances,看起來
by all means,當然
by all reports,根據所有報告
by an eyelash,幾乎
by and large,總體而言
by any chance,或許
by any means,無論如何
by any measure,無論如何
by any stretch,無論如何
by any stretch of the imagination,無論如何
by blood,血緣
by chalks,用粉筆
by chance,偶然
by cock,靠著
by cock and pie,用雞肉和餡料
by committee,由委員會決定
by comparison,相比之下
by contrast,與此形成對比
by crumbs,僅僅是
by crums,藉由
by day,白天
by default,預設
by definition,按照定義
by degrees,漸漸地
by design,預先設計
by dint of,藉由
by ear,憑聽
by extension,延伸來說
by eye,肉眼
by fair means or foul,無論是正當或不正當
by far,遠遠超過
by far and away,遠遠超過
by foot,步行
by George,說到
by God,藉著上帝
by guess or by gosh,憑猜測或憑運
by gum,天哪
by gummy,以軟糖形式
by half,減一半
by halves,一半
by hand,手工
by heart,死記在腦
by hell,天啊
by hook and by crook,無論如何
by hook or by crook,無論如何
by hook or crook,無論如何
by inches,以英寸為單位
by leaps and starts,跳躍式
by little and little,一點一點
by means of,藉由
by mistake,不小心
by name,按照姓名
by nature,天生
by night,晚上
by no manner of means,無論如何
by no means,絕對不
by no stretch,幾乎不可能
by no stretch of imagination,在任何合理的想像
by no stretch of the imagination,幾乎不可能
by numbers,依照數字
by one's lights,根據自己的標準
by one's lonesome,獨自一人
by one's own hand,自己
by owner,由房東
by rail,鐵路
by reason of,由於
by return mail,郵寄回
by return of post,郵寄回
by right,依照
by right of,依照
by rights,理所當然
by sail,乘船
by sight,僅憑視覺
by some distance,遠遠超出
by starts and leaps,藉由起跳和跳躍
by steam,透過蒸汽
by the book,嚴格按照
by the bye,順便一提
by the day,每天
by the ears,靠耳朵
by the eye,肉眼
by the Grace of Allah,藉由真主
by the Grace of God,藉著上帝的恩典
by the holy poker,藉由聖牌
by the immortal powers,由神靈的力量
by the job,按工作
by the lay,普通人
by the minute,每分鐘
by the moment,在那時候
by the name of,名為
by the numbers,按照數字
by the piece,按件計
by the rood,在路旁
by the same token,同樣
by the score,一次一次
by the skin of one's teeth,險之又險
by the sound of it,聽起來
by the strong hand,由強大的力量
by the ton,大量
by the way,話雖……
by the way of,順便一提
by trade,作為職業
by turns,輪流
by vice of,由於
by virtue of,藉由
by way of,作為
by way of example,例如
by wire,通過電線
by your leave,如果允許
c'est la vie,命運即如此
cable up,連接
cack on,嘲笑
cack up,大笑
Cadillac problem,凱迪拉克問題
Caesar's wife must be above suspicion,凱撒的妻子必須保持清白
caf up,咖啡
caffeine up,咖啡因提神
cake and gingerbread,蛋糕和薑餅
cake crumbs,蛋糕碎屑
cake up,變得更加美味
cake walk,輕鬆愉快
cakes and ale,蛋糕和啤酒
calculate out,計算
Cali or bust,去加利福尼亚，或者就此罢休
call a lid,蓋
call a shovel a shovel,稱鏟為鏟
call a spade a spade,直呼其名
call ahead,事先預約
call an ambulance,撥打救護車
call an audible,發出指令
call around,打電話詢問
call away,遠離
call back,回電
call down,呼叫
call for,呼籲
call forth,喚起
call in,請假
call it,稱之
call it a day,結束工作
call it a night,結束這晚
call it an early night,早點睡
call it as one sees it,按照自己的理解
call it quits,結束
call it stumps,稱之為
call off,取消
call off the dogs,叫停狗狗
call on,請求
call out,指責
call over,叫過
call roll,清點名
call round,拜訪
call someone's bluff,挑戰某人的謊言
call someone's number,撥打某人的電話
call the ball,叫球
call the fire brigade,聯絡消防隊
call the fire department,撥打消防部門
call the police,報警
call the shots,掌握主導權
call time on something,結束
call to,呼籲
call to account,追究責任
call to the bar,成為律師
call together,一起召集
call up,聯絡
call upon,請求
calm before the storm,風暴前的寧靜
calm down,冷靜下來
calm the farm,安撫農場
calm your farm,安撫你的農場
cam out,離開
camel's nose,駱駝的鼻子
cammy up,卡米
camo up,偽裝
camp as a row of tents,以帳篷為主的營地
camp down,撤退
camp it up,裝飾精美
camp out,露營
camp out on,露營
can a duck,鴨子能
can a duck swim,鴨能游泳嗎
can of corn,玉米罐
can of worms,一堆問題
can we say,我們能
can you not,不可以
can't be arsed,不想
can't complain,無法抱怨
can't do right for doing wrong,無法因為做了錯事而彌補
can't get enough,無法滿足
can't help,無法幫助
can't keep one's eyes off somebody,無法停止注視某人
can't keep one's eyes off something,無法移開目光
can't lie,不能說謊
can't stand,無法忍受
can't stand the sight of,無法忍受
can't take one's eyes off somebody,無法移開視線
can't take one's eyes off something,無法移開目光
can't wait,迫不及待
canary fit,金絲雀
canary in a coal mine,礦坑裡的警報鳥
cancel out,取消
cancel someone's Christmas,取消某人的聖誕
candle in the wind,蠟燭
cannot away with,無法寬恕
cannot make it,無法
cap in hand,手持帽子
cap it all off,總結
cap it off,作為結尾
cap off,結尾
cap on,上限
cap over the windmill,戴在風車頂上
cap up,提高
captain's pick,船長選擇
carb up,補充碳水化合物
carbon burning,碳燃燒
carbonated water,氣泡水
card of ten,十張
care a button,毫無顧慮
care a jackstraw,不在乎
care a whit,毫不在意
care for,關心
care killed a cat,小心點
care killed the cat,貓咪被照顧死了
care of,照護
care package,心意禮包
careful what you wish for,小心你的願望
carpe diem,把握當下
carriage forward,推動
carriage trade,優質客戶
carried away,全神貫注
carrot and stick,獎懲
carry a torch,心生愛慕
carry away,帶走
carry coals to Newcastle,把煤運到紐卡斯爾
carry forward,繼續推動
carry me out,帶我走
carry off,成功完成
carry on,繼續
carry one's weight,貢獻
carry oneself,舉止
carry out,執行
carry over,繼續
carry someone's water,替人打理
carry the ball,主導
carry the can,承擔責任
carry the mail,送遞郵件
carry the message to Garcia,將消息傳遞給加爾西亞
carry through,實施
carry up,抬上
carry water for,搬水
cart away,帶走
cart off,帶走
carve out,鑿出
carve up,分割
carved in stone,雕刻在石頭上
case closed,案件已解決
case out,調查
case the joint,固定連接
case up,提高
cash for crash,以損換利
cash in,兌現
cash in one's chips,放棄
cash is king,現金是王
cash on the barrelhead,立即付款
cash out,退出
cash up,結算
cashed up,已結算
cast a chill,製造寒意
cast a shadow,投下陰影
cast about,四處尋找
cast around,四處尋找
cast aside,拋棄
cast aspersions,詆毀
cast away,拋棄
cast back,回顧
cast down,使倒
cast in concrete,用混凝土澆築
cast in someone's teeth,親口斥責
cast loose,釋放
cast of thousands,成千上萬
cast off,放棄
cast on,開始編織
cast one's bread upon the waters,將希望寄託在上帝手中
cast one's mind back,回憶
cast one's net wide,擴大範圍
cast one's vote,投選
cast out,驅逐
cast over,投射
cast pearls before swine,將珍寶獻給豬
cast round,投擲
cast snowballs,丟雪球
cast the first stone,先發制人
cast up,浮出
cast up one's accounts,盤點帳目
castle in the air,空中城堡
cat and dog life,貓和狗的生活
cat around,貓
cat got someone's tongue,有人說話不出來
cat in the meal-tub,貓在食物盆裡
cat in the sack,袋裡的貓
cat piss,貓尿
cat that ate the canary,吃了金絲雀的貓
cat's cradle,貓抓
cat's meow,貓咪的魅力
catbird seat,最佳位置
catch a body,逮捕
catch a break,獲得喘息機會
catch a case,被捕
catch a cold,感冒
catch a date,約會
catch a fade,獲得優勢
catch a falling knife,試圖抓住掉落的刀
catch a packet,獲取一份
catch a stray,捕捉隨機的
catch a wave,抓住機會
catch air,呼吸
catch as catch can,隨時所能
catch big air,做出驚人的動作
catch dust,吸附灰塵
catch feelings,產生感情
catch fire,引發火災
catch flies,捕捉蒼蠅
catch hands,抓住
catch heat,引發批評
catch hell,受盡懲罰
catch it,抓住它
catch napping,偷懶
catch no ball,沒有接住球
catch no balls,不接球
catch of the day,當日新鮮魚
catch on,明白
catch one's breath,喘氣
catch one's death,凍死
catch oneself on,發現
catch out,揭露
catch red-handed,當場抓到
catch sight of,瞥見
catch some rays,曬太陽
catch some z's,睡覺
catch someone napping,發現某人睡著
catch someone's drift,理解對方的意思
catch someone's eye,吸引某人的注意
catch the eye,吸引注意
catch the sun,捕捉陽光
catch up,趕上
catch wind of something,聽到關於某事的消息
catch you later,稍後見
catch you on the flip side,再見
cattle call,試鏡
cattle up,牛
caucus race,黨派競選
caught between two stools,兩難
caught short,措手不及
caught up,被抓住
caught with one's pants down,光可見分
caulk off,填縫
cause a stir,引起騷動
cause and effect,因果
caution - slippery when wet,小心，濕時容易滑倒
cautionary tale,警示故事
cave in,坍塌
cave out,挖掘
caveat emptor,買方需小心
caveat lector,讀者請注意
caviar to the general,給一般民眾
cede the field,讓位於
cell up,加強
Celtic curse,凱爾特詛咒
cement together,將...連接在一起
center field,中場
center part,中心部分
Centrelink time,Centrelink 服務時間
cerebrally challenged,認知障礙
chacun a son gout,每個人有自己的喜好
chain up,鎖定
chair up,椅子
chalk against,粉
chalk and cheese,黑白分明
chalk and talk,白板和討論
chalk down,歸咎
chalk it down,歸因於
chalk off,取消
chalk out,制定
chalk something up to experience,歸因於經驗
chalk talk,白板討論
chalk up,記錄
chalk up to,歸因於
champ down on,壓制
champ up,提升
champagne taste on a beer budget,在啤酒預算下追求香檳級品質
chance on,機會
chance upon,偶然遇見
chance would be a fine thing,真好
chance'd be a fine thing,如果能有機會會是個好事情
chances are,可能性很高
change around,重新安排
change collars,更換領帶
change down,降低
change hands,變換所有權
change horses in midstream,換船中
change of clothes,換衣服
change of heart,改變心意
change of life,生活變動
change of pace,節奏變化
change of scenery,環境變換
change of tack,改變策略
change one's battery,更換電池
change one's mind,改變主意
change one's story,改變自己的說法
change one's tune,改變態度
change out,更換
change over,轉換
change someone's mind,改變某人的想法
change the channel,換頻道
change the game,改變遊戲
change up,改變
change with the times,隨著時代
chaotic neutral,混亂中立
Chap laps,小狗
chapter out,章節結束
char up,提升
character assassination,抹黑
charge down,衝擊
charge off,壞帳
charge up,充電
charity begins at home,利他精神始於家庭
charity mugger,慈善勒索者
charley horse,抽筋
charm offensive,魅力攻勢
charm the birds from the trees,引誘鳥兒從樹上飛走
charm up,迷人
charmed life,幸福的生活
chase a rainbow,追逐彩虹
chase after,追逐
chase away,驅趕
chase down,追趕
chase off,驅趕
chase one's tail,自尋麻煩
chase rainbows,追逐彩虹
chase tail,追隨潮流
chase the ace,追逐王牌
chase the dragon,追逐龍
chase up,跟進
chat away,輕鬆聊天
chat up,搭訕
chaw up,大吃大喝
che sara sara,天命天定
che sera sera,這真是個謎
cheap and cheerful,經濟實惠
cheap at half the price,以一半的價格出售
cheap drunk,廉價的醉酒者
cheap out,省錢
cheap thrill,廉價的樂趣
cheap-arse Tuesday,平價的星期二
cheapen out,降低
cheaper by the dozen,價格實惠
cheat on,出軌
cheat out,作弊
cheat out of,詐騙
cheat sheet,簡報
cheaters never prosper,作弊者永遠不會成功
cheats never prosper,作弊者永遠不會成功
check and balance,權力制衡
check in,入住
check in on,關心
check in with oneself,與自己對話
check into,入住
check is in the mail,正在寄出
check off,標記
check on,檢查
check out,查看
check over,檢查
check the math,驗算數學
check through,仔細檢查
check up,檢查
check up on,檢查
check you out,看看你
check your privilege,檢查你的權益
check yourself before you wreck yourself,在犯錯之前先檢查自己
checks play,檢查
checkup from the neck up,檢查從頸部開始
cheek by jowl,挨挨相挨
cheek for chowl,臉
cheek it out,試試看
cheek it through,僥倖逃脫
cheek up,抬起頭
cheek up to,抬起頭
cheeky monkey,調皮的小猴子
cheer on,加油
cheer up,振作
cheers my dears,謝謝大家
cheese down,乳酪
cheese it,停止
cheese off,奶酪
cheese out,放膽
cheese tax,奶酪稅
cheese up,增加風味
cheesed off,很煩
chef up,烹飪
chemically imbalanced,化學上失衡
chemically impaired,在化學上受損
chemically inconvenienced,化學上受到困擾
cherry on top,錦上添花
chess piece,棋子
chest down,胸部
chest up,挺胸
chesterfield rugby,切斯特菲爾德體育
chew off,咬斷
chew on,咀嚼
chew out,訓斥
chew over,仔細考慮
chew the cud,閒聊
chew the scenery,誇張地描述
chew up,咀嚼
chick with a dick,有雞的男人
chicken feed,雞飼料
Chicken Licken,肯德基
chicken out,退縮
chicken scratch,潦草的字跡
chicks before dicks,小雞而非男人
child's play,小菜一碟
chill it with,放輕鬆
chill out,放鬆
chill to the bone,非常寒冷
chillin' like a villain,像壞人一樣悠閒
chilly climate,寒冷氣候
chime in,加入討論
chime up,響起
chimney's afire,煙囪起火
chimp out,發脾氣
chin up,抬頭
China syndrome,中國情
China's final warning,中國的最後警告
Chinaman on one's back,趴在某人背上
Chinaman's chance,機會
Chinese compliment,稱讚
Chinese green,中國綠
Chinese overtime,中國加班
Chinese puzzle,中國謎
Chinese Wall,防火牆
Chinese water torture,中國水刑
chink in the armor,弱點
chink up,修補
chip and charge,支付和收費
chip at,咬
chip away,一點點地移除
chip in,提供協助
chip into,貢獻
chip off the old block,打破舊的模式
chip on one's shoulder,心懷怨懟
chip shot,短距離擊球
chip up,裝上
chipper up,振作
chirk up,鼓勵
chisel in,鑿
chisel out,雕刻
chisel up,鑿開
chocolate teapot,巧克力茶壺
choke back,壓抑
choke down,嚥下
choke off,窒息
choke on,窒息
choke out,窒礙
choke the chicken,扼住雞
choke up,哽咽
chomp at the bit,急於開始
chomp down on,猛咬
chonk up,增加
choose one's fighter,選擇自己的戰士
choose out,選擇
choose up,選擇
choose violence,選擇暴力
chop and change,輪流使用
chop and drop,切掉並丟棄
chop down,砍伐
chop it up,切成塊
chop off,斬斷
chop out,移除
chop up,切碎
chopped liver,切碎的肝臟
chow down,大快朵頤
Christmas came early,聖誕節提前到來
Christmas come early,聖誕節提前到來
Christmas comes but once a year,聖誕節一年一次
Christmas comes early,聖誕節提前到來
Christmas graduate,聖誕節畢業
Christmas is coming,聖誕節即將到來
Christmas tree bill,聖誕樹帳單
chrome dome,Chrome 區
chrome horn,鉻音
chub up,收緊
chuck away,拋棄
chuck down,扔掉
chuck in,隨意加入
chuck it,丟掉
chuck it down,下傾大雨
chuck it in,丟掉
chuck it up,拋棄
chuck off,丟掉
chuck out,丟棄
chuck over,拋棄
chuck up,丟掉
chug away,迅速離開
chum in,誘餌
chum in the water,水中誘餌
chum up,引誘
chump change,微不足道
chump off,笨蛋
churn and burn,高強度工作
churn out,大量生產
churn up,攪動
ciao bella,你好，美女
circle back,稍後再討論
circle gets the square,圓形獲得正方形
circle in,圓
circle out,圈出
circle the drain,將...沖入下水道
circle the wagons,團結防守
circle up,集合
circuit slugger,電路維修員
circular file,圓形檔案
circular firing squad,自相傷人
citation needed,需要引用
civil tongue,平民語言
clabber up,弄糟
claim someone's life,奪取某人的生命
claim to fame,名聲
clam up,閉口不說
clamp down on,加強管制
clamp off,封閉
clap back,反擊
clap eyes on,仔細觀察
clap in,掌聲
clap on,開啟
clap one's hands red,拍手
clap out,掌聲
clap together,互相拍手
clap up,給予讚
clash of the ash,灰燼之戰
class clown,小丑
class up,提升
claw away,逐步清除
claw back,收回
claw off,削去
clay up,塑形
clean as a bean,乾淨如新
clean as a hound's tooth,乾淨如狗牙
clean as a whistle,乾淨得一模一樣
clean break,徹底斷裂
clean down,清理
clean hands,保持乾淨的雙手
clean money,合法錢
clean off,清除
clean out,清理
clean someone's clock,擊敗對方
clean up,清理
clean up after,清理
clean up one's act,改進自身
cleanliness is next to godliness,整潔與神聖並存
cleanup in aisle,清理
cleanup on aisle,清理一下
clear away,清除
clear blue water,清澈湛藍的水
clear cut,明確的
clear off,清理
clear one's lines,釐清思路
clear out,清理
clear somebody's name,洗清某人的名譽
clear the air,消除誤會
clear the table,清理餐桌
clear up,釐清
clew down,線索
clew up,釐清
click for,點擊
click into gear,進入齒輪
click of the fingers,用手指點擊
click off,關閉
click through,點擊進入
clicks and bricks,實體店
climb down,下降
climb into,爬進
climb the ladder,一步一步向上
climb the walls,感到焦慮
climb up,爬上去
cling on,堅持
cling to,堅持
clinically dead,臨床死亡
clip in,插入式
clip it,剪下來
clip someone's wings,限制某人的能力
clip strip,磁鐵條
clock down,關閉
clock in,上班
clock is running,時鐘正在走
clock is ticking,時間在流逝
clock off,下班
clock on,點擊
clock onto,開始工作
clock out,下班
clock the tea,泡茶
clock up,記錄時間
clog up,堵塞
clogs to clogs in three generations,從一代到一代
close at hand,在附近
close but no cigar,差之毫釐
close by,附近
close down,關閉
close enough for government work,足夠好
close in,接近
close in on,逼近
close in upon,逼近
close off,關閉
close on the heels of,緊接著
close one eye,閉上其中一隻眼睛
close one's eyes,閉上眼睛
close one's mind,閉鎖心
close only counts in horseshoes,只有在馬術比賽中，"close" 才有意義
close out,結束
close round,圓形
close season,休賽季
close the book on,結束
close the books,結算
close the face,閉上臉
close to,接近
close to home,與自身相關
close to one's heart,非常重要
close up,特寫
close with,結束
closed book,已解決
closely held,高度控股
closet case,典型案例
clothes don't make the man,衣不遮體
