you,Sen
detest,nefret etmek
kingston,Kingston
rhys,kafiyeler
sapphire,safir
andres,andres
scariest,en korkunç
duff,duff
foresee,öngörmek
unsuccessful,başarısız
sy,sy
odyssey,destan
premonition,önsezi
psychiatry,psikiyatri
sexiest,en seksi
fathom,derinlik
montecito,Montecito
pears,armutlar
seizing,tutukluk
hani,hani
austen,Austen
therese,Therese
templar,templar
hoods,kaputlar
hospice,hospis
creak,gıcırtı
yip,yip
maniacs,manyaklar
rotating,dönen
keaton,Keaton
behavioral,davranışsal
subtitled,altyazılı
adaptation,uyarlama
eyewitnesses,görgü tanıkları
indies,bağımsızlar
mavis,mavis
swede,İsveçli
intricate,karmaşık
nirvana,nirvana
offline,çevrimdışı
cyprus,Kıbrıs
selena,Selena
devoured,yutuldu
coloring,boyama
aristotle,Aristo
quail,bıldırcın
suh,suh
cheques,çekler
independently,bağımsız olarak
robust,sağlam
danke,teşekkürler
cannibals,yamyamlar
zeb,zeb
deduction,indirim
fives,beşler
bombings,bombalamalar
impolite,kaba
dependable,güvenilir
darrell,Darrell
mundane,sıradan
extremes,aşırılıklar
duran,duran
introductions,tanıtımlar
pledges,taahhütler
pestering,rahatsız etmek
carlin,Carlin
patrice,Patrice
injunction,ihtiyati tedbir
windmill,yel değirmeni
pebble,çakıl taşı
closets,dolaplar
relapse,nüksetme
open-minded,açık fikirli
char,karakter
retrieved,alındı
jamaican,Jamaika
dismantle,sökmek
lingering,kalıcı
reside,ikamet etmek
rachael,Rachael
entrances,girişler
claustrophobic,klostrofobik
hick,köylü
bison,bizon
barack,Barack
chivalry,şövalyelik
meena,Meena
judah,Yahuda
poseidon,Poseidon
bonkers,çılgın
surfaces,yüzeyler
jest,alay
teammate,takım arkadaşı
toddler,yürümeye başlayan çocuk
lager,bira
antoinette,Antoinette
high-profile,yüksek profilli
incarcerated,hapsedilmiş
stylist,stilist
propeller,pervane
novice,acemi
scarier,daha korkutucu
bloodthirsty,kana susamış
nightcap,gece şapkası
entries,girişler
curved,kavisli
chants,tezahüratlar
juanita,Juanita
warms,ısıtır
viceroy,genel vali
cornelius,Cornelius
rustle,hışırtı
vertigo,baş dönmesi
communal,ortak
pu,pu
hemorrhaging,kanama
springtime,ilkbahar
avi,avi
puzzled,şaşkın
syrian,Suriye
pedestrian,yaya
marino,denizino
blazer,ceket
ballpark,yaklaşık
plagued,veba bulaşmış
consistency,tutarlılık
bronson,Bronson
untraceable,izlenemez
relativity,görelilik
grazing,otlatma
paging,sayfalama
regretting,pişman olmak
recharge,şarj et
ahhhh,ahhh
polluted,kirlenmiş
plotted,çizildi
smoky,dumanlı
bertrand,Bertrand
buggers,kahrolasılar
katia,katia
revered,saygı duyulan
aman,aman
nandu,Nandu
cassius,kassius
uss,ABD
deepak,Deepak
vittorio,Vittorio
bloodbath,kan banyosu
psychosis,psikoz
mulligan,mulligan
backgrounds,arka planlar
downing,Downing
ramesh,Ramesh
affections,sevgiler
cbi,cbi
finley,finley
repercussions,yankıları
krang,krang
humping,çiftleşme
shone,parladı
dietrich,dietrich
bub,bub
hornet,eşek arısı
emperors,imparatorlar
mme,bana
rhetorical,retorik
unsettling,rahatsız edici
wacko,çılgın
famished,aç
distortion,çarpıtma
vishnu,Vişnu
publishers,yayıncılar
meek,uysal
reunite,yeniden bir araya gelmek
carotid,karotis
chinaman,Çinli
terrance,teras
telephones,telefonlar
tock,tock
competitions,yarışmalar
lapse,gecikme
gayle,gayle
lightyears,ışık yılı
plunder,yağma
unloaded,boşaltıldı
plump,tombul
trendy,moda
sears,Sears
vasquez,vask
bureaucracy,bürokrasi
carlotta,carlotta
rhode,Rodos
fins,yüzgeçler
intending,niyet ederek
conspiring,komplo kurmak
sadist,sadist
seminary,seminer
bicycles,bisikletler
sculpting,heykelcilik
condescending,küçümseyici
orgasms,orgazmlar
lenore,Lenore
moonshine,kaçak içki
incurable,tedavi edilemez
pamphlet,broşür
clinics,klinikler
nottingham,Nottingham
nominate,aday göstermek
wholesome,sağlıklı
termites,termitler
thunderbird,gökkuşu kuşu
mckenna,McKenna
frigid,soğuk
aviv,aviv
occurring,meydana gelen
ese,ese
summertime,yaz mevsimi
skype,Skype
bikers,motosikletçiler
induced,indüklenmiş
missionaries,misyonerler
arabian,Arap
lacrosse,lakros
rarity,nadirlik
gaines,kazançlar
dumpling,köfte
brood,yavru
creamy,kremalı
weenie,sosis
goddam,kahretsin
supergirl,süper kız
roadblocks,yol engelleri
lennie,Lennie
seductive,baştan çıkarıcı
ornaments,süs eşyaları
annoys,rahatsız ediyor
wards,koğuşlar
tintin,Tintin
dimensional,boyutlu
reverence,saygı
charly,Charly
belches,geğirmeler
hooligans,holiganlar
lavatory,tuvalet
cabbie,taksi şoförü
adrien,adrien
extinguisher,yangın söndürücü
vader,Vader
madagascar,Madagaskar
breeds,cinsler
audacity,cüret
cadaver,kadavra
fluff,tüy
yoshida,Yoshida
raina,yağmur
willpower,irade
sicilian,Sicilya
bewitched,büyülenmiş
cannonball,top mermisi
esta,esta
sampson,sampson
aorta,aort
head-on,doğrudan
sidelines,kenar çizgileri
candies,şekerler
defeating,yenmek
kruger,Kruger
penetrating,nüfuz eden
aqua,su
quitter,dönek
wil,irade
hydraulic,hidrolik
pulitzer,Pulitzer
trucker,kamyon şoförü
clinks,tıkırtılar
pooped,kaka yaptı
calculus,kalkülüs
tau,tau
peeling,soyulma
filters,filtreler
overtake,sollamak
ell,kuyu
kobayashi,Kobayashi
transforming,dönüştürmek
cultured,kültürlü
magnets,mıknatıslar
cartridge,kartuş
langston,Langston
choppers,helikopterler
sera,sera
nuggets,nuggetlar
honoring,onurlandırmak
historians,tarihçiler
shanti,şanti
fainting,bayılma
dears,sevgililer
delights,zevkler
soothe,yatıştırmak
gazette,gazete
unhappiness,mutsuzluk
bertram,bertram
continuity,süreklilik
pauly,Pauly
packaging,ambalajlama
suns,güneşler
sheba,Şeba
enmity,düşmanlık
mansfield,Mansfield
scorn,alay
staple,zımba
sitcom,durum komedisi
commie,komünist
toasted,kızarmış
coyotes,çakallar
vary,çeşitli
singin,şarkı söylemek
decorator,dekoratör
laird,Lord
liner,astar
eggplant,patlıcan
alliances,ittifaklar
huts,kulübeler
appealed,temyiz etti
molecule,molekül
mossad,Mossad
petite,küçük
synagogue,sinagog
palestinians,Filistinliler
quilt,yorgan
gynecologist,jinekolog
stutter,kekeleme
warhead,savaş başlığı
articulate,açık konuşmak
spacetime,uzayzaman
giulio,Giulio
nudge,dürtmek
os,işletim sistemi
mordecai,mordecai
bombshell,bomba etkisi yaratacak
monaco,Monako
brooding,düşünceli
vertebrae,omurgalar
therapeutic,tedavi edici
booker,rezervasyoncu
coordination,koordinasyon
atf,atf
mathematician,matematikçi
smeared,bulaşmış
mizuki,mizuki
uncontrollable,kontrol edilemez
stampede,izdiham
giselle,Giselle
amor,aşk
prospective,potansiyel
limestone,kireç taşı
conduit,kanal
kabul,kabul
modern-day,modern zaman
dipper,kepçe
willoughby,Willoughby
avenger,intikamcı
orbits,yörüngeler
sentry,nöbetçi
scrapes,sıyrıklar
mishap,aksilik
lyric,şarkı sözü
disapprove,onaylamamak
intimidation,gözdağı
doubling,ikiye katlama
impending,yaklaşan
sachin,Sachin
shootin,atış
shrinks,küçülür
themes,temalar
shamed,utandırılmış
indications,belirtiler
senora,senora
crumb,kırıntı
limitless,sınırsız
ahmad,ahmad
tiberius,tiberius
caveman,mağara adamı
bonny,güzel
faintest,en hafif
hawkes,şahinler
grandeur,ihtişam
deke,deke
prasad,prasad
showering,duş almak
dildo,yapay penis
executions,infazlar
corroborate,doğrulamak
contingency,acil durum
suri,suri
avenged,intikamını aldı
defenders,savunmacılar
translates,çevirir
mila,mila
primo,primo
bestow,bahşetmek
combinations,kombinasyonlar
godforsaken,kahrolası
pedestal,kaide
stout,sağlam
glaciers,buzullar
mahal,mahal
moby,Moby
valentino,Valentino
dishonor,onursuzluk
otter,su samuru
eminent,seçkin
supernova,süpernova
weir,bent
java,Java
seasick,deniz tutması
populations,nüfuslar
flips,taklalar
mooing,böğürme
mani,mani
cabins,kabinler
pang,acı
presumptuous,küstah
subversive,yıkıcı
tokugawa,tokugawa
elastic,elastik
libya,Libya
single-handedly,tek başına
pristine,bozulmamış
width,Genişlik
sweats,terler
accomplishments,başarılar
remainder,kalan
resides,ikamet eder
impaired,bozulmuş
yellowstone,Yellowstone
retreated,geri çekildi
lateral,yanal
remembrance,anma
smelt,eritmek
biased,önyargılı
strangulation,boğulma
prying,meraklı
hermes,hermes
two-way,iki yönlü
sphinx,sfenks
self-defence,öz savunma
internally,dahili olarak
rhoda,Rhoda
fisk,balık
sympathies,taziyeler
nickels,nikel
galloping,dörtnala
lamar,lamar
dara,Dara
never-ending,sonsuz
downloading,indiriliyor
douchebag,aşağılık herif
lotto,loto
danvers,Danvers
rephrase,yeniden ifade et
casablanca,Kazablanka
ventilator,ventilatör
kraut,lahana turşusu
sanitation,sanitasyon
ekg,EKG
diseased,hastalıklı
eskimo,Eskimo
confessor,itirafçı
aladdin,Alaaddin
rutledge,rutledge
ruddy,kızıl
brodie,Brodie
flashback,geçmişe dönüş
caged,kafeslenmiş
imperfect,kusurlu
routines,rutinler
reconnect,yeniden bağlan
plymouth,Plymouth
quantico,Quantico
sanctioned,onaylanmış
vulnerability,güvenlik açığı
rearrange,yeniden düzenle
synced,senkronize edildi
citadel,kale
guillermo,Guillermo
nibble,ısırık
forcibly,zorla
world-famous,dünyaca ünlü
insinuating,ima eden
malignant,kötü huylu
enslaved,köleleştirilmiş
canister,bidon
intersect,kesişmek
zeros,sıfırlar
undefeated,yenilmez
gunned,silahlı
candlelight,mum ışığı
clancy,Clancy
big-ass,büyük kıç
meng,meng
salesmen,satış elemanları
britta,Britta
daisies,papatyalar
maxie,maxie
thad,Thad
hairdo,saç modeli
oblivious,farkında olmayan
yoda,Yoda
criticizing,eleştirmek
truffle,trüf mantarı
vie,yarış
crisps,cips
strangling,boğma
petit,küçük
shootout,silahlı çatışma
abduct,kaçırmak
cloning,klonlama
ranked,sıralandı
dazzle,göz kamaştırıcı
stork,leylek
coronary,koroner
jive,jive
mathieu,Mathieu
lard,domuz yağı
shedding,dökülme
massages,masajlar
poaching,kaçak avcılık
immaculate,tertemiz
hefty,ağır
stocked,stoklanmış
buddhism,Budizm
monologue,monolog
mehmet,Mehmet
satanic,şeytani
linear,doğrusal
swami,Swami
blackmailer,şantajcı
bora,bora
endorse,onaylamak
enid,enid
liege,Liege
looky,bak
subsequent,sonraki
madden,madden
snip,kes
hernia,fıtık
philosophers,filozoflar
rapists,tecavüzcüler
recommending,tavsiye etmek
highways,otoyollar
bloodline,soy hattı
septic,septik
categories,kategoriler
graces,lütuflar
hammers,çekiçler
yeast,maya
mueller,mueller
cummings,cummings
avocado,avokado
logically,mantıksal olarak
oaf,sersem
corbett,Corbett
prompt,çabuk
alonzo,Alonzo
mushy,lapa gibi
ei,ei
campsite,kamp alanı
eels,yılan balıkları
safeguard,koruma
bling,bling
farted,osurdu
auf,üzerinde
flex,esnek
fruitcake,meyveli kek
danes,Danimarkalılar
fulton,fulton
heiress,mirasçı
beets,pancar
izzie,izzie
racetrack,yarış pisti
ganesh,Ganesh
escorts,eskortlar
leaps,sıçramalar
rajesh,Rajesh
parson,papaz
gazing,bakış
pap,pap
imprint,künye
jigsaw,yapboz
coven,cadılar meclisi
palin,Palin
ach,ach
discourage,vazgeçirmek
recycle,geri dönüşüm
constantinople,Konstantinopolis
sheesh,Vay canına!
appalled,dehşete düştü
lisbeth,Lisbeth
unlawful,yasadışı
birthplace,doğum yeri
wank,masturbasyon yapmak
thriller,gerilim
hepatitis,hepatit
clutches,debriyajlar
yves,Yves
publicist,halkla ilişkiler uzmanı
briscoe,briscoe
insistent,ısrarcı
hires,işe alımlar
tentacles,dokunaçlar
archangel,başmelek
schiller,Schiller
submerged,batmış
brianna,Brianna
manuela,manuela
rd,rd
intoxicating,sarhoş edici
crock,güveç
hither,buraya
cliche,klişe
castor,hint yağı
forty-five,Kırkbeş
anastasia,anastasia
timeless,zamansız
enquiries,sorular
occurrence,olay
pilates,pilates
hypocritical,ikiyüzlü
sharper,daha keskin
healy,şifa
manufacturers,üreticiler
governed,yönetildi
proteins,proteinler
resurrected,dirilmiş
hearst,Hearst
cushions,minderler
psychiatrists,psikiyatristler
halves,yarımlar
menopause,menopoz
butchers,kasaplar
preserving,koruma
environments,ortamlar
ponytail,at kuyruğu
all-out,tamamen
louse,bit
dilated,genişlemiş
garbled,bozuk
prognosis,prognoz
neutron,nötron
airtight,hava geçirmez
yo-yo,yo-yo
jazzy,caz
ufos,UFO'lar
compounds,bileşikler
blazes,alevler
bulgarian,Bulgar
lebeau,Lebeau
coney,Coney
bulgaria,Bulgaristan
armageddon,kıyamet
contributing,katkıda bulunmak
sinbad,Sinbad
inauguration,resmen işe başlama
slicing,dilimleme
restraints,kısıtlamalar
accents,vurgular
frederic,Frederic
cavern,mağara
kremlin,Kremlin
warship,savaş gemisi
olly,olly
militant,militan
objectives,hedefler
newscaster,haber spikeri
verne,verne
calculator,hesap makinesi
nicknames,takma adlar
kiddie,çocuk
replay,tekrar
tibetan,Tibetli
daycare,kreş
abuses,istismarlar
zee,zee
righto,doğru
programmes,programlar
yung,genç
snout,burun
rein,dizgin
dwarfs,cüceler
mono,mono
darned,belâ
embryo,embriyo
frosting,krema
obituary,ölüm ilanı
tickled,gıdıklandı
truffles,trüf mantarları
susceptible,hassas
heaps,yığınlar
tingling,karıncalanma
canvass,tuval
brits,İngilizler
cherokee,Çeroki
tov,tov
twenties,yirmili yaşlar
neanderthals,Neandertaller
perk,dikmek
pebbles,çakıl taşları
braid,örgü
fleece,polar
sensory,duyusal
chirp,cıvıldamak
assaults,saldırılar
pheasant,Sülün
variables,değişkenler
mas,mas
moping,somurtkan
docked,yanaşmış
websites,web siteleri
bj,bj
popeye,Temel Reis
minefield,mayın tarlası
sp,sp
histories,tarihler
distrust,güvensizlik
yapping,havlama
vigil,nöbet
problematic,sorunlu
conventions,kongreler
smitten,aşık
craps,zar oyunu
invoke,çağırmak
unconventional,alışılmadık
barnett,barnett
rundown,bitkin
oily,yağlı
giacomo,giacomo
coordinated,koordineli
prejudiced,önyargılı
scrambling,telaş
seams,dikişler
eyelashes,kirpikler
frannie,frannie
arose,ortaya çıktı
corky,mantar
discard,at
purchasing,satın alma
ignacio,ignacio
hijack,kaçırmak
yam,tatlı patates
masquerade,maskeli balo
logging,kayıt tutma
arises,ortaya çıkar
dempsey,Dempsey
michiko,michiko
settlements,yerleşimler
fetching,getirme
goebbels,Goebbels
eagerly,hevesle
wring,sıkmak
orbital,orbital
janeway,Janeway
maggot,kurtçuk
umbrellas,şemsiyeler
nationality,milliyet
cheddar,çedar
mana,mana
keel,omurga
meryl,meryl
alignment,hizalama
heterosexual,heteroseksüel
fats,yağlar
narrows,daralır
heinz,heinz
irritate,tahriş etmek
emissary,elçi
taunting,alay etmek
hangman,cellat
bjorn,Bjorn
cunts,orospular
comma,virgül
whimsical,kaprisli
format,format
peachy,şeftali
godspeed,iyi yolculuklar
sony,sony
hitman,kiralık katil
bleeping,bip sesi
demonstrating,göstermek
jove,Jüpiter
overflowing,taşan
tully,tully
censorship,sansür
hispanic,İspanyol
rizzo,rizzo
bestowed,bahşedilmiş
shuddering,titreyerek
fitch,fitch
pathological,patolojik
silhouette,siluet
mccann,McCann
obsessing,takıntılı
sugars,şekerler
bachelorette,bekarlığa veda partisi
bonaparte,Bonaparte
impartial,tarafsız
metabolism,metabolizma
astronomical,astronomik
newcomers,yeni gelenler
tabloid,tabloid
vanquish,yenmek
zorro,Zorro
willa,willa
slurps,şapırdatlar
preschool,okul öncesi
remake,yeniden yapım
heresy,sapkınlık
homeboy,dostum
ag,tarım
ravishing,büyüleyici
finesse,incelik
ticktock,tik tak
minimize,en aza indirgemek
boca,boca
woodrow,Woodrow
nigh,neredeyse
nil,sıfır
astronomer,astronom
selective,seçici
choo,çuf
arraignment,mahkemeye çıkarılma
crawley,sürüngen
superpowers,süper güçler
springer,Springer
impenetrable,geçilmez
underdog,zayıf taraf
gossiping,dedikodu
jig,jig
poached,kaçak avlanmış
sculpt,heykel
hokkaido,hokkaido
daniela,Daniela
equator,ekvator
sexier,daha seksi
incorporate,firma kurmak
cath,kat
shivers,titremeler
vinyl,vinil
long-range,uzun menzilli
accumulated,birikmiş
malpractice,tıbbi hata
ascend,yükselmek
ecosystem,ekosistem
vs,vs
forefathers,atalar
grit,kum
etienne,Etienne
emilie,emilie
soles,tabanlar
determines,belirler
nylon,naylon
blob,leke
snug,rahat
gladiators,gladyatörler
valentin,sevgililer günü
collaborate,iş birliği
clothed,giyinmiş
uproar,kargaşa
avail,yaramak
gentry,seçkinler
defied,meydan okudu
parkinson,Parkinson
prune,budamak
hem,etek
ellison,Ellison
ning,ning
hide-and-seek,saklambaç
lawfully,yasal olarak
fairfax,Fairfax
tumors,tümörler
hots,sıcaklar
cade,cade
ver,ver
mimic,taklit
nacho,nacho
gordo,şişman
thoughtless,düşüncesiz
shitload,bir sürü
thrice,üç kez
schoolboy,okul çocuğu
dusting,toz alma
ori,ori
tabloids,magazin gazeteleri
mermaids,denizkızları
residual,kalıntı
sancho,sancho
striped,çizgili
dod,dod
blisters,kabarcıklar
aftermath,sonrasında
stems,saplar
inhaler,inhaler
reinforce,güçlendirmek
qualifies,nitelendirir
lube,yağlayıcı
provoking,kışkırtıcı
continuum,süreklilik
guan,guan
uma,uma
observant,gözlemci
peng,peng
peppermint,nane
fused,kaynaşmış
csu,csu
neanderthal,Neandertal
dukes,dükler
pierrot,pierrot
measurement,ölçüm
prima,prima
sergey,Sergey
authenticity,özgünlük
swagger,çalım
soundtrack,film müziği
taipei,Taipei
forman,forman
strut,destek
ensemble,topluluk
duval,Duval
tantrum,öfke nöbeti
motivate,motive etmek
annihilate,yok etmek
signore,bayım
disrupted,bozuldu
divorcing,boşanmak
medics,sağlık görevlileri
confided,itiraf etti
beale,beale
brandi,Brandi
wreath,çelenk
maui,Maui
bale,balya
clergy,din adamları
aida,Aida
bieber,Bieber
retaliate,misilleme
genome,genom
vacancy,boş pozisyon
tranquilizer,sakinleştirici
diligence,özen
loops,döngüler
impertinent,küstah
hwan,Hwan
advancement,ilerleme
armpit,koltuk altı
districts,ilçeler
cavalier,süvari
specializes,uzmanlaşmıştır
chong,chong
combing,birleştirme
self-control,Oto kontrol
mascara,maskara
massa,kütle
revised,revize edildi
compulsion,zorlama
bran,kepek
buoy,şamandıra
criticized,eleştirildi
adversity,zorluk
beneficiary,yararlanıcı
punjabi,Pencapça
openings,açılışlar
arne,arne
graphics,grafikler
huntsmen,avcılar
ozone,ozon
interpreted,yorumlandı
incomprehensible,anlaşılmaz
kaoru,kaoru
lenient,hoşgörülü
perky,neşeli
herod,herod
unavoidable,kaçınılmaz
retract,geri çekmek
flowed,aktı
compression,sıkıştırma
demolish,yıkmak
prodigal,savurgan
generously,cömertçe
anonymously,anonim olarak
peabody,Peabody
crocker,çırçır
amid,ortasında
youths,gençler
dispense,dağıtmak
roe,karaca
telepathy,telepati
occupational,mesleki
osgood,osgood
roxie,roxie
loudspeaker,hoparlör
torched,yakıldı
yawn,esneme
hyena,sırtlan
reiko,reiko
milkman,sütçü
dal,dal
hillside,yamaç
transcripts,transkriptler
prevention,önleme
tout,tout
toenails,ayak tırnakları
mazel,mazel
imaginative,yaratıcı
heretic,sapkın
hives,kovanlar
squawk,cıyaklamak
repression,baskı
arithmetic,aritmetik
dramas,dramalar
subsequently,daha sonra
cardassian,Cardassian
clanks,gıcırdama sesleri
renewal,yenileme
shocker,şok edici
spectacles,gözlükler
interval,aralık
quickie,kısa bir
proceeded,devam etti
prometheus,Prometheus
performs,performans sergiliyor
senorita,senorita
deadbeat,tembel
burbank,Burbank
mooney,Mooney
geology,jeoloji
withdrawing,geri çekilme
nav,navigasyon
thi,bu
sinus,sinüs
kennel,köpek kulübesi
feldman,Feldman
sixpack,altılı paket
millennia,bin yıl
subscription,abonelik
marquise,markiz
warlord,savaş ağası
zed,zed
governors,valiler
unintelligible,anlaşılmaz
dag,dag
gaia,Gaia
withheld,saklandı
involuntary,istemsiz
reciting,ezberden okumak
massacred,katledildi
rosetta,Rosetta
boa,boa
oils,yağlar
pelt,post
brittle,kırılgan
unprepared,hazırlıksız
willingness,isteklilik
cutters,kesiciler
ins,ins
coarse,kaba
frieda,Frieda
mala,mala
walrus,mors
portrayed,tasvir edildi
contemplating,düşünmek
blaster,blaster
tricia,Tricia
scrubs,ameliyat önlükleri
bebe,bebek
defeats,yenilgiler
hollering,bağırmak
simmer,kısık ateşte
valencia,Valencia
annihilation,yok etme
textbooks,ders kitapları
filipino,Filipinli
filmmakers,film yapımcıları
tennyson,Tennyson
ps,ps
luv,aşk
firewall,güvenlik duvarı
lyons,Lyonlar
weld,kaynak
facade,cephe
conserve,korumak
stepdad,üvey baba
khanna,Khanna
divulge,ifşa etmek
gab,gag
kieran,kieran
ravens,kargalar
ta-ta,hoşçakal
wiley,kurnaz
weirdos,tuhaf tipler
quartet,dörtlü
kickass,harika
conferences,konferanslar
dusted,tozlanmış
silicone,silikon
clocked,saatlendi
tanning,bronzlaşma
breathless,nefessiz
smacking,şapır şupur
mantra,mantra
vests,yelekler
epiphany,vahiy
motherhood,annelik
decor,dekor
perch,levrek
flux,akı
maynard,Maynard
totem,totem
cherie,cherie
secluded,tenha
smother,boğmak
checkup,kontrol etmek
patronize,himaye etmek
mower,çim biçme makinesi
pediatrician,çocuk doktoru
bridesmaids,nedimeler
jehovah,Yehova
dem,demo
informants,muhbirler
thunk,düşünce
tract,yol
pliers,pense
harming,zarar vermek
pooch,köpek
coca-cola,kola
anti,anti
reinstated,yeniden göreve iade edildi
gland,bez
stricken,vurulmuş
dials,kadranlar
zeta,zeta
exes,eski sevgililer
haines,haines
tandy,tandy
disputes,anlaşmazlıklar
dizziness,baş dönmesi
knowingly,bilerek
frida,Frida
newcastle,Newcastle
groves,korular
stalag,stalag
festivals,festivaller
grudges,kinler
blabbering,gevezelik
plural,çoğul
curriculum,müfredat
firehouse,itfaiye binası
coo,cıvıldak
pug,boksör
clerks,katipler
savvy,zeki
chopin,Chopin
rebekah,Rebekah
dictated,dikte edildi
siding,dış cephe kaplaması
dios,Tanrı
peking,Pekin
valor,cesaret
dahlia,dahlia
liras,liralar
affordable,ekonomik
scrawny,cılız
disorderly,düzensiz
psi,psi
unattractive,çekici olmayan
eulogy,övgü konuşması
marlow,marlow
felonies,ağır suçlar
gingerbread,zencefilli kurabiye
gent,beyefendi
misdemeanor,kabahat
spaniard,İspanyol
flagged,işaretlendi
optimist,iyimser
mori,mori
commons,ortak alanlar
waitresses,garsonlar
wanders,dolaşıyor
mugging,gasp
crammed,tıka basa dolu
babysit,çocuk bakıcılığı
cayman,Cayman
accommodations,konaklama
possessive,iyelik
shutdown,kapat
compressed,sıkıştırılmış
czechoslovakia,Çekoslovakya
geologist,jeolog
crossbow,arbalet
aspiring,hevesli
autism,otizm
commandment,emir
fateful,kaderci
rooftops,çatı katları
leningrad,Leningrad
lexington,Lexington
archers,okçular
cremation,ölü yakma
petroleum,petrol
diem,diem
moped,moped
clair,clair
blooms,çiçekler
lamborghini,lamborghini
dysfunctional,işlevsiz
picturing,hayal etmek
ifl,ifl
purchases,satın alımlar
debrief,bilgilendirme
pulses,darbeler
make-believe,hayal ürünü
devin,Devin
barbershop,Berber dükkanı
rana,rana
condone,hoş görmek
excitedly,heyecanla
antarctic,Antarktika
manned,insanlı
crafts,el sanatları
awaited,bekleniyor
atkins,Atkins
beards,sakallar
chaser,takipçi
subbing,altyazı
chatty,konuşkan
inez,inez
maintains,sürdürür
readily,kolayca
gunny,çuval
baffled,şaşkın
insatiable,doyumsuz
archibald,Archibald
skater,patenci
jungles,ormanlar
upstanding,dürüst
spacious,ferah
probst,probst
sheng,sheng
foolproof,hatasız
nutter,deli
confine,sınırlamak
fam,aile
diablo,şeytan
leone,Leone
daydreaming,hayal kurmak
incest,ensest
abba,abba
mathilde,Mathilde
unanswered,cevapsız
exaggeration,abartı
shorten,kısaltmak
ramu,ramu
biggs,biggs
guise,kılık
graze,otlamak
clarinet,klarnet
cuddly,sevimli
americas,Amerika
scavenger,leş yiyici
middleman,aracı
garde,bahçe
alot,çok fazla
crusader,haçlı
baa,mea
propane,propan
sickening,mide bulandırıcı
thrills,heyecanlar
toothache,diş ağrısı
overhear,kulak misafiri olmak
altercation,tartışma
tudor,Tudor
freckles,çiller
furthest,en uzak
fuses,sigortalar
swamps,bataklıklar
ambassadors,büyükelçiler
zhen,zhen
superpower,süper güç
enraged,öfkeli
esmeralda,esmeralda
loomis,loomis
unpopular,popüler olmayan
locating,bulma
fitzpatrick,Fitzpatrick
ordinance,yönetmelik
grocer,bakkal
courtship,kur
zak,zak
pics,resimler
ripple,dalgalanma
smashes,parçalıyor
conjure,çağırmak
winch,vinç
shipments,gönderiler
hustling,dolandırıcılık
glorified,yüceltilmiş
spied,casusluk yaptı
cabinets,dolaplar
cylinders,silindirler
mongrel,melez
dui,alkollü içki
chlorine,klor
radiology,radyoloji
hadley,Hadley
oscars,Oscar ödülleri
projections,projeksiyonlar
soggy,ıslak
regal,asil
assumes,varsayar
boycott,boykot
klingons,Klingonlar
progressed,ilerledi
telescopes,teleskoplar
bradshaw,Bradshaw
pats,okşamalar
unclean,kirli
banners,afişler
mesa,mesa
consumers,tüketiciler
germ,mikrop
stafford,Stafford
excursion,gezi
heartland,kalp bölgesi
jenn,Jenn
gm,gm
spontaneously,kendiliğinden
takeda,takeda
dun,dun
initiating,başlatma
modifications,değişiklikler
feces,dışkı
droid,droid
alcoholics,alkolikler
horde,sürü
grips,tutamaklar
roderick,Roderick
premise,öncül
scorpions,akrepler
campaigning,kampanya
obstinate,inatçı
fiver,beş
outburst,patlama
diaphragm,diyafram
handbook,el kitabı
rudolf,Rudolf
serbs,Sırplar
derived,türetilmiş
croak,kurbağa sesi
executing,yürütme
interim,geçici
snowed,kar yağdı
rosary,tesbih
scourge,veba
pippi,pippi
drowns,boğuluyor
crore,crore
tic,tik
adrift,sürüklenmek
bisexual,biseksüel
pointers,işaretçiler
eradicate,ortadan kaldırmak
spunk,cesaret
snyder,Snyder
three-way,üç yönlü
self-conscious,İçine kapanık
hyper,hiper
inning,atış
expendable,harcanabilir
addams,Addams
noelle,Noelle
chandu,Chandu
ono,ono
sutter,sutter
hazy,puslu
relocate,yer değiştirmek
alleys,ara sokaklar
sunflower,ayçiçeği
irritable,asabi
hanger,askı
neuro,nöro
clooney,Clooney
silky,ipeksi
tricking,hile yapmak
popsicle,dondurma
yau,yau
urging,teşvik etmek
moroccan,Fas
encyclopedia,ansiklopedi
stripe,şerit
stationary,sabit
ptsd,travma sonrası stres bozukluğu
secondhand,ikinci el
sermons,vaazlar
dink,dink
parched,kurumuş
guinness,Guinness
ravioli,ravioli
predicting,tahmin etmek
masterson,Masterson
helsinki,Helsinki
excruciating,dayanılmaz
callum,Callum
consensual,rızaya dayalı
compute,hesaplamak
trays,tepsiler
nikhil,Nikhil
overjoyed,çok sevinçli
liberals,liberaller
mcguire,McGuire
warehouses,depolar
durga,Durga
harald,Harald
stereotype,klişe
cartridges,kartuşlar
whitaker,Whitaker
raiding,baskın
sustainable,sürdürülebilir
commissar,komiser
soiled,kirli
standpoint,bakış açısı
fruity,meyveli
rafa,rafa
creams,kremler
watcher,gözlemci
thereafter,bundan sonra
egon,ego
drifter,serseri
financed,finanse edildi
fairytale,masal
intimately,samimi bir şekilde
keisha,keisha
wrapper,sarmalayıcı
spectator,izleyici
purest,en saf
raisin,kuru üzüm
alchemy,simya
antimatter,antimadde
withered,solmuş
saki,sake
maki,maki
