you,Bạn
novelty,sự mới lạ
equations,phương trình
doubtful,nghi ngờ
sexist,phân biệt giới tính
capone,Capone
buffer,bộ đệm
castles,lâu đài
reproduce,tái tạo
goodwin,chiến thắng tốt
blueberry,quả việt quất
ryu,ryu
oskar,oskar
flo,hoa
potty,bồn cầu
algeria,Algeria
geometry,hình học
dumbest,ngu ngốc nhất
bahamas,Bahamas
bleating,tiếng kêu be be
horizontal,nằm ngang
assisted,hỗ trợ
indebted,mang ơn
spook,ma quái
fertilizer,phân bón
techno,nhạc techno
hinges,bản lề
zhu,Chu
helium,heli
imposed,áp đặt
financing,tài chính
restrictions,hạn chế
implied,ngụ ý
idaho,Idaho
simplest,đơn giản nhất
traits,đặc điểm
implement,thực hiện
supervise,giám sát
evident,rõ ràng
skank,con điếm
gogh,gogh
analyzing,phân tích
drooling,chảy nước dãi
princesses,công chúa
coastal,ven biển
bargaining,mặc cả
matrimony,hôn nhân
airfield,sân bay
sensual,gợi cảm
takashi,takashi
lennon,Lennon
cycles,chu kỳ
grimes,bụi bẩn
feeble,yếu đuối
moreno,moreno
hutton,Hutton
spikes,gai nhọn
rugged,chắc chắn
reviewing,xem xét
potassium,kali
tombs,lăng mộ
mimics,bắt chước
elton,Elton
homage,sự tôn kính
devious,quanh co
postcards,bưu thiếp
crimson,màu đỏ thẫm
activist,nhà hoạt động
rulers,những người cai trị
rowing,chèo thuyền
conditioner,điều hòa
quoting,trích dẫn
filmmaker,nhà làm phim
softball,bóng mềm
outline,phác thảo
doses,liều lượng
perjury,khai man
etiquette,nghi thức
joyous,vui vẻ
intestines,ruột
residential,nhà ở
envelopes,phong bì
tortoise,con rùa
unjust,bất công
fetish,vật thể
blasts,vụ nổ
completion,hoàn thành
davenport,Davenport
heartbreak,đau lòng
safari,cuộc đi săn
brochure,cuốn sách nhỏ
larson,larson
limousine,xe limousine
hiccups,nấc cụt
boast,khoe khoan
portraits,chân dung
escorted,được hộ tống
magnitude,kích cỡ
collapsing,sụp đổ
selina,selina
coupon,phiếu giảm giá
utility,tính thiết thực
gourmet,người sành ăn
wrecking,phá hủy
snore,ngáy
motions,chuyển động
courting,tán tỉnh
suicides,tự tử
meera,Meera
apprehended,bị bắt giữ
prescribe,kê đơn
aldo,aldo
lian,lian
installation,lắp đặt
likeness,sự giống nhau
interface,giao diện
metals,kim loại
blindness,mù lòa
sluts,gái điếm
thakur,thakur
onetime,một lần
accelerator,máy gia tốc
awol,bỏ trốn
firms,các công ty
kale,cải xoăn
stretches,giãn cơ
tack,đinh ghim
auxiliary,phụ trợ
swipe,vuốt
shelters,nơi trú ẩn
childbirth,sinh con
livelihood,sinh kế
longed,khao khát
swordsman,kiếm sĩ
resourceful,tháo vát
sabbath,ngày Sa-bát
stormed,bão
self-destruct,tự hủy
gaps,khoảng trống
incentive,khích lệ
showdown,cuộc đối đầu
harding,cứng rắn
ref,tham khảo
molten,nóng chảy
frosty,băng giá
franky,thành thật mà nói
henceforth,từ nay trở đi
renewed,được gia hạn
sitter,người trông trẻ
petey,Petey
richardson,Richardson
fingertips,đầu ngón tay
handcuffed,bị còng tay
cocking,lên dây cót
catfish,cá da trơn
johann,Johann
charger,bộ sạc
disciplined,kỷ luật
outing,chuyến đi chơi
como,như thế nào
una,una
glitch,lỗi
jell-o,thạch
grants,trợ cấp
porcelain,sứ
remarried,tái hôn
firepower,hỏa lực
captioned,có chú thích
hampton,Hampton
flawed,bị lỗi
uno,một
griff,griff
scarcely,hầu như không
rips,xé
roach,gián
stairwell,cầu thang
memorized,đã ghi nhớ
coded,mã hóa
negligence,sơ suất
belgrade,Belgrade
arteries,động mạch
toot,còi
stunts,các pha nguy hiểm
buttocks,mông
forks,nĩa
mentions,đề cập đến
loco,đầu máy
cedric,Cedric
mika,Mika
adler,adler
bellows,ống thổi
snowy,tuyết
pelvis,xương chậu
hymn,bài thánh ca
audit,kiểm toán
slashed,bị cắt
frantic,điên cuồng
negroes,người da đen
calves,bê con
pao,pao
aloha,aloha
sahara,sa mạc sa mạc
freshly,tươi
sabotaged,bị phá hoại
poodle,chó poodle
archaeologists,các nhà khảo cổ học
gore,máu me
meatball,thịt viên
maggots,giòi
horrifying,kinh hoàng
prosecuted,bị truy tố
briefed,được thông báo
cider,rượu táo
pompous,kiêu căng
boomer,người bùng nổ
hard-on,sự cương cứng
coulson,coulson
waiters,bồi bàn
abundance,sự dồi dào
barricade,rào chắn
gallon,gallon
kali,kali
literal,nghĩa đen
scrubbing,chà rửa
implies,ngụ ý
discouraged,nản chí
kowalski,kowalski
almond,hạnh nhân
chestnut,hạt dẻ
syphilis,bệnh giang mai
criteria,tiêu chuẩn
contacting,liên hệ
trainee,thực tập sinh
haskell,Haskell
elvira,Elvira
rambo,Rambo
rad,rad
poe,thơ
farmhouse,nhà nông trại
hallucination,ảo giác
heals,chữa lành
samba,samba
lizards,thằn lằn
straws,ống hút
silicon,silicon
reptiles,bò sát
waldo,Waldo
paces,bước đi
fenton,Fenton
slugs,sên
leftover,còn lại
ze,ze
freighter,tàu chở hàng
bashed,đập vỡ
convicts,tù nhân
jerky,thịt khô
solemnly,trang trọng
accommodation,chỗ ở
slag,xỉ
nonstop,không ngừng nghỉ
lemons,chanh
whitman,Whitman
lemme,để tôi
verified,đã được xác minh
jethro,jethro
fancied,thích thú
partridge,chim đa đa
defiance,sự thách thức
laila,laila
hottie,cô nàng nóng bỏng
rohan,Rohan
stripping,lột trần
pant,quần
mutton,thịt cừu
hypocrisy,đạo đức giả
dyson,Dyson
invaluable,vô giá
ce,ce
lucrative,sinh lợi
cbs,CBS
slows,chậm lại
penal,hình phạt
uploaded,đã tải lên
akbar,akbar
orchestral,dàn nhạc
endlessly,vô tận
hitchcock,hitchcock
broads,phụ nữ
redo,làm lại
illegitimate,bất hợp pháp
dmv,DMV
self-respect,lòng tự trọng
ceased,đã chấm dứt
blender,máy xay sinh tố
accordance,phù hợp
brandt,thương hiệu
dobbs,dobbs
makeover,sự thay đổi diện mạo
viagra,viagra
enhanced,được nâng cao
unprofessional,thiếu chuyên nghiệp
scanned,đã quét
mow,cắt cỏ
whiskers,râu
tourism,du lịch
listeners,người nghe
rebirth,tái sinh
predicament,tình thế khó xử
vendor,người bán
confessions,lời thú tội
patriots,những người yêu nước
jakob,jakob
illiterate,mù chữ
hounds,chó săn
malicious,độc hại
labyrinth,mê cung
psyche,tâm lý
cher,anh đào
honda,Honda
florist,người bán hoa
nathaniel,Nathaniel
extraterrestrials,người ngoài hành tinh
unthinkable,không thể tưởng tượng nổi
frail,yếu ớt
plato,Plato
planetary,hành tinh
hitched,đã buộc
elle,cô gái
flair,phong cách
ruse,mưu mẹo
observatory,đài quan sát
heavyweight,hạng nặng
diplomacy,ngoại giao
tonya,Tonya
sri,sri
ev,ev
nutty,hạt dẻ
extravagant,xa hoa
caterpillar,sâu bướm
skeptical,hoài nghi
ideology,hệ tư tưởng
pak,pak
chainsaw,cưa xích
healthier,khỏe mạnh hơn
linking,liên kết
prudent,khôn ngoan
cutler,dao cắt
mugs,cốc
junkies,những kẻ nghiện ngập
rudder,bánh lái
hermann,Hermann
ot,ot
laundering,giặt giũ
kaufman,Kaufman
pints,pints
succession,sự kế tiếp
possesses,sở hữu
urges,thúc giục
structural,cấu trúc
lollipop,kẹo mút
atmospheric,khí quyển
weirder,kỳ lạ hơn
sory,xin lỗi
stride,bước
blizzard,bão tuyết
extracted,đã được chiết xuất
administer,quản lý
meghan,Meghan
pinocchio,Pinocchio
state-of-the-art,công nghệ tiên tiến nhất
grimm,Grimm
fireball,quả cầu lửa
individually,riêng lẻ
flask,bình
obeyed,tuân theo
swain,chàng trai
hubble,Hubble
burgess,thị trưởng
rohit,Rohit
coffins,quan tài
booster,tăng cường
erratic,thất thường
undergo,trải qua
typed,đã gõ
bearded,râu
fucked-up,hỏng bét
salami,xúc xích salami
ports,cảng
hamptons,Hamptons
marsha,Marsha
versa,ngược
oval,hình bầu dục
downfall,sự sụp đổ
warwick,Warwick
ulcer,vết loét
friendships,tình bạn
domination,sự thống trị
dementia,chứng mất trí nhớ
arthritis,viêm khớp
refusal,từ chối
juvie,vị thành niên
journals,tạp chí
volatile,bay hơi
performers,người biểu diễn
beneficial,có lợi ích
seaman,thủy thủ
iranian,người Iran
sputtering,phun trào
sled,xe trượt tuyết
mortality,tỷ lệ tử vong
carlson,Carlson
hysteria,chứng cuồng loạn
hui,hội
beseech,cầu xin
endings,kết thúc
shea,bơ hạt mỡ
miscarriage,sảy thai
patrons,khách hàng
moya,moya
hun,hun
racer,tay đua
plots,cốt truyện
hoop,vòng
dojo,võ đường
vents,lỗ thông hơi
unfamiliar,không quen
slab,tấm
persecution,bức hại
monarchy,chế độ quân chủ
himmler,Himmler
philosophical,triết học
ping-pong,bóng bàn
dumbass,đồ ngu
soften,làm mềm
celine,Celine
carmichael,Carmichael
herpes,herpes
riddles,câu đố
foggy,sương mù
coz,vì
specialized,chuyên
corridors,hành lang
parvati,Parvati
mikhail,Mikhail
deemed,được coi là
astronomy,thiên văn học
reins,dây cương
yous,các bạn
duet,diễn đôi
beginner,người mới bắt đầu
viewed,đã xem
nebula,tinh vân
fascination,sự mê hoặc
fussy,cầu kỳ
elect,bầu cử
collier,thợ làm vòng cổ
evaluate,đánh giá
microscopic,kính hiển vi
hearty,thịnh soạn
mammoth,voi ma mút
oppressed,bị áp bức
diameter,đường kính
tailing,đuôi
intoxicated,say
photographic,chụp ảnh
shocks,cú sốc
descending,đi xuống
stakeout,theo dõi
pioneers,những người tiên phong
towed,được kéo
submission,nộp
prostate,tuyến tiền liệt
ointment,thuốc mỡ
hr,giờ
bids,giá thầu
recalled,nhớ lại
gaius,gaius
electrician,thợ điện
aneurysm,phình động mạch
neha,Neha
sulking,hờn dỗi
actively,tích cực
mortuary,nhà xác
ey,họ
serenity,sự thanh bình
funded,được tài trợ
mmmm,mmmm
shreds,mảnh vụn
pearce,quả lê
mixer,máy trộn
draining,thoát nước
bolted,bắt vít
tania,Tania
assurance,sự đảm bảo
zapping,đánh
bossy,hống hách
venezuela,Venezuela
commentary,bình luận
beheaded,bị chặt đầu
waffle,bánh quế
unnoticed,không được chú ý
onward,tiếp tục
rollins,cuộn tròn
cnn,CNN
cleanup,dọn dẹp
cosy,ấm áp
branded,thương hiệu
plow,cày
schneider,Schneider
farley,farley
deluxe,cao cấp
aft,phía sau
neurotic,rối loạn thần kinh
rani,rani
chords,hợp âm
tanker,tàu chở dầu
tides,thủy triều
settlers,người định cư
bio,sinh học
rosen,hoa hồng
snowman,người tuyết
berta,berta
geisha,geisha
transactions,giao dịch
reflexes,phản xạ
extraordinarily,đặc biệt
chunks,các phần
shekhar,Shekhar
assaulting,tấn công
obsolete,lỗi thời
consultation,tư vấn
agreeable,đồng ý
impostor,kẻ mạo danh
lobo,lobo
wasp,ong bắp cày
maturity,sự trưởng thành
sheik,Sheikh
liberate,giải phóng
brilliantly,xuất sắc
surfer,người lướt sóng
hattie,mũ
selma,Selma
lowell,Lowell
sameer,Sameer
snores,tiếng ngáy
assumptions,giả định
capability,khả năng
bridegroom,chú rể
mysteriously,một cách bí ẩn
priors,tiên nghiệm
leanne,Leanne
defective,bị lỗi
joss,Joss
tombstone,bia mộ
rach,rach
writings,bài viết
delicacy,tinh vi
tumble,ngã
silva,silva
hospitalized,nhập viện
fig,quả sung
speculate,suy đoán
sha,sha
yeh,vâng
fidel,trung thành
inflicted,gây ra
stabilize,ổn định
outs,ngoài
violations,vi phạm
deuce,hai
significantly,đáng kể
newcomer,người mới
youngster,người trẻ tuổi
engineered,được thiết kế
sighted,nhìn thấy
riddance,sự giải thoát
seasoned,gia vị
picket,biểu tình
abc,abc
aziz,Aziz
mecca,thánh địa
jeeves,Jeeves
insomnia,mất ngủ
pendant,mặt dây chuyền
harmonica,kèn harmonica
listing,danh sách
viruses,virus
ich,ich
heartache,đau lòng
trumpets,kèn trumpet
dvds,đĩa DVD
jace,Jace
proceeds,tiền thu nhập
intruding,xâm nhập
betcha,chắc chắn rồi
reddy,đỏ
pasture,đồng cỏ
inspectors,thanh tra viên
horrified,kinh hoàng
neighborhoods,khu phố
sprained,bong gân
lambs,cừu non
democrat,dân chủ
jameson,Jameson
lovebirds,đôi tình nhân
rivalry,sự cạnh tranh
vial,lọ
rv,xe RV
bret,Brett
peeking,nhìn trộm
talisman,bùa hộ mệnh
stats,số liệu thống kê
arsenic,asen
buchanan,buchanan
intake,lượng tiêu thụ
sheikh,Sheikh
takeover,tiếp quản
scanners,máy quét
gareth,Gareth
foreplay,màn dạo đầu
acquaintances,người quen
alphonse,alphonse
thames,sông Thames
lotte,xổ số
championships,giải vô địch
pines,cây thông
swallows,chim én
rewarding,phần thưởng
cornell,Cornell
recession,suy thoái
brands,thương hiệu
firearm,súng
squawks,tiếng kêu chói tai
shepard,người chăn cừu
ukrainian,người Ukraina
superboy,siêu cậu bé
infectious,lây nhiễm
morrow,ngày mai
yahoo,yahoo
robertson,Robertson
pious,ngoan đạo
brainwashed,bị tẩy não
quantities,số lượng
societies,xã hội
sedated,được an thần
milly,Milly
wines,rượu vang
jimbo,jimbo
colourful,đầy màu sắc
timeout,hết thời gian
superheroes,siêu anh hùng
bribery,hối lộ
jacuzzi,bồn tắm jacuzzi
pours,rót
geological,địa chất
valuables,vật có giá trị
crossword,ô chữ
bunnies,thỏ
undead,xác sống
bathed,tắm rửa
linger,nán lại
roster,danh sách
rebuilding,xây dựng lại
comms,truyền thông
moods,tâm trạng
grinder,máy xay
weber,weber
harem,hậu cung
proxy,máy chủ proxy
kincaid,kincaid
timed,đã hẹn giờ
toxins,chất độc
mendoza,mendoza
originated,xuất phát
tracing,truy tìm
wham,Ầm
ironing,ủi
quotes,trích dẫn
nemo,nemo
mar,tháng ba
hauled,kéo
docking,cập bến
sciences,khoa học
accelerate,tăng tốc
relive,sống lại
aggravated,trầm trọng hơn
rabb,rabb
downright,hoàn toàn
brushes,cọ
adjustments,điều chỉnh
chandi,chandi
steaming,bốc hơi
confessing,thú nhận
xiang,xiang
lucie,Lucie
paso,paso
wary,thận trọng
hemisphere,bán cầu
quaint,cổ kính
magically,một cách kỳ diệu
accordion,đàn accordion
aisha,Aisha
cowardice,sự hèn nhát
cramped,chật chội
bailing,bỏ chạy
instagram,Instagram
curt,ngắn gọn
fo,cho
stamina,sự bền bỉ
cheesecake,bánh phô mai
testosterone,testosterone
updates,cập nhật
fend,chống lại
lumps,cục u
lux,sang trọng
crummy,tệ hại
lise,Lise
coil,xôn xao
discovers,khám phá
upbringing,sự nuôi dạy
geronimo,geronimo
transmitting,truyền tải
manolo,manolo
barbaric,man rợ
thong,quần lọt khe
trespass,xâm phạm
ballerina,vũ công ba lê
genetics,di truyền học
lilies,hoa huệ
elegance,sự thanh lịch
kenji,kenji
sats,sats
casinos,sòng bạc
yak,bò Tây Tạng
paged,phân trang
welles,giếng
streaming,phát trực tuyến
navigator,hoa tiêu
cleaver,dao phay
anew,mới
marseille,Marseille
odor,mùi
great-grandfather,ông cố
raiders,những kẻ cướp
sprayed,phun
crypt,mật mã
spam,thư rác
teeny,nhỏ xíu
twig,cành cây
anesthesia,gây tê
scandalous,tai tiếng
esteem,kính trọng
carmine,thoa son
ripley,Ripley
breached,vi phạm
benji,benji
spanking,đánh đòn
devi,devi
trot,chạy nước kiệu
selfie,ảnh tự sướng
strategies,chiến lược
bb,bb
thriving,phát triển mạnh
haunts,ma ám
kyoko,Kyoko
snails,ốc sên
compose,sáng tác
hopping,nhảy
coconuts,dừa
amidst,giữa
powering,cấp nguồn
indigenous,người bản địa
awakening,thức tỉnh
bop,nhịp điệu
hippies,những người theo phong trào hippie
exorcism,trừ tà
swiftly,nhanh chóng
gamblers,người đánh bạc
jd,jd
maddox,maddox
blinding,mù quáng
engraved,khắc
kahn,kahn
labeled,được dán nhãn
maude,Maude
comforts,sự thoải mái
ample,dồi dào
hyo,hyo
clang,kêu vang
understatement,nói giảm nói tránh
disqualified,bị loại
taels,lượng
brando,Brando
meteorite,thiên thạch
seok,seok
trio,bộ ba
centimeters,centimet
fae,tiên nữ
reconnaissance,trinh sát
darnell,Darnell
flares,pháo sáng
leukemia,bệnh bạch cầu
gupta,gupta
alexei,Alexei
palermo,palermo
shareholders,cổ đông
kelsey,kelsey
commandments,điều răn
optimus,Optimus
din,din
isa,isa
camper,người cắm trại
smoker,người hút thuốc
frankfurt,xúc xích frankfurt
serene,thanh bình
jocelyn,Jocelyn
trolls,những kẻ troll
intentional,cố ý
icing,kem phủ
fore,phía trước
bali,Bali
gorge,hẻm núi
hermit,ẩn sĩ
countrymen,đồng hương
vibrant,rực rỡ
smuggler,kẻ buôn lậu
dosage,liều lượng
fictional,hư cấu
fakes,hàng giả
runt,người lùn
antonia,Antonia
intolerable,không thể chịu đựng được
pavilion,gian hàng
livia,Livia
pretext,lý do
wail,than van
madge,madge
skid,trượt
adores,yêu thích
ibrahim,Ibrahim
cunningham,Cunningham
jekyll,Jekyll
swapped,đã trao đổi
phoning,gọi điện thoại
barbed,gai
pledged,cam kết
galactica,thiên hà
ecstatic,vô cùng vui sướng
mtv,MTV
genitals,bộ phận sinh dục
ancients,cổ đại
yee,ừ
african-american,người Mỹ gốc Phi
weakly,yếu ớt
typhoon,bão
citizenship,quốc tịch
terra,đất
turbulence,sự nhiễu loạn
responds,phản hồi
lowe,thấp
perpetual,vĩnh viễn
skis,ván trượt tuyết
tipping,tiền boa
irons,bàn là
lash,dây da roi
trades,giao dịch
shagging,quan hệ tình dục
marshmallows,kẹo dẻo
possum,con thú có túi
jericho,Jericho
saxon,người Saxon
enchanting,quyến rũ
sleazy,bẩn thỉu
abner,Abner
upsets,sự đảo lộn
imaging,hình ảnh
dis,sự
stefano,Stefano
amaze,tuyệt vời
kimono,kimono
fleischman,người bán thịt
johannes,Johannes
disobeyed,không tuân lệnh
court-martial,tòa án quân sự
firsthand,trực tiếp
vans,xe tải
smallpox,bệnh đậu mùa
accomplishment,thành tựu
vu,vu
complicate,làm phức tạp
voltage,điện áp
traction,lực kéo
lifeguard,nhân viên cứu hộ
mcbride,mcbride
universities,các trường đại học
swimsuit,đồ bơi
discarded,bị loại bỏ
romano,người La Mã
infiltrated,xâm nhập
goodbyes,lời tạm biệt
guillotine,máy chém
ipod,iPod
specifics,chi tiết
nuke,hạt nhân
katz,mèo
khun,khun
chipped,sứt mẻ
limbo,sự lấp lửng
rehearsed,đã tập dượt
davidson,Davidson
lima,lima
moto,xe máy
marketplace,thị trường
rj,rj
cleansing,làm sạch
scientifically,về mặt khoa học
pepperoni,xúc xích pepperoni
dissolved,hòa tan
auggie,Auggie
cholera,bệnh tả
packets,gói
punctual,đúng giờ
mockery,sự chế nhạo
rafe,Rafe
migraine,chứng đau nửa đầu
cedar,tuyết tùng
bends,uốn cong
fancies,những điều kỳ lạ
margie,Margie
fallout,hậu quả
casserole,soong
girly,nữ tính
graft,ghép
yvette,Yvette
stickers,nhãn dán
benefactor,nhà hảo tâm
vendetta,trả thù
arun,arun
chiang,chiang
fatherland,Tổ quốc
boon,lợi ích
lazarus,người đã khuất
participated,tham gia
dottie,chấm bi
banish,trục xuất
lush,tươi tốt
talker,người nói
leavin,rời đi
gulps,nuốt
pups,chó con
washroom,phòng vệ sinh
soar,bay lên
frightens,sợ hãi
firefighter,lính cứu hỏa
wipes,khăn lau
infect,lây nhiễm
desserts,món tráng miệng
concepts,khái niệm
stimulating,kích thích
indicating,cho thấy
off-limits,cấm
sequel,phần tiếp theo
sherwood,Sherwood
earnest,nghiêm trang
disposable,dùng một lần
noir,phim đen
lem,lem
sturdy,chắc chắn
finnish,tiếng Phần Lan
wook,wook
so-so,tạm được
traditionally,theo truyền thống
abomination,sự ghê tởm
compact,nhỏ gọn
samir,samir
hyderabad,Hyderabad
chino,chino
grandkids,cháu
rec,ghi âm
souvenirs,đồ lưu niệm
shredded,xé nhỏ
minerals,khoáng chất
hints,gợi ý
forsaken,bị bỏ rơi
rubles,đồng rúp
lucius,Lucius
anus,hậu môn
pharmacist,dược sĩ
puffs,bánh phồng
diaries,nhật ký
unannounced,không báo trước
high-tech,công nghệ cao
honolulu,Honolulu
calculating,tính toán
blindfolded,bị bịt mắt
kingsley,vuasley
battleship,tàu chiến
presumed,được cho là
exceptionally,đặc biệt
topless,ngực trần
scouting,trinh sát
durant,durant
alarming,đáng báo động
bias,thiên vị
estates,bất động sản
fatima,Fatima
pods,vỏ quả
assisting,hỗ trợ
molested,bị quấy rối
offerings,cung cấp
believable,đáng tin cậy
airports,sân bay
overrun,tràn ngập
al-qaeda,al-qaeda
parlour,phòng khách
fearsome,đáng sợ
ticks,ve
widower,góa phụ
versailles,Versailles
draper,thợ may
endanger,gây nguy hiểm
dummies,hình nộm
sook,khóc
exploitation,khai thác
summary,bản tóm tắt
drool,chảy nước dãi
plugs,phích cắm
piled,chất đống
thankyou,Cảm ơn
informal,không chính thức
stabler,ổn định hơn
authorize,ủy quyền
promptly,ngay lập tức
dover,Dover
robotnik,robotnik
faithfully,trung thành
gemini,Song Tử
selfless,vị tha
phelps,Phelps
leech,đỉa
sentencing,tuyên án
perverts,những kẻ biến thái
sassy,cá tính
vegetation,thảm thực vật
nab,bắt giữ
lim,giới hạn
carton,thùng carton
featuring,có tính năng
scapegoat,vật tế thần
burr,gai
provinces,các tỉnh
nd,và
regroup,tập hợp lại
heller,địa ngục
machete,dao rựa
micky,micky
rebellious,nổi loạn
celebrations,lễ kỷ niệm
reconcile,hòa giải
technicians,kỹ thuật viên
merits,ưu điểm
prosecutors,các công tố viên
eunuch,hoạn quan
unrelated,không liên quan
captivity,sự giam cầm
aroma,hương thơm
barred,bị cấm
pe,Thể dục
crumbling,đổ nát
manila,Manila
snowball,quả cầu tuyết
armenian,người Armenia
penetrated,xuyên qua
atlas,bản đồ
volts,vôn
yolanda,Yolanda
evasive,né tránh
piling,chất đống
watkins,Watkins
eisenhower,Eisenhower
cullen,Cullen
commodity,hàng hóa
bimbo,cô nàng ngốc nghếch
starbucks,Starbucks
riverside,ven sông
dismissal,sa thải
dada,dada
afternoons,buổi chiều
ballad,bài hát dân ca
cheerleading,cổ vũ
haystack,đống rơm
perv,kẻ biến thái
contamination,sự ô nhiễm
hye,hye
blurry,mờ
lowlife,kẻ thấp hèn
malaysia,Malaysia
reddington,Reddington
gah,gah
recreation,giải trí
authors,tác giả
wrongs,sai trái
regulars,khách quen
fascism,chủ nghĩa phát xít
fridays,thứ sáu
scheming,mưu mô
outgoing,hướng ngoại
penniless,không một xu dính túi
weaken,làm suy yếu
wrongly,sai
whirs,tiếng vo ve
sandoval,cát
sweeney,ngọt ngào
patiently,kiên nhẫn
birch,cây bạch dương
incompetence,sự thiếu năng lực
spartan,người Sparta
colombian,người Colombia
kobe,Kobe
kaos,hỗn loạn
prohibition,cấm đoán
gorillas,khỉ đột
oakland,Oakland
requirement,yêu cầu
skateboard,ván trượt
zo,zo
lew,lew
similarities,sự tương đồng
grazie,cảm ơn
aviation,hàng không
despised,bị khinh miệt
accessories,phụ kiện
perished,đã chết
wilhelm,Wilhelm
inferno,địa ngục
swoop,lao xuống
linden,cây bồ đề
quill,bút lông
diverse,phong phú
hawking,săn bắn
payoff,khoản thanh toán
retaliation,trả thù
raines,mưa
whorehouse,nhà thổ
wigs,tóc giả
megatron,Megatron
patel,bánh chè
relevance,sự liên quan
novelist,tiểu thuyết gia
carpets,thảm
brenner,brenner
mambo,mambo
shoplifting,trộm cắp vặt
amp,amp
suffocated,bị ngạt thở
soho,soho
grotesque,quái dị
stewardess,tiếp viên hàng không
cochran,cochran
jukebox,máy hát tự động
minors,trẻ vị thành niên
oo,oo
detecting,phát hiện
pillars,trụ cột
interfered,can thiệp
establishing,thiết lập
atheist,người vô thần
algae,tảo
uni,trường đại học
krista,krista
haiti,Haiti
mouthful,miệng đầy
algebra,đại số
luka,Luka
conor,Conor
energies,năng lượng
pandora,Pandora
collections,bộ sưu tập
punjab,Punjab
trojan,Trojan
disadvantage,điều bất lợi
regan,Regan
nevermind,đừng bận tâm
headless,không đầu
cortex,vỏ não
ganga,sông Hằng
valium,thuốc an thần
berserk,cuồng nộ
ritz,ritz
flack,phản công
transfers,chuyển khoản
adamant,kiên quyết
shortest,ngắn nhất
distinctly,rõ ràng
kimi,kimi
doorknob,tay nắm cửa
ruptured,bị vỡ
indoor,trong nhà
millionaires,triệu phú
carts,xe đẩy
cords,dây cáp
carmela,carmela
arlene,Arlene
celery,cần tây
residency,cư trú
conveniently,thuận tiện
ranking,xếp hạng
foil,giấy bạc
responses,phản hồi
sweety,người yêu dấu
jaffa,Jaffa
troublemaker,kẻ gây rối
manmade,nhân tạo
slum,khu ổ chuột
landry,Landry
palestinian,người Palestine
floss,chỉ nha khoa
hap,hạnh phúc
maw,miệng
shushing,im lặng
carnage,cuộc tàn sát
rapper,rapper
bucky,bucky
alltime,mọi thời đại
poole,hồ bơi
vogue,thời trang
troopers,binh lính
squeaky,tiếng kêu rít
aditya,Aditya
undertaker,người lo tang lễ
compromising,thỏa hiệp
eureka,eureka
privy,riêng
sacramento,Sacramento
encryption,mã hóa
burrows,hang động
hoist,tời nâng
emphasis,nhấn mạnh
moderate,vừa phải
retro,cổ điển
cincinnati,Cincinnati
mainframe,máy tính chủ
sociopath,kẻ rối loạn nhân cách chống đối xã hội
elmo,Elmo
nighttime,ban đêm
namely,cụ thể là
mads,điên rồ
mistook,nhầm lẫn
delaney,Delaney
cannabis,cần sa
aims,mục tiêu
spraying,phun
craziness,sự điên rồ
stares,nhìn chằm chằm
ballistic,đạn đạo
fussing,lo lắng
uncanny,kỳ lạ
salaam,salaam
rainforest,rừng mưa nhiệt đới
arlo,Arlo
lunatics,những kẻ điên
ebay,ebay
futures,tương lai
confederate,liên minh
kelvin,kelvin
benito,benito
hunts,săn bắn
ridicule,sự chế giễu
unethical,phi đạo đức
nai,nai
flushes,xả nước
gregor,Gregor
groot,Groot
yue,Yue
jer,jer
ringtone,nhạc chuông
manson,Manson
monuments,tượng đài
crafty,khéo léo
cooled,được làm mát
jingles,những bài hát quảng cáo
chronicle,biên niên sử
vested,được trao quyền
trademark,nhãn hiệu
trampled,bị giẫm đạp
ku,ku
mules,con la
piglet,heo con
cherished,trân quý
shang,shang
bandaid,băng dán
alba,alba
clem,clem
persuasion,thuyết phục
genocide,diệt chủng
brilliance,sự xuất sắc
toledo,Toledo
persecuted,bị bức hại
tuesdays,thứ ba
inability,không có khả năng
quincy,Quincy
shalom,shalom
toil,lao động
weiss,màu trắng
hes,anh ấy
alexandria,Alexandria
sdi,sdi
epi,dịch tễ học
orthodox,chính thống
custard,kem trứng
bosnia,Bosnia
wuss,kẻ hèn nhát
mondo,thế giới
detonation,vụ nổ
cylon,người máy Cylon
evicted,bị đuổi ra khỏi nhà
mailed,đã gửi thư
liberties,tự do
martine,Martine
newport,Newport
untrue,không đúng sự thật
berg,băng sơn
bland,nhạt nhẽo
heirs,người thừa kế
praises,lời khen ngợi
osama,osama
ancestral,tổ tiên
relish,thích
romero,Romero
toxin,chất độc
seating,chỗ ngồi
bras,áo ngực
medici,y tế
flattery,sự nịnh hót
unspeakable,không thể nói thành lời
reincarnation,luân hồi
evolving,đang tiến hóa
marin,biển
muster,tập hợp
cramps,chuột rút
characteristic,đặc điểm
schizophrenic,bệnh tâm thần phân liệt
enjoyment,sự thích thú
bangalore,Bangalore
britt,Britt
employers,nhà tuyển dụng
casings,vỏ bọc
painfully,đau đớn
delays,sự chậm trễ
overweight,thừa cân
dreary,thê lương
canceling,hủy bỏ
viola,viola
behaves,cư xử
tragically,bi thảm
mindless,vô tâm
colette,colette
poisons,chất độc
unheard,không nghe
pyjamas,bộ đồ ngủ
contractors,nhà thầu
cisco,Cisco
flashy,hào nhoáng
