you,คุณ
deduce,สรุป
popov,โปปอฟ
dwells,อาศัยอยู่
unplugged,ถอดปลั๊ก
seaboard,ชายฝั่งทะเล
nishi,นิชิ
publications,สิ่งพิมพ์
self-help,การช่วยเหลือตนเอง
druids,ดรูอิด
pedicure,การทำเล็บเท้า
pym,พิม
falcone,เหยี่ยว
gul,กุล
yui,ยุย
finalize,เสร็จสิ้น
mounts,แท่นยึด
overdone,มากเกินไป
assorted,สารพัน
varun,วารุน
tubs,อ่าง
whitley,วิทลีย์
finalized,เสร็จสิ้น
superstars,ซูเปอร์สตาร์
immaterial,ไม่สำคัญ
stainless,สแตนเลส
disinfectant,น้ำยาฆ่าเชื้อ
damning,ประณาม
whitehead,หัวขาว
mope,เศร้าหมอง
anchorage,จุดยึด
loom,เครื่องทอผ้า
kinetic,จลนศาสตร์
turnips,หัวผักกาด
foothold,จุดยืน
chlamydia,โรคหนองในเทียม
fifties,ยุค 50
krystal,คริสตัล
ashby,แอชบี้
umberto,อุมแบร์โต
webs,เว็บ
cavities,ฟันผุ
mormons,มอร์มอน
postage,ค่าไปรษณีย์
rothschild,รอธส์ไชลด์
dreading,ความหวาดกลัว
doolittle,ดูลิตเติล
captivated,หลงใหล
saddened,เศร้าใจ
trolling,การก่อกวน
capitalists,นายทุน
cyndi,ซินดี้
hoes,จอบ
signify,บ่งบอก
myles,ไมล์ส
dips,จุ่ม
dimple,รอยบุ๋ม
bannerman,แบนเนอร์แมน
holliday,วันหยุด
ascended,ขึ้นสู่สวรรค์
tidied,จัดระเบียบเรียบร้อยแล้ว
shrouded,คลุมไว้
alienated,แปลก
wop,วอป
childs,เด็ก ๆ
satoshi,ซาโตชิ
debit,เดบิต
newsstand,แผงขายหนังสือพิมพ์
bodie,ร่างกาย
lovey,น่ารัก
molding,การขึ้นรูป
mays,เดือนพฤษภาคม
mouth-to-mouth,ปากต่อปาก
harlow,ฮาร์โลว์
monotonous,น่าเบื่อ
symposium,การประชุมสัมมนา
grasped,จับไว้
displacement,การเคลื่อนย้าย
barnabas,บาร์นาบัส
blackburn,แบล็กเบิร์น
competence,ความสามารถ
sniffed,สูดดม
midlife,วัยกลางคน
zit,สิว
advisable,เหมาะสม
suzette,ซูเซ็ตต์
sienna,เซียนน่า
scribbling,การขีดเขียน
skateboarding,สเก็ตบอร์ด
feats,ความสามารถ
madder,แมดเดอร์
undermined,บ่อนทำลาย
cinematic,ภาพยนตร์
overpriced,ราคาแพงเกินไป
ephraim,เอฟราอิม
whimper,เสียงครางเบาๆ
parishioners,ชาวบ้าน
self-destructive,ทำลายตัวเอง
hungarians,ชาวฮังการี
tapioca,แป้งมันสำปะหลัง
ry,ry
slumming,การเที่ยวสลัม
effie,เอฟฟี่
homely,บ้านๆ
vineyards,ไร่องุ่น
ec,อีซี
vics,วิคส์
heathcliff,ฮีธคลิฟฟ์
spartans,สปาร์ตัน
well-dressed,แต่งตัวดี
crapper,ห้องน้ำ
enslave,จับเป็นทาส
cocked,ขึ้นลำ
bucking,การกระโดด
repellent,สารไล่แมลง
langford,แลงฟอร์ด
perched,เกาะอยู่
paraguay,ปารากวัย
flabby,หย่อนยาน
defiled,แปดเปื้อน
dolce,ดอลเช่
choosy,เลือกมาก
narcotic,ยาเสพติด
battalions,กองพัน
motorcade,คาราวาน
kelley,เคลลี่
beaks,จะงอยปาก
sleek,เรียบหรู
vividly,อย่างชัดเจน
koch,โคช
judi,จูดี้
classification,การจำแนกประเภท
esquire,เอสไควร์
nitrous,ไนตรัส
vouchers,บัตรกำนัล
cascade,น้ำตก
frees,ฟรี
shabbat,วันสะบาโต
winona,วินโนน่า
walled,กำแพง
wagging,การส่ายหาง
mew,เหมียว
regrettably,น่าเสียดายที่
unsuitable,ไม่เหมาะสม
esperanza,เอสเปรันซา
winger,ปีก
injun,อินจุน
dented,บุบ
remodeling,การปรับปรุงใหม่
heroics,วีรกรรม
rie,รี
evaporate,ระเหย
cramer,เครเมอร์
withdrawals,การถอนเงิน
easton,อีสตัน
economically,ทางเศรษฐกิจ
eloping,การหนีตามกันไป
gilroy,กิลรอย
blogs,บล็อก
dunkirk,ดันเคิร์ก
carpenters,ช่างไม้
bleeps,เสียงบี๊บ
fib,โกหก
hoarse,เสียงแหบ
recognizable,จดจำได้
oldie,คนแก่
pardons,การอภัยโทษ
seawater,น้ำทะเล
dwellers,ผู้อยู่อาศัย
homemade,ทำเองที่บ้าน
pelham,เพลแฮม
fusco,ฟัสโก้
everglades,เอเวอร์เกลดส์
crowding,ความแออัด
wetting,การทำให้เปียก
fizz,ฟอง
manifests,แถลงการณ์
overdid,ทำมากเกินไป
roomie,รูมเมท
haircuts,ตัดผม
myriad,มากมาย
confounded,สับสน
faruk,ฟารุก
cupboards,ตู้เก็บของ
subconsciously,จิตใต้สำนึก
catchphrase,คำพูดติดปาก
agility,ความคล่องแคล่ว
panzer,รถถัง
ir,ir
supple,ยืดหยุ่น
winery,โรงบ่มไวน์
filippo,ฟิลิปโป
inflate,พอง
pane,บานหน้าต่าง
rodolfo,โรดอลโฟ
flamenco,ฟลาเมนโก
trachea,หลอดลม
rakesh,ราเกช
mph,ไมล์ต่อชั่วโมง
kinney,คินนีย์
domesticated,เลี้ยงในบ้าน
molded,ขึ้นรูป
hardball,ฮาร์ดบอล
reena,รีน่า
consenting,การยินยอม
reston,เรสตัน
repugnant,น่ารังเกียจ
oates,ข้าวโอ๊ต
corrupting,การทุจริต
flocks,ฝูง
gunnery,การยิงปืน
devotee,ผู้ศรัทธา
ails,โรคภัยไข้เจ็บ
stepan,สเตปัน
ester,เอสเทอร์
entrails,เครื่องใน
keepsake,ของที่ระลึก
dahl,ดาล
versed,เชี่ยวชาญ
two-man,สองคน
mycroft,ไมครอฟท์
foundry,โรงหล่อ
fido,ฟิโด
wordy,เยิ่นเย้อ
formaldehyde,ฟอร์มาลดีไฮด์
prepaid,เติมเงินล่วงหน้า
chitchat,พูดคุยเล่น
gesundheit,เกซุนด์ไฮท์
villager,ชาวบ้าน
orhan,ออร์ฮาน
reassurance,ความมั่นใจ
outcomes,ผลลัพธ์
bitte,บิตเต้
trillions,ล้านล้าน
liquidate,เซ้ง
cheaply,ราคาถูก
romi,โรมิ
drax,ดแรกซ์
kilt,กระโปรงสก็อต
judea,ยูเดีย
bigot,คนหัวรุนแรง
hayashi,ฮายาชิ
autonomous,อิสระ
unbroken,ไม่ขาดตอน
osbourne,ออสบอร์น
awry,ผิดปกติ
radley,แรดลีย์
alternating,สลับกัน
ontario,ออนแทรีโอ
spooks,ผี
detach,ถอดออก
coax,สายโคแอกซ์
lorenz,ลอเรนซ์
volker,โวลเกอร์
cr,คร
tilted,เอียง
outnumber,มีจำนวนมากกว่า
preceded,นำหน้า
morph,มอร์ฟ
bedbugs,ตัวเรือด
zillion,ล้านล้าน
hopin,หวังว่า
batmobile,รถแบทโมบิล
self-preservation,การรักษาตนเอง
distinguishing,การแยกแยะ
goya,โกยา
lashing,การเฆี่ยนตี
veiled,คลุมหน้า
freshness,ความสดใหม่
matsumoto,มัตสึโมโตะ
commissary,โรงอาหาร
kalle,คัลเล่
sorrowful,เศร้าโศก
drab,น่าเบื่อ
accommodating,เอื้ออำนวย
springsteen,สปริงสตีน
tweezers,แหนบ
sternum,กระดูกอก
debacle,ความล้มเหลว
cellars,ห้องใต้ดิน
ariadne,อาริอาดเน
fastball,ลูกเร็ว
chopra,โชปรา
sown,หว่าน
sunsets,พระอาทิตย์ตกดิน
impractical,ไม่สามารถปฏิบัติได้จริง
reputations,ชื่อเสียง
morsel,ชิ้นเล็ก ๆ
nymph,นางไม้
god-fearing,เกรงกลัวพระเจ้า
gleason,เกลสัน
zora,โซร่า
manuals,คู่มือ
subatomic,อะตอมย่อย
exonerated,พ้นผิด
nawab,นาวับ
letterman,เลตเตอร์แมน
roughed,หยาบ
sima,ซีมา
gutierrez,กูเตียร์เรซ
musically,ดนตรี
ethiopian,เอธิโอเปีย
self-sufficient,พึ่งพาตนเองได้
junko,จุนโก้
samar,ซามาร์
satoru,ซาโตรุ
healey,ฮีลีย์
sandal,รองเท้าแตะ
fabrizio,ฟาบริซิโอ
monterey,มอนเทอเรย์
yada,ยาดา
bapu,บาปู
fletch,เฟลทช์
disillusioned,ผิดหวัง
karol,คาโรล
befriended,เป็นเพื่อนกัน
enticing,น่าดึงดูดใจ
gloating,การเยาะเย้ย
gust,ลมกระโชก
lubricant,น้ำมันหล่อลื่น
sergeants,จ่าสิบเอก
ibn,อิบนุ
overdosed,ใช้ยาเกินขนาด
simulations,การจำลอง
soren,โซเรน
pivot,หมุน
makings,เงินเดือน
insecurities,ความไม่มั่นใจ
eldridge,เอลดริดจ์
martyrdom,การพลีชีพ
ultron,อัลตรอน
apologising,การขอโทษ
craves,อยาก
wilshire,วิลเชอร์
bequeath,มอบมรดก
clacks,แคล็กส์
halted,หยุด
irritation,การระคายเคือง
som,บางส่วน
smarty,ฉลาด
cafes,คาเฟ่
divides,แบ่งแยก
uri,อูริ
apu,อาปู
pandas,แพนด้า
incantation,คาถา
compels,บังคับ
rams,แกะตัวผู้
alphabetical,เรียงตามตัวอักษร
bavarian,ชาวบาวาเรีย
amputated,ถูกตัดแขนขา
rebelling,การกบฏ
empties,ว่างเปล่า
ascending,ขึ้นไป
habitable,ที่อยู่อาศัยได้
blackened,ดำคล้ำ
kevlar,เคฟลาร์
improvising,การด้นสด
photoshop,โฟโตชอป
tome,หนังสือเล่มใหญ่
juana,ฮวนน่า
cami,เสื้อสายเดี่ยว
uruguay,อุรุกวัย
leniency,ความผ่อนปรน
crepe,เครป
rendition,การนำเสนอ
margaux,มาร์โกซ์
archimedes,อาร์คิมิดีส
crenshaw,เครนชอว์
messed-up,ยุ่งเหยิง
squishing,การบีบอัด
fingered,นิ้ว
coffers,คลังสมบัติ
offset,ออฟเซ็ต
educating,การให้ความรู้
slugger,นักตีลูกแรง
gpa,เกรดเฉลี่ย
viscount,ไวเคานต์
forty-eight,สี่สิบแปด
unanimously,เอกฉันท์
jabbar,จาบาร์
gentleness,ความอ่อนโยน
drizzle,ฝนปรอย
pontiac,พอนเทียค
serpents,งู
runner-up,รองชนะเลิศ
impacted,ได้รับผลกระทบ
meager,น้อยนิด
nappies,ผ้าอ้อม
insurrection,การก่อจลาจล
ely,เอลี
replicators,เครื่องจำลอง
gargoyle,การ์กอยล์
kerr,เคอร์
seclusion,ความโดดเดี่ยว
reroute,เปลี่ยนเส้นทาง
cyclist,นักปั่นจักรยาน
incarnate,จุติ
congratulating,ขอแสดงความยินดี
besieged,ถูกล้อม
wicket,ประตู
incinerator,เตาเผาขยะ
epitome,บทสรุป
cutthroat,ฆาตกร
esp,โดยเฉพาะอย่างยิ่ง
millimeters,มิลลิเมตร
tranny,ทรานส์
moonlit,แสงจันทร์
sor,ซอร์
elin,เอลิน
tano,ทาโน่
chica,ชิก้า
impudence,ความอวดดี
precedence,ลำดับความสำคัญ
heaving,ยกขึ้น
shirin,ชิริน
kala,กาล่า
doa,โดอา
dominguez,โดมิงเกซ
diff,ความแตกต่าง
basing,ฐาน
cadence,จังหวะ
davide,ดาวิเด
ulrik,อุลริก
wesson,เวสสัน
ied,ไออีดี
estrogen,เอสโตรเจน
guilders,กิลเดอร์
vermouth,เวอร์มุต
obeys,เชื่อฟัง
nazir,นาซีร์
dissolving,การละลาย
ght,ght
trashing,การทิ้งขยะ
all-nighter,อดนอนทั้งคืน
presumption,ข้อสันนิษฐาน
temps,อุณหภูมิ
falk,ฟอล์ค
braves,ผู้กล้าหาญ
goosebumps,ขนลุก
inhalation,การสูดดม
gnawing,กัดแทะ
economist,นักเศรษฐศาสตร์
brung,นำ
ohm,โอห์ม
tractors,รถแทรกเตอร์
gohan,โกฮัง
emp,อีเอ็มพี
arduous,ยากลำบาก
consortium,กลุ่มพันธมิตร
starred,ดาว
ludlow,ลัดโลว์
althea,อัลเทีย
dandelion,ดอกแดนดิไลออน
raspberries,ราสเบอร์รี่
netflix,เน็ตฟลิกซ์
goalkeeper,ผู้รักษาประตู
seamen,กะลาสี
impounded,ยึด
validity,ความถูกต้อง
rappers,แร็ปเปอร์
desi,เดซี
sockets,ซ็อกเก็ต
skeeter,สกีเตอร์
realist,สัจนิยม
iga,อิกา
households,ครัวเรือน
masculinity,ความเป็นชาย
disappointments,ความผิดหวัง
stiffs,คนแข็งทื่อ
quiver,สั่น
envisioned,จินตนาการ
kwok,กว็อก
corleone,คอร์เลโอเน
acrobat,นักกายกรรม
bubs,บับส์
peripheral,อุปกรณ์ต่อพ่วง
niro,นิโร
dabble,ลองทำดู
leng,เลง
sweatpants,กางเกงวอร์ม
twine,เชือก
misinformed,เข้าใจผิด
flemish,เฟลมิช
rpg,เกม RPG
mishra,มิชรา
ackerman,แอคเคอร์แมน
allure,จูงใจ
impediment,อุปสรรค
malory,มาลอรี
hone,เหลา
assassinations,การลอบสังหาร
cicely,ซิเซลี
disrespecting,การไม่ให้เกียรติ
choy,ชอย
shaq,ชาค
calloway,แคลโลเวย์
spares,อะไหล่
psychoanalysis,จิตวิเคราะห์
salman,ซัลมาน
reminisce,รำลึกความหลัง
cajun,เคจัน
merlot,เมอร์โลต์
nita,นิตา
retards,คนปัญญาอ่อน
ulla,อุลลา
need-to-know,สิ่งที่ควรรู้
televised,ออกอากาศทางโทรทัศน์
milano,มิลาน
bestselling,ขายดีที่สุด
doctored,ตัดต่อ
scorch,ไหม้เกรียม
saskia,ซาสเกีย
guzman,กุซมัน
on-site,ณ สถานที่
pioneering,บุกเบิก
pinhead,หัวเข็มหมุด
flashbacks,ภาพย้อนอดีต
anika,อนิกา
hoard,กักตุน
brewed,ชงแล้ว
squandered,สูญเปล่า
predecessors,บรรพบุรุษ
seward,เซเวิร์ด
telemetry,ระบบส่งข้อมูลทางไกล
noa,โนอา
masao,มาซาโอะ
primordial,ดั้งเดิม
botany,พฤกษศาสตร์
strategist,นักวางกลยุทธ์
fluctuations,ความผันผวน
prat,ปรัต
morten,มอร์เทน
chucking,การขว้าง
hennessy,เฮนเนสซี่
allende,อัลเลนเด
apprehensive,กังวลใจ
highlander,ไฮแลนเดอร์
camaraderie,มิตรภาพ
precipice,หน้าผา
caliph,กาหลิฟ
sodding,การปูหญ้า
intrigues,แผนการอันแยบยล
misuse,การใช้ในทางที่ผิด
oj,โอเจ
tripled,สามเท่า
relays,รีเลย์
inherently,โดยเนื้อแท้
violette,ไวโอเล็ต
inexpensive,ราคาไม่แพง
cushy,นุ่มสบาย
prozac,โปรแซค
claudine,คลอดีน
vandals,พวกทำลายทรัพย์สิน
collectively,โดยรวมแล้ว
munchies,ของว่าง
frolic,สนุกสนาน
disorganized,ไม่เป็นระเบียบ
dispenser,เครื่องจ่าย
fillet,เนื้อปลา
beyonce,บียอนเซ่
aced,เก่งมาก
redecorating,การตกแต่งใหม่
diwali,ดิวาลี
blythe,บลายธ์
maximilian,แม็กซิมิเลียน
optimal,เหมาะสมที่สุด
lasso,บ่วงบาศ
recourse,การแก้ไขปัญหา
mediator,ผู้ไกล่เกลี่ย
apologizes,ขออภัย
tunic,เสื้อคลุม
memorabilia,ของที่ระลึก
caterpillars,หนอนผีเสื้อ
sodomy,การร่วมเพศทางทวารหนัก
anselmo,อันเซลโม
photogenic,ถ่ายรูปขึ้น
takeout,ซื้อกลับบ้าน
referral,การส่งต่อ
invulnerable,ไร้เทียมทาน
closeness,ความใกล้ชิด
koh,โคห์
bobbing,ลอย
bleats,เสียงร้องของม้า
bleu,สีน้ำเงิน
unwittingly,โดยไม่รู้ตัว
twentieth,ยี่สิบ
go-ahead,อนุมัติ
turn-on,เปิดใช้งาน
yuriko,ยูริโกะ
sanctum,สถานที่ศักดิ์สิทธิ์
mouthwash,น้ำยาบ้วนปาก
copilot,นักบินผู้ช่วย
picker,ตัวเลือก
xian,เซียน
whirlpool,กระแสน้ำวน
bombarded,ถูกโจมตี
quacking,เสียงร้องเหมือนเป็ด
stillness,ความสงบ
raged,โกรธจัด
heung,เฮือง
putnam,พัตนัม
applauded,ปรบมือ
perfectionist,ผู้รักความสมบูรณ์แบบ
thwarted,ขัดขวาง
blight,ทำลาย
pitchfork,โกย
oren,โอเรน
glutton,คนตะกละ
arnaud,อาร์โนด์
piotr,ปิโอตร์
trimming,การตัดแต่ง
poppin,ป๊อปปิ้ง
fiends,ปีศาจ
madsen,แมดเซน
columnist,คอลัมนิสต์
vadim,วาดิม
priory,อาราม
overdrive,โอเวอร์ไดรฟ์
innuendo,การพูดเป็นนัย
davie,เดวี่
retina,เรตินา
molotov,โมโลตอฟ
lobes,กลีบ
wheeled,ล้อ
jian,เจียน
tireless,ไม่รู้จักเหน็ดเหนื่อย
feminism,สตรีนิยม
tandem,แทนเดม
mather,แม่
angst,ความวิตกกังวล
allowances,ค่าเบี้ยเลี้ยง
suntan,ผิวสีแทน
attest,รับรอง
sluice,ประตูน้ำ
armitage,อาร์มิเทจ
barrymore,แบร์รีมอร์
jeepers,จี๊ป
unresponsive,ไม่ตอบสนอง
inhumane,ไร้มนุษยธรรม
teleportation,การเทเลพอร์ต
geographical,ทางภูมิศาสตร์
loosing,การสูญเสีย
three-year-old,เด็กอายุสามขวบ
schoolyard,สนามโรงเรียน
gaff,แกฟฟ์
philips,ฟิลิปส์
misinterpreted,ตีความผิด
siam,สยาม
sutherland,ซัทเธอร์แลนด์
node,โหนด
felice,เฟลิซ
hemorrhoids,ริดสีดวงทวาร
renzo,เรนโซ
comer,คอมเมอร์
wikileaks,วิกิลีกส์
thruster,เครื่องขับดัน
chatsworth,แชทสเวิร์ธ
phipps,ฟิปส์
infamy,ความอัปยศ
infuriating,โกรธ
og,og
swelled,บวม
rejoicing,ความยินดี
wooster,วูสเตอร์
groomed,ตัดแต่งขน
res,เรส
karsten,คาร์สเตน
grumble,บ่น
bilbo,บิลโบ
gim,กิม
uzi,อูซี่
suspenders,สายรัดกางเกง
counterpart,คู่ตรงข้าม
sanna,ซานนา
boozing,การดื่มสุรา
workshops,เวิร์คช็อป
florian,ฟลอเรียน
zu,ซู
undergone,ผ่าน
tiptoe,เขย่งเท้า
solvent,ตัวทำละลาย
hatcher,ฟักไข่
soapy,ลื่น
gutsy,กล้าหาญ
nath,นาถ
nordic,นอร์ดิก
instinctive,โดยสัญชาตญาณ
martino,มาร์ติโน
dishonesty,ความไม่ซื่อสัตย์
masako,มาซาโกะ
kipling,คิปลิง
misconception,ความเข้าใจผิด
corday,คอร์เดย์
croatian,โครเอเชีย
accountability,ความรับผิดชอบ
sleepyhead,คนง่วงนอน
spoonful,ช้อน
heywood,เฮย์วูด
sei,เซย์
saree,ส่ารี
impersonal,ไร้ตัวตน
haji,ฮาจิ
reinhardt,ไรน์ฮาร์ดท์
figuratively,โดยนัย
biceps,ลูกหนู
bluetooth,บลูทูธ
trickle,หยด
exports,การส่งออก
caterers,ผู้จัดเลี้ยง
belittle,ดูถูกเหยียดหยาม
chromosome,โครโมโซม
gardeners,คนสวน
cokes,โค้ก
classify,จัดประเภท
aztecs,ชาวแอซเท็ก
chiaki,ชิอากิ
chews,เคี้ยว
cog,ฟันเฟือง
ambrosia,แอมโบรเซีย
batista,บาติสต้า
sieve,ตะแกรง
thang,สิ่งของ
leda,เลดา
finney,ฟินนีย์
gisborne,กิสบอร์น
horne,เขา
oedipus,โอเอดีปัส
spasms,อาการชัก
smithy,โรงตีเหล็ก
tibia,กระดูกหน้าแข้ง
hoyle,ฮอยล์
wooing,การเกี้ยวพาราสี
stone-cold,เย็นชา
rockers,ร็อคเกอร์
carney,คาร์นีย์
candlestick,เชิงเทียน
bolder,กล้าหาญยิ่งขึ้น
gert,เกิร์ต
lodger,ผู้เช่า
unrequited,รักข้างเดียว
poly,โพลี
flogging,การเฆี่ยนตี
ong,ออง
zimmer,ซิมเมอร์
capricious,เอาแต่ใจ
sgt,จ่า
earpiece,หูฟัง
renounced,สละสิทธิ์
zeroes,ศูนย์
impaled,ถูกเสียบ
largo,ลาร์โก
treaties,สนธิสัญญา
bankroll,เงินทุน
beowulf,บีโอวูล์ฟ
squadrons,ฝูงบิน
akiyama,อากิยามะ
nissan,นิสสัน
nothings,ไม่มีอะไรเลย
glades,ทุ่งหญ้าโล่ง
biryani,บริยานี
patrolman,เจ้าหน้าที่ลาดตระเวน
valjean,วาลฌอง
tamsin,แทมซิน
editions,ฉบับต่างๆ
tupperware,ทัปเปอร์แวร์
combines,รวมกัน
newsroom,ห้องข่าว
chemically,ทางเคมี
nara,นารา
corcoran,คอร์โคแรน
fanatical,คลั่ง
cellmate,เพื่อนร่วมห้องขัง
judiciary,ตุลาการ
imagines,จินตนาการ
masa,มาสะ
pulsating,เต้นเป็นจังหวะ
richness,ความร่ำรวย
sideburns,จอน
goodie,ของดี
guerilla,กองโจร
romana,โรมาน่า
sprinkled,โรย
drape,ผ้าคลุม
rollie,โรลลี่
noggin,หัว
smut,ลามก
corbin,คอร์บิน
checkin,เช็คอิน
illuminating,ส่องสว่าง
dulcinea,ดัลซิเนีย
vagrant,คนเร่ร่อน
springing,สปริง
grouchy,ขี้หงุดหงิด
conn,คอนน์
kunta,กุนตะ
fausto,ฟาอุสโต้
thrives,เจริญรุ่งเรือง
maimed,พิการ
incurred,เกิดขึ้น
kerrigan,เคอร์ริแกน
kareem,คารีม
cong,คอง
pellet,เม็ด
stools,อุจจาระ
evaluations,การประเมินผล
rotterdam,รอตเตอร์ดัม
kal,คาล
imogen,อิมโมเจน
invariably,เสมอ
laos,ลาว
stepmom,แม่เลี้ยง
pomegranate,ทับทิม
flourishing,เจริญรุ่งเรือง
idiocy,ความโง่เขลา
quince,ลูกควินซ์
compatriots,เพื่อนร่วมชาติ
bois,บอยส์
surrey,เซอร์เรย์
loaves,ก้อน
galore,มากมาย
maltese,มอลตา
belch,เรอ
unguarded,ไม่มีการเฝ้าระวัง
superfluous,ฟุ่มเฟือย
toshio,โทชิโอ
impoverished,ยากจน
inter,อินเตอร์
segments,ส่วนต่างๆ
constellations,กลุ่มดาว
filtered,กรองแล้ว
appraisal,การประเมิน
trinket,เครื่องประดับ
attica,แอตติกา
drunkenness,ความมึนเมา
enigmatic,ลึกลับ
bayliss,เบย์ลิส
grundy,กรุนดี้
toulouse,ตูลูส
corals,ปะการัง
quacks,หมอเถื่อน
crumbled,แตกเป็นชิ้นเล็กชิ้นน้อย
abductions,การลักพาตัว
estimation,การประมาณค่า
solly,โซลลี่
plantations,ไร่
carne,เนื้อสัตว์
mounds,เนินดิน
eons,ยุคสมัย
depravity,ความเสื่อมทราม
drumroll,เสียงกลองรัว
withers,เหี่ยวเฉา
half-assed,ทำแบบขอไปที
do-over,เริ่มใหม่อีกครั้ง
adept,เชี่ยวชาญ
ensured,รับรอง
paychecks,เช็คเงินเดือน
cully,คัลลี่
drafting,การร่าง
equinox,วิษุวัต
ricci,ริชชี่
schoolmaster,ครูใหญ่
terrifies,น่าหวาดกลัว
lowlife,คนเลว
murthy,เมอร์ธี
mauled,ถูกทำร้าย
aeroplanes,เครื่องบิน
satire,การเสียดสี
montoya,มอนโตยา
bountiful,อุดมสมบูรณ์
splendidly,อย่างงดงาม
undue,ไม่เหมาะสม
lunchbox,กล่องอาหารกลางวัน
ora,โอรา
rhyming,สัมผัสคล้องจอง
unmistakable,แน่แท้
lauderdale,ลอเดอร์เดล
fresco,ภาพเขียนเฟรสโก
strudel,สตรูเดล
och,โอช
busier,ยุ่งกว่า
estonia,เอสโตเนีย
squirming,ดิ้นไปมา
colds,หวัด
stewed,ตุ๋น
absinthe,แอ็บซินท์
replaces,แทนที่
definitively,อย่างแน่นอน
mares,ม้าตัวเมีย
psychopathic,โรคจิต
couriers,พนักงานส่งของ
discrepancy,ความไม่สอดคล้องกัน
half-sister,น้องสาวต่างมารดา
gendarmes,ตำรวจ
giraffes,ยีราฟ
unpleasantness,ความไม่พึงประสงค์
summarize,สรุป
query,คำถาม
replicator,เครื่องจำลอง
undesirable,ไม่พึงประสงค์
originality,ความคิดริเริ่ม
lobotomy,การผ่าตัดสมอง
mightiest,ทรงพลังที่สุด
glanced,เหลือบมอง
afforded,มอบให้
gritty,หยาบกร้าน
makeshift,ชั่วคราว
riveting,โลดโผน
lucian,ลูเซียน
nyet,nyet
indignation,ความไม่พอใจ
pissy,ฉี่
clergyman,นักบวช
krueger,ครูเกอร์
ilsa,อิลซ่า
irregularities,ความผิดปกติ
bandaged,พันผ้าพันแผล
judson,จูดสัน
pollack,พอลแล็ค
tash,หนวด
cripples,คนพิการ
merritt,เมอร์ริตต์
culmination,จุดสูงสุด
backstabbing,การแทงข้างหลัง
documenting,เอกสาร
bullpen,บูลเพน
collisions,การชนกัน
plaything,ของเล่น
ashram,อาศรม
floozy,ฟล็อซี่
low-key,เงียบๆ
jiminy,จิมินี่
hellbent,มุ่งมั่นอย่างแรงกล้า
rockies,ร็อคกี้
thingies,สิ่งของ
live-in,อาศัยอยู่ด้วยกัน
inefficient,ไม่มีประสิทธิภาพ
sheath,ปลอก
splattered,กระเด็น
wristwatch,นาฬิกาข้อมือ
appa,แอปปา
reformation,การปฏิรูป
durable,ทนทาน
spatula,ไม้พาย
rallying,การชุมนุม
debated,ถกเถียงกัน
oncologist,ผู้เชี่ยวชาญด้านมะเร็ง
well-behaved,ประพฤติดี
post-it,โพสต์อิท
subtract,ลบ
vegetarians,มังสวิรัติ
amaya,อมายา
etta,เอตต้า
maserati,มาเซราติ
brisket,เนื้ออกวัว
childrens,เด็กๆ
sluggish,เฉื่อยชา
obscurity,ความคลุมเครือ
focal,จุดโฟกัส
marcellus,มาร์เซลลัส
morelli,มอเรลลี
shou,โชว
contenders,ผู้ท้าชิง
unsaid,ไม่ได้พูด
kelli,เคลลี่
treads,ร่อง
poltergeist,ผีร้าย
lebron,เลบรอน
doubtless,ไม่ต้องสงสัยเลย
zilch,ศูนย์
evaporated,ระเหย
laure,ลอเร
disagrees,ไม่เห็นด้วย
dandruff,รังแค
silvery,สีเงิน
affront,ดูหมิ่น
tardy,อืด
eaton,อีตัน
slinging,การเหวี่ยง
lollipops,ลูกอม
tinted,ย้อมสี
stringing,การร้อยเชือก
eoe,อีโออี
norbert,นอร์เบิร์ต
zou,โซว
lactose,แลคโตส
dishonorable,ไร้เกียรติ
roundup,รวบรวม
avec,อาเวค
discrete,แยก
apprenticeship,การฝึกงาน
arno,อาร์โน
muddled,สับสน
remodel,การปรับปรุงใหม่
walkman,วอล์คแมน
adonis,อโดนิส
kyushu,คิวชู
jezebel,เจเซเบล
bixby,บิกซ์บี้
harrow,คราด
messieurs,ท่านสุภาพบุรุษ
hanoi,ฮานอย
holger,โฮลเกอร์
ginza,กินซ่า
bogeyman,ปีศาจ
workaholic,คนบ้างาน
up-to-date,อัปเดตล่าสุด
tailored,ปรับแต่ง
pda,พีดีเอ
pina,ปิน่า
flowering,ดอกไม้
enriched,เสริมคุณค่า
foal,ลูกม้า
legitimacy,ความชอบธรรม
arrhythmia,ภาวะหัวใจเต้นผิดจังหวะ
lehman,เลห์แมน
indulged,ตามใจ
restitution,การชดเชย
vigilantes,กลุ่มศาลเตี้ย
reconvene,เรียกประชุมอีกครั้ง
deteriorated,เสื่อมสภาพ
unconfirmed,ยังไม่ได้รับการยืนยัน
pondering,ครุ่นคิด
rewriting,การเขียนใหม่
ode,บทกวี
poise,ชั่ง
flavia,ฟลาเวีย
mcpherson,แมคเฟอร์สัน
composure,ความสงบ
camillo,คามิลโล
u2,ยู2
swastika,สวัสติกะ
chickenshit,ขี้ไก่
gearbox,เกียร์
jizz,น้ำอสุจิ
overheated,ร้อนเกินไป
inspections,การตรวจสอบ
pandit,บัณฑิต
beech,ต้นบีช
plop,ป๋อม
livid,โกรธจัด
tron,ทรอน
serviced,ได้รับการบริการ
cayenne,พริกป่น
