you,Anda
undying,abadi
armin,Armin
trav,perjalanan
glazed,sayu
fairer,lebih adil
vino,anggur
heathens,orang kafir
flicker,berkedip
weirdness,keanehan
stomachache,sakit perut
downed,jatuh
stony,dingin
charmaine,Charmaine
enema,enema
rector,rektor
platt,piring
alight,turun
ransacked,dijarah
bartlet,bartlet
shortcomings,kekurangan
wedged,terjepit
skyscrapers,gedung pencakar langit
goto,pergi ke
krieger,Krieger
femoral,femoral
forcefully,dengan paksa
overseeing,mengawasi
sparrows,burung pipit
polaroid,Polaroid
beaut,cantik
dori,Dori
woozy,pusing karena obat bius
pediatric,anak-anak
holla,halo
slacks,celana panjang
barr,barr
mikado,mikado
pleas,mohon
infatuation,keberahian
tuscany,Toskana
tasked,ditugaskan
churning,mengaduk
aloof,jauh
extremist,ekstremis
billiards,bilyar
plentiful,banyak
kingpin,gembong
gull,camar
assurances,jaminan
faculties,fakultas
existential,eksistensial
loudest,paling keras
sixpence,enam pence
nodes,simpul
tremor,getaran
incorrigible,tak bisa diperbaiki
hanover,Hanover
overprotective,terlalu protektif
cui,cui
llama,llama
coupe,mobil coupe
inexcusable,tidak bisa dimaafkan
botanical,botani
pastrami,pastrami
cooperated,bekerja sama
mortgaged,digadaikan
dimwit,orang tolol
nurtured,dipelihara
subtlety,kehalusan
quarreled,bertengkar
whiplash,pukulan cemeti
zhan,Zhan
flipper,sirip
kristy,Kristy
fie,api
babysitting,mengasuh bayi
racks,rak
t-bone,tulang t
hp,hp
interferes,mengganggu
stroking,membelai
recklessly,secara serampangan
thyroid,tiroid
scaffold,perancah
epa,epa
offline,offline
livingstone,Livingstone
instructors,instruktur
burritos,burrito
thereof,daripadanya
drat,sialan
protestors,pengunjuk rasa
lode,lapisan
tripod,tripod
mcmanus,McManus
tris,segitiga
mullet,ikan mullet
squeamish,mudah tersinggung
euphemism,eufemisme
tarnished,ternoda
brahms,Brahms
ancestry,keturunan
becks,becks
ramifications,akibat
tracer,pengusut
pedals,pedal
steamy,beruap
beginners,pemula
babcock,Babcock
skydiving,terjun payung
liqueur,minuman keras
conspirators,para konspirator
renard,renard
napalm,napalm
infidels,orang kafir
shrimps,udang
outbursts,ledakan
tosser,bajingan
hops,hop
dictation,dikte
yukiko,Yukiko
quivering,gemetaran
rationally,secara rasional
alleviate,meringankan
cloaking,penyamaran
crayons,krayon
cheekbones,tulang pipi
complicity,keterlibatan
blowtorch,obor las
avoids,menghindari
gettysburg,Gettysburg
veggies,sayuran
departs,berangkat
duds,pakaian
old-timer,orang tua
conservatives,kaum konservatif
endowed,diberkahi
meanings,arti
coon,rakun
clutter,kekacauan
mahmoud,mahmoud
leona,Leona
cob,tongkol
endeavour,berusaha keras
hoses,selang
jackals,serigala
tightened,dikencangkan
infatuated,gandrung
tamper,merusak
kishan,kishan
bagging,mengemas
mallet,martil
bram,bram
clemency,grasi
plummer,tukang ledeng
suffocation,mati lemas
ikea,IKEA
pointer,penunjuk
nugent,Nugent
strapping,tegap
shoddy,jelek
juanito,Juanito
saturated,jenuh
husky,serak
cornish,orang Cornish
smooches,ciuman
shik,shik
prejudices,prasangka
incapacitated,tidak mampu
gar,gar
precedes,mendahului
anaesthetic,obat bius
skyscraper,pencakar langit
assigning,menugaskan
imperialism,imperialisme
sinai,sinai
validate,mengesahkan
robotics,robotika
apprehension,penangkapan
boning,memotong tulang
bharat,India
objectively,secara obyektif
amputate,mengamputasi
sanskrit,Sansekerta
calibre,kaliber
attained,diperoleh
computing,komputasi
high-risk,berisiko tinggi
confuses,membingungkan
sprinkler,alat penyiram
unfairly,tidak adil
shhhh,shhhh
unused,tidak terpakai
evidences,bukti
dwyer,dwyer
waged,dipertaruhkan
revision,revisi
melodies,melodi
soulless,tanpa jiwa
amorous,asmara
head-to-head,berhadapan langsung
screwy,edan
reinvent,menciptakan kembali
pesticide,pestisida
adulthood,masa dewasa
lessen,mengurangi
amjad,amjad
balkans,Balkan
confines,batasan
footballer,pemain bola
renovated,direnovasi
begone,pergi
cynicism,sinisme
ditches,parit
lun,bulan
pitied,dikasihani
innings,babak
tuppence,dua sen
deserting,meninggalkan
seedy,kumuh
robb,perampok
broadcasts,siaran
sociology,sosiologi
unparalleled,tak tertandingi
chomping,mengunyah
crawls,merangkak
shortcuts,jalan pintas
punishments,hukuman
portals,portal
antiquity,jaman dahulu
peaked,berpuncak runcing
reigning,utama
banal,dangkal
rihanna,Rihanna
dinghy,kolek
cynic,sinis
constables,polisi
paulson,Paulson
custodian,pemelihara
knowles,pengetahuan
coughed,batuk
hornblower,peniup terompet
acquittal,pembebasan
anja,anja
handover,penyerahan
lipton,Lipton
manhole,lubang got
launchpad,landasan peluncuran
caresses,belaian
marksman,penembak jitu
sultry,gerah
impressionable,mudah terpengaruh
clipper,alat pemotong
jayne,jayne
preferable,lebih baik
amazes,menakjubkan
confesses,mengaku
retrieval,pengambilan
timers,pengatur waktu
petal,daun bunga
matisse,Matisse
merc,tentara bayaran
hastily,dengan tergesa-gesa
vaginas,vagina
flowery,berbunga-bunga
nosey,yg ingin tahu
omg,ya ampun
transparency,transparansi
stimulus,rangsangan
clad,berpakaian
gondola,gondola
hooters,Hooters
schwarzenegger,Schwarzenegger
browsing,menjelajahi
pecking,mematuk
matti,Matti
henson,Henson
rockford,Rockford
alluring,menarik
demographic,demografis
drips,tetesan
zorn,zorn
foa,foa
strategically,secara strategis
absorbs,menyerap
scamp,banyol
inaccurate,tidak akurat
forthwith,segera
sponges,spons
grapevine,tanaman anggur
womanizer,casanova
periodic,berkala
occupants,penghuni
nae,nae
piggyback,gendongan
malachi,Malachi
man-to-man,satu lawan satu
cite,mengutip
parachutes,parasut
brunt,terberat
seekers,pencari
disagreements,perselisihan
filmmaking,pembuatan film
suffolk,Suffolk
schnell,cepat
adjoining,berdampingan
gooey,lengket
slacking,bermalas-malasan
lyndsey,Lyndsey
luz,cahaya
speculating,berspekulasi
screened,disaring
cleary,jelas
aberdeen,Aberdeen
simultaneous,serentak
lint,serat
oft,sering
mariko,Mariko
stooge,antek
cross-eyed,juling
drafts,draf
titled,berjudul
symbolism,simbolisme
first-aid,pertolongan pertama
gradual,bertahap
clack,ketak
impatience,ketidaksabaran
enlightening,mencerahkan
migrants,migran
ludo,ludo
anchors,jangkar
declining,menurun
rena,rena
protested,memprotes
secondhand,bekas
terrorize,meneror
ineffective,tidak efektif
dobson,Dobson
syllable,suku kata
verbally,secara lisan
wrongdoing,pelanggaran
rourke,rourke
utilities,utilitas
acknowledging,mengakui
primate,primata
lout,orang udik
stratton,Stratton
bookies,bandar judi
revert,kembali
racked,terjepit
congratulation,selamat
dorrit,dorrit
sarcastically,dengan sarkasme
aquarius,Aquarius
atari,atari
chalet,pondok
greenberg,Greenberg
bern,bern
disgusts,menjijikkan
unfolding,terbentang
pax,penumpang
persuading,membujuk
nicks,goresan
kia,Kia
adhesive,perekat
miyamoto,miyamoto
understandably,dapat dimengerti
crease,lipatan
resists,menolak
todo,yang harus dilakukan
bello,cantik
carina,Carina
dekker,dekker
ojai,Ojai
cu,cu
spasm,kekejangan
kafka,Kafka
tweeted,mencuit
mahesh,mahesh
recapture,menangkap kembali
anemia,anemia
disbanded,dibubarkan
dorky,culun
aptitude,bakat
dominoes,domino
trini,Trini
ovens,oven
hutchinson,Hutchinson
god-given,pemberian Tuhan
carelessness,kecerobohan
simpleton,orang bodoh
lll,III
indigo,nila
chewy,kenyal
nom,nom
icelandic,Islandia
amend,mengubah
daze,linglung
candidacy,pencalonan
foreseen,diperkirakan
playa,pantai
sondra,sondra
muffler,knalpot
unfulfilled,tidak terpenuhi
pertaining,berkaitan dengan
caribou,karibu
gangrene,ganggren
dunne,dunne
coliseum,stadion besar
splatter,memerciki
rectum,dubur
tripe,babat
lawless,tanpa hukum
zimmerman,zimmerman
salutations,salam
willful,disengaja
sludge,lumpur
imbeciles,orang idiot
cockney,orang Cockney
cantor,penyanyi
negotiable,bisa dinegosiasikan
squirm,menggeliat
flaky,rapuh
failsafe,pengaman
spaceships,pesawat ruang angkasa
contaminate,mencemari
mcneil,McNeil
knowhow,pengetahuan
syllables,suku kata
nines,sembilan
ichabod,ichabod
discriminate,membedakan
enclosure,lampiran
gagged,dibungkam
warmly,dengan hangat
warmest,terhangat
sweeper,penyapu
grader,penilai
moldy,berjamur
wicker,anyaman
koto,koto
caracas,Caracas
embraces,merangkul
gully,selokan
decimated,hancur lebur
docs,dokumen
inward,batin
romances,kisah cinta
piety,kesalehan
takeaway,membawa pergi
deflect,membelokkan
self-inflicted,yang disebabkan sendiri
pomp,kemegahan
rebelled,memberontak
indulging,memanjakan diri
zapped,tersengat listrik
wer,kita
sandbox,bak pasir
buttered,bermentega
lange,Lange
bingley,Bingley
invader,penyerbu
feeder,pengumpan
pla,pla
behead,memenggal kepala
forceps,penjepit
reopening,pembukaan kembali
reinstate,mengembalikan lagi
legislative,legislatif
veg,sayuran
carpool,berbagi kendaraan
zest,semangat
jeju,Jeju
defer,menunda
topple,menjatuhkan
mutilation,mutilasi
cloths,kain
secretariat,sekretariat
shrill,melengking
reliving,menghidupkan kembali
adorned,dihiasi
quarterly,triwulanan
ailment,penyakit
startup,rintisan
contagion,penularan
parading,berparade
sustenance,rezeki
desertion,desersi
assures,meyakinkan
egghead,orang terpelajar
sledgehammer,palu godam
simulator,simulator
temperamental,emosional
edict,dekrit
sensibility,kepekaan
fuehrer,Führer
impetuous,terburu nafsu
notable,penting
dollhouse,rumah boneka
stimulated,dirangsang
succumbed,menyerah
corrine,corrine
shalimar,shalimar
tightrope,tali tegang
conspire,bersekongkol
goatee,janggut
eduard,Eduard
tigress,harimau betina
eugenia,Eugenia
bulky,tebal
endo,endometrium
hemlock,hemlock
scoops,sendok
salisbury,Salisbury
quint,kuint
headway,kemajuan
carelessly,sembarangan
incinerated,dibakar
grisly,mengerikan
gait,kiprah
unscathed,tanpa cedera
zinc,seng
sneezed,bersin
stethoscope,stetoskop
raking,penggarukan
bibles,Alkitab
sono,sono
lobbying,melobi
strait,selat
xiii,xiii
owt,owt
erickson,Erickson
finlay,Finlay
leveled,diratakan
vipers,ular berbisa
hookup,kencan
commonplace,biasa
resentful,marah
crick,sungai
boyz,anak laki-laki
ranjit,Ranjit
supersonic,supersonik
bigelow,bigelow
exclaim,berseru
patronage,perlindungan
dieu,Tuhan
burmese,Birma
somethings,sesuatu
academics,akademisi
egos,ego
constabulary,kepolisian
deadlines,tenggat waktu
morley,Morley
farid,Farid
bonanza,sumber keuntungan
nozzle,nosel
distasteful,tidak enak
prod,melecut
cleave,membelah
henshaw,Henshaw
wessex,Wessex
discourse,ceramah
overcoming,mengatasi
magna,magna
philanthropist,dermawan
crapped,buang air besar
expanse,bentangan
yow,yow
typhus,tipus
betel,betel
remo,remo
disrespected,tidak dihormati
yasmin,Yasmin
electra,electra
buzzard,burung pemakan bangkai
marlo,Marlo
darrow,darrow
expectancy,harapan
madmen,orang gila
dazzled,silau
waller,waller
dogg,anjing
citrus,jeruk
needlessly,tanpa alasan
attends,menghadiri
aoki,aoki
truckload,sepenuh truk
aramis,aramis
cancelling,membatalkan
unsettled,gelisah
seared,terbakar
singularity,keganjilan
thaddeus,thaddeus
noo,tidak
chartered,disewa
godson,anak baptis
cuthbert,Cuthbert
venting,ventilasi
contradictory,kontradiktif
cahoots,bersekongkol
bridgette,Bridgette
decidedly,pasti
lac,lak
knobs,kenop
artificially,buatan
athletics,atletik
schoolwork,tugas sekolah
faux,palsu
copped,menangkap
gecko,tokek
competed,berkompetisi
barring,kecuali
polk,polk
spanner,kunci pas
dropout,putus sekolah
ina,di sebuah
couscous,kuskus
hikari,hikari
mumps,penyakit gondok
napa,napa
enchantment,pesona
reprieve,penangguhan
headstone,nisan
icky,menjijikkan
drago,drago
siberian,Siberia
audacious,berani
pecan,kacang pecan
skylight,jendela atap
juno,Juno
twittering,berkicau
ronda,ronda
barmaid,gadis bar
commendation,pujian
cartilage,tulang rawan
mucking,mengotori
suppression,penekanan
plume,bulu
delores,Delores
madre,ibu
helix,spiral
sultana,sultana
twinkling,berkelap-kelip
zola,zola
prentice,pembantu tukang
pajama,piyama
informative,informatif
nice-looking,tampan
suave,ramah tamah
badminton,bulutangkis
yoshioka,Yoshioka
graff,grafiti
karp,ikan karp
lander,pendarat
guevara,guevara
bolshevik,bolshevik
halstead,Halstead
unmanned,tak berawak
stair,anak tangga
idealistic,idealistis
breakin,menghancurkan
disowned,ditolak
doormat,keset
conquests,penaklukan
pronunciation,pengucapan
discontent,ketidakpuasan
vaughan,Vaughan
perversion,pemutarbalikan
tyrell,Tyrell
hartmann,Hartmann
disbelief,ketidakpercayaan
racehorse,kuda pacu
scallop,kerang
leases,sewa
shadowy,berbayang
hurdles,lari gawang
gulliver,Gulliver
executor,pelaksana
slashing,nekat
glider,pesawat peluncur
leans,condong
hydrant,hidran
leonid,leonid
adorn,menghiasi
aku,aku
consist,terdiri atas
twas,itu
hoarding,penimbunan
inquisitor,jaksa pengadilan
differentiate,membedakan
slaving,perbudakan
puffed,engah
pleasantly,dengan menyenangkan
primates,primata
mogul,Monggol
prius,Prius
deter,menghalangi
ter,ter
robson,robson
simeon,Simeon
piccadilly,Piccadilly
veranda,beranda
merging,penggabungan
breezy,semilir
quan,quan
capped,bertutup
blue-eyed,bermata biru
ponds,kolam
sided,sisi
landmarks,landmark
converts,mualaf
outback,pedalaman
deja,deja
shotguns,senapan
squaw,wanita Indian
eluded,lolos
satomi,satomi
paella,paella
erasing,menghapus
avant-garde,avant-garde
tupac,Tupac
upholstery,kain pelapis
pbs,PBS
baseline,garis dasar
neighbouring,berdekatan
lioness,singa betina
crackhead,pecandu narkoba
likeable,disukai
kibbutz,kibbutz
katharine,Katharine
moonlighting,bekerja sampingan
bumpkin,anak dusun
gant,gant
laborer,buruh
scorsese,Scorsese
droning,mendengung
fernand,pakis
gunter,gunter
letty,Letty
dawning,fajar menyingsing
setbacks,kemunduran
trouser,celana panjang
bosnian,orang Bosnia
rancid,tengik
balthazar,Balthazar
velcro,perekat Velcro
emit,memancarkan
wherein,dimana
aron,aron
brahma,Brahma
stockbroker,makelar saham
blackwell,Blackwell
insightful,berwawasan
enoch,Henokh
prancing,angkuh
enzymes,enzim
bellevue,Bellevue
vhs,VHS
anglo-saxon,Anglo-Saxon
santini,santini
tatum,tatum
unconsciously,tanpa disadari
ummm,ummm
geraldo,Geraldo
pt,pt
updating,memperbarui
grotto,gua
dams,bendungan
hahn,hahn
unscrupulous,jahat
bryn,Bryn
vick,Vick
eleventh,kesebelas
crises,krisis
resembling,menyerupai
electrodes,elektroda
payload,muatan
picnics,piknik
loathsome,menjijikkan
darnley,Darnley
singsongy,bernada merdu
ruffian,bajingan
goulash,goulash
dov,domba
tartar,karang gigi
sunburn,terbakar sinar matahari
littered,berserakan
supplemental,tambahan
drop-off,pengantaran
lawton,Lawton
disruptive,mengganggu
killjoy,perusak suasana
short-lived,berumur pendek
hourglass,jam pasir
second-rate,kelas dua
pasty,pucat
turnaround,perubahan haluan
carte,kartu
franc,franc
meteorites,meteorit
blackpool,Blackpool
brainy,cerdas
haruko,Haruko
suze,Suze
grappling,bergulat
patrik,patrik
misfits,orang-orang yang tidak cocok
mover,penggerak
molesting,pelecehan
downton,pusat kota
strumming,memetik
hater,pembenci
mobilized,dimobilisasi
bung,sumbat
brain-dead,mati otak
solitaire,solitaire
barbados,Barbados
hummus,hummus
vips,VIP
resorts,resor
maniacal,gila
chaney,chaney
solange,solange
drivel,meliur
rodgers,Rodgers
microfilm,mikrofilm
combs,sisir
memos,memo
looney,gila
batgirl,Batgirl
mariah,Mariah
squint,juling
honky,honky
tyrannosaurus,tyrannosaurus
sediment,endapan
brava,brava
coincide,bertepatan
voltaire,Voltaire
apparel,pakaian
mockingly,dengan nada mengejek
lia,lia
gawd,astaga
ordnance,artileri
gatherings,pertemuan
ged,ged
ponce,sok keren
sapiens,sapiens
old-time,zaman dulu
jaclyn,Jaclyn
one-off,sekali saja
amputation,amputasi
bustle,kesibukan
jockeys,joki
toru,toru
golem,golem
sandstorm,badai pasir
cloaked,berjubah
squander,mengembara
proudest,paling membanggakan
yanking,menarik
regimen,rejimen
afterschool,sepulang sekolah
deluca,deluca
khalil,khalil
vickie,Vickie
exhibited,dipamerkan
constituency,daerah pemilihan
plagues,wabah
hitchhiking,menumpang kendaraan
gouge,menipu
stigma,stigma
storytelling,bercerita
otters,berang-berang
ove,cinta
pooper,kotoran
toasting,penggorengan
purification,pemurnian
despises,membenci
positioning,penempatan
lashed,dicambuk
blinked,berkedip
francoise,wanita Prancis
extracting,mengekstrak
flavours,rasa
creators,pencipta
destinies,takdir
spector,hantu
huntley,Huntley
lynda,Lynda
genji,Genji
uniting,menyatukan
legislature,badan legislatif
bloomed,mekar
strenuous,berat
blakely,Blakely
masterpieces,karya agung
squishy,kenyal
lows,rendah
afro,afro
liven,menghidupkan
orgies,pesta seks
babette,Babette
outdone,dikalahkan
nintendo,Nintendo
curiously,dengan penasaran
matthias,Matthias
saab,Saab
pantyhose,celana ketat
stavros,stavros
warns,memperingatkan
interactions,interaksi
biologically,secara biologis
fresher,lebih baru
wasteful,boros
double-crossing,pengkhianatan ganda
centipede,lipan
banger,lagu hits
stickler,orang yang teliti
arya,arya
perpetrated,dilakukan
computerized,terkomputerisasi
ulcers,ulkus
vickers,Vickers
caspar,Caspar
kasper,Kasper
scavengers,pemulung
bugsy,serangga
working-class,kelas pekerja
two-year,dua tahun
bitchin,keren
semper,semper
kaya,kaya
moronic,tolol
humbug,omong kosong
overbearing,sombong
rosenberg,Rosenberg
cheapskate,pelit
toupee,rambut palsu
structured,tersusun
sakamoto,Sakamoto
kaz,Kaz
ovation,tepuk tangan meriah
plunger,penyelam
visor,kedok
kowloon,kowloon
tongs,penjepit
rancher,pengusaha peternakan
sportsman,olahragawan
patriarch,kepala keluarga
null,batal
blueberries,blueberry
frisco,Frisco
cartons,karton
exceeds,melebihi
daedalus,daedalus
feudal,feodal
arses,pantat
paradigm,paradigm
guerrero,gererrero
edema,busung
chutney,chutney
guten,guten
deo,deodoran
recollect,mengingat kembali
proletariat,proletariat
interrogations,interogasi
scuffle,perkelahian
henchman,antek
rasmus,rasmus
molest,menganiaya
tootsie,tootsie
thayer,Thayer
yolk,kuning telur
hisself,dirinya sendiri
explicitly,secara eksplisit
arterial,arteri
methodical,metodis
saver,penghemat
launder,mencuci
spaz,orang aneh
undertaken,dilakukan
hummingbird,burung kolibri
intestinal,usus
horsey,kuda
prowling,mengintai
givens,diberikan
douse,mencelupkan
ooze,keluar
dupree,dupree
riggins,riggins
beehive,sarang lebah
elroy,elroy
chechnya,Chechnya
luring,memikat
gazebo,gazebo
gatsby,Gatsby
angelus,malaikat
mathews,matews
wretches,orang-orang malang
spotter,pengintai
petersen,Petersen
nautilus,nautilus
recluse,pertapa
mortis,mortis
covet,mendambakan
pringle,Pringles
ranchers,peternak
finite,terbatas
tonto,tonto
angola,Angola
platypus,platipus
veronika,Veronica
waging,berperang
skyline,kaki langit
desdemona,Desdemona
copernicus,Copernicus
amazons,Amazon
ric,ric
bearable,lumayan
travesty,parodi
frontiers,perbatasan
refuel,mengisi bahan bakar
monogamous,monogami
lull,menidurkan
remnant,sisa
nascar,Nascar
smirk,seringai
routed,diarahkan
omer,omer
haas,Haas
affiliated,berafiliasi
tush,gading
laughingstock,bahan tertawaan
uns,kita
commodities,komoditas
smithsonian,Smithsonian
blockage,halangan
ventriloquist,ahli bicara perut
yams,ubi jalar
beaucoup,banyak
analysed,dianalisis
goodbyes,perpisahan
seeming,tampak
dumont,dumont
mayans,suku Maya
coasters,tatakan gelas
landscaping,penataan lanskap
pleasurable,menyenangkan
sandrine,pasir
navajo,Navajo
unknowingly,tanpa sadar
exercised,berolahraga
quotation,kutipan
hercule,Hercules
stalks,batang
embalming,pembalseman
bunkers,bunker
supplements,suplemen
politeness,kesopanan
consisted,terdiri dari
doings,tindakan
revolve,berputar
unfounded,tidak berdasar
torrance,Torrance
astor,astor
winking,kedip
hinting,memberi isyarat
scylla,scylla
johansson,Johansson
uncalled,tidak dipanggil
screenwriter,penulis skenario
reimburse,membayar kembali
ugo,ugo
woodhouse,rumah kayu
christened,dibaptis
rsvp,RSVP
cannae,cannae
virile,jantan
hol,hol
role-playing,bermain peran
motivational,motivasi
spotty,berbintik-bintik
patching,menambal
tranquilizers,obat penenang
mork,mork
extort,memeras
nominations,nominasi
celebratory,perayaan
crud,kotoran
puta,pelacur
pate,pate
mercilessly,tanpa ampun
battering,memukul
insignia,lencana
demeaning,merendahkan
raider,penjarah
jangling,gemerincing
hipster,hipster
reels,gulungan
upto,hingga
triangles,segitiga
individuality,individualitas
debauchery,penyelewengan
cecily,Cecilia
plucking,memetik
moritz,Moritz
two-time,dua kali
loin,pinggang
identifies,mengidentifikasi
phineas,Phineas
macabre,mengerikan
hurled,dilemparkan
varnish,pernis
cosmopolitan,kosmopolitan
wack,aneh
pino,pino
surly,bermuka masam
obtaining,memperoleh
riffraff,kaum urakan
compost,kompos
toured,berkeliling
gook,orang bodoh
cross-reference,referensi silang
halle,halle
anklet,gelang kaki
hoskins,Hoskins
expressive,ekspresif
singled,lajang
employing,mempekerjakan
migrate,bermigrasi
sass,kelancangan
validation,validasi
broaden,memperluas
mortars,mortir
first-time,pertama kali
yields,menghasilkan
chimneys,cerobong
gonorrhea,gonorea
buzzers,bel
paprika,paprika
sharif,sharif
adjutant,ajudan
furlough,cuti
nefarious,jahat
overpower,mengalahkan
flogged,dicambuk
shakti,shakti
hibernation,hibernasi
piston,piston
adventurers,petualang
swabs,usap
buildup,penumpukan
rioting,kerusuhan
demetrius,Demetrius
cannibalism,kanibalisme
pickin,memetik
c4,c4
reluctance,keengganan
embroidered,bersulam
nome,nama
sia,sia
gimp,gimp
whitmore,Whitmore
breeder,peternak
jafar,Jafar
margherita,margherita
sizzle,mendesis
reflective,reflektif
inger,inger
condemning,mengutuk
endgame,akhir permainan
boathouse,rumah perahu
chilton,Chilton
manageable,dapat dikelola
disintegrate,hancur
ethereal,sangat halus
brimstone,belerang
preferences,preferensi
phonograph,fonograf
workload,beban kerja
credited,dikreditkan
evading,menghindari
mouthpiece,juru bicara
farmland,tanah pertanian
fouled,melanggar aturan
eights,angka delapan
carnations,bunga anyelir
scissor,menggunting
sponsoring,mensponsori
farrah,Farrah
hairless,tidak berbulu
defenceless,tak berdaya
narcissist,narsisis
reappear,muncul lagi
undisturbed,tak terganggu
bittersweet,pahit manis
tusk,gading
memoir,memoar
plunging,terjun bebas
alaric,alarik
lawns,halaman rumput
manta,pari manta
concorde,konkorda
pleads,memohon
iranians,orang Iran
regulated,diatur
compadre,sahabat
arming,persenjataan
sarin,sarin
prowler,perampas
antwerp,Antwerp
armadillo,armadillo
tanked,mabuk
whisperer,pembisik
magpie,burung gagak
wealthiest,terkaya
sig,tanda tangan
halliwell,Halliwell
sedation,sedasi
ayesha,Ayesha
impersonate,menirukan
fabrication,pembuatan
mediocrity,kemediokritasan
zapata,zapata
crafted,dibuat
nog,paku kayu
suppressing,menekan
metric,metrik
scurvy,curang
yukon,Yukon
photocopy,fotokopi
impromptu,mendadak
fable,fabel
alterations,perubahan
striptease,striptis
attentions,perhatian
crunches,sit-up
pryce,Pryce
felton,felton
printers,printer
coating,lapisan
rims,pelek
salamander,salamander
succubus,succubus
seatbelts,sabuk pengaman
rotary,putar
maxime,pepatah
mirza,Mirza
huddled,berkerumun
t-rex,T-rex
frm,dari
undermining,melemahkan
racking,rak
soliciting,meminta
repetitive,berulang
lighted,berlampu
parma,Parma
daniella,Daniella
barracuda,barakuda
conga,conga
mizuno,mizuno
shimizu,shimizu
bumble,menggagap
shined,bersinar
liberator,pembebas
tillman,tillman
kiera,Kiera
misbehave,berbuat jahat
incarnation,inkarnasi
stupendous,menakjubkan
whereby,dengan demikian
pouting,cemberut
decked,dihiasi
virgo,Virgo
diddle,menipu
scour,memeriksa
lidocaine,lidokain
fatality,kematian
pinning,menyematkan
cobalt,kobalt
rudely,dengan kasar
jailhouse,penjara
restrict,membatasi
amuses,menghibur
ducats,ducat
enthusiast,penggemar
chronicles,catatan sejarah
scorpius,kalajengking
interactive,interaktif
kooky,aneh
shih,shih
devouring,melahap
emancipation,emansipasi
alaskan,orang Alaska
headman,lurah
harmonious,harmonis
noi,No I
infiltration,infiltrasi
hothead,pemberang
midas,Midas
wholeheartedly,sepenuh hati
erwin,erwin
kaitlin,kaitlin
hepburn,Hepburn
classrooms,ruang kelas
leia,Leia
bulging,menonjol
rousing,meriah
wherefore,oleh karena
pulpit,mimbar
monogamy,monogami
craftsmen,pengrajin
harv,panen
linens,linen
ladybug,kumbang
pooping,buang air besar
steered,dikemudikan
aimlessly,tanpa tujuan
calendars,kalender
firefight,baku tembak
kohl,cat kelopak mata
grog,minuman keras
purged,dibersihkan
lukewarm,suam-suam kuku
ultraman,ultraman
minion,antek
dissection,pembedahan
advisers,penasihat
demeanor,sikap
archaic,kuno
sentient,berakal sehat
lazar,penyakit
uninhabited,tidak berpenghuni
falter,bimbang
reactors,reaktor
realistically,realistis
windscreen,kaca depan mobil
destinations,destinasi
fremont,Fremont
louisville,kota Louisville
paulina,Paulina
iceman,tukang es
thrift,penghematan
opie,salinan
uploading,mengunggah
fast-paced,serba cepat
mcgrath,McGrath
shoveling,menyekop
eee,eee
sideline,sambilan
fathered,diperanakkan
creeper,tanaman merambat
dade,Dade
waltzing,berdansa waltz
rackets,raket
stryker,stryker
hush-hush,diam-diam
shel,cangkang
smythe,smythe
posterior,belakang
disbarred,dicabut izin praktiknya
disconnects,terputus
disappearances,orang hilang
snapper,ikan kakap
stace,stace
unveil,menyingkap
gr,gr
wheezes,mengi
trailers,trailer
willed,berkehendak
inspecting,memeriksa
tote,tas jinjing
caro,mobil
autonomy,otonomi
warring,bermusuhan
vetted,diperiksa
cronies,kroni
whiter,lebih putih
felons,penjahat
dysentery,disentri
binky,binky
nous,akal
nadya,nadya
harcourt,harcourt
chekov,Chekov
township,kotapraja
lunacy,kegilaan
jas,jas
vegeta,Vegeta
insistence,desakan
handwritten,tulisan tangan
crusades,Perang Salib
feline,licik
westinghouse,Westinghouse
rami,rami
pasa,pasa
chrissie,Chrissie
tuan,tuan
mindful,sadar
alla,alla
oona,oona
bacchus,Bacchus
footwear,alas kaki
overture,tawaran
tolliver,toliver
mcleod,McLeod
aussie,orang Australia
freda,Freda
drowsy,mengantuk
fluorescent,berpendar
pretender,penipu
sawmill,penggergajian
shunned,dikucilkan
konrad,Konrad
frauds,penipuan
cemeteries,pemakaman
nutmeg,pala
buggered,diperkosa
turquoise,pirus
correlation,korelasi
pinkerton,Pinkerton
conning,menipu
aversion,keengganan
recommends,merekomendasikan
mongoose,luwak
kaput,rusak
powerhouse,gardu listrik
excavated,digali
gripping,mencengkeram
derelict,lalai
marshes,rawa-rawa
overturn,menggulingkan
embodiment,perwujudan
rapunzel,Rapunzel
hatching,menetas
jamison,Jamison
elwood,elwood
bathhouse,pemandian umum
lends,meminjamkan
circuitry,rangkaian listrik
hideaway,persembunyian
mcnulty,McNulty
eames,Eames
lingers,berlama-lama
livingston,Livingston
confederacy,konfederasi
terrify,menakuti
inaccessible,tidak dapat diakses
catwalk,catwalk
tater,kentang
tots,balita
darkroom,kamar gelap
visuals,visual
sikes,sikes
carvings,ukiran
lorena,Lorena
depict,menggambarkan
spaceman,angkasawan
nuremberg,Nuremberg
aquatic,perairan
anvil,landasan
mediation,mediasi
avenues,jalan raya
baroque,barok
lahore,Lahore
systolic,sistolik
harms,bahaya
maximize,memaksimalkan
jangle,membunyikan
messer,tukang
tweedle,tweedle
mariachi,mariachi
larrabee,larrabee
tournaments,turnamen
booby-trapped,dipasangi jebakan
kes,kes
ventures,usaha
