you,Jij
dipping,onderdompelen
splits,splitten
muzzle,snuit
redneck,redneck
seatbelt,veiligheidsgordel
richter,Richter
atone,boete doen
envoy,gezant
sentiments,gevoelens
poorer,armere
tia,tia
sweeps,veegbewegingen
forgives,vergeeft
upside-down,ondersteboven
improper,onjuist
niagara,Niagara
highland,hoogland
hardworking,hardwerkend
enlist,inschrijven
wilcox,wilcox
medically,medisch
chittering,tjirpende
pappy,papa
scarred,littekens
claps,klapt
gia,gia
outcast,buitenstaander
faucet,kraan
prepares,bereidt voor
taboo,taboe
weaponry,wapens
consensus,overeenstemming
breathed,ademde
maneuvers,manoeuvres
archaeologist,archeoloog
tolls,tolheffingen
gobble,slokken
gibbering,onverstaanbaar gebrabbel
maud,Maud
darby,darby
hernandez,Hernandez
smitty,Smitty
rica,rica
widespread,wijdverspreid
scraped,geschraapt
boutique,boetiek
quake,aardbeving
ignite,aansteken
provider,provider
sprinkle,strooien
serbia,Servië
contradict,tegenspreken
realities,realiteiten
valentina,Valentina
shaping,vormgeving
powdered,poeder
indestructible,onverwoestbaar
electrocuted,geëlektrocuteerd
silverware,zilverwerk
disorders,stoornissen
everytime,elke keer
terence,Terence
albany,Albany
armory,arsenaal
delegates,afgevaardigden
pathology,pathologie
inspires,inspireert
poked,geprikt
scumbags,schoften
cyclops,cycloop
floated,dreef
intrigue,intrigeren
auditorium,auditorium
kashmir,Kasjmir
inspirational,inspirerend
doodle,krabbel
raisins,rozijnen
sibling,broer of zus
emery,Emery
anomalies,afwijkingen
forrester,boswachter
honorary,ere-
concession,concessie
midway,halverwege
reload,herladen
sweaters,truien
dormitory,slaapzaal
accelerated,versneld
fluke,toeval
larkin,leeuwerik
dwarves,dwergen
nutrition,voeding
kendra,Kendra
warlock,tovenaar
exploiting,exploiteren
bloated,opgezwollen
proclaim,verkondigen
middleton,Middleton
choreography,choreografie
patriotism,patriottisme
sash,sjerp
detached,losgemaakt
niki,Niki
fest,feest
intensely,intens
raced,racete
sprint,sprint
endorsement,aanbeveling
gage,meter
carlisle,Carlisle
hobo,zwerver
gauntlet,handschoen
crowbar,koevoet
progressing,voortgang
groin,lies
prudence,voorzichtigheid
inseparable,onafscheidelijk
chopsticks,eetstokjes
guthrie,Guthrie
foo,foo
cavanaugh,Cavanaugh
saxophone,saxofoon
fiat,fiat
drains,afvoeren
thrusters,stuwraketten
tink,tink
visibility,zichtbaarheid
passionately,hartstochtelijk
wannabe,wannabe
klara,Klara
tiresome,vermoeiend
complexity,complexiteit
homicidal,moorddadig
succeeds,slaagt
rom,Rom
scolding,berisping
indicted,aangeklaagd
prix,prijs
alexa,Alexa
uninvited,ongevraagd
insider,insider
kamal,kamal
moz,moz
bondage,bondage
chao,chao
taser,taser
indifference,onverschilligheid
tum,tum
slang,slang
tending,verzorgen
compton,Compton
gunn,gunn
campaigns,campagnes
resistant,bestand
baines,baines
urged,aangespoord
reacts,reageert
hardworking,hardwerkend
snag,haak
fidelity,trouw
mcnally,McNally
rattled,geschrokken
stalls,kraampjes
quickest,snelste
copycat,nabootsing
wilde,wilde
damnation,verdoemenis
burma,Birma
cashed,geïncasseerd
dodging,ontwijken
canopy,overkapping
ridley,ridley
ilana,ilana
ogden,ogden
goof,blunder
twister,tornado
rolex,rolex
seriousness,ernst
toothless,tandloos
reckoned,berekend
macdonald,Macdonald
retching,kokhalzen
immensely,enorm
overlooking,uitzicht
airway,luchtwegen
lm,lm
rickshaw,riksja
esposito,esposito
propulsion,voortstuwing
elsie,Elsie
butchered,geslacht
orbiting,in een baan
herds,kuddes
comprehensive,uitgebreid
reckoning,afrekening
shelton,Shelton
israelis,Israëliërs
thursdays,donderdagen
fabian,Fabian
journeys,reizen
confiscate,in beslag nemen
coworkers,collega's
checkup,controle
wad,prop
aeroplane,vliegtuig
innocents,onschuldigen
endeavor,avontuur
shootings,schietpartijen
daybreak,dageraad
mandate,mandaat
estimates,schattingen
inflict,toebrengen
drapes,gordijnen
bellamy,Bellamy
wolverine,veelvraat
socrates,Socrates
subspace,deelruimte
notebooks,notitieboekjes
unrest,onrust
annika,Annika
shiro,Shiro
lala,lala
cram,proppen
salts,zouten
infinitely,oneindig
exemplary,voorbeeldig
bearings,lagers
replicate,replicatie
perfected,geperfectioneerd
cao,cao
olympus,Olympus
baboon,baviaan
reproach,verwijt
completing,voltooien
medusa,kwal
sewed,genaaid
teased,geplaagd
karev,karev
adversary,tegenstander
captions,bijschriften
stitched,gestikt
abruptly,abrupt
stacks,stapels
sioux,Sioux
rapes,verkrachtingen
ether,ether
hoodie,hoodie
namaste,namaste
extradition,uitlevering
vincenzo,Vincenzo
ange,engel
cambodia,Cambodja
clicked,geklikt
tallest,langste
jeb,Jeb
unison,unison
ion,ion
bozo,bozo
undertaking,onderneming
relating,met betrekking
enrolled,ingeschreven
sprouts,spruiten
secretaries,secretaresses
projected,geprojecteerd
turkeys,kalkoenen
irwin,Irwin
fink,fink
good-for-nothing,nutteloos
sipping,nippen
africans,Afrikanen
macarthur,MacArthur
twenty-one,eenentwintig
visionary,visionair
borden,borden
talkative,spraakzaam
alyssa,Alyssa
sie,sie
kemp,Kemp
jeffries,Jeffries
unkind,onaardig
pegged,vastgepind
conservation,behoud
veto,veto
blondes,blondines
heartfelt,oprecht
outlook,vooruitzicht
wrinkled,gerimpeld
valeria,valeria
teleport,teleport
interrogating,ondervraging
diabolical,duivels
breather,adempauze
desks,bureaus
thirty-five,vijfendertig
eyebrow,wenkbrauw
tut,tut
sightseeing,bezienswaardigheden
unwilling,onwillig
profoundly,diepgaand
barclay,Barclay
dearie,lieverd
dae,dae
nearing,nadert
hester,Hester
franks,franken
rashid,Rashid
auditioning,auditie
dyed,geverfd
pharmaceuticals,farmaceutische producten
cantonese,kantonees
pika,pika
martina,Martina
clarkson,Clarkson
toki,toki
outright,ronduit
ito,ito
coincidences,toevalligheden
downside,nadelen
oats,haver
ortiz,Ortiz
administered,toegediend
downward,omlaag
okinawa,Okinawa
graduates,afgestudeerden
palate,gehemelte
jihad,jihad
nakamura,nakamura
emmet,Emmet
lucrezia,Lucrezia
martians,marsmannetjes
nasal,neus
enduring,volhardend
winged,gevleugeld
thrashing,geseling
dumber,dommer
faggots,flikkers
bernice,Bernice
vibration,trilling
musketeers,musketiers
tumour,tumor
stature,gestalte
petrified,versteend
erich,erich
hiss,fluiten
baht,baht
rematch,herkansing
lakshmi,Lakshmi
lightweight,lichtgewicht
rah,rah
eunice,Eunice
attentive,aandachtig
dunbar,dunbar
negatives,negatieven
ge,ge
fates,lotgevallen
equity,eigen vermogen
ringer,beltoon
tvs,tv's
brooch,broche
delinquent,delinquent
schizophrenia,schizofrenie
bangles,armbanden
sculptor,beeldhouwer
netherlands,Nederland
inca,inca
ado,ado
odessa,Odessa
marisol,marisol
neurological,neurologisch
slums,sloppenwijken
comets,kometen
strife,strijd
coordinator,coördinator
chokes,verstikkingen
santana,Santana
guerrilla,guerrillastrijder
charismatic,charismatisch
garret,zolderkamer
startling,verrassend
historically,historisch
funnel,koker
curator,curator
improvements,verbeteringen
campfire,kampvuur
castillo,kasteel
himalayas,Himalaya
storeroom,opslagruimte
jez,jez
tulip,tulp
looting,plunderen
pinball,flipperkast
decaf,cafeïnevrij
marshmallow,heemst
guitars,gitaren
sharpen,slijpen
darla,Darla
refreshments,versnaperingen
tensions,spanningen
mckinley,McKinley
hathaway,hathaway
leaping,springen
reconciliation,verzoening
vou,jij
greenwich,Greenwich
waterloo,Waterloo
isaiah,Jesaja
idols,idolen
induce,opwekken
cosmetic,cosmetisch
grooming,poetsen
dalek,dalek
rejecting,afwijzen
cortez,Cortez
schooling,scholing
wasteland,woestenij
blueprint,blauwdruk
biz,zaken
smokey,rokerig
nostalgic,nostalgisch
lon,lon
leprechaun,kabouter
zulu,Zulu
dinging,rinkelen
hoof,hoef
timetable,dienstregeling
transmissions,transmissies
barkley,Barkley
analogy,analogie
stomping,stampen
judgmental,oordelend
bagels,bagels
levine,levine
meowing,miauwen
wallets,portemonnees
nightgown,nachthemd
demolished,gesloopt
bobbie,bobbie
lafayette,Lafayette
electron,elektron
cones,kegels
calculation,berekening
dreamy,dromerig
vigilant,voorzichtig
asgard,Asgard
suppliers,leveranciers
vogel,vogel
companionship,gezelschap
dangling,bungelend
pic,foto
rushes,haast
paired,gepaard
withholding,achterhouden
clones,klonen
burnett,Burnett
bolivia,Bolivia
commitments,verplichtingen
airs,luchten
tubbs,tubbs
demented,dement
apprehend,arresteren
learner,leerling
minions,handlangers
toro,toro
scenarios,scenario's
sandro,Sandro
fda,FDA
overreacted,overdreven reageerde
contradiction,tegenstrijdigheid
gregg,Gregg
vat,vat
nia,nia
bellies,buiken
mardi,dinsdag
horizons,horizonnen
rev,omkeer
puny,klein
nominee,genomineerde
insolence,onbeschaamdheid
wartime,oorlogstijd
fm,fm
shing,shing
grapefruit,pompelmoes
deodorant,deodorant
concede,toegeven
homosexuals,homoseksuelen
hierarchy,hiërarchie
remnants,overblijfselen
detectors,detectoren
sever,scheiden
hendricks,hendricks
nachos,nachos
jens,Jens
munitions,munitie
trailing,achtervolgend
rochelle,Rochelle
folds,vouwen
attitudes,houdingen
twain,twee
develops,ontwikkelt
stomachs,magen
emerges,komt tevoorschijn
chilli,chili
hotline,hotline
dries,droogt
acceleration,versnelling
gruber,larve
surya,surya
homicides,moorden
scrubbed,geschrobd
murph,murph
seduction,verleiding
trait,karaktereigenschap
ezekiel,Ezechiël
translating,vertalen
chemotherapy,chemotherapie
hazardous,gevaarlijk
hackers,hackers
pancho,pancho
asteroids,asteroïden
defines,definieert
meatloaf,gehaktbrood
nephews,neven
boobies,borsten
collide,botsen
mohan,Mohan
iphone,iPhone
flores,bloemen
salaries,salarissen
porky,varkensvlees
coulda,had kunnen
sheltered,beschut
revoked,ingetrokken
cinematography,cinematografie
variation,variatie
maia,Maia
railways,spoorwegen
burglars,inbrekers
asa,asa
milkshake,milkshake
newbie,nieuweling
undertake,ondernemen
fergus,fergus
stellar,stellaire
dud,mislukkeling
abode,verblijf
isles,eilanden
elmer,elmer
tiniest,kleinste
latitude,breedte
crucify,kruisigen
salazar,salazar
clarice,Clarice
sledge,slee
shrewd,scherpzinnig
blurred,vervaagd
spatter,spatten
menus,menu's
nostrils,neusgaten
filet,filet
locally,lokaal
consistently,consistent
u-turn,omkeer
synchronized,gesynchroniseerd
tres,tres
bumblebee,hommel
mccall,McCall
thrashed,afgeranseld
annabel,Annabel
tutoring,bijles
ingenuity,vindingrijkheid
scriptures,heilige geschriften
visualize,visualiseren
juggling,jongleren
beige,beige
oslo,Oslo
hypnotized,gehypnotiseerd
enigma,raadsel
lanterns,lantaarns
marseilles,Marseille
memento,aandenken
bedford,bedford
uphill,bergopwaarts
prosecuting,vervolging
volumes,volumes
contraband,smokkelwaar
claudio,claudio
debating,debatteren
bagged,verpakt
albanian,Albanees
staten,staten
cahill,Cahill
ravine,ravijn
protesters,demonstranten
writ,gerechtelijke
stalked,achtervolgd
heroism,heldhaftigheid
prolonged,langdurig
benevolent,weldadig
squashed,platgedrukt
baloney,onzin
emailed,e-mail verzonden
sweethearts,schatjes
sweatshirt,sweatshirt
nutcase,gek
lecturing,lezingen
developer,ontwikkelaar
deity,godheid
quebec,Quebec
jailed,gevangengezet
attain,bereiken
distributor,distributeur
hype,hype
shackles,boeien
one-eyed,eenogig
portions,porties
housework,huishoudelijk werk
ferret,fret
mami,mami
snort,snuiven
kiev,Kiev
ghostly,spookachtig
chandelier,kroonluchter
dubious,twijfelachtig
mammal,zoogdier
suspecting,vermoeden
bubbly,bubbels
jacky,Jacky
follower,volgeling
starling,spreeuw
sup,sup
albuquerque,Albuquerque
smugglers,smokkelaars
consuming,consumeren
burp,boeren
jams,jam
neighboring,aangrenzend
mathias,Mathias
explicit,expliciet
titty,tiet
dual,dubbel
anwar,anwar
plastered,gepleisterd
gums,tandvlees
extends,strekt zich uit
win-win,win-win
bitchy,kreng
nicotine,nicotine
edmond,Edmond
alumni,alumni
boop,boop
tremendously,enorm
madhouse,gekkenhuis
hearse,lijkwagen
snickering,gegrinnik
wizards,tovenaars
oaks,eiken
humankind,mensheid
belfast,Belfast
partisans,partizanen
recollection,herinnering
holdup,overval
mantis,bidsprinkhaan
martyrs,martelaren
micki,Micki
birthmark,moedervlek
baldy,kale
supporter,supporter
fundamentally,fundamenteel
exclude,uitsluiten
traveller,reiziger
vp,vp
unravel,ontrafelen
ratted,verraden
tucson,Tucson
stabilized,gestabiliseerd
banter,plezier
drilled,geboord
malloy,Malloy
red-handed,op heterdaad betrapt
architects,architecten
taxis,taxi's
consecutive,opeenvolgend
untouchable,onaantastbaar
trough,door
nisha,Nisha
wither,verdorren
pew,kerkbank
pesetas,pesetas
accelerating,versnellen
brides,bruiden
inventing,uitvinden
embark,inschepen
stalled,vastgelopen
chameleon,kameleon
spawn,paaien
selves,zelf
nicholson,Nicholson
taggart,taggart
quad,vier
sellers,verkopers
stevenson,Stevenson
walkie-talkie,walkie-talkie
fatter,dikker
tendencies,tendensen
rodent,knaagdier
soaring,zweven
bolton,Bolton
commits,commits
measles,mazelen
schwartz,schwartz
slid,geschoven
yanks,Amerikanen
tyrone,Tyrone
charities,liefdadigheidsinstellingen
vamos,vamos
benign,goedaardig
charmer,charmeur
aligned,uitgelijnd
topped,top
gnome,kabouter
wholesale,groothandel
sur,over
plunged,stortte neer
paddles,peddels
laddie,jongen
blitz,bliksemactie
dole,uitkering
barging,binnenvaart
mildly,mild
reflecting,reflecterend
tended,verzorgd
staked,ingezet
boldly,stoutmoedig
vocation,roeping
leung,leung
memoirs,memoires
infidelity,ontrouw
nugget,nugget
cecile,Cecile
operators,operators
aki,aki
swells,golven
securities,effecten
rejects,verwerpt
dialysis,dialyse
lineage,afstamming
notions,noties
wharf,werf
comedians,komieken
polygraph,leugendetector
recipient,ontvanger
atta,atta
beetles,kevers
nests,nesten
recommendations,aanbevelingen
adopting,adopteren
complication,complicatie
hemorrhage,bloeding
reconstruct,reconstrueren
anesthetic,verdovingsmiddel
consort,partner
revived,herleefd
mats,matten
owing,verschuldigd
unorthodox,onorthodox
slop,slobber
meticulous,zorgvuldig
seagull,zeemeeuw
forthcoming,binnenkort beschikbaar
dion,dion
carnegie,Carnegie
cobbler,schoenmaker
quark,quark
freezes,bevriest
simpsons,Simpsons
honours,onderscheidingen
manually,handmatig
resigning,ontslag nemen
polishing,polijsten
vibes,stemming
attila,Attila
cranberry,cranberry
gigolo,gigolo
persist,volharden
puffy,gezwollen
swiped,geveegd
fir,spar
hawke,havik
startle,schrikken
wingman,wingman
submarines,onderzeeërs
daffy,gek
erect,rechtop
mutually,onderling
roadside,langs de weg
prodigy,wonderkind
horton,horton
kerosene,kerosine
editors,redacteuren
governess,gouvernante
integrated,geïntegreerd
canine,hond
reformed,hervormd
lifeline,reddingslijn
lockers,kluisjes
hors,paarden
mondays,maandagen
world-class,wereldklasse
brighten,verhelderen
chavez,Chávez
achieving,het behalen
scottie,Scottie
optical,optische
lug,lug
lag,vertraging
spirited,levendig
hark,luister
hopelessly,hopeloos
bouncy,veerkrachtig
respecting,respect voor
bueno,goed
beirut,Beiroet
mounting,montage
hurried,haastte zich
kimchi,kimchi
jong,jong
moretti,moretti
slaughterhouse,slachthuis
davina,davina
shilling,shilling
tarts,taarten
overslept,verslapen
grinning,grijnzend
collars,halsbanden
yuen,yuen
kneeling,knielen
billings,facturering
selfishness,egoïsme
unloading,lossen
mets,mets
sanderson,Sanderson
straps,riemen
eviction,ontzetting
rog,kikker
eliminating,elimineren
bae,schatje
manhunt,klopjacht
whirlwind,wervelwind
dodo,dodo
lobsters,kreeften
riviera,riviera
millimeter,millimeter
jimi,Jimi
fished,vissen
wield,hanteren
detachment,detachement
mps,parlementsleden
legions,legioenen
hasan,hasan
hooper,hooper
crabtree,appelboom
fragrant,geurig
marek,marek
glands,klieren
palaces,paleizen
delaware,Delaware
hurley,Hurley
faction,factie
ive,ive
rooney,Rooney
nominees,genomineerden
sleepwalking,slaapwandelen
hairstyle,kapsel
pastries,gebak
eloise,Eloise
casts,worpen
tijuana,Tijuana
marple,marple
cabs,taxi's
synchro,synchro
spotless,vlekkeloos
sobriety,soberheid
gulp,slok
intensifies,intensiveert
theres,er
heirloom,erfstuk
merrily,vrolijk
unified,verenigd
fixes,oplossingen
briefs,korte broeken
aesthetic,stijlvol
swarming,zwermen
campers,kampeerders
directory,map
tabitha,tabitha
cheered,gejuicht
priestess,priesteres
entertainer,entertainer
whirl,werveling
aspen,esp
pia,pia
ipad,iPad
devastation,verwoesting
bernstein,Bernstein
lumpy,klonterig
wrinkle,rimpel
podium,podium
evils,kwaden
guesses,gissingen
discreetly,discreet
squads,teams
chunky,dik
cj,cj
gadgets,gadgets
advising,adviseren
discredit,diskrediet
awoke,ontwaakte
grammy,oma
custer,Custer
ajax,Ajax
lebanon,Libanon
stumbling,struikelen
furs,bont
chucked,weggegooid
pulmonary,longen
pawnee,pandhouder
compel,dwingen
midtown,middenstad
ottoman,ottoman
mano,mano
ramos,ramos
messengers,boodschappers
parrish,parochie
walkers,wandelaars
makoto,makoto
gibbons,gibbons
two-bit,twee-bit
ammonia,ammonia
markus,Markus
kitchens,keukens
ru,ru
swans,zwanen
pretzels,pretzels
drags,sleept
yumi,Yumi
fickle,onvoorspelbaar
punctured,doorboord
visitation,visitatie
rounding,afronden
commute,pendelen
adama,Adama
carousel,carrousel
fronts,fronten
stutters,stottert
whips,zweepslagen
wholly,geheel
checkbook,chequeboek
stronghold,bolwerk
jubilee,jubileum
offenses,overtredingen
specialize,specialiseren
diagram,diagram
civilised,beschaafd
mould,gietvorm
revival,heropleving
compulsive,dwangmatig
parisian,Parijs
egan,egan
bergman,bergman
lawsuits,rechtszaken
shui,shui
cubic,kubisch
jennie,Jennie
yogi,yogi
seasonal,seizoensgebonden
pressured,onder druk gezet
restart,opnieuw starten
kryptonite,kryptoniet
kinder,vriendelijker
friedrich,Friedrich
bosco,bosco
hesitated,aarzelde
proverb,spreekwoord
wanderer,zwerver
exchanging,ruilen
alibis,alibi's
weaving,weven
breakup,breuk
airlock,luchtsluis
gambled,gegokt
finalists,finalisten
medicinal,medicinal
depraved,verdorven
mimicking,nabootsen
bullshitting,onzin uitkramen
roofs,daken
contemplate,overdenken
physicists,natuurkundigen
heathen,heiden
urgh,bah
addictive,verslavend
solves,lost op
heartbreaking,hartverscheurend
dynamics,dynamiek
advisors,adviseurs
restoring,herstellen
outward,naar buiten
rambling,zwervend
boxed,verpakt
camped,kampeerden
praising,prijzen
topics,onderwerpen
conservatory,serre
horsemen,ruiters
tatiana,Tatiana
clarissa,Clarissa
frisbee,frisbee
defining,definiëren
momo,momo
cognitive,cognitief
braddock,braddock
diminished,verminderd
donating,doneren
stoked,enthousiast
biologist,bioloog
riff,riff
fasting,vasten
elm,iep
councilor,raadslid
starr,ster
appliances,apparaten
conspicuous,opvallend
gloom,somberheid
pacing,tempo
gopal,Gopal
scrolls,rollen
muy,heel
errol,errol
garza,garza
handcuff,handboeien
verma,verma
crusaders,kruisvaarders
creations,creaties
shep,herder
fines,boetes
implanted,geïmplanteerd
intellectuals,intellectuelen
soprano,sopraan
vanishing,verdwijnen
frightful,angstaanjagend
omelette,omelet
conquering,overwinnen
polka,polka
ordinarily,gewoonlijk
travers,travers
late-night,laat op de avond
cipher,cijfer
tonnes,tonnen
bolo,bolo
chou,chou
denounce,aangeven
impersonating,zich voordoen als
taxpayers,belastingbetalers
perceptive,scherpzinnig
wilkins,wilkins
hugely,enorm
lowering,verlagen
prescriptions,recepten
activists,activisten
affidavit,verklaring
premeditated,vooropgezet
paloma,paloma
moths,motten
patrolling,patrouilleren
anthrax,miltvuur
shipyard,scheepswerf
notre,onze
gloss,glans
adjacent,aangrenzend
phoney,nep
territorial,territorial
mannequin,mannequin
pratap,pratap
toyota,Toyota
bren,bren
cuter,schattiger
koran,Koran
paxton,Paxton
papal,pauselijk
yorker,Yorker
keepers,bewakers
yearn,verlangen
calming,kalmerend
farnsworth,Farnsworth
carp,karper
bel,bel
fluent,vloeiend
minivan,minivan
rochester,Rochester
lister,lijster
descriptions,beschrijvingen
takeout,afhaalmaaltijden
enrico,Enrico
hillbilly,plattelandsbewoner
generating,genereren
raghu,Raghu
unconditional,onvoorwaardelijk
unofficial,onofficieel
tiara,tiara
gowns,jurken
hearsay,geruchten
renovation,vernieuwing
lucinda,Lucinda
misled,misleid
pastures,weiden
clogged,verstopt
lax,laks
clank,gekletter
remington,Remington
pimps,pooiers
footing,voet
twists,draaiingen
securing,het beveiligen
fiesta,feest
sweetly,zoet
jie,jie
tien,tien
lashes,wimpers
illicit,onwettig
degrading,afbrekend
similarly,op dezelfde manier
repaid,terugbetaald
raffle,verloten
gs,gs
denzel,Denzel
sulfur,zwavel
homing,terugkeer
mead,mede
delphine,delphine
stasis,stilstand
dicky,dicky
nobleman,edelman
adelaide,Adelaide
fuji,Fuji
momentarily,even
newt,salamander
slender,slank
implicated,betrokken
reece,reece
maverick,eigenzinnige
contraption,constructie
fester,etteren
stairway,trap
earp,oor
bins,bakken
flake,vlok
cubicle,hokje
harrington,Harrington
mans,man
flashed,flitste
rainer,regen
indispensable,onmisbaar
trivia,weetjes
alderman,wethouder
manifesto,manifest
wednesdays,woensdagen
bickering,gekibbel
prized,gewaardeerd
dodged,ontweken
hurrying,haasten
kimura,Kimura
entourage,entourage
pretzel,pretzel
hickey,zuigzoen
conspired,samenzwering
mints,muntjes
thaw,dooi
unexplained,onverklaarbaar
tampa,Tampa
acquisition,acquisitie
amigos,amigos
leeches,bloedzuigers
unholy,onheilig
profiles,profielen
keypad,toetsenbord
imposter,bedrieger
gutted,gestript
conceited,verwaand
landscapes,landschappen
hewes,hewes
pubs,kroegen
pubic,schaam
infernal,hels
defiant,provocerend
correctional,correctie
rated,beoordeeld
utopia,Utopia
insanely,waanzinnig
mousse,mousse
finder,vinder
dividing,delen
veterinarian,dierenarts
puking,overgeven
huff,zuchten
puked,overgegeven
naught,niets
georgina,Georgina
greenland,Groenland
bane,vloek
merle,merle
tribune,tribune
gauze,gaas
dredge,bagger
crutches,krukken
rabble,gepeupel
handgun,handvuurwapen
vaginal,vaginaal
announcements,aankondigingen
infections,infecties
corral,omheining
renata,Renata
augustine,Augustinus
climbs,klimt
universes,universums
middle-class,middenklasse
rommel,trommel
ditto,dito
likelihood,waarschijnlijkheid
archaeological,archeologisch
coastline,kustlijn
nestor,nestor
rigor,strengheid
misconduct,wangedrag
lucid,helder
dolan,dolan
majors,hoofdvakken
donkeys,ezels
imagery,beeldmateriaal
preservation,behoud
masturbating,masturberen
presley,presley
skinned,gevild
ornament,ornament
shrunk,gekrompen
sneezing,niezen
glare,schittering
hanuman,Hanuman
exceeded,overschreden
aston,Aston
flaps,kleppen
sculptures,sculpturen
accompanying,begeleidend
sami,sami
mahoney,mahoning
scrutiny,streng toezicht
invoice,factuur
revelations,onthullingen
ho-ho,ho-ho
sprout,spruit
mime,mime
diverted,omgeleid
alms,aalmoes
tilly,Tilly
garner,verzamelen
shiv,shiv
domino,domino
escorting,begeleiding
maris,maris
aiding,hulp
penises,penissen
upgraded,geüpgraded
inserted,ingevoegd
aspirations,aspiraties
furnished,gemeubileerd
oop,oop
gunmen,gewapende mannen
unprotected,onbeschermd
smallville,klein dorp
temperament,temperament
roper,touwtrekker
chimps,chimpansees
stressing,benadrukken
rejoin,opnieuw deelnemen
madhu,Madhu
cordon,cordon
freeing,bevrijden
suitor,vrijer
tangible,tastbaar
emir,emir
limping,mank lopen
lol,lol
naina,naina
arouse,wekken
caffrey,caffrey
travellers,reizigers
monumental,monumentaal
bipolar,bipolaire
hurl,slingeren
baylor,Baylor
unwind,ontspannen
supervised,onder toezicht
chandra,Chandra
drinkin,drinken
devout,vroom
architectural,architectonisch
killin,doden
larceny,diefstal
trilling,getril
medina,medina
originals,originelen
lear,leer
sci-fi,sciencefiction
paved,geplaveid
decrease,afname
appetizer,voorgerecht
hamish,Hamish
almonds,amandelen
crunchy,knapperig
treasurer,penningmeester
waterfront,waterkant
elixir,elixer
perrine,perrine
miley,Miley
unmarked,ongemerkt
knuckle,knokkel
guatemala,Guatemala
tenure,dienstverband
abundant,overvloedig
calms,kalmeert
knicks,knicks
miraculously,wonderbaarlijk
beatings,mishandelingen
gots,gots
milking,melken
tumbling,tuimelen
bead,kraal
nurture,voeden
uber,uber
kebab,kebab
salads,salades
redundant,overbodig
yuko,Yuko
real-life,echt leven
populated,bevolkt
goalie,keeper
yusuf,Yusuf
celtic,Keltisch
superiority,superioriteit
bernardo,Bernardo
giovanna,Giovanna
uncool,niet cool
mileage,kilometerstand
cocoon,cocon
mako,mako
starlight,sterrenlicht
valves,kleppen
shucks,ach ja
surrounds,omringt
suture,hechten
landslide,aardverschuiving
okey,oké
hover,zweven
marches,marsen
foyle,foyle
tinkling,getinkel
rimmer,rander
ex-con,ex-gedetineerde
terminator,terminator
rainbows,regenbogen
circled,omcirkeld
restrained,beperkt
lodging,accommodatie
claudius,Claudius
rupture,scheuren
thinker,denker
variations,variaties
magma,magma
galley,kombuis
jodi,jodi
gloat,triomfantelijk
wayward,eigenzinnig
wolfgang,wolfgang
nein,nein
strolling,wandelen
day-to-day,dagelijks
corpus,corpus
reproduction,voortplanting
babs,babs
cannes,Cannes
railing,traliewerk
turin,Turijn
ridiculously,belachelijk
horrendous,afschuwelijk
chases,achtervolgingen
positioned,geplaatst
angrily,boos
bowler,bowler
bot,bot
naruto,naruto
yeung,yeung
caterer,cateraar
cultivate,cultiveren
fullest,volste
mcnamara,McNamara
rampage,woedeaanval
extending,uitbreiden
holloway,holle weg
forbids,verbiedt
odo,odo
forsake,verlaten
mocked,bespot
nightly,nachtelijk
petting,aaien
ust,gewoon
severance,ontslag
varsity,universiteit
damascus,Damascus
digestive,spijsvertering
retained,behouden
jagger,Jagger
quoted,geciteerd
skips,overslaan
throbbing,kloppen
firefighters,brandweerlieden
exploits,exploits
scientology,scientologie
reeks,stinkt
deficit,tekort
barrister,advocaat
pepsi,Pepsi
dunes,duinen
relied,vertrouwde
evade,ontwijken
goner,verdwenen
doggone,verdorie
gallo,gallo
christening,doop
gothic,gotisch
ethiopia,Ethiopië
bri,bri
shroud,lijkwade
dingo,dingo
smacks,klappen
spurs,sporen
stimulation,stimulatie
betrothed,verloofd
relies,vertrouwt
warped,vervormd
justification,rechtvaardiging
candid,helder
smalltime,kleinzielig
scrabble,Scrabble
vcr,videorecorder
visually,visueel
liter,liter
isobel,isobel
koo,koo
evenly,gelijkmatig
emissions,emissies
dooley,dooley
counselors,counselors
tahiti,Tahiti
revolutionaries,revolutionairen
putin,Poetin
metre,meter
conqueror,veroveraar
qui,qui
favorable,gunstig
marv,marv
montague,Montague
tarp,zeil
hancock,Hancock
mayan,Maya
overturned,omvergeworpen
holster,holster
herriot,Herriot
christa,christa
crowe,kraai
realization,realisatie
faintly,zwak
hawthorne,meidoorn
tuberculosis,tuberculose
statistically,statistisch
capri,capri
odette,Odette
tolerant,verdraagzaam
modify,bewerken
clary,clary
inhaling,inademen
plough,ploeg
exceed,overschrijden
flutter,fladderen
jackal,jakhals
detest,verafschuwen
kingston,Kingston
rhys,rhys
sapphire,saffier
andres,andres
scariest,engste
duff,duff
foresee,voorzien
unsuccessful,mislukt
sy,sy
odyssey,odyssee
premonition,voorgevoel
psychiatry,psychiatrie
sexiest,meest sexy
fathom,doorgronden
montecito,Montecito
pears,peren
seizing,inbeslagname
hani,Hani
austen,Austen
therese,daar
templar,tempelier
hoods,kappen
hospice,hospice
creak,kraken
yip,yip
maniacs,maniakken
rotating,draaiend
keaton,Keaton
behavioral,gedragsmatig
subtitled,ondertiteld
adaptation,aanpassing
eyewitnesses,ooggetuigen
indies,Indië
