you,너
tunnel,터널
designed,설계된
neighbor,이웃
aboard,배로
sweat,땀
justin,저스틴
ghosts,유령들
crimes,범죄
costs,소송 비용
deserves,마땅히 받을 자격이 있다
dreaming,꿈꾸다
bust,흉상
el,엘자
teddy,테디
kong,콩
messages,메시지
enjoying,즐기는
afterwards,나중에
comfort,편안
mason,석공
surrender,항복
gym,체육관
kitty,고양이 새끼
crush,으깨다
yup,예
arranged,준비된
suits,정장
pee,오줌
stress,스트레스
cave,동굴
wing,비행
jordan,요르단
arrange,마련하다
comrade,동료
noble,고귀한
tricks,트릭
betty,베티
launch,시작하다
legend,전설
mix,혼합
golf,골프
imagination,상상력
fox,여우
kissing,키스
butter,버터
tax,세
gross,역겨운
edward,에드워드
texas,텍사스
insist,주장하다
marcus,마커스
classic,권위 있는
selfish,이기적인
skull,두개골
frankie,프랭키
shown,표시된
bat,박쥐
survived,살아남았다
print,인쇄
champion,챔피언
bills,청구서
therapy,요법
lifetime,일생
throughout,~ 내내
a.m.,오전.
nathan,네이선
toward,~ 을 향하여
sauce,소스
experiment,실험
margaret,마거릿
describe,설명하다
ross,로스
grass,잔디
cheat,속이다
attend,참석하다
homework,숙제
lewis,남자 이름
betrayed,배신당했다
servant,하인
cap,캡
tyler,타일러
bible,성경
practically,거의
catherine,캐서린
steel,강철
wipe,닦음
burns,화상
j,j
generation,세대
cabin,선실
financial,재정적인
industry,산업
bond,노예
sheep,양
scientists,과학자들
beaten,밟아 다진
heck,젠장
deck,갑판
fans,팬들
script,스크립트
brand,상표
degree,도
painful,아픈
coughing,기침
religion,종교
cats,고양이
stephen,스티븐
influence,영향
fuel,연료
drawing,그림
uh-oh,어휴
rabbit,토끼
exercise,운동
attractive,매력적인
touching,감동
virus,바이러스
realise,깨닫다
torture,고문
blessed,축복 받은
plain,솔직한
rebecca,레베카
recent,최근의
barbara,바바라
footsteps,발자국
sacred,신성한
removed,제거됨
pretending,가장하다
wasted,지나간
jewish,유대인
goodnight,안녕히 주무세요
robot,기계 인간
crystal,결정
confirm,확인하다
lad,젊은이
mile,마일
division,분할
scratch,할퀴다
reminds,상기시켜줍니다
walks,산책
ending,종결
russia,러시아 제국
contest,경쟁
valuable,귀중한
distant,먼
dumped,버려졌다
motion,운동
electricity,전기
centre,센터
murders,살인
tina,티나
jeremy,제레미
seal,밀봉하다
standard,기준
ellen,엘렌
wore,입었다
surrounded,둘러싸여
struck,타격
inform,알리다
gentle,온화한
status,상태
purse,지갑
prints,인쇄물
players,플레이어
charged,충전됨
begging,구걸
delivered,배송 완료
kenny,케니
buck,책임
nina,니나
construction,건설
confirmed,확인됨
confession,고백
trigger,방아쇠
cells,세포
frankly,솔직히
ali,알리
exit,출구
response,응답
cancel,취소
argument,논쟁
principal,주요한
turkey,칠면조
lucas,루카스
clinic,진료소
greetings,인사말
neighbors,이웃들
vice,바이스
toy,장난감
hannah,한나
everyday,매일
generous,관대한
gain,얻다
idiots,바보들
holly,홀리
enjoyed,즐겼다
jungle,밀림
link,링크
underground,지하철
smiling,미소
mistress,정부
teams,팀
product,제품
beef,소고기
whispers,속삭임
religious,종교의
presents,선물합니다
identify,식별하다
chip,칩
chffffff,치프프프
surveillance,감시
carlos,카를로스
vampire,흡혈귀
routine,루틴
uses,사용
michelle,미셸
underneath,하면
systems,시스템
temperature,온도
waves,파도
tribe,부족
brad,브래드
deputy,대리인
sophie,소피
headquarters,본부
equal,동일한
phones,휴대폰
ken,시야
reckon,세다
related,관련된
incredibly,엄청나게
chill,냉기
spit,침
tracks,트랙
oscar,오스카
makeup,조립
bug,벌레
sounded,소리가 났다
spirits,주정
nerve,신경 이상
divorced,이혼
stake,말뚝
port,포트
doorbell,초인종
worries,걱정
nephew,조카
miller,밀러
units,단위
just—,단지-
proceed,진행하다
landing,착륙
traitor,배신자
outfit,차림새
chloe,클로이
bail,보석
fields,전지
patience,인내심
recording,녹음
foolish,바보 같은
loaded,짐을 실은
tokyo,도쿄
davis,데이비스
costume,복장
wayne,웨인
injured,다쳐서
somethin,무언가
ian,이안
pet,애완 동물
cage,새장
digging,파기
spain,스페인
seats,좌석
awkward,어색한
cleaned,청소됨
pattern,무늬
filthy,불결한
visiting,방문
jews,유대인들
answering,답변
concentrate,집중하다
someplace,어딘가
citizens,시민들
aim,목표
nancy,낸시
affairs,사무
thick,두꺼운
sport,스포츠
basic,기초적인
electric,전기 같은
pleasant,즐거운
cliff,낭떠러지
nail,못
russell,러셀
environment,환경
western,서부 사람
average,평균
ease,쉬움
raped,강간당했다
interrupt,방해하다
judy,여자 이름
satisfied,만족하는
beep,삑 하는 소리
starving,굶주린
documents,서류
anniversary,기념일
beth,베스
election,선거
warrior,전사
r,아르 자형
forth,앞으로
fetch,술책
banks,은행
placed,배치됨
timing,타이밍
stones,돌
complex,복잡한
frozen,언
replace,바꾸다
prayer,기도
skip,건너뛰다
angeles,천사들
guilt,죄
tune,곡조
woo,우
actions,행위
conscience,양심
officially,공무상
martha,마사
machines,기계
smaller,더 작은
determined,단호한
blown,부푼
hail,빗발
unhappy,불행한
booth,노점
pour,붓다
berlin,베를린
cleared,정리됨
packed,포장된
wrap,포장하다
randy,랜디
behalf,이익
reasonable,합리적인
trunk,트렁크
homes,집
festival,제전
tradition,전통
cigarettes,담배
le,르
beside,옆에
harvey,하비
motive,동기
beings,존재들
bishop,주교
dealer,상인
defendant,피고
backup,지원
wounds,상처
ouch,아야
ann,앤
nearby,가까운
drank,마셨다
effects,효과
jonathan,홍옥
dennis,데니스
benefit,혜택
adventure,모험
p,피
territory,지역
ve,베
apology,사과
dylan,딜런
unlike,같지 않은
owns,소유하다
boxes,상자
thus,따라서
clay,점토
developed,개발됨
busted,들켰다
pipe,파이프
gray,회색
no.,아니요.
goods,상품
favourite,가장 좋아하는
salad,샐러드
loyal,충실한
atmosphere,대기
eva,에바
freaking,젠장
dropping,적하
strangers,낯선 사람들
mouse,생쥐
downtown,도심
francisco,프란시스코
heroes,영웅들
pit,피트
rotten,썩은
paradise,천국
meantime,그 동안에
jess,발목 끈
organization,조직
hills,언덕
exam,시험
cock,수탉
fairy,요정
earl,백작
comment,논평
activity,활동
frame,액자
knight,기사
testing,테스트
habit,습관
shelter,대피소
flow,흐름
jennifer,제니퍼
holes,구멍
prevent,예방하다
anthony,앤서니
lend,빌려주다
cooper,쿠퍼
figures,수치
boston,보스턴
sample,견본
strip,조각
landed,착륙
buzzing,윙윙거리는 소리
monk,수도사
slightly,약간
produce,생산하다
annoying,짜증 나는
judgment,심판
laundry,빨래
ron,론
lousy,듬뿍 있는
souls,위
existence,존재
belly,배
tries,시도하다
foster,기르다
returning,반환
answered,답변됨
ward,구
plants,식물
actress,여배우
chairman,의장
individual,개인
hopes,희망
tattoo,문신
fence,울타리
sink,싱크대
punk,펑크
confident,자신감
yay,야호
mistaken,잘못된
limit,한계
bothering,귀찮게 하다
st,성
uncomfortable,불편한
wednesday,수요일
gifts,선물
policeman,경관
na,나
precisely,정확히
lawyers,변호사
greek,그리스 사람
merely,그저
criminals,범죄자들
underwear,속옷
hoped,희망했다
earned,획득함
reveal,드러내다
appeared,나타났다
derek,데릭
heavens,하늘
personality,성격
batman,말 당번
virginia,여자 이름
wives,아내들
colour,색상
worker,노동자
pope,로마 교황
instructions,지침
intelligent,지능적인
worrying,걱정스러운
vince,빈스
comin,오는 중
cried,울었다
traveling,여행
bells,종
x,엑스
impact,영향
robbed,강도를 당했다
relief,안도
host,주인
footage,피트 길이
odds,승산
patrol,순찰
circus,서커스
mud,진흙
captured,포착됨
lessons,수업
occasion,기회
sets,세트
pulse,맥박
ad,광고
invented,발명된
diamonds,다이아 패 한 벌
matthew,매튜
auntie,이모
cloud,구름
francis,프랜시스
angels,천사들
hers,그녀의 것
classes,수업
mm-hm,음흠
signature,서명
complain,불평하다
blah,블라
monitor,감시 장치
options,옵션
claims,청구
flies,파리
pat,가볍게 두드리기
britain,영국
hid,숨겼다
wailing,애호
listened,들었다
countries,국가
vic,빅
yell,소리치다
rats,쥐
wondered,궁금해했다
smooth,매끄러운
resist,저항하다
companies,회사들
fantasy,공상
passport,여권
pitch,정점
hammer,망치
homicide,살인
casey,케이시
holds,보유
flew,날았다
jacob,야곱
noon,정오
helicopter,헬리콥터
dishes,그릇
spin,회전
charm,매력
slap,찰싹
apply,적용하다
fools,바보들
screeching,날카로운 비명
discover,발견하다
previous,이전의
kit,전부
authorities,당국
moaning,신음
photograph,사진
sales,매상
fifty,오십
mickey,미키
beneath,~ 아래에
farewell,작별
clouds,구름
slipped,미끄러졌다
represent,대표하다
deaf,청각 장애인
facing,깃 달기
offense,위반
citizen,시민
clown,시골뜨기
snap,스냅
messing,엉망진창
hood,후드
twelve,열둘
interests,이해
cheated,속였다
liz,리즈
informed,잘 아는
humanity,인류
producer,생산자
technically,기술적으로
accounts,계정
extreme,극심한
gettin,얻는다
cia,시아
ii,ii
pays,지불하다
profile,윤곽
oxygen,산소
jeez,맙소사
gene,유전자
shed,창고
minor,미성년자
ex,전-
theatre,극장
scientific,과학적인
lovers,연인들
chaos,혼돈
l.a.,라.
rocket,로켓
math,수학
stubborn,고집스러운
august,팔월
oi,오이
chips,작은 조각
intense,극심한
grey,회색
talkin,말하는 중
terrorist,테러리스트
angle,각도
invitation,초대
gus,거스
gambling,도박
respond,대답하다
thirty,삼십
procedure,절차
absolute,순수한
investigate,조사하다
tragedy,비극
stable,안정적인
session,세션
capture,포착
marrying,결혼하다
ripped,찢어진
attacks,공격
stretch,뻗기
bush,부시
dates,날짜
unable,할 수 없는
gates,게이트
mars,화성
artists,예술가들
increase,증가하다
tastes,맛
cared,돌봄을 받았다
bottles,병
highest,제일 높은
whirring,윙윙거리는 소리
meanwhile,그 동안에
nate,네이트
grabbed,잡았다
pigs,돼지
chop,촙
olivia,올리비아
wheels,바퀴
shocked,충격받은
reverend,목사님
commercial,광고
escort,호위
engagement,약혼
corpse,시체
louise,루이스
worthy,가치 있는
scale,규모
beats,비트
williams,윌리엄스
threatening,험악한
exists,존재한다
academy,학원
acts,행위
hop,깡충깡충 뛰다
judges,판사들
furniture,가구
shared,공유됨
ralph,랄프
consequences,결과
engineer,엔지니어
schools,학교
softly,부드럽게
bombs,폭탄
caroline,여자 이름
shark,상어
transport,수송
population,인구
succeed,성공하다
creepy,소름 끼치는
sneak,좀도둑
studies,연구
destruction,파괴
keith,키스
protected,보호됨
monsters,괴물들
joining,합류
punished,처벌받다
lightning,번개
malcolm,말콤
shell,껍데기
fascinating,매력적인
chamber,방
ethan,에단
romance,로맨스
instance,사례
jumping,점프
groups,여러 떼
exhausted,탈진한
testify,증언하다
studied,연구된
walker,보행자
pin,핀
imagined,상상하다
drill,송곳
investigating,조사 중
ye,이인칭 대명사
experienced,경험이 풍부한
elena,엘레나
necklace,목걸이
loyalty,충의
junk,정크
cole,서양 평지
cries,울음소리
stanley,스탠리
rita,리타
southern,남부 지방 사투리
blocks,블록
emotions,감정
begun,시작됨
maya,마야
liver,간
serving,피복재
matches,성냥
surgeon,외과 의사
granted,부여된
jazz,재즈
july,칠월
supplies,용품
deeper,더 깊이
typical,전형적인
kicking,발로 차다
obey,순종하다
dancer,춤추는 사람
remote,원격
daughters,딸들
moron,멍청이
latin,라틴어
teachers,선생님들
toby,남자 이름
sandy,남자 이름
dragged,끌려갔다
strategy,전략
parent,조상
jin,진
album,앨범
compared,비교하다
rubbish,쓰레기
helpful,도움이 되는
powder,가루
sync,동조
bum,부랑자
passes,패스
joan,조안
fort,요새
choices,선택
alley,골목
supper,저녁
penis,음경
alibi,구실
sammy,남자 이름
pole,폴
coke,코카콜라
scientist,과학자
fighter,전투기
highway,고속도로
blade,잎
alpha,알파
diet,다이어트
liquor,분비액
jet,제트기
widow,과부
liberty,자유
philip,필립
moral,도의적인
carrie,캐리
award,상
grief,고통
thirsty,목마른
ashley,애슐리
random,무작위의
suspects,용의자들
intention,의도
julian,줄리안
active,활동적인
tools,도구
driven,운전하는
trauma,외상
headache,두통
safely,안전하게
alexander,알렉산더
knee,무릎
lads,남자들
novel,소설
conversations,대화
waters,물
lookin,찾고 있는
invisible,보이지 않는
internal,내부
peaceful,평화로운
humming,콧노래
washed,씻었다
drives,드라이브
talented,재간 있는
li,리
aid,지원
elephant,코끼리
troubles,근심거리
core,핵심
serial,연속물
‘s—,'에스-
painted,그린
‘the,'그만큼
divine,신성한
jam,잼
goat,염소
opera,오페라
thieves,도둑
guessing,추측
objection,반대
whiskey,위스키
florida,플로리다
resistance,저항
dressing,드레싱
attached,첨부된
aaron,아론
brief,짧은
punish,벌하다
eternal,영원한
lois,로이스
‘and,'그리고
required,필수의
victoria,빅토리아
fabulous,굉장한
twins,쌍둥이
characters,캐릭터
cooked,익힌
ln,ln
ruth,룻
dreamed,꿈꿨다
arts,기예
naughty,못된
stabbed,칼에 찔렸다
tend,추세
diane,다이앤
tap,수도꼭지
soap,비누
locker,사물함
development,개발
images,이미지
prick,찌르기
global,글로벌
string,끈
bitter,격렬한
sharing,공유하기
corn,옥수수
craig,크레이그
fits,잘 맞아요
tent,텐트
forms,양식
votes,투표
harold,해롤드
propose,제안하다
monica,모니카
constantly,끊임없이
granny,할머니
nicely,훌륭하게
nerves,신경
arguing,논쟁하다
abuse,남용
relatives,친척들
survival,활착
gloves,장갑
tracking,추적
zoe,여자 이름
u,유
bend,만곡부
review,검토
connect,연결하다
separated,분리됨
elder,장로
beard,수염
admiral,해군 대장
diana,다이아나
salary,샐러리
areas,지역
disturb,방해하다
pro,찬성
maintain,유지하다
solved,해결됨
wealth,재산
bitches,암캐들
possession,소유
sang,노래했다
gimme,줘
plates,접시
shoulders,어깨
burnt,탄
recorded,녹음됨
upper,높은
counts,카운트
tale,이야기
profit,이익
colleague,동료
warehouse,창고
hostage,인질
shore,지주
porn,포르노
miami,마이애미
fifteen,열 다섯
visitors,방문객들
bo,악
net,그물
insult,모욕
owen,오웬
cities,도시들
causing,야기하다
lemon,레몬
heal,치유하다
banging,두드리는
honeymoon,신흔 여행
appeal,항소
marshall,마셜
critical,비판적인
creating,만들기
scotland,스코틀랜드
crane,기중기
enormous,막대한
testimony,고백
praise,칭찬
fights,싸움
indians,인도인들
commission,수수료
growls,으르렁거린다
nicole,니콜
sins,죄
fraud,사기
branch,나뭇가지
happily,행복하게
bout,합
covering,피복
occurred,발생했습니다
beans,콩
raw,날것의
muscle,근
pages,페이지
tense,시제
relationships,관계
management,관리
assignment,과제
blonde,금발
catching,매력 있는 것
exposed,노출된
canada,캐나다
dont,하지 않다
han,한
von,폰
comedy,코메디
marco,마르코
stroke,뇌졸중
whistling,휘파람
buildings,건물
shaking,흔들리는
p.m.,오후
facility,시설
appropriate,적절한
remarkable,놀랄 만한
transferred,이관됨
drawn,그어진
tits,가슴
clicking,클릭
symbol,상징
motor,모터
employees,직원
ambassador,대사
mothers,어머니들
pile,말뚝
feeding,급송
soda,소다
checks,체크 무늬
bears,곰
cookies,쿠키
slut,암캐
awfully,몹시
stepped,계단
toys,장난감
levels,레벨
differently,다르게
magnificent,웅장한
steak,스테이크
tube,튜브
leaders,지도자들
superior,우수한
herr,헤르
pan,팬
expression,표현
currently,현재
throne,왕좌
deadly,치명적인
bee,벌
tooth,이빨
depressed,우울한
potatoes,감자
wicked,사악한
resources,자원
native,토종의
centuries,수 세기
karl,칼
poetry,시
multiple,다수의
cable,케이블
shortly,곧
buzz,버저 소리
socks,양말
fingerprints,지문
goddess,여신
chin,턱
anxious,불안해하는
september,구월
colors,그림 물감
basketball,농구
promises,약속
explained,설명됨
appearance,모습
musical,뮤지컬
sends,보낸다
slide,슬라이드
aii,아이
shawn,숀
ultimate,궁극적인
pork,돼지고기
communication,의사소통
payment,지불
structure,구조
paperwork,서류 작업
obsessed,중독된
lazy,게으른
russians,러시아인들
actors,배우들
squeeze,짜내다
magical,마법 같은
colleagues,동료
admire,존경하다
madness,광기
roads,도로
entry,기입
injury,부상
burden,부담
racing,경마
manner,방법
freezing,동결
bits,비트
norman,노르만 인
mount,산
battery,배터리
dessert,디저트
pound,파운드
visited,방문했다
motel,모텔
rumbling,웅웅거리는 소리
cinema,영화
fond,다정한
halfway,중간쯤
rifle,소총
reception,리셉션
statue,동상
fridge,냉장고
brick,벽돌
abandon,버리다
lap,무릎
natalie,나탈리
wars,전쟁
recommend,추천하다
brush,브러시
nelson,넬슨
pill,알약
concept,개념
w,W
delay,지연
quarters,병사
korea,한국
janet,자넷
rub,장애
mall,쇼핑 센터
soil,토양
complaint,불평
sail,돛
baker,빵 굽는 사람
coughs,기침
bucket,버킷
description,설명
badge,배지
measure,측정하다
hip,잘 알고 있기
function,기능
indistinctly,불분명하게
harris,해리스
foundation,기반
labor,노동
willie,윌리
waiter,웨이터
homeless,노숙자
proved,증명됨
unfortunate,불행한 사람
log,통나무
meetings,회의
giggles,낄낄거림
combat,전투
poem,시
polish,광택
handed,건네주었다
mia,미아
weed,잡초
raymond,레이먼드
tons,톤
satellite,위성
jersey,저지
eagle,독수리
privacy,은둔
chapter,장
treating,치료하는
wisdom,지혜
flip,튀기다
entering,입력
barn,헛간
farmer,농장주
clan,씨족
budget,예산
pub,선술집
temporary,일시적인
effective,효과적인
sonny,얘야
wendy,웬디
juan,후안
lamb,양고기
plot,구성
riley,라일리
proposal,제안
sticks,막대기
searched,검색됨
blessing,축복
rage,격노
bothered,귀찮게 하다
sydney,시드니
basis,기초
manners,예의
recover,다시 덮다
twist,트위스트
neil,닐
leak,새다
item,목
catholic,구교도
sighing,한숨 쉬며
retired,은퇴
kings,왕들
inner,안의
cents,센트
affect,영향을 미치다
forbidden,금지됨
patch,반점
drops,액
necessarily,필연적으로
provided,제공된
meters,미터
booked,예약 완료
returns,보고
gloria,글로리아
fires,화재
humor,기분
torn,찢어진
e-mail,이메일
rocky,불안정한
introduced,소개되었습니다
creative,창의적인
betray,무심코 드러내다
soviet,옛 소련
various,다양한
added,추가됨
discovery,발견
cowboy,카우보이
suspected,의심 가는
suggested,제안됨
delighted,아주 기뻐하는
sticking,붙다
dive,잠수
shane,셰인
radar,레이더
prosecutor,고발자
amber,호박색
vast,대단한
quinn,퀸
owned,소유
cookie,매력적인 여자
finest,최고급
felix,펠릭스
pump,펌프
valentine,애인
counter,계수기
sorts,종류
coin,동전
warren,남자 이름
slaves,노예들
marine,선박
illness,병
sack,해고
bid,매기다
require,필요하다
moscow,모스크바
largest,가장 큰
washing,세탁
achieve,성취하다
causes,원인
k,케이
mo,모
dope,마약
nest,둥지
palm,손바닥 안에 감추다
logan,로건
constant,끊임없는
b.,비.
boo,우우
medication,약물
gravity,중력
booze,술
noah,남자 이름
evan,에반
abroad,해외에서
christine,크리스틴
rising,상승
analysis,분석
cuts,삭감
eats,먹다
employee,직원
vodka,보드카
damaged,손상된
solar,태양열
height,키
pops,아저씨
yards,야드
terrified,겁에 질렸다
suitcase,여행 가방
chemical,화학적인
preparing,준비 중
advanced,고급의
fund,축적
wears,착용하다
chirping,지저귀는 소리
web,편물
phase,단계
prom,졸업 파티
suggesting,제안하다
fleet,함대
lame,절뚝거리는
irish,아일랜드
editor,편집자
october,십월
assumed,꾸민
whip,채찍
mel,멜
region,지역
amongst,그중에서
temper,성질
discussion,논의
engines,엔진
operate,작동하다
sunshine,햇빛
acted,연기했다
undercover,위장
horror,공포
tested,테스트됨
smash,스매시
contrary,반대되는
roses,장미
poker,포커
wrapped,포장된
korean,한국인
graham,그레이엄
mi,미
fu,부
ivan,이반
focused,집중된
liam,리암
tragic,비참한
carla,카를라
demons,악마들
rounds,라운드
entertainment,오락
gathered,모인
uhh,어...
yells,고함
lincoln,링컨
crossing,횡단
blanket,담요
nut,너트
travis,트래비스
pockets,주머니
limited,제한된
paintings,그림
sober,냉철한
caesar,시저
sis,여동생
intended,예정된
niece,조카
computers,컴퓨터
tennis,테니스
needle,바늘
chicks,병아리
traditional,전통적인
delicate,연약한
independent,독립적인
leslie,레슬리
lauren,로렌
grandson,손자
repair,수리하다
a.,에이.
brandon,브랜든
executive,경영진
colin,콜린
recognized,인정된
holmes,홈즈
regarding,~에 관하여
weakness,약점
aliens,외계인
gunshots,총소리
european,유럽 사람
method,방법
tool,도구
demands,요구 사항
permit,허용하다
towel,수건
daisy,데이지
nowadays,요즘에는
spider,거미
northern,북부 사투리
rangers,레인저스
zoo,동물원
praying,기도하다
antonio,안토니오
passengers,승객
con,범죄자
australia,호주
technique,기술
cellphone,휴대폰
gently,부드럽게
operations,운영
planes,비행기
bunny,토끼
gunfire,포화
shining,빛나는
backwards,뒤로
skill,기능
uh—,음-
baron,남작
kidnapping,유괴
iike,좋아
marshal,육군 원수
petty,자그마한
sealed,밀봉됨
massage,마사지
raising,인상
menu,메뉴
diary,다이어리
fucker,개자식
wagon,왜건
audition,오디션
mitch,미치
mexican,멕시코 인
casino,카지노
bacon,베이컨
diego,디에고
dutch,네덜란드 사람
promotion,홍보
click,딸깍 하는 소리
forgiveness,용서
burst,터지다
permanent,영구적인
interfere,간섭하다
chanting,찬송
dammit,젠장
spencer,스펜서
recovered,회복됨
registered,등기
sunny,화창한
packing,포장
scenes,장면들
superman,초인
questioning,질문
unfair,불공정
admitted,인정함
ancestors,부조
polite,예의 바른
completed,완전한
swallow,삼키다
conduct,지휘하다
prayers,기도
sheet,시트
fried,볶은 것
avenue,수단
poisoned,독살된
reverse,뒤집다
newspapers,신문
ford,포드
complaining,불평하다
senses,감각
investment,투자
absurd,터무니없는
potato,감자
understands,이해합니다
grows,자라납니다
inspired,탁월한
ruby,루비
celebrating,축하하며
tag,꼬리표
ram,숫양
requires,필수
bonnie,보니
bugs,벌레
leonard,레오나드
elliot,엘리엇
hooked,낚였다
jill,처녀
ranch,농장
safer,더 안전한
worn,착용
crashing,충돌
lands,땅
heather,히스
ash,금연 건강 증진 협회
leather,가죽
grounds,근거
assuming,가정하다
nails,손톱
dana,다나
conspiracy,음모
thanksgiving,추수감사절
pierre,피에르
guardian,보호자
rumors,소문
yen,엔
megan,메간
ashes,재
terror,공포
misunderstanding,오해
tire,타이어
boats,보트
parade,행렬
halt,정지
immunity,면제
adults,성인
steam,증기
kang,강
closely,면밀히
pearl,진주
soccer,축구
adrian,아드리안
priority,우선 사항
shouts,외침
donald,도널드
happier,더 행복한
khan,칸
struggling,고군분투하는
root,뿌리
larger,더 큰
november,십일월
boot,신병
conflict,갈등
laughed,웃었다
debbie,데비
cherry,벚나무
honking,경적을 울리다
concerns,우려사항
celebration,축하
sore,아픈
unconscious,무의식
cattle,가축
breasts,가슴
fairly,꽤
fee,요금
recognise,인정하다
wade,걸어 건너기
radiation,방사
holidays,휴가
raining,비가 내리고 있다
forgetting,잊다
lungs,폐
register,등록하다
shadows,그림자
specifically,구체적으로
sarge,사지
ideal,이상적인
turtle,거북이
spoil,약탈
deserved,당연한
ronnie,로니
gina,지나
candidate,후보자
lance,창
types,유형
bloke,놈
explode,터지다
immediate,즉각적인
belonged,소속되었다
identified,식별됨
di,디
hunger,굶주림
closest,가장 가까운
combination,콤비네이션
nanny,여자 이름
seth,세스
gabriel,가브리엘
develop,개발하다
detectives,형사들
severe,극심한
en,en
organized,조직된
franklin,프랭클린
gut,거트
splendid,화려한
dismissed,기각됨
pm,오후
yang,양
halloween,할로윈
ellie,엘리
vulnerable,취약한
continued,계속되는
vital,필수적인
comrades,동지
bureau,국
drawer,서랍
harper,하퍼
retreat,후퇴
carson,카슨
benny,베니
pillow,베개
troy,트로이
ace,에이스
cart,카트
nap,선잠
chan,찬
ham,햄
announce,발표하다
borrowed,빌린
parked,주차됨
galaxy,은하
voted,투표함
muffled,muffled
sebastian,세바스찬
mmm-hmm,음흠
jewelry,보석류
kisses,키스
luggage,수화물
groom,신랑
oops,앗!
lighter,거룻배
masters,석사
alliance,동맹
buddies,친구들
clothing,의류
denied,거부됨
drown,안 들리게 하다
alike,서로 같은
excellency,우수
relative,상대적인
photographs,사진
burger,버거
dough,가루 반죽
alicia,알리시아
wreck,난파선
approve,승인하다
produced,생산됨
christina,크리스티나
physically,신체적으로
stations,역
eli,엘리
samantha,사만다
spiritual,영적인
sire,폐하
roaring,활발한
stab,찌르다
inch,인치
servants,하인들
limits,제한
unexpected,예기치 않은
arrival,도착
whimpering,훌쩍거림
basket,바구니
sheets,시트
scandal,추문
stink,악취
homer,호머
tara,타라
christopher,크리스토퍼
toes,발가락
‘t—,'티-
shield,방패
shooter,사수
instant,즉각적인
objects,사물
rehearsal,암송
disturbing,불안한
directed,지시된
scan,주사
electronic,전자
republic,공화국
overnight,밤새
counsel,조언
sirens,사이렌
dorothy,도로시
bait,미끼
dignity,위엄
explains,설명하다
lean,기대다
heroin,헤로인
tracy,트레이시
rex,렉스
barney,바니
gossip,잡담
humble,겸손한
economy,경제
worlds,세계
impress,날인
clara,클라라
tissue,조직
threaten,위협하다
et,et
bump,충돌
supreme,최고
bingo,빙고
mitchell,미첼
excitement,흥분
mankind,인류
document,문서
broad,넓은
vietnam,베트남
vessel,선박
lit,문학
dale,골짜기
killers,살인자들
connor,코너
mario,마리오
foul,반칙
stare,응시
deaths,사망자
hut,오두막
elements,강요
coma,혼수
laying,부설
coffin,관
paula,폴라
cocaine,코카인
puppy,강아지
louder,더 크게
handled,처리됨
announcement,발표
oath,맹세
mob,무리
cotton,면
deposit,보증금
taxes,구실
injuries,부상
jen,젠
autopsy,검시
advise,권하다
gig,작살
lecture,강의
posted,게시됨
skinny,정보
lo,봐라
include,포함하다
revealed,노출된
infected,감염된
relieved,안도하는
assistance,보조
solo,독주
determine,결정하다
terrorists,테러리스트들
elsewhere,다른 곳
lamp,램프
practical,현실적인
marked,두드러진
adorable,사랑스러운
rubber,고무
purple,보라
operating,운영
suite,모음곡
apologies,사과드립니다
personnel,인원
beam,빔
poet,시인
samples,샘플
arrow,화살
counselor,참사관
carpet,양탄자
allen,앨런
audrey,오드리
spotted,더럽혀진
floating,떠 있는
corrected,수정됨
located,위치
journalist,기자
insisted,주장했다
operator,연산자
rely,의존하다
singh,싱
fooled,속았다
arrives,도착하다
i.d.,ID.
leon,레온
walt,월트
eastern,동쪽
ay,아아
shave,깎다
remaining,남은
toss,던져 올림
anderson,앤더슨
lip,말뿐인
acid,산
nora,노라
si,시
december,12월
anonymous,익명의
inn,여인숙
planted,심었다
oldest,가장 오래된
breast,가슴
sixth,육도 음정
error,오류
reporting,보고
egypt,이집트
islands,섬들
brother-in-law,처남
jules,줄스
roommate,룸메이트
sings,노래한다
scum,찌끼
visitor,방문객
giggling,낄낄거리는
described,설명됨
geez,맙소사
inches,신장
commitment,약속
hercules,헤라클레스
react,반응하다
cows,소
protest,항의
misery,불행
theft,훔침
embrace,포옹하다
darn,꿰매다
harsh,가혹한
andrea,안드레아
communicate,의사소통하다
fathers,아버지들
faithful,충실한
hector,헥토르
uh-uh,어-어
flame,불꽃
medal,메달
silk,명주
photographer,사진작가
trevor,트레버
cemetery,묘지
rear,뒤쪽
freddy,프레디
banana,바나나
allison,앨리슨
emotion,감정
chap,녀석
dated,날짜가 있는
excuses,변명
shitty,엉망진창
bin,큰 상자
jew,유태인
gum,잇몸
crushed,밀어 넣는
efforts,노력
content,콘텐츠
corporal,상등병
realised,깨달았다
del,델
rap,랩
hopeless,희망이 없다
debate,토론
era,연대
luckily,운 좋게
ton,톤
liquid,액체
swell,팽창
peggy,페기
feast,잔치
murphy,머피
attracted,끌어당긴
application,애플리케이션
profession,직업
bench,벤치
vanessa,바네사
ahem,흠흠
symptoms,증상
scout,스카우트
crashed,충돌
keen,날카로운
aircraft,항공기
formed,형성된
hon,혼
aggressive,공격적인
pale,창백한
significant,중요한
duncan,던컨
clubs,클럽
visual,시각적
embassy,대사관
defence,방어
cabinet,내각
display,표시하다
fame,명성
gibbs,깁스
drowned,익사하다
wolves,늑대들
