you,Ty
allergic,uczulony
den,legowisko
wells,studnie
spoiled,rozpieszczony
chen,kucharz
accomplished,znakomity
repay,spłacać
politicians,politycy
logic,logika
gratitude,wdzięczność
afghanistan,Afganistan
exception,wyjątek
ultimately,ostatecznie
pablo,Pablo
compromise,kompromis
majority,większość
journal,dziennik
signals,sygnały
bent,zgięty
dock,dok
meg,mega
essential,niezbędny
campbell,Campbell
climate,klimat
experiments,eksperymenty
ink,atrament
magazines,czasopisma
rivers,rzeki
teresa,Teresa
administration,administracja
passionate,namiętny
precise,dokładny
lawn,trawnik
via,przez
jeans,dżinsy
murmuring,mruczenie
resort,uciec
announced,ogłoszony
buddha,Budda
fries,frytki
capacity,pojemność
lena,Lena
opponent,przeciwnik
chains,więzy
minus,minus
apples,jabłka
angie,Angie
seattle,Seattle
aww,ojej
instrument,instrument
healing,gojenie : zdrowienie
convention,konwencja
messenger,posłaniec
explore,badać
sonia,Sonia
versus,przeciw
survivor,niedobitek
ruled,rządził
boyd,chłopiec
clarence,Clarence
madison,Madison
cough,kaszel
experts,eksperci
disguise,przebranie
archer,łucznik
bicycle,rower
noises,hałasy
inviting,atrakcyjny
pregnancy,ciąża
declared,zdeklarowany
yi,yi
vicky,Vicky
drums,bębny
wooden,drewniany
innocence,niewinność
mouths,usta
bees,pszczoły
creaking,skrzypienie
cloth,płótno
sasha,Sasza
unh,nie
skies,niebo
painter,malarz
allies,sojusznicy
miguel,Michał
pond,staw
runway,pas startowy
robbie,Robbie
assist,wspierać
lana,Lana
presented,zaprezentowano
mona,mona
sickness,choroba
civilian,cywil
fighters,wojownicy
facebook,Facebook
customs,odprawa celna
florence,Florencja
remembers,pamięta
sharks,rekiny
juliet,Julia
shrimp,krewetka
tore,rozdarł
seventh,siódmy
ou,ty
avoiding,unikanie
dawson,Dawson
isaac,Izaak
rolled,zwinięty
championship,mistrzostwo
household,gospodarstwo domowe
float,platforma
chad,Czad
ballet,balet
cracking,wyśmienity
raj,raj
possessed,opętany
harmless,niegroźny
curiosity,ciekawość
vicious,podstępny
officials,urzędnicy
glove,rękawica
nearest,najbliższy
manny,manny
begged,błagał
que,co
withdraw,wycofać
shocking,wstrząsający
guessed,zgadł
nightmares,koszmary
greedy,chciwy
forehead,czoło
corps,korpus
pirates,piraci
rudy,rudy
reservation,rezerwacja
hunters,myśliwi
fog,mgła
flu,grypa
good-looking,przystojny
hint,wskazówka
peanut,arachid
stark,sztywny
gamble,hazard
erin,Erin
autumn,jesień
bracelet,bransoletka
contain,zawierać
arrogant,arogancki
simpson,Simpson
piper,dudziarz
knocks,puka
sperm,sperma
gesture,gest
materials,przybory
lindsay,Lindsay
alexis,Aleksiej
ticking,tykanie
standards,standardy
ribs,żeberka
receipt,paragon
regards,pozdrowienia
whatsoever,cokolwiek
homeland,ojczyzna
leap,skok
targets,cele
snoring,chrapanie
damon,Damon
leaf,liść
jar,słoik
brooke,Brooke
proposed,zaproponowano
savage,okrutny
caring,opiekuńczy
ivy,bluszcz
approximately,około
kidnap,porwać kogoś
carries,niesie
bounce,odbić się
creek,zatoczka
pony,kucyk
cleaner,odkurzacz
businessman,biznesmen
ha-ha,ha-ha
lunatic,wariat
unlikely,mało prawdopodobny
gal,gal
situations,sytuacje
colony,kolonia
sells,sprzedaje
choi,choi
chambers,kancelaria
volume,tom
sweets,słodycze
panties,majtki
respects,wyrazy szacunku
reads,czyta
seeds,posiew
engage,angażować się
explosives,materiały wybuchowe
stewart,Stewart
violet,fioletowy
mutual,wzajemne
lighting,oświetlenie
scores,wyniki
lenny,Lenny
savings,oszczędności
beware,strzec się
stephanie,Stephanie
educated,wykształcony
complaints,uskarżanie się
cassie,Kasia
doomed,stracony
offensive,ofensywa
harvest,zbiór
qualified,wykwalifikowany
relaxed,zrelaksowany
cape,peleryna
buffalo,bawół
triple,potroić
fireworks,fajerwerki
palmer,pielgrzym z ziemi świętej
armor,zbroja
poverty,ubóstwo
leadership,przywództwo
rode,jechał
ambition,ambicja
cakes,ciasta
trousers,spodnie
bean,fasola
melt,stopić
racist,rasistowski
bam,bach
ankle,kostka
occupied,zajęty
nicer,ładniejszy
correctly,prawidłowo
terrifying,przerażające
hugh,Hugh
gasp,dech zapierać ze zdziwienia
villain,złoczyńca
willy,Willy
marc,marc
draft,projekt
factor,czynnik
whew,uff
countess,hrabina
portrait,portret
suggests,sugeruje
font,chrzcielnica
blair,Blair
learnt,uczony
pencil,ołówek
coordinates,współrzędne
collapsed,zawalił się
reserve,zarezerwować
jeffrey,Jeffrey
shirts,koszule
umbrella,parasol
stevie,Stevie
ta,ta
traveled,bywały
auto,automatyczny
logical,logiczny
chew,żuć
eliminate,wyeliminować
beverly,Beverly
carbon,węgiel
cancelled,odwołany
crawling,pełzanie
stepping,krok
independence,niezależność
medium,średni
canceled,odwołany
tess,Tess
fanny,dupa
seated,siedzący
upbeat,podniesienie ręki
asian,azjatycki
drowning,utonięcie
messy,niechlujny
quest,poszukiwanie
represents,reprezentuje
fletcher,fletcher
memorial,memoriał
doyle,Doyle
stressed,akcentowany
bearing,łożysko
watches,zegarki
spoon,łyżka
cooperation,współpraca
tucker,wielkie żarcie
earthquake,trzęsienie ziemi
sailing,żeglarstwo
involve,zaangażować
houston,Houston
asia,Azja
spectacular,spektakularny
reliable,niezawodny
breach,naruszenie
sophisticated,wyrafinowany
echo,echo
indicate,wskazać
swamp,bagno
vehicles,pojazdy
manual,podręcznik
elegant,elegancki
compound,mieszanina
serves,służy
scares,straszy
rattling,porywisty
pursue,realizować
dreamt,śnił
stefan,Stefan
revolutionary,rewolucyjny
wa,wa
rig,takielunek
convincing,przekonywający
fiona,Fiona
tribal,plemienny
cleveland,cleveland
lex,leksyka
depth,głębokość
blaming,obwinianie
aids,AIDS
elaine,Elaine
wakes,budzi się
occur,zdarzać się
1st,1.
camping,kemping
fart,pierdnięcie
stamp,stempel
kathy,Kathy
assassin,morderca
approved,zatwierdzony
crucial,kluczowy
annual,coroczny
torch,latarka
dallas,Dallas
fulfill,spełniać
bon,dobry
resting,spoczynkowy
reunion,zjazd
witnessed,poświadczony
graduated,ukończył studia
sub,zastąpić
howling,wyjący
clyde,Clyde
hospitals,szpitale
stall,stoisko
legacy,dziedzictwo
otto,otto
riot,zamieszki
shops,sklepy
whereabouts,miejsce pobytu
teenager,nastolatek
samuel,Samuel
squealing,pisk
mines,kopalnie
danced,tańczył
crowded,zatłoczony
orleans,Orlean
literature,literatura
3rd,3.
morgue,kostnica
strongest,najsilniejszy
agnes,Agnieszka
transmission,przenoszenie
panel,płyta
sole,podeszwa
sequence,sekwencja
sexually,seksualnie
georgie,Georgie
hugo,Hugo
denny,Denny
smack,zadatki
congratulate,pogratulować
anxiety,Lęk
choking,duszenie się
tolerate,tolerować
mode,tryb
communications,komunikacja
welfare,zasiłek
dice,kostka do gry
orphan,sierota
locks,zamki
settlement,osada
advertising,reklama
uniforms,mundury
mcgee,McGee
devoted,oddany
shoots,pędy
principles,zasady
circuit,okrążenie
nickname,przydomek
dot,kropka
scenario,scenariusz
choir,chór
stunt,popis kaskaderski
smoked,wędzony
isolated,odosobniony
equally,równie
statements,oświadczenia
gil,gil
shaw,szach
lipstick,pomadka
courtesy,kurtuazja
hobby,hobby
hesitate,wahać się
hatch,właz
luis,Luis
sylvia,Sylwia
phoned,zadzwonił
experiences,wzruszenie religijne
popped,wyskoczył
quid,funt szterling
fragile,kruchy
husbands,mężowie
fiction,fikcja
persuade,namówić
pastor,pastor
dolls,lalki
pose,poza
ji,dżi
ming,ming
rupees,rupie
tricked,oszukany
ruins,gruzy
sadly,niestety
owed,winien
importantly,co ważne
louie,Louie
industrial,przemysłowy
musician,muzyk
labour,praca
evolution,ewolucja
salute,salut
ba,ba
cent,cent
bartender,barman
calendar,kalendarz
hal,hal
miracles,cuda
balcony,balkon
horny,zrogowaciały
regard,szacunek
valerie,Waleria
fold,zginać
organs,organy
nigel,Nigel
theo,teo
einstein,Einstein
boris,Borys
suitable,odpowiedni
inaudible,niesłyszalny
son-in-law,zięć
melody,melodia
phillip,Filip
movements,ruchy
differences,różnice
barbecue,rożen
trading,handlowy
strongly,silnie
fluid,płyn
scholarship,stypendium
translation,tłumaczenie
cricket,krykiet
shuttle,czółenko
moans,jęki
quicker,szybciej
picks,wybiera
murderers,mordercy
videos,filmy
initial,wstępny
perimeter,obwód
questioned,kwestionowany
yea,tak
cousins,kuzyni
divided,podzielony
linked,połączony
laboratory,laboratorium
crab,krab
pulls,ciągnie
landlord,gospodarz
reggie,Reggie
hostile,wrogi
classified,sklasyfikowany
cultural,kulturalny
measures,środki
update,aktualizacja
cottage,domek
backyard,podwórko
amateur,amator
chopper,siekacz
rash,wysypka
despair,rozpacz
honorable,honorowy
shiny,błyszczący
hawk,jastrząb
shorts,szorty
ni,nie
representative,przedstawiciel
wong,wong
pouring,zsyp
distress,rozpacz
tanner,garbarz
telegram,telegram
pimp,sutener
dip,zanurzać
trophy,trofeum
marilyn,Marilyn
hallelujah,alleluja
neal,Neal
es,es
howdy,cześć
misses,tęskni
flush,spłukać
magician,magik
dynamite,dynamit
cuba,Kuba
conquer,podbić
unpleasant,nieprzyjemny
jealousy,zazdrość
regrets,żale
lifted,wzniesiony
increased,zwiększony
toxic,toksyczny
broadway,Broadway
sakes,sake
pudding,pudding
rally,rajd
needing,potrzebujący
bloom,kwiat
corporation,korporacja
buys,kupuje
disorder,nieład
interrupting,przerywanie
sadness,smutek
cease,przerwać
barnes,barnes
scoundrel,łajdak
sensible,rozsądny
evans,Evans
specialist,specjalista
dragging,włóka
bribe,przekupić
burke,Burke
bothers,przeszkadza
interrogation,przesłuchanie
prescription,recepta
referring,odnosząc się
knives,noże
graduation,podziałka
t-shirt,koszulka
liking,gust
bubbles,bąbelki
grid,siatka
haircut,ostrzyżenie
regardless,mimo wszystko
lodge,wigwam
poisoning,zatrucie
feathers,pióra
edgar,Edgar
software,oprogramowanie
marina,marina
sophia,Zofia
queens,królowe
oak,dąb
trips,wycieczki
scaring,straszenie
avery,Avery
awhile,trochę
sofa,sofa
conscious,świadomy
swords,miecze
instincts,instynkty
deliberately,celowo
starve,głodować
venus,Wenus
olive,oliwka
maniac,maniak
psychological,psychologiczny
robinson,Robinson
soo,więc
belle,piękność
landscape,krajobraz
straw,słoma
dam,zapora
mandy,Mandy
accuse,oskarżać
rehab,rehabilitacja
switzerland,Szwajcaria
agenda,porządek obrad
glue,klej
salesman,sprzedawca
diner,tania restauracja
projects,projektowanie
floors,podłogi
mainly,głównie
biological,biologiczny
sincere,szczery
weigh,ważyć
pad,podkładka
swiss,szwajcarski
cue,replika
witches,czarownice
opposed,przeciwny
brand-new,zupełnie nowy
tourists,turyści
sneaking,skradanie się
harvard,Harvard
spying,szpiegowanie
sketch,naszkicować
parliament,parlament
behold,ujrzeć
blamed,obwiniany
topic,temat
offices,biura
sacrificed,poświęcony
loop,pętla
drivers,kierowcy
battles,bitwy
blond,blond
plead,błagać
races,wyścigi
tanya,Tanya
salmon,łosoś
bizarre,dziwaczny
rico,rico
isabel,brunatnożółty
wig,peruka
reaches,sięga
heights,wysokości
possibilities,możliwości
wax,wosk
travels,podróże
confidential,poufny
pursuit,pościg
herd,stado
scissors,nożyczki
cd,płyta CD
spies,szpiedzy
exams,egzaminy
invention,wynalazek
explaining,wyjaśniając
replacement,wymiana
bombing,bombardowanie
erik,Eryk
springs,sprężyny
chelsea,Chelsea
sabrina,Sabrina
kicks,kopnięcia
integrity,uczciwość
dash,kropla
jae,jae
senate,senat
mentally,umysłowo
flee,uciec
gangster,gangster
beautifully,estetycznie
roberts,Roberts
slim,szczupły
choosing,wybieranie
promising,obiecujący
objective,cel
joyce,Joyce
altogether,całkowicie
attract,pociągać
ernie,Ernie
melanie,Melanie
prep,przygotowanie
neighbours,sąsiedzi
nailed,przybity
briefcase,aktówka
buzzer,brzęczyk
quitting,rzucenie
puppet,marionetka
restore,przywrócić
dozens,dziesiątki
betting,zakłady
pancakes,naleśniki
corridor,korytarz
embarrass,zawstydzić
visits,wizyty
database,baza danych
cheryl,Cheryl
achieved,osiągnięty
sucking,przy piersi
encourage,przekonywać
grades,oceny
gps,GPS
barks,szczeka
patterns,wzory
relevant,odpowiedni
mafia,mafia
hudson,Hudson
expense,koszt
intact,nienaruszony
occasionally,sporadycznie
kiddo,dzieciaku
heartbeat,bicie serca
identical,identyczny
cigar,cygaro
billions,miliardy
alec,Alec
gained,zyskał
venice,Wenecja
classical,klasyczny
noodles,kluski
consistent,spójny
clip,klips
resign,rezygnować
insects,owady
failing,w braku
organic,organiczny
seize,chwycić
charging,ładowanie
mug,kubek
iris,irys
crow,wrona
ella,ona
fountain,fontanna
observation,obserwacja
abortion,poronienie
railroad,popędzać
straighten,wyprostować
legitimate,prawowity
sting,żądło
youngest,najmłodszy
fork,widelec
du,ty
flynn,Flynn
ciao,cześć
coroner,koroner
jonas,Jonas
marching,maszerować
touches,dotyka
jade,jadeit
feared,obawiano się
griffin,gryf bajeczny
expedition,wyprawa
forcing,wymuszanie
neighbour,sąsiad
digital,cyfrowy
deeds,czyny
milan,Mediolan
bernie,Bernie
attic,strych
jr,junior
whores,dziwki
sentimental,sentymentalny
cooler,chłodnica
eun,eunuch
bert,bert
feds,federalni
reese,Reese
plea,zarzut
polly,Polly
metres,metrów
harmony,harmonia
difficulty,trudność
bands,kołnierz sutanny i togi
dried,wysuszony
aunty,ciocia
maker,producent
randall,Randall
supporting,wspierający
brake,hamulec
girlfriends,dziewczyny
features,cechy
photography,fotografia
vengeance,zemsta
inappropriate,nieodpowiedni
vacuum,próżnia
throws,rzuca
kane,Kane
residents,mieszkańcy
endure,wytrzymać
substance,substancja
corrupt,skorumpowany
potter,garncarz
investigator,badacz
thread,nitka
priests,księża
gap,luka
whining,marudzenie
scarf,szalik
institution,instytucja
immortal,nieśmiertelny
marsh,bagno
chapel,kaplica
desperately,beznadziejnie
accidents,Wypadki
alcoholic,alkoholowy
fabric,tkanina
nazis,naziści
railway,kolej żelazna
sal,sól
dame,dama
rebels,rebelianci
custom,zwyczaj
pension,emerytura
cans,puszki
possess,posiadać
kira,kira
poster,plakat
developing,rozwijający się
addict,nałogowiec
feature,funkcja
cope,radzić sobie
lords,panowie
delightful,zachwycający
wrestling,zapasy
rio,Rio
reduce,zmniejszyć
rescued,uratowany
peg,kołek
mercedes,mercedes
guaranteed,gwarantowane
emotionally,emocjonalnie
poland,Polska
accountant,księgowy
theories,teorie
tumor,guz
automatic,automatyczny
amusing,zabawny
unnecessary,niepotrzebny
higgins,Higgins
voting,głosowanie
buster,buster
stadium,stadion
visible,widoczny
easter,Wielkanoc
jeep,jeep
dj,DJ
les,les
garcia,Garcia
tracked,śledzony
ignorant,nieświadomy
pledge,zastaw
deserted,opustoszały
esther,Estera
rum,rum
fisher,rybak
wheelchair,wózek inwalidzki
salvation,zbawienie
lester,Lester
wonders,cudeńka
clattering,brzęczenie
maintenance,konserwacja
tobacco,tytoń
underwater,podwodny
divide,dzielić
slightest,najmniejszy
discount,rabat
yoga,joga
vagina,pochwa
rushing,gwałtowny
modest,skromny
make-up,makijaż
wes,zachód
reduced,zmniejszony
whisper,szept
pressing,pilny
tops,najfatalniejszy
variety,różnorodność
ignored,zignorowano
helena,Helena
writers,pisarze
grain,ziarno
essentially,esencjonalnie
archie,Archie
individuals,osoby
meredith,Meredith
gavin,Gawin
subtle,subtelny
interviews,wywiady
pinky,mały palec
cord,sznur
sites,witryny
brennan,Brennan
maddie,Maddie
vienna,Wiedeń
issued,wydany
lasted,trwał
explosive,materiał wybuchowy
origin,pochodzenie
unto,do
rogue,łobuz
x-ray,zdjęcie rentgenowskie
superintendent,superintendent
cody,kody
jacques,Jakub
ol,stary
challenges,wyzwania
corruption,korupcja
sullivan,Sullivan
shutter,migawka
erase,usuwać
ski,jeździć na nartach
forensics,kryminalistyka
flavor,smak
fastest,najszybszy
vet,weterynarz
civilians,cywile
lobster,homar
housing,mieszkania
canal,kanał
robots,roboty
shade,cień
ambitious,ambitny
orchestra,orkiestra
succeeded,udało się
guidance,przewodnictwo
hence,stąd
bella,piękna
seoul,Seul
jose,Józef
inevitable,nieunikniony
tick,kleszcz
rival,rywalizować
refuses,odmawia
purchase,zakup
wander,wędrować
ireland,Irlandia
hanna,Hanna
hanged,powieszony
napoleon,Napoleon
elite,elita
craft,rzemiosło
cult,kult
whisky,whisky
profits,zyski
shelf,półka
kai,Kai
allowing,pozwalając
chart,wykres
accusing,oskarżający
buzzes,brzęczy
weekends,weekendy
humiliated,upokorzony
hissing,syczący
treats,smakołyki
granddaughter,wnuczka
serena,Serena
submit,składać
supervisor,kierownik
sniffing,wąchanie
resident,rezydent
tearing,rozdzierający
obliged,zobowiązany
opportunities,możliwości
knights,rycerze
hangs,wisi
jerusalem,Jerozolima
stew,gulasz
counted,policzono
instruments,instrumenty
triumph,triumf
nun,zakonnica
frequency,częstotliwość
resume,wznawiać
marines,marines
distract,rozpraszać
satisfaction,zadowolenie
historical,historyczny
creates,tworzy
costumes,kostiumy
swedish,szwedzki
lizzie,Lizzie
depending,zależnie
sour,kwaśny
spark,iskra
freely,swobodnie
scotty,scotty
freaks,dziwaków
shan,szan
globe,glob
peak,szczyt
sentenced,skazany
fierce,zaciekły
scam,oszustwo
hollow,dziurawy
anton,Antoni
hoo,hoo
concentration,stężenie
presume,przypuszczać
invest,inwestować
eleanor,Eleonora
radical,rodnik
protective,ochronny
smiles,uśmiechy
stunning,zachwycający
frustrated,udaremniony
suspenseful,trzymający w napięciu
breed,rasa
adore,adorować
controlling,kontrolowanie
reagan,Reagan
pasta,makaron
precinct,obręb
swallowed,połknięty
execute,wykonać
4th,4.
towels,ręczniki
architect,architekt
delta,delta
honks,trąbki
preserve,utrzymywać
dose,dawka
stove,kuchenka
codes,kody
instantly,natychmiast
bugger,facet
vivian,Vivian
yoon,yoon
doo,drzwi
haul,zaciąg
orphanage,sierociniec
bolt,śruba
autograph,autograf
sharply,ostro
habits,nawyki
villagers,mieszkańcy wsi
cracks,spękanie
dwight,Dwight
omar,Omar
assembly,montaż
meds,leki
marge,margaryna
magnetic,magnetyczny
romans,Rzymianie
joshua,Jozue
sorted,posortowane
assets,aktywa
insulted,znieważony
outstanding,wybitny
essence,istota
wardrobe,szafa
ling,molwa
nam,nam
benson,Benson
restaurants,restauracje
disco,dyskoteka
flirting,flirtowanie
abilities,umiejętności
dolly,laleczka
handful,garść
mice,myszy
pumpkin,dynia
bennett,Bennett
sweating,wyzysk
anchor,kotwica
thankful,wdzięczny
interior,wnętrze
moore,Moore
urge,pragnienie
surrounding,otaczający
strain,napięcie
curtains,zasłony
gypsy,cygański
tomato,pomidor
blanche,blanche
bonds,obligacje
compassion,współczucie
greece,Grecja
ceo,dyrektor generalny
arabic,arabski
examination,badanie
participate,brać udział
veins,słojowanie
cups,stan nietrzeźwy
additional,dodatkowy
sofia,Sofia
obsession,obsesja
responsibilities,obowiązki
ridge,grzbiet
intent,zamiar
axe,topór
reckless,nieostrożny
missiles,pociski
razor,brzytwa
corners,rogi
frightening,przerażający
rains,deszcze
mutant,mutant
wally,wally
whereas,mając na uwadze， że
heavenly,niebiański
promoted,lansowany
dang,cholera
maiden,panna
comments,uwagi
batteries,baterie
bark,kora
seas,morza
congressman,kongresmen
canyon,kanion
casual,zwykły
rack,stojak
expectations,oczekiwania
flowing,płynący
adjust,regulować
decade,dekada
pine,sosna
tails,ogony
baxter,Baxter
wires,przewody
pigeon,gołąb
finance,finanse
respectable,poważny
demonstration,demonstracja
prank,wybryk
appointed,wyznaczony
treason,zdrada
views,widoki
violin,skrzypce
stir,zamieszać
lifestyle,styl życia
realm,królestwo
monty,Monty
roosevelt,Roosevelt
missy,Missy
fitting,dopasowywanie
tuna,tuńczyk
tuck,podwinąć
inspection,kontrola
nursing,pielęgniarstwo
jared,Jared
poop,kupa
cardinal,kardynał
altar,ołtarz
herman,Herman
carlo,Karol
tourist,turystyczny
conviction,przekonanie
jelly,galareta
thrill,dreszczyk
lounge,salonik
cha,cha
zip,zamek błyskawiczny
hogan,Hogan
dimension,wymiar
choke,dusić
backing,poparcie
pains,trud
bodyguard,goryl
rug,dywan
jaw,szczęka
ants,mrówki
popcorn,prażona kukurydza
courtroom,sala sądowa
reynolds,Reynolds
pointless,bezcelowy
documentary,dokumentalny
donor,dawca
mortgage,hipoteka
tunnels,tunele
enforcement,egzekwowanie
demanding,wymagający
cocks,koguty
eliminated,wyłączony
agh,agh
rapidly,wartko
refer,wspominać
shipment,wysyłka
tasted,skosztował
fails,nie udaje się
michel,Michał
rushed,pochopny
ordering,zamawianie
efficient,wydajny
outrageous,skandaliczny
gracious,łaskawy
slaughter,ubój
marijuana,marihuana
monroe,Monroe
pipes,kobza
backed,wspierany
vest,kamizelka
approached,zbliżył się
mechanic,mechanik
mumbai,Bombaj
arizona,Arizona
legendary,legendarny
delayed,opóźniony
resolve,rozstrzygać
relation,relacja
amelia,Amelia
mechanical,mechaniczny
fare,opłata za przejazd
karma,karma
jefferson,Jefferson
chorus,chór
nana,babcia
extend,rozszerzyć
info,informacje
saddle,siodło
pretended,fałszywy
equals,równa się
motherfuckers,skurwysyny
artificial,sztuczny
accomplish,osiągać
burial,pogrzeb
lynn,Lynn
detention,pozbawienie wolności
vow,ślub
bake,upiec
breakdown,załamanie
dvd,płyta DVD
delhi,Delhi
selected,wybrany
lightly,lekko
dealers,dealerzy
layer,warstwa
gown,suknia
courtney,Courtney
incoming,przybywający
reid,Reid
countryside,wieś
cheaper,tańszy
smelled,pachniało
devon,Devon
ducks,kaczki
lethal,śmiertelny
swan,łabędź
attending,uczestnicząc
moonlight,światło księżyca
ropes,liny
dispatch,załatwić
notebook,zeszyt
punched,uderzył
identification,identyfikacja
contracts,kontrakty
scattered,rozsiany
trusting,ufny
susie,Susie
prayed,modlił się
volunteers,wolontariusze
remembering,pamiętając
adopt,przyjąć
calvin,Kalwin
worms,robaki
consideration,namysł
bandits,bandyci
moses,Mojżesz
zombies,zombie
lionel,lew
non,nie
transplant,przeszczep
crackling,skwarek
loneliness,samotność
frasier,frasier
epic,epicki
gladly,ochoczo
marcel,Marcel
mon,poniedziałek
frost,mróz
registration,rejestracja
prophet,prorok
launched,wystrzelony
constitution,konstytucja
roland,Roland
claude,Klaudiusz
sock,skarpetka
dragons,smoki
buyer,kupujący
regulations,regulamin
mimi,mimi
volcano,wulkan
accomplice,wspólnik
bounty,hojność
hotels,hotele
favors,przysługi
opinions,opinie
pressed,prasowany
asylum,przytułek
blunt,tępy
duel,pojedynek
niles,Nil
consult,konsultować
nevertheless,niemniej jednak
carnival,karnawał
au,au
baba,baba
hah,hah
paths,ścieżki
rides,przejażdżki
tray,taca
cynthia,Cynthia
te,te
handcuffs,kajdany
shannon,Shannon
barrier,bariera
supposedly,rzekomo
faggot,pęk
hunch,przeczucie
disposal,sprzedaż
yacht,jacht
stain,plama
thoughtful,przemyślany
healed,uzdrowiony
syndrome,zespół
hairy,włochaty
kansas,Kansas
happiest,najszczęśliwszy
entertain,bawić się
ambush,zasadzka
recommended,zalecony
childish,dziecinny
meter,metr
gilbert,Gilbert
lease,wynajem
climbed,wspiął się
nadia,Nadia
unstable,nietrwały
exploded,eksplodował
apollo,Apollo
rogers,Rogers
politician,polityk
rs,rs
awaits,czeka
abraham,Abraham
evelyn,Ewelina
particles,cząsteczki
violation,naruszenie
lined,prążkowany
amazed,zdziwiony
lure,wabik
lyrics,teksty piosenek
pod,strąk
fran,fran
universal,uniwersalny
hulk,ponton
drunken,pijany
continuing,kontynuując
goals,cele
warming,ogrzewanie
dc,prąd stały
chemicals,chemikalia
owl,sowa
xena,Xena
compromised,skompromitowany
grounded,uziemiony
cane,trzcinowy
avenge,pomścić
dexter,Zręczny
phantom,fantom
notion,pojęcie
directors,dyrektorzy
tease,podjudzać
forensic,sądowy
doe,łania
outcome,wynik
slam,zatrzasnąć
shattered,rozbity
cheque,sprawdzać
baked,pieczony
sought,poszukiwany
racket,rakieta
hammond,Hammond
rider,jeździec
exotic,egzotyczny
cory,Kory
extent,zakres
eighth,ósma
stack,stos
wheat,pszenica
shipping,wysyłka
satisfy,usatysfakcjonować
kara,kara
departure,wyjazd
finch,zięba
blocking,bloking
regiment,pułk
kin,krewny
klaus,Klaus
surf,fale przybrzeżne
kilometers,kilometrów
rises,wznosi się
frighten,straszyć
abused,nadużywany
gerald,Gerald
colours,zabarwienie
hath,ma
marvin,marvin
texts,teksty
spaghetti,spaghetti
chester,Chester
bosses,szefowie
elephants,słonie
snarling,warczenie
contained,zawierał
laurie,Laurie
arab,Arab
bumped,uderzył
chili,czerwony pieprz
yah,tak
sustained,trwały
abducted,porwany
panicked,spanikowany
shallow,płytki
diving,nurkowanie
artie,Artie
harriet,Harriet
generator,generator
federation,federacja
mulder,Mulder
arresting,areszt
techniques,techniki
feather,pióro
printed,wydrukowane
untie,rozwiązać
jupiter,Jupiter
hay,siano
stalking,myślistwo
conrad,Konrad
phony,fałszywy
brett,brett
whack,walnięcie
scored,zdobył
continent,kontynent
articles,artykuły
oxford,Oksford
z,z
organize,zorganizować
sensors,czujniki
shanghai,Szanghaj
wh,Wh
sniper,snajper
noisy,hałaśliwy
framed,oprawiony
horizon,horyzont
twilight,zmierzch
reflection,odbicie
masks,maski
godfather,ojciec chrzestny
merchant,kupiec
wages,wynagrodzenie
robe,szata
waist,talia
stinking,śmierdzący
disappointment,rozczarowanie
venture,przedsięwzięcie
voyage,rejs
curry,curry
ominous,złowieszczy
sunlight,światło słoneczne
oui,tak
overseas,za granicą
casualties,ofiary wypadku
aaah,aaaa
mattress,materac
grill,grill
marketing,marketing
accepting,akceptując
occupation,zawód
deadline,termin ostateczny
freed,uwolniony
exhibit,wystawa
poems,wiersze
echoing,powtarzanie
shin,goleń
compliments,gratulacje
til,aż
define,określić
urine,mocz
foreman,majster
facial,twarzowy
combined,łączny
brody,brody
probation,staż
reject,odrzucić
catches,złapać
dances,tańce
gemma,pączek
pinch,szczypta
ingredients,składniki
ra,ra
hurricane,huragan
chatting,czatowanie
mini,mały
heel,obcas
adding,dodawanie
bandit,bandyta
destined,przeznaczony
limo,limuzyna
spa,spa
graves,groby
turkish,turecki
listed,katalogowany
corpses,zwłoki
matty,Matty
evacuate,ewakuuję
publish,publikować
judith,Judyta
banned,zakazany
snaps,zatrzaski
cheeks,policzki
predict,przewidywać
ohio,Ohio
holland,Holandia
confront,konfrontować
utterly,całkowicie
pals,kumple
pilots,piloci
umm,eee
jonah,Jonasz
ironic,ironiczny
improved,ulepszony
popping,trzaskanie
mills,młyny
farther,dalej
delivering,dostarczanie
skipper,szyper
flattered,pochlebiony
coconut,orzech kokosowy
acknowledge,uznawać
shuts,zamyka
sweden,Szwecja
hooray,hura
sip,łyk
blessings,błogosławieństwa
grocery,sklep spożywczy
terminal,terminal
parks,parki
meaningless,bez znaczenia
awards,nagrody
fade,znikać
hiring,wynajmowanie
burton,Burton
fees,opłaty
wretched,nędzny
krishna,Kryszna
thoroughly,dokładnie
exhibition,wystawa
spends,spędza
denver,Denver
winners,zwycięzcy
doris,Doris
luther,Luter
disappearance,zanik
madrid,Madryt
supported,utrzymany
advised,rozmyślny
regina,królowa
supermarket,supermarket
hereby,niniejszym
pier,molo
shorter,krótszy
betrayal,zdrada
philadelphia,Filadelfia
christians,chrześcijanie
psychology,psychologia
danielle,Danielle
trent,trent
keeper,opiekun
detroit,Detroit
canadian,kanadyjski
su,su
associates,współpracownicy
gerry,Gerry
restless,niespokojny
collector,kolektor
marvellous,cudowny
physician,lekarz
exposure,narażenie
grudge,uraza
lid,pokrywa
followers,świta
glow,blask
submarine,podwodny
towns,miasta
pawn,pionek
edith,Edyta
includes,obejmuje
lu,lu
proposition,propozycja
