you,du
ol,gammel
challenges,udfordringer
corruption,korruption
sullivan,Sullivan
shutter,lukker
erase,slette
ski,ski
forensics,retsmedicin
flavor,smag
fastest,hurtigste
vet,dyrlæge
civilians,civile
lobster,hummer
housing,bolig
canal,kanal
robots,robotter
shade,skygge
ambitious,ambitiøs
orchestra,orkester
succeeded,lykkedes
guidance,vejledning
hence,derfor
bella,bella
seoul,Seoul
jose,José
inevitable,uundgåelig
tick,flåt
rival,konkurrerende
refuses,nægter
purchase,køb
wander,vandre
ireland,Irland
hanna,hanna
hanged,hængt
napoleon,napoleon
elite,elite
craft,håndværk
cult,kult
whisky,whisky
profits,overskud
shelf,hylde
kai,kai
allowing,tillader
chart,diagram
accusing,anklagende
buzzes,brummer
weekends,weekender
humiliated,ydmyget
hissing,hvæsende
treats,godbidder
granddaughter,barnebarn
serena,serena
submit,indsende
supervisor,tilsynsførende
sniffing,snuse
resident,beboer
tearing,rive
obliged,forpligtet
opportunities,muligheder
knights,riddere
hangs,hænger
jerusalem,Jerusalem
stew,gryderet
counted,talt
instruments,instrumenter
triumph,triumf
nun,nonne
frequency,frekvens
resume,genoptage
marines,marinesoldater
distract,distrahere
satisfaction,tilfredshed
historical,historisk
creates,skaber
costumes,kostumer
swedish,svensk
lizzie,Lizzie
depending,afhængigt
sour,sur
spark,gnist
freely,frit
scotty,Scotty
freaks,freaks
shan,shan
globe,globus
peak,spids
sentenced,dømt
fierce,voldsom
scam,svindel
hollow,hul
anton,Anton
hoo,hø
concentration,koncentration
presume,antage
invest,investere
eleanor,Eleanor
radical,radikal
protective,beskyttende
smiles,smil
stunning,fantastisk
frustrated,frustreret
suspenseful,spændende
breed,race
adore,tilbede
controlling,kontrollerende
reagan,Reagan
pasta,pasta
precinct,distrikt
swallowed,slugte
execute,udføre
4th,4.
towels,håndklæder
architect,arkitekt
delta,deltaet
honks,dytter
preserve,bevare
dose,dosis
stove,komfur
codes,koder
instantly,øjeblikkeligt
bugger,idiot
vivian,Vivian
yoon,Yoon
doo,doo
haul,slæbe
orphanage,børnehjem
bolt,bolt
autograph,autograf
sharply,skarpt
habits,vaner
villagers,landsbyboere
cracks,revner
dwight,Dwight
omar,Omar
assembly,forsamling
meds,medicin
marge,marge
magnetic,magnetisk
romans,romerne
joshua,joshua
sorted,sorteret
assets,aktiver
insulted,fornærmet
outstanding,udestående
essence,essens
wardrobe,garderobe
ling,lange
nam,navn
benson,Benson
restaurants,restauranter
disco,diskotek
flirting,flirting
abilities,evner
dolly,dukke
handful,håndfuld
mice,mus
pumpkin,græskar
bennett,Bennett
sweating,svedtendens
anchor,anker
thankful,taknemmelig
interior,indre
moore,moore
urge,trang
surrounding,omkringliggende
strain,belastning
curtains,gardiner
gypsy,sigøjner
tomato,tomat
blanche,hvid
bonds,obligationer
compassion,medfølelse
greece,Grækenland
ceo,administrerende direktør
arabic,arabisk
examination,undersøgelse
participate,deltage
veins,vener
cups,kopper
additional,ekstra
sofia,Sofia
obsession,besættelse
responsibilities,ansvarsområder
ridge,ryg
intent,hensigt
axe,økse
reckless,hensynsløs
missiles,missiler
razor,barbermaskine
corners,hjørner
frightening,skræmmende
rains,regn
mutant,mutant
wally,Wally
whereas,hvorimod
heavenly,himmelsk
promoted,forfremmet
dang,pokker
maiden,jomfru
comments,kommentarer
batteries,batterier
bark,bark
seas,havene
congressman,kongresmedlem
canyon,kløft
casual,afslappet
rack,stativ
expectations,forventninger
flowing,flydende
adjust,tilpasse
decade,årti
pine,fyrretræ
tails,haler
baxter,Baxter
wires,ledninger
pigeon,due
finance,finansiere
respectable,respektabel
demonstration,demonstration
prank,spøg
appointed,udnævnt
treason,forræderi
views,visninger
violin,violin
stir,røre
lifestyle,livsstil
realm,rige
monty,Monty
roosevelt,Roosevelt
missy,frøken
fitting,montering
tuna,tunfisk
tuck,stikke
inspection,inspektion
nursing,sygepleje
jared,jared
poop,afføring
cardinal,kardinal
altar,alter
herman,Herman
carlo,Carlo
tourist,turist
conviction,domfældelse
jelly,gele
thrill,spænding
lounge,lounge
cha,cha
zip,postnummer
hogan,Hogan
dimension,dimension
choke,kvæle
backing,opbakning
pains,smerter
bodyguard,livvagt
rug,tæppe
jaw,kæbe
ants,myrer
popcorn,popcorn
courtroom,retssal
reynolds,Reynolds
pointless,meningsløs
documentary,dokumentar
donor,donor
mortgage,pant
tunnels,tunneler
enforcement,håndhævelse
demanding,krævende
cocks,haner
eliminated,elimineret
agh,ag
rapidly,hurtigt
refer,henvis
shipment,forsendelse
tasted,smagte
fails,mislykkes
michel,michel
rushed,skyndte sig
ordering,bestilling
efficient,effektiv
outrageous,uhyrlig
gracious,nådig
slaughter,slagte
marijuana,marihuana
monroe,monroe
pipes,rør
backed,bakket op
vest,vest
approached,nærmede sig
mechanic,mekaniker
mumbai,Mumbai
arizona,Arizona
legendary,legendarisk
delayed,forsinket
resolve,løse
relation,forhold
amelia,Amelia
mechanical,mekanisk
fare,billetpris
karma,karma
jefferson,Jefferson
chorus,kor
nana,bedstemor
extend,udvide
info,information
saddle,sadel
pretended,foregav
equals,lig med
motherfuckers,røvhuller
artificial,kunstig
accomplish,udrette
burial,begravelse
lynn,Lynn
detention,tilbageholdelse
vow,løfte
bake,bage
breakdown,sammenbrud
dvd,dvd'en
delhi,Delhi
selected,udvalgte
lightly,let
dealers,forhandlere
layer,lag
gown,kjole
courtney,Courtney
incoming,indkommende
reid,Reid
countryside,landskabet
cheaper,billigere
smelled,lugtede
devon,Devon
ducks,ænder
lethal,dødbringende
swan,svane
attending,deltager
moonlight,måneskin
ropes,reb
dispatch,forsendelse
notebook,notesbog
punched,stanset
identification,identifikation
contracts,kontrakter
scattered,spredt
trusting,tillidsfuld
susie,Susie
prayed,bedte
volunteers,frivillige
remembering,huske
adopt,adoptere
calvin,Calvin
worms,orme
consideration,betragtning
bandits,banditter
moses,Moses
zombies,zombier
lionel,Lionel
non,ikke
transplant,transplantation
crackling,knitrende
loneliness,ensomhed
frasier,frasier
epic,episk
gladly,med glæde
marcel,Marcel
mon,man
frost,frost
registration,registrering
prophet,profet
launched,lanceret
constitution,forfatning
roland,Roland
claude,Claude
sock,sok
dragons,drager
buyer,køber
regulations,regler
mimi,Mimi
volcano,vulkan
accomplice,medskyldig
bounty,dusør
hotels,hoteller
favors,tjenester
opinions,meninger
pressed,presset
asylum,asyl
blunt,stump
duel,duel
niles,Nilen
consult,konsultere
nevertheless,ikke desto mindre
carnival,karneval
au,au
baba,baby
hah,hah
paths,stier
rides,forlystelser
tray,bakke
cynthia,Cynthia
te,te
handcuffs,håndjern
shannon,Shannon
barrier,barriere
supposedly,angiveligt
faggot,bøsse
hunch,fornemmelse
disposal,bortskaffelse
yacht,yacht
stain,plet
thoughtful,tankefuld
healed,helbredt
syndrome,syndrom
hairy,behåret
kansas,Kansas
happiest,lykkeligste
entertain,underholde
ambush,baghold
recommended,anbefalet
childish,barnlig
meter,måler
gilbert,Gilbert
lease,leje
climbed,klatrede
nadia,Nadia
unstable,ustabil
exploded,eksploderede
apollo,Apollo
rogers,Rogers
politician,politiker
rs,rs
awaits,venter
abraham,Abraham
evelyn,Evelyn
particles,partikler
violation,krænkelse
lined,foret
amazed,forbløffet
lure,lokkemiddel
lyrics,sangtekster
pod,pod
fran,fran
universal,universel
hulk,Hulk
drunken,beruset
continuing,fortsætter
goals,mål
warming,opvarmning
dc,dc
chemicals,kemikalier
owl,ugle
xena,Xena
compromised,kompromitteret
grounded,jordet
cane,sukkerrør
avenge,hævne
dexter,Dexter
phantom,fantom
notion,begreb
directors,direktører
tease,drille
forensic,retsmedicinsk
doe,hind
outcome,resultat
slam,slam
shattered,knust
cheque,check
baked,bagt
sought,søgte
racket,ketcher
hammond,Hammond
rider,rytter
exotic,eksotisk
cory,Cory
extent,grad
eighth,ottende
stack,stak
wheat,hvede
shipping,forsendelse
satisfy,tilfredsstille
kara,kara
departure,afgang
finch,finke
blocking,blokering
regiment,regiment
kin,slægtning
klaus,Klaus
surf,surfe
kilometers,kilometer
rises,stiger
frighten,skræmme
abused,misbrugt
gerald,Gerald
colours,farver
hath,har
marvin,Marvin
texts,tekster
spaghetti,spaghetti
chester,Chester
bosses,chefer
elephants,elefanter
snarling,knurrende
contained,indeholdt
laurie,Laurie
arab,arabisk
bumped,stødte
chili,chili
yah,ja
sustained,vedvarende
abducted,bortført
panicked,panikslagen
shallow,lavvandet
diving,dykning
artie,artie
harriet,Harriet
generator,generator
federation,føderation
mulder,Mulder
arresting,anholdelse
techniques,teknikker
feather,fjer
printed,trykt
untie,løsne
jupiter,Jupiter
hay,hø
stalking,forfølgelse
conrad,Konrad
phony,falsk
brett,Brett
whack,smæk
scored,scorede
continent,kontinent
articles,artikler
oxford,Oxford
z,z
organize,organisere
sensors,sensorer
shanghai,Shanghai
wh,hv
sniper,snigskytte
noisy,støjende
framed,indrammet
horizon,horisont
twilight,tusmørke
reflection,afspejling
masks,masker
godfather,gudfar
merchant,købmand
wages,lønninger
robe,kåbe
waist,talje
stinking,stinkende
disappointment,skuffelse
venture,venture
voyage,rejse
curry,karry
ominous,ildevarslende
sunlight,sollys
oui,ja
overseas,oversøisk
casualties,ofre
aaah,åååh
mattress,madras
grill,grill
marketing,markedsføring
accepting,accepterende
occupation,besættelse
deadline,deadline
freed,frigjort
exhibit,udstille
poems,digte
echoing,ekko
shin,skinneben
compliments,komplimenter
til,til
define,definere
urine,urin
foreman,formand
facial,ansigtsbehandling
combined,kombineret
brody,Brody
probation,prøvetid
reject,afvise
catches,fangster
dances,danser
gemma,Gemma
pinch,klemme
ingredients,ingredienser
ra,ra
hurricane,orkan
chatting,chatter
mini,mini
heel,hæl
adding,tilføjer
bandit,bandit
destined,bestemt
limo,limousine
spa,spa
graves,grave
turkish,tyrkisk
listed,opført
corpses,lig
matty,Matty
evacuate,evakuerer
publish,offentliggøre
judith,Judith
banned,forbudt
snaps,snaps
cheeks,kinder
predict,forudsige
ohio,Ohio
holland,Holland
confront,konfrontere
utterly,fuldstændig
pals,venner
pilots,piloter
umm,øhm
jonah,Jonas
ironic,ironisk
improved,forbedret
popping,popping
mills,møller
farther,fjernere
delivering,leverer
skipper,skipper
flattered,smigret
coconut,kokosnød
acknowledge,anerkende
shuts,lukker
sweden,Sverige
hooray,hurra
sip,nippe til
blessings,velsignelser
grocery,købmand
terminal,terminal
parks,parker
meaningless,meningsløs
awards,priser
fade,falme
hiring,ansættelse
burton,burton
fees,gebyrer
wretched,elendig
krishna,Krishna
thoroughly,grundigt
exhibition,udstilling
spends,bruger
denver,Denver
winners,vindere
doris,Doris
luther,Luther
disappearance,forsvinden
madrid,Madrid
supported,understøttet
advised,rådgivet
regina,Regina
supermarket,supermarked
hereby,hermed
pier,mole
shorter,kortere
betrayal,forræderi
philadelphia,Philadelphia
christians,kristne
psychology,psykologi
danielle,danielle
trent,Trent
keeper,målmand
detroit,Detroit
canadian,canadisk
su,sø
associates,medarbejdere
gerry,Gerry
restless,rastløs
collector,samler
marvellous,vidunderlig
physician,læge
exposure,eksponering
grudge,nag
lid,låg
followers,følgere
glow,glød
submarine,undervandsbåd
towns,byer
pawn,bonde
edith,Edith
includes,inkluderer
lu,lu
proposition,forslag
joker,jokeren
spilled,spildt
opposition,modstand
jang,jang
haley,Haley
hose,slange
partnership,partnerskab
usa,USA
timmy,Timmy
breathes,ånder
whoops,ups
astronaut,astronaut
porch,veranda
leonardo,leonardo
responding,svarer
wishing,ønsker
boil,koge
kneel,knæle
tammy,tammy
clumsy,klodset
rapid,hurtig
xiao,Xiao
stevens,Stevens
invested,investeret
janice,Janice
roller,rulle
thai,thailandsk
justify,retfærdiggøre
garlic,hvidløg
yelled,råbte
simone,Simone
ammunition,ammunition
sushi,sushi
shaft,aksel
definition,definition
gardens,haver
chandler,chandler
ne,ne
notify,underrette
brady,Brady
beasts,dyr
setup,opsætning
greed,grådighed
dared,turde
unlucky,uheldig
classroom,klasseværelset
treaty,traktat
hike,vandretur
dagger,dolk
spine,rygrad
detect,opdage
chow,mad
des,des
teenagers,teenagere
handwriting,håndskrift
mock,hån
challenging,udfordrende
salon,salon
virtue,dyd
lawsuit,retssag
shelly,shelly
clap,klappe
mustache,moustache
offence,forbrydelse
med,med
sultan,sultanen
attraction,attraktion
franco,franco
courts,domstole
fortress,fæstning
peel,skræl
petrol,benzin
disappears,forsvinder
asset,aktiv
warp,kæde
workshop,værksted
traps,fælder
jeannie,Jeannie
appreciated,værdsat
condemned,fordømt
garrett,Garrett
muttering,mumler
shook,rystede
naval,flåde-
egyptian,egyptisk
expand,udvide
sunrise,solopgang
swine,svin
jingle,jingle
lordship,herredømme
peach,fersken
filmed,filmet
pakistan,Pakistan
oughta,burde
selection,udvælgelse
squeaking,knirkende
condom,kondom
sadie,Sadie
barbie,Barbie
alongside,ved siden af
risking,risikerer
democratic,demokratisk
nerd,nørd
dancers,dansere
crook,skurk
mack,mack
grasp,forståelse
translate,oversætte
behaving,opfører sig
humiliating,ydmygende
quarrel,skændes
lively,livlig
fury,raseri
policemen,politibetjente
sensei,sensei
elders,ældre
battlefield,slagmark
sticky,klæbrig
glen,dal
liu,Liu
primitive,primitiv
reign,regeringstid
eugene,Eugene
stash,lager
evolved,udviklet
shifts,vagter
unlock,oplåsning
devices,enheder
peculiar,ejendommelig
talents,talenter
anita,Anita
foreigners,udlændinge
snacks,snacks
mint,mynte
pissing,pisser
fuse,sikring
manuel,Manuel
towers,tårne
freezer,fryser
inheritance,arv
villages,landsbyer
beckett,Beckett
jewel,juvel
bollocks,vrøvl
shells,skaller
swept,fejet
recognition,anerkendelse
shovel,skovl
artistic,kunstnerisk
qualities,kvaliteter
ferry,færge
darren,Darren
misunderstood,misforstået
portal,portalen
atomic,atomar
javier,Javier
ava,ava
claiming,hævder
examined,undersøgt
defensive,defensiv
kenneth,Kenneth
kat,kat
sensation,sensation
5th,5.
increasing,stigende
fugitive,flygtning
urban,bymæssig
visions,visioner
bathing,badning
gregory,Gregory
delight,glæde
iot,ting
genes,gener
boundaries,grænser
caution,forsigtighed
ellis,ellis
strangled,kvalt
thorough,grundig
ike,ikke
bites,bid
nude,nøgen
tidy,ryddelig
patricia,Patricia
tate,Tate
obligation,forpligtelse
ari,ari
clearance,fritrum
reserved,reserveret
nasa,NASA
spock,Spock
marion,Marion
reflect,afspejle
jammed,fastklemt
sleeve,ærme
classy,elegant
fag,bøsse
angelo,angelo
bradley,Bradley
bananas,bananer
ex-husband,eksmand
saints,helgener
longest,længste
confirmation,bekræftelse
mushrooms,svampe
cyrus,Kyros
toni,Toni
finals,finaler
millionaire,millionær
adoption,adoption
wired,kablet
comet,komet
handing,aflevering
cheerful,glad
deb,deb
acceptable,acceptabel
realistic,realistisk
waits,venter
sufficient,tilstrækkelig
cosmic,kosmisk
nolan,nolan
gabe,Gabe
intellectual,intellektuel
vomit,opkastning
warmth,varme
magnum,magnum
associated,tilknyttet
alas,ak
engineers,ingeniører
offend,fornærme
overwhelming,overvældende
sherry,sherry
inherited,arvet
antoine,Antoine
whooping,kighoste
scars,ar
sheldon,Sheldon
purposes,formål
robbing,røveri
refrigerator,køleskab
instructor,instruktør
darrin,Darrin
moms,mødre
overtime,overarbejde
percy,Percy
laurel,laurbær
females,hunner
sacrifices,ofre
representing,repræsenterer
drift,drift
ruthless,ubarmhjertig
po,po
arguments,argumenter
crappy,elendig
musicians,musikere
sidney,Sydney
depressing,deprimerende
lasts,varer
doom,undergang
milo,milo
cant,kan ikke
backpack,rygsæk
aisle,midtergang
insulting,fornærmende
edition,udgave
losses,tab
sh,sh
preacher,prædikant
schmidt,Schmidt
swinging,svingende
managing,administrerende
sinking,synker
lacey,lacey
casting,støbning
trials,forsøg
demonstrate,demonstrere
diseases,sygdomme
beggar,tigger
amounts,beløb
traced,spores
raven,ravn
activate,aktivere
slapped,slået
heroic,heroisk
roar,brøl
queer,queer
uk,Storbritannien
matching,matchende
trump,trumf
resignation,resignation
newton,Newton
sincerely,oprigtigt
stacy,Stacy
saul,Saul
madman,galning
jenkins,Jenkins
poke,stikke
spicy,krydret
swap,bytte
programs,programmer
sheer,ren
spaceship,rumskib
schultz,Schultz
blink,blinke
steer,styre
males,hanner
injection,indsprøjtning
ant,myre
reform,reform
motherin-law,svigermor
properties,egenskaber
virtually,virtuelt
camps,lejre
tapping,tapping
tequila,tequila
inquiry,forespørgsel
fainted,besvimede
formation,dannelse
shields,skjolde
escaping,undslippe
unemployed,arbejdsløs
murdering,myrde
interviewed,interviewet
striking,slående
vows,løfter
donovan,Donovan
antique,antik
il,il
sherlock,Sherlock
puke,opkast
hysterical,hysterisk
taller,højere
employment,beskæftigelse
agrees,enig
dodge,undvige
unite,forene
mumbling,mumler
rabbits,kaniner
repeating,gentagende
mule,muldyr
locals,de lokale
neighbourhood,kvarter
hayes,Hayes
bats,flagermus
beliefs,overbevisninger
spared,skånet
vegetable,grøntsag
liv,liv
bunker,bunker
channels,kanaler
phenomenon,fænomen
hips,hofter
grayson,Grayson
expelled,udvist
camille,Camille
languages,sprog
iv,fjerde
premises,lokaliteter
pronounce,udtale
ng,ng
bridges,broer
ape,abe
julius,Julius
bruises,blå mærker
convict,straffefange
prettier,smukkere
elections,valg
annoyed,irriteret
hometown,hjemby
earrings,øreringe
discreet,diskret
poured,hældt
morphine,morfin
henderson,Henderson
jun,juni
narrating,fortællende
rookie,nybegynder
peanuts,jordnødder
camel,kamel
abe,abe
chewing,tygning
imagining,forestille sig
runner,løber
tomatoes,tomater
sponsor,sponsor
fulfilled,opfyldt
probe,sonde
karate,karate
grease,fedt
dinosaurs,dinosaurer
rebellion,oprør
marta,Marta
lone,ensom
nan,nan
underestimate,undervurdere
acres,hektar
carlton,Carlton
hacked,hacket
barber,barber
mining,minedrift
aged,alderen
designs,design
preferred,foretrukken
onions,løg
stray,omstrejfende
void,ugyldig
sixteen,seksten
slower,langsommere
hannibal,Hannibal
sabotage,sabotage
rabbi,rabbiner
concerning,vedrørende
dixon,Dixon
holt,Holt
mannix,mannix
noted,bemærket
peterson,Peterson
dental,tandlæge
obama,Obama
squirrel,egern
committing,begå
werewolf,varulv
slipping,glidende
matthews,Matthews
explosions,eksplosioner
seo,SEO
russ,russ
whitney,Whitney
ignoring,ignorerer
infinite,uendelig
cavalry,kavaleri
lam,lam
suzanne,Suzanne
bomber,bombefly
ruling,afgørelse
boiling,kogende
needles,nåle
semester,semester
irrelevant,irrelevant
savior,frelser
veil,slør
tramp,tramp
roberto,roberto
deepest,dybeste
perfection,fuldkommenhed
shutting,lukker
iii,iii
tiffany,Tiffany
mentor,mentor
branches,grene
enthusiasm,entusiasme
arena,arena
listens,lytter
hardware,hardware
greatly,i høj grad
battalion,bataljon
moustache,moustache
irresponsible,uansvarlig
audio,lyd
ga,ga
initiative,initiativ
sweaty,svedig
noel,Noel
requests,anmodninger
distraction,distraktion
parrot,papegøje
steed,hest
entertaining,underholdende
whipped,pisket
proving,bevise
assaulted,overfaldet
piggy,gris
pause,pause
surviving,overlevende
funding,finansiering
dinosaur,dinosaurus
acquaintance,bekendtskab
bedtime,sengetid
rail,jernbane
rooster,hane
cowards,kujoner
hastings,Hastings
container,beholder
lori,Lori
secured,sikret
tossed,kastet
stripper,stripper
steele,stål
waving,vinke
clamoring,råben
banker,bankmand
bacteria,bakterie
indicates,indikerer
assassination,snigmord
starring,hovedrollen
drawings,tegninger
cupboard,skab
sanctuary,fristed
surgical,kirurgisk
pairs,par
purely,rent
temptation,fristelse
elderly,ældre
geoffrey,Geoffrey
vibe,stemning
profound,dybsindig
gong,gong
transformed,forvandlet
crop,afgrøde
detailed,detaljeret
scrap,skrot
abigail,Abigail
careless,ligegyldig
dove,due
sloppy,sjusket
atlanta,Atlanta
hideous,hæslig
lizard,firben
separation,adskillelse
intern,praktikant
tab,fane
psych,psyk
ranks,ranger
parish,sogn
booty,bytte
peasant,bonde
squeal,hvin
comb,kam
bash,bash
restored,restaureret
platoon,deling
junkie,narkoman
involves,involverer
rupert,Rupert
norm,normen
carrier,transportør
fatty,fed
difficulties,vanskeligheder
producers,producenter
superb,fremragende
tha,det
candidates,kandidater
summoned,indkaldt
refuge,tilflugtssted
righteous,retfærdig
carolina,Carolina
onion,løg
natasha,Natasha
pickup,afhentning
spells,trylleformularer
wesley,Wesley
carrington,Carrington
armies,hære
seasons,årstider
senor,senor
billie,Billie
specialty,specialitet
thirst,tørst
select,vælge
rendezvous,mødested
smiled,smilede
colorado,Colorado
visa,visum
spice,krydderi
caller,opkalder
foods,fødevarer
rational,rationel
scottish,skotsk
cunning,snedig
grunt,grynte
knot,knude
hairs,hår
payments,betalinger
granddad,bedstefar
massacre,massakre
competitive,konkurrencedygtig
herb,urt
mae,mae
immune,immun
grenade,granat
regularly,regelmæssigt
stakes,indsatser
kilos,kilo
monks,munke
gail,Gail
guinea,guinea
invent,opfinde
nursery,planteskole
protein,protein
elbow,albue
keller,keller
clowns,klovne
thirteen,tretten
tattoos,tatoveringer
flown,fløjet
mustard,sennep
7th,7.
terrace,terrasse
alter,ændre
franz,Franz
transportation,transport
lens,linse
alaska,Alaska
interference,interferens
wont,plejer
weep,græde
clive,Clive
mourning,sorg
crooked,skæv
trainer,træner
janitor,pedel
gradually,gradvis
immigration,indvandring
filth,snavs
momma,mor
fatherin-law,svigerfar
jackass,idiot
cho,cho
reminder,påmindelse
culprit,synderen
gabrielle,Gabrielle
innit,ind
magistrate,dommer
jasmine,jasmin
womb,livmoder
texting,sms'er
injustice,uretfærdighed
figuring,regne ud
fracture,brud
insanity,sindssyge
peasants,bønder
blossom,blomst
etc,osv.
agony,smerte
sounding,lydende
oz,oz
elementary,elementær
seized,beslaglagt
teaches,underviser
lovejoy,kærlighedsglæde
phillips,phillips
eighteen,atten
shack,hytte
teen,teenager
definite,bestemt
scrub,skrubbe
ruler,lineal
mold,skimmelsvamp
contents,indhold
bitten,bidt
antidote,modgift
saves,gemmer
bunk,køje
thor,Thor
republican,republikansk
graveyard,kirkegård
attempts,forsøg
poirot,Poirot
aspect,aspekt
relate,relatere
lemonade,limonade
flour,mel
nypd,NYPD
biology,biologi
dusty,støvet
felony,forbrydelse
jax,Jax
fundamental,fundamental
jai,jai
successfully,med succes
potentially,potentielt
donnie,Donnie
strangely,mærkeligt
condoms,kondomer
quantum,kvante
utter,ytring
activated,aktiveret
installed,installeret
interrupted,afbrudt
discharge,udledning
devastated,ødelagt
substitute,erstatte
splash,plaske
julio,Julio
exile,eksil
aspirin,aspirin
authentic,autentisk
summit,topmøde
beck,vink
addiction,afhængighed
lent,udlånt
drone,drone
involving,involverer
boyfriends,kærester
tango,tango
permanently,permanent
province,provins
attempting,forsøger
deceived,bedraget
triangle,trekant
skipped,sprunget over
strawberry,jordbær
mirrors,spejle
self-defense,selvforsvar
preston,Preston
overwhelmed,overvældet
swift,hurtig
creeps,kryber
token,token
temporarily,midlertidigt
poisonous,giftig
heidi,Heidi
diagnosis,diagnose
ninth,niende
locations,steder
retrieve,hente
robbers,røvere
conclusions,konklusioner
joanna,Joanna
disabled,handicappet
ira,ira
extension,forlængelse
lining,foring
yuri,Yuri
hip-hop,hiphop
freeman,frimand
scoop,øse
merlin,dværgfalk
bridget,bridget
revving,omdrejninger
transform,transformere
shelby,Shelby
hospitality,gæstfrihed
brooks,bække
survey,kortlægge
hunted,jaget
cozy,hyggeligt
recommendation,henstilling
providing,at levere
microphone,mikrofon
skeleton,skelet
muslims,muslimer
toll,afgift
reconsider,genoverveje
creaks,knirker
extended,udvidet
spear,spyd
overboard,overbord
ai,kunstig intelligens
clinton,Clinton
petition,andragende
baggage,bagage
scumbag,slyngel
tribute,hyldest
weddings,bryllupper
facilities,faciliteter
bangs,pandehår
claw,klo
donation,donation
isabelle,Isabelle
traitors,forrædere
mei,maj
jasper,jaspis
borders,grænser
australian,australsk
colby,Colby
boxer,bokser
whilst,mens
misfortune,ulykke
elaborate,detaljeret
sights,seværdigheder
maestro,mester
mysteries,mysterier
loosen,løsne
gifted,begavet
involvement,involvering
affects,påvirker
summon,tilkalde
sherman,Sherman
churchill,Churchill
theresa,Theresa
solitary,ensom
wilderness,ødemark
baltimore,Baltimore
olympic,olympisk
undo,fortryd
mechanism,mekanisme
vietnamese,vietnamesisk
vanish,forsvinde
dome,kuppel
biting,bidende
ronald,Ronald
texted,sendte en sms
sage,salvie
yummy,lækker
tactics,taktik
slack,slaphed
snapped,knækkede
weekly,ugentlig
bushes,buske
grandparents,bedsteforældre
henri,Henrik
obtain,opnå
hart,hjerte
flights,flyrejser
adventures,eventyr
hottest,de varmeste
grownup,voksen
eden,Edens Have
mild,mild
dom,dom
fourteen,fjorten
smuggling,smugleri
blend,blanding
chancellor,kansler
biscuits,kiks
gorilla,gorilla
dynasty,dynasti
acquired,erhvervet
businesses,virksomheder
countless,utallige
fritz,Fritz
brent,Brent
gardener,gartner
barracks,kaserne
flirt,flirt
cooks,kokke
distorted,forvrænget
carved,udskåret
jumps,hopper
superhero,superhelt
forests,skove
clapping,klapper
psychiatric,psykiatrisk
snuck,sneg sig
roughly,omtrent
screamed,skreg
raja,raja
disappearing,forsvinder
establishment,etablering
whales,hvaler
lump,klump
dwarf,dværg
environmental,miljømæssig
mam,mor
pint,pint
loading,indlæsning
diplomatic,diplomatisk
exclaims,udbryder
context,sammenhæng
volunteered,frivilligt
risked,risikerede
gangs,bander
boost,boost
fax,fax
dante,Dante
partial,delvis
refusing,afvisende
gaze,blik
rene,René
nuisance,plage
terrorism,terrorisme
jerome,Jerome
ungrateful,utaknemmelig
donate,donér
relieve,lindre
grandchildren,børnebørn
felicity,lykke
maureen,Maureen
represented,repræsenteret
co,co
neutral,neutral
philippe,Philippe
workin,arbejder
steering,styretøj
rm,rum
presidential,præsidentiel
rental,udlejning
challenged,udfordret
julien,julien
feeds,feeds
je,jeg
vegetarian,vegetarisk
teasing,drilleri
surprisingly,overraskende
iran,Iran
shrine,helligdom
automatically,automatisk
timer,timeren
gasoline,benzin
juliette,Julie
scouts,spejdere
millie,Millie
google,google
dorm,sovesal
athlete,atlet
shiva,Shiva
robber,røver
convent,kloster
balloons,balloner
crawford,Crawford
barb,barb
enters,går ind
maps,kort
meth,metamfetamin
fruits,frugter
colored,farvet
poppy,valmue
metro,metro
clarke,Clarke
fernando,Fernando
scully,Scully
resolved,løst
sessions,sessioner
conservative,konservativ
rates,priser
forged,smedet
legends,legender
arrows,pile
charley,charley
dismiss,afskedige
authorized,autoriseret
slavery,slaveri
attended,deltog
flows,strømme
employed,ansat
decorated,dekoreret
parallel,parallel
detected,opdaget
grove,lund
coverage,dækning
hen,høne
pyramid,pyramide
overall,samlet set
hum,brummen
specially,specielt
rebuild,genopbygge
exclaiming,udbryder
producing,producerende
sewing,syning
occasions,lejligheder
boards,brædder
trumpet,trompet
shaped,formet
matched,matchede
daughter-in-law,svigerdatter
ammo,ammunition
typing,at skrive
macgyver,MacGyver
blades,knive
thailand,Thailand
becca,Becca
wo,wo
debris,vragrester
luca,Luca
cement,cement
hamlet,landsby
nat,nat
communists,kommunister
showers,brusere
tougher,hårdere
sailors,sømænd
kitt,killing
comedian,komiker
harassment,chikane
missus,kone
monitoring,overvågning
smashing,knusende
shaved,barberet
inventory,inventar
housekeeper,husholderske
tribes,stammer
long-term,langsigtet
vile,modbydelig
gotham,Gotham
imaginary,imaginær
artillery,artilleri
ping,ping
cereal,korn
zoom,zoom
portion,del
irony,ironi
exceptional,enestående
slit,slids
ss,ss
despise,foragte
waltz,vals
humour,humor
crashes,nedbrud
gu,gu
stammering,stammende
coaches,trænere
joo,joo
await,vente
bryan,Bryan
celebrated,fejrede
encouraged,opmuntret
devils,djævle
gag,gag
telescope,teleskop
verse,vers
stalin,Stalin
e-mails,e-mails
iet,iet
babysitter,babysitter
pr,pr
