you,Du
tennessee,Tennessee
diaz,Diaz
fraser,Fraser
sleeves,Ärmel
vacant,frei
infantry,Infanterie
gallagher,Gallagher
booking,Buchung
oranges,Orangen
rhodes,Rhodos
breakup,beenden
layla,Layla
purity,Reinheit
honourable,ehrenwert
militia,Miliz
mechanics,Mechanik
mackenzie,Mackenzie
bronx,Bronx
realizes,realisiert
hasty,hastig
colorful,bunt
ramp,Rampe
boulevard,Boulevard
xavier,Xavier
intriguing,faszinierend
rook,Turm
papi,Papi
callen,Anrufen
atm,Geldautomat
acquire,erwerben
necks,Hälse
sinners,Sünder
gents,Herren
episodes,Episoden
oswald,Oswald
dedicate,widmen
rests,Ruhe
pi,Pi
milord,Lord
debut,Debüt
interviewing,Vorstellungsgespräche
occupy,besetzen
aimed,Ziel
emerged,entstand
sloan,Sloan
restraining,Einschränkung
cod,Kabeljau
clarity,Klarheit
daft,dumm
islamic,islamisch
calculated,berechnet
lakes,Seen
grumpy,mürrisch
ki,ki
picasso,Picasso
eddy,Eddy
consulting,Beratung
obstacles,Hindernisse
pesos,Pesos
nicolas,Nicolas
plotting,Planung
infirmary,Krankenstation
sermon,Predigt
manipulated,manipuliert
scratches,Kratzer
aidan,Aidan
critic,Kritiker
greasy,fettig
zealand,Neuseeland
supports,unterstützt
anatomy,Anatomie
agreeing,zustimmen
straightforward,einfach
prejudice,Vorurteil
placing,Platz
flare,Leuchtfeuer
milky,milchig
vladimir,Wladimir
premiere,Premiere
glamorous,glamourös
cinnamon,Zimt
syd,Syd
referee,Schiedsrichter
threshold,Schwelle
civilisation,Zivilisation
sensor,Sensor
tends,tendiert
louisa,Louisa
savages,Wilde
emil,Emil
torpedo,Torpedo
ere,ehe
housewife,Hausfrau
tours,Touren
fossil,Fossil
replied,antwortete
abdomen,Abdomen
soak,einweichen
contestants,Teilnehmer
stretching,Dehnung
princes,Prinzen
hoffman,Hoffman
truman,Truman
bumps,Unebenheiten
educational,Bildung
outfits,Outfits
resurrection,Auferstehung
latte,Latte
huang,Huang
politically,politisch
pratt,Pratt
whoosh,rauschen
ds,ds
wiser,weiser
rejection,Ablehnung
clutch,Kupplung
fusion,Fusion
gloomy,düster
madly,wahnsinnig
cambridge,Cambridge
cocktails,Cocktails
lighthouse,Leuchtturm
treatments,Behandlungen
chronic,chronisch
fluids,Flüssigkeiten
deleted,gelöscht
sustain,aufrechterhalten
stanford,Stanford
ahmed,Ahmed
buyers,Käufer
valet,Kammerdiener
darius,Darius
nobel,Nobel
sank,sank
southeast,Südost
condemn,verurteilen
resemblance,Ähnlichkeit
suicidal,suizidal
wed,heiraten
packages,Pakete
taped,aufgeklebt
avatar,Avatar
wireless,drahtlos
paddle,paddeln
lice,Läuse
tablets,Tabletten
spreads,Spreads
itch,jucken
gibberish,Kauderwelsch
ingredient,Bestandteil
emilio,Emilio
prevented,verhindert
withdrawal,Rückzug
porno,Porno
pry,Hebel
sexuality,Sexualität
br,br
vinnie,Vinnie
oh-oh,oh-oh
considerate,rücksichtsvoll
sovereign,souverän
pas,Pass
voicemail,Voicemail
cadet,Kadett
clarify,klären
immature,unreif
tshirts,T-Shirts
marguerite,Margerite
banished,verbannt
chemo,Chemotherapie
nicki,Nicki
dairy,Molkerei
attach,befestigen
murdock,Murdock
sliding,Gleiten
spectacle,Schauspiel
pushes,schiebt
yin,Yin
delusional,wahnhaft
allegiance,Treue
slope,Neigung
pooja,Puja
awareness,Bewusstsein
jed,jed
decker,Decker
dino,Dino
roaming,wandernd
shores,Küsten
competitors,Wettbewerber
tomas,Tomas
overreacting,Überreaktion
observing,beobachten
paste,Paste
wits,Witz
fiery,feurig
typically,typischerweise
eclipse,Finsternis
produces,produziert
oysters,Austern
scraping,Abkratzen
pros,Vorteile
impose,auferlegen
revenue,Einnahmen
alabama,Alabama
departed,abgereist
user,Benutzer
cracker,Cracker
hu,hu
undoubtedly,zweifellos
arnie,Arnie
mozart,Mozart
dent,Delle
charmed,Fasziniert
spiral,Spiral-
scans,Scans
hmmm,hmmm
ka,ka
louisiana,Louisiana
rumour,Gerücht
kirsten,Kirsten
touchdown,Landung
nadine,Nadine
posh,vornehm
correction,Korrektur
chubby,pummelig
manifest,Manifest
safest,am sichersten
steroids,Steroide
fleeing,auf der Flucht
genie,Dschinn
dakota,Dakota
witchcraft,Hexerei
archives,Archiv
trance,Trance
symphony,Symphonie
traumatic,traumatisch
rocco,Rocco
skipping,Überspringen
frequent,häufig
modeling,Modellieren
sporting,Sport
affecting,Auswirkungen
spacecraft,Raumfahrzeug
negotiation,Verhandlung
talbot,Talbot
reno,Renovierung
benton,Benton
calculate,berechnen
fiddle,Geige
sails,Segel
stein,Stein
persistent,hartnäckig
despicable,verabscheuungswürdig
bruise,Prellung
salem,Salem
escapes,Fluchten
mischief,Unfug
mckay,McKay
cupcakes,Cupcakes
brussels,Brüssel
arc,Bogen
ripper,Ripper
ritchie,Ritchie
vitamins,Vitamine
cognac,Cognac
careers,Karriere
sim,sim
caps,Kappen
imbecile,schwachsinnig
steaks,Steaks
cove,Bucht
lair,Höhle
directing,Regie
stepfather,Stiefvater
slammed,zerschmettert
viral,viral
congregation,Gemeinde
illinois,Illinois
helicopters,Hubschrauber
coco,Kokosnuss
crisp,knackig
outrage,Empörung
flexible,flexibel
goo,goo
licking,Lecken
funk,Funk
icecream,Eiscreme
prefers,bevorzugt
tao,Tao
captive,gefangen
montreal,Montreal
zen,Zen
cee,cee
knuckles,Knöchel
canteen,Kantine
credibility,Glaubwürdigkeit
disconnected,getrennt
flats,Wohnungen
controversial,umstritten
enthusiastic,enthusiastisch
janey,Janey
cork,Kork
priorities,Prioritäten
acute,akut
icy,eisig
wormhole,Wurmloch
flyer,Flyer
bladder,Blase
caretaker,Hausmeister
pep,Pep
roommates,Mitbewohner
programming,Programmierung
grape,Traube
astronauts,Astronauten
drained,entleert
metallic,metallisch
sergio,Sergio
seldom,selten
destroys,zerstört
riders,Fahrer
poetic,poetisch
hacking,Hacking
transported,transportiert
contaminated,kontaminiert
duct,Leitung
dimensions,Abmessungen
insensitive,unempfindlich
echoes,Echos
initiate,einleiten
nonetheless,dennoch
emmett,Emmett
grinding,Schleifen
composition,Zusammensetzung
adjourned,vertagt
indulge,frönen
wrench,Schlüssel
flaw,Mangel
messiah,Messias
concluded,abgeschlossen
accustomed,gewohnt
napkin,Serviette
doorway,Türöffnung
muddy,schlammig
steph,Steph
saturn,Saturn
intentionally,absichtlich
chiming,Glockenspiel
canned,Dosen-
appearing,erscheint
ballistics,Ballistik
nicked,geklaut
suction,Absaugung
hideout,Versteck
startled,erschrocken
replacing,ersetzen
solemn,feierlich
pillows,Kissen
submitted,eingereicht
francesca,Francesca
override,Überschreiben
carver,Schnitzer
lea,Lea
mateo,Mateo
mosquito,Moskito
fragrance,Duft
pennies,Pennys
detained,inhaftiert
meadow,Wiese
chopping,Hacken
satellites,Satelliten
cables,Kabel
youngsters,Jugendliche
needy,Bedürftige
refugee,Flüchtling
luc,luc
whitey,Weißer
inhabitants,Einwohner
yun,yun
breakin,Einbruch
harassing,Belästigung
ro,ro
interpretation,Interpretation
burying,begraben
bree,Bree
incomplete,unvollständig
blimey,Donnerwetter!
titan,Titan
retard,verzögern
agatha,Agatha
dilemma,Dilemma
mutt,Köter
prominent,prominent
temples,Tempel
hoover,Staubsauger
lindsey,Lindsey
cesar,Cäsar
temp,Temperatur
consul,Konsul
hairdresser,Friseur
planting,Anpflanzung
drones,Drohnen
justified,gerechtfertigt
jensen,Jensen
stuffing,Füllung
norwegian,norwegisch
dork,Trottel
stalling,Verzögerung
birthdays,Geburtstage
intimacy,Intimität
tucked,eingesteckt
examiner,Prüfer
qualify,qualifizieren
imminent,unmittelbar bevorstehend
masked,maskiert
diesel,Diesel
meditation,Meditation
bulk,Schüttgut
allie,Allie
prosecute,anklagen
mumbles,Gemurmel
defined,definiert
oklahoma,Oklahoma
paw,Pfote
default,Standard
crawled,kroch
doughnuts,Donuts
margot,Margot
haunting,eindringlich
staircase,Treppe
advances,Fortschritte
solutions,Lösungen
plaster,Gips
proceedings,Verfahren
amends,ändert
fraternity,Brüderlichkeit
freud,Freud
cannons,Kanonen
kendall,Kendall
armored,gepanzert
colonies,Kolonien
perez,Perez
birdie,Birdie
volcanic,vulkanisch
samson,Samson
cleopatra,Kleopatra
carve,schnitzen
fishermen,Fischer
brink,Rand
martian,Marsianer
hybrid,Hybrid
knockout,ausschlagen
chunk,Stück
constructed,konstruiert
confiscated,beschlagnahmt
interrogate,abfragen
voyager,Voyager
oprah,Oprah
commerce,Handel
tasks,Aufgaben
precaution,Vorsorge
printer,Drucker
finishes,Oberflächen
rossi,Rossi
boob,Brust
nagging,Gezeter
stephens,Stephens
hag,Hexe
skinner,Skinner
lunchtime,Mittagszeit
imported,importiert
transcript,Transkript
conceal,verbergen
holler,Schrei
chug,tuckern
silas,Silas
paranoia,Paranoia
compelled,gezwungen
styles,Stile
airborne,in der Luft
sentiment,Gefühl
syria,Syrien
pea,Erbse
babysitting,Babysitten
improving,Verbesserung
hare,Hase
connects,verbindet
withdrawn,zurückgezogen
staged,inszeniert
englishman,Engländer
hopkins,Hopkins
pumps,Pumps
admirable,bewundernswert
vouch,bürgen
indicated,angegeben
reviews,Rezensionen
kristen,Kristen
yuki,Yuki
vey,sehr
trivial,trivial
parcel,Paket
scroll,scrollen
desired,gewünscht
appealing,ansprechend
weighed,gewogen
designated,festgelegt
bubba,Bubba
imprisonment,Haft
ferris,Ferris
fleming,Fleming
cooling,Kühlung
containing,enthalten
giles,Giles
impressions,Eindrücke
advantages,Vorteile
cartwright,Cartwright
uncertain,unsicher
deliberate,absichtlich
anticipated,erwartet
isolate,isolieren
tighten,anziehen
corporations,Unternehmen
petra,Petra
venue,Veranstaltungsort
irritating,irritierend
revolt,Revolte
whatcha,wascha
lunar,Mond-
rightful,rechtmäßig
bombers,Bomber
southwest,Südwesten
maine,Maine
marvel,Wunder
chained,angekettet
colder,kälter
tit,Titte
snooping,Schnüffeln
trunks,Koffer
sully,besudeln
excused,entschuldigt
seduced,verführt
communicating,Kommunikation
beams,Balken
bloodshed,Blutvergießen
offender,Täter
offspring,Nachwuchs
monstrous,monströs
bruising,Prellungen
doorman,Türsteher
prohibited,verboten
props,Requisiten
penetrate,durchdringen
intervene,eingreifen
tobias,Tobias
osaka,Osaka
aiden,Aiden
niggers,Neger
cairo,Kairo
jonny,Jonny
patriot,Patriot
bowls,Schüsseln
rufus,Rufus
barton,Barton
surgeons,Chirurgen
pits,Gruben
infamous,berüchtigt
crooks,Gauner
shag,Shag
lettuce,Kopfsalat
exaggerating,Übertreibung
inferior,minderwertig
zac,Zac
boredom,Langeweile
amos,Amos
tolerance,Toleranz
cashier,Kassierer
polls,Umfragen
caliber,Kaliber
underpants,Unterhose
katy,Katy
seller,Verkäufer
sensed,gespürt
vertical,Vertikale
dart,Pfeil
sections,Abschnitte
zipper,Reißverschluss
gabby,Gabby
shankar,Shankar
acceptance,Annahme
traveler,Reisender
timeline,Zeitleiste
emerald,Smaragd
gays,Schwule
pc,PC
hassle,Ärger
thrilling,spannend
hopeful,hoffnungsvoll
stokes,Stokes
sneakers,Turnschuhe
conditioning,Konditionierung
supporters,Unterstützer
rodriguez,Rodriguez
teal,Türkis
insults,Beleidigungen
instruction,Anweisung
flipping,umdrehen
clatter,klappern
flaming,flammend
freight,Fracht
representatives,Vertreter
invitations,Einladungen
undressed,ausgezogen
lucille,Lucille
boiler,Kessel
edo,Edo
uneasy,unruhig
oneself,sich
alfredo,Alfredo
benedict,Benedikt
davey,Davey
davies,Davies
efficiency,Effizienz
gomez,Gomez
yelps,Jaulen
counterfeit,fälschen
l-i,l-i
afterlife,Jenseits
one-way,Ein Weg
smiley,Smiley
twat,Arschloch
eccentric,Exzenter
wand,Zauberstab
vi,vi
memphis,Memphis
consume,verbrauchen
praised,gelobt
formidable,gewaltig
lesser,geringer
gel,Gel
surrendered,ergab sich
welcomed,willkommen
wendell,Wendell
tee,T-Shirt
launching,Start
cocksucker,Schwanzlutscher
crores,Millionen
downs,Downs
retiring,im Ruhestand
spears,Speere
vikram,Vikram
authorization,Genehmigung
outsiders,Außenseiter
pancake,Pfannkuchen
probability,Wahrscheinlichkeit
accessory,Zubehör
peters,Peters
deported,deportiert
contrast,Kontrast
hooks,Haken
remarks,Bemerkungen
liaison,Liaison
blokes,Kerle
crater,Krater
distribute,verteilen
vocalizing,Lautäußerungen
adele,Adele
chiefs,Häuptlinge
photographed,fotografiert
rehearsals,Proben
salvatore,Salvatore
whoop,Juhu!
credits,Credits
shalt,soll
hup,hup
stability,Stabilität
woken,aufgewacht
stench,Gestank
taps,Wasserhähne
flea,Floh
compelling,zwingend
dolores,Dolores
strawberries,Erdbeeren
convictions,Verurteilungen
hubby,Ehemann
self-esteem,Selbstwertgefühl
threatens,bedroht
suburbs,Vororte
clocks,Uhren
peacock,Pfau
bragging,Prahlerei
gabi,Gabi
hurrah,Hurra
moo,muhen
silently,schweigend
subconscious,Unterbewusstsein
fatso,Fettsack
pluck,zupfen
reactions,Reaktionen
lacks,fehlt
adolf,Adolf
mira,Mira
refined,raffiniert
lays,legt
bungalow,Bungalow
surge,Anstieg
practices,Praktiken
precautions,Vorsichtsmaßnahmen
thanked,dankte
jody,Jody
uranium,Uran
carolyn,Carolyn
menace,Bedrohung
ernesto,Ernesto
fractured,zerbrochen
christie,Christie
aka,auch bekannt
cone,Kegel
sauna,Sauna
extinction,Aussterben
randolph,Randolph
bonding,Bindung
equality,Gleichwertigkeit
bourgeois,Bourgeois
insert,einfügen
csi,CSI
kiki,Kiki
teens,Teenager
downhill,bergab
pedal,Pedal
levi,Levi
peru,Peru
stables,Stallungen
irving,Irving
buddhist,Buddhist
ambitions,Ambitionen
terrain,Terrain
turbo,Turbo
hae,hae
screening,Screening
mu,mu
riots,Unruhen
coaching,Coaching
explodes,explodiert
premature,verfrüht
undone,rückgängig gemacht
qi,Qi
communism,Kommunismus
fitted,tailliert
treacherous,tückisch
inspect,überprüfen
hurray,Hurra
irresistible,unwiderstehlich
joanne,Joanne
elias,Elias
northeast,Nordost-
sparrow,Spatz
gypsies,Zigeuner
performer,Künstler
brew,brauen
titles,Titel
ingenious,genial
snapping,Schnappen
turd,Kothaufen
challenger,Herausforderer
baghdad,Bagdad
bulletin,Bulletin
preview,Vorschau
jinx,verhexen
immortality,Unsterblichkeit
recruits,Rekruten
ditched,abgeworfen
tempt,versuchen
procession,Prozession
eduardo,Eduardo
melon,Melone
weaknesses,Schwächen
aires,Luften
knob,Knopf
domain,Domain
conclude,abschließen
dresser,Kommode
bao,Bao
berries,Beeren
straining,Anstrengung
beads,Perlen
windy,windig
patent,Patent
merchants,Kaufleute
profitable,profitabel
ryder,Ryder
prisons,Gefängnisse
salvage,retten
mentioning,Erwähnung
lass,Mädel
tox,Gift
sonja,Sonja
poof,Puff
productive,produktiv
hosting,Hosting
doth,tut
ewing,Ewing
derby,Derby
goldfish,Goldfisch
capitol,Kapitol
leisure,Freizeit
buff,polieren
illusions,Illusionen
notices,Bekanntmachungen
odin,Odin
springfield,Springfield
tracker,Tracker
kyoto,Kyoto
peed,Pipi
vitamin,Vitamin
heave,heben
bryant,Bryant
dickie,Dickie
goodwill,Wohlwollen
euro,Euro
strapped,festgeschnallt
boar,Eber
slater,Dachdecker
bogus,gefälscht
rhymes,Reime
brunette,Brünette
jab,Jab
hippie,Hippie
ting,ting
incidentally,übrigens
face-to-face,von Angesicht zu Angesicht
gi,gi
webb,Webb
compensate,kompensieren
tasting,Verkostung
outbreak,Ausbruch
sow,Sau
hallucinations,Halluzinationen
golly,Meine Güte!
factors,Faktoren
pyramids,Pyramiden
copenhagen,Kopenhagen
hiv,HIV
dandy,Dandy
detour,Umleitung
desperation,Verzweiflung
wrestle,ringen
entrusted,anvertraut
parting,Abschied
resisting,Widerstand
err,Fehler
bursting,Sprengung
warrants,Haftbefehle
savannah,Savanne
concealed,verborgen
dreamer,Träumer
mandatory,obligatorisch
gagging,Würgen
finances,Finanzen
nightingale,Nachtigall
lamps,Lampen
grenades,Granaten
premier,Premier
squire,Knappe
periods,Perioden
uhm,äh
kgb,KGB
parasite,Parasit
borrowing,Kreditaufnahme
rodrigo,Rodrigo
influential,einflussreich
mammy,Mama
absorb,absorbieren
investments,Investitionen
cece,cece
concentrated,konzentriert
tyrant,Tyrann
laps,Runden
underestimated,unterschätzt
measuring,Messung
origins,Ursprünge
applies,gilt
britney,Britney
exchanged,ausgetauscht
portugal,Portugal
niggas,Niggas
maths,Mathematik
decorations,Dekorationen
orion,Orion
pepe,Pepe
ownership,Eigentum
tweet,Tweet
raspberry,Himbeere
racial,rassistisch
firstly,erstens
suv,SUV
intimidated,eingeschüchtert
skunk,Skunk
parsons,Pfarrer
nearer,näher
yong,yong
audible,hörbar
bmw,BMW
communion,Gemeinschaft
whinnies,Wiehern
hindu,Hindu
leroy,Leroy
sphere,Kugel
renaissance,Renaissance
anomaly,Anomalie
pursued,verfolgt
klein,klein
chant,Gesang
outlaw,verbieten
surname,Nachname
penguins,Pinguine
awarded,verliehen
mid,Mitte
classmate,Mitschüler
applications,Anwendungen
emmy,Emmy
subtitle,Untertitel
laden,beladen
economics,Wirtschaft
ballroom,Ballsaal
sinned,sündigte
shortage,Mangel
mort,Tod
phenomenal,phänomenal
czech,tschechisch
maneuver,Manöver
tremble,zittern
hooking,Haken
screeches,Kreischen
moons,Monde
ae,ae
sweetness,Süße
disrespectful,respektlos
dane,Däne
consulate,Konsulat
bounced,abgeprallt
parenting,Erziehung
robberies,Raubüberfälle
remark,Bemerkung
hilary,Hilary
logo,Logo
describing,beschreiben
scalpel,Skalpell
cecilia,Cäcilia
strangest,seltsamsten
jaime,Jaime
seymour,Seymour
bigtime,gewaltig
competent,kompetent
bein,sein
bi,Bi
lectures,Vorlesungen
basics,Grundlagen
texture,Textur
leftovers,Reste
wimp,Schwächling
conquest,Eroberung
norris,Norris
mounted,montiert
pens,Stifte
contestant,Kandidat
algorithm,Algorithmus
columns,Spalten
chile,Chile
wails,Wehklagen
decree,Dekret
jeremiah,Jeremia
rewrite,umschreiben
momentum,Schwung
cadillac,Cadillac
attorneys,Anwälte
apes,Affen
captioning,Untertitelung
desmond,Desmond
lesbians,Lesben
fairies,Feen
monitors,Monitore
hua,hua
weighing,Wiegen
roasted,geröstet
discovering,entdecken
alzheimer,Alzheimer
subpoena,Vorladung
foe,Feind
hicks,Hinterwäldler
cm,cm
circuits,Schaltkreise
nag,Gaul
hiking,wandern
stepmother,Stiefmutter
personalities,Persönlichkeiten
formally,formal
revive,beleben
unnatural,unnatürlich
pip,Pip
betraying,Verrat
renting,Mieten
prizes,Preise
onstage,auf der Bühne
comfy,bequem
heath,Heide
marrow,Mark
blaine,Blaine
minority,Minderheit
marcos,Marcos
portable,tragbar
popularity,Popularität
telegraph,Telegraph
hayden,Hayden
hesitation,Zögern
sylvester,Sylvester
alistair,Alistair
cluster,Cluster
grandad,Großvater
jog,joggen
slay,erschlagen
sparkling,funkelnd
shithead,Arschloch
tiring,ermüdend
ooo,ooo
germs,Keime
fuhrer,Führer
handbag,Handtasche
unlimited,unbegrenzt
thumping,dröhnend
vinegar,Essig
splinter,Splitter
supposing,angenommen
faults,Fehler
remarkably,bemerkenswert
sketches,Skizzen
nineteen,neunzehn
enchanted,verzaubert
hari,Hari
respectful,respektvoll
bien,bien
honk,hupen
doughnut,Krapfen
tags,Tags
wrapping,Verpackung
tar,Teer
om,om
ducky,Entchen
unfaithful,untreu
delia,Delia
rae,rae
jojo,Jojo
stance,Haltung
barker,Barker
financially,finanziell
clam,Muschel
clanking,klirrend
sarcastic,sarkastisch
blur,verwischen
organizing,Organisation
nosy,neugierig
boyle,Boyle
pasha,Pascha
attacker,Angreifer
horribly,entsetzlich
inject,injizieren
descend,absteigen
wi,wi
liberated,befreit
burner,Brenner
fluffy,flaumig
melancholy,Melancholie
puppets,Puppen
anal,anal
grieve,trauern
awe,Ehrfurcht
gallons,Gallonen
earring,Ohrring
unprecedented,beispiellos
yank,Ruck
jamaica,Jamaika
brutally,brutal
extortion,Erpressung
guardians,Wächter
disciples,Jünger
simultaneously,gleichzeitig
elves,Elfen
malibu,Malibu
lupin,Lupine
postman,Briefträger
neville,Neville
senseless,sinnlos
chapman,Chapman
hostel,Herberge
marcia,Marcia
melvin,Melvin
cockroach,Kakerlake
clamp,Klemme
poets,Dichter
chemist,Chemiker
professionally,professionell
faded,verblasst
vargas,Vargas
gunpowder,Schießpulver
inc,Inc.
gala,Gala
surroundings,Umgebung
wisconsin,Wisconsin
rivals,Rivalen
cackling,Gackern
withstand,standhalten
contemporary,zeitgenössisch
harlem,Harlem
half-hour,halbe Stunde
marlon,Marlon
endured,ertragen
arsenal,Arsenal
underway,im Gange
donuts,Donuts
daryl,Daryl
injected,injiziert
digs,Unterkünfte
siegfried,Siegfried
elisabeth,Elisabeth
billionaire,Milliardär
cardboard,Karton
hugs,Umarmungen
bandages,Verbände
everlasting,ewig
liverpool,Liverpool
cooperative,Kooperative
diploma,Diplom
neural,neuronal
fortunes,Vermögen
rural,ländlich
abbott,Abbott
receptionist,Rezeptionistin
antiques,Antiquitäten
labels,Etiketten
sizes,Größen
millennium,Millennium
layout,Layout
immoral,unmoralisch
manages,verwaltet
hisses,zischen
usher,Platzanweiser
impulsive,treibend
pollution,Verschmutzung
admirer,Bewunderer
rejoice,Freut euch!
iowa,Iowa
marlene,Marlene
hindi,Hindi
holder,Halter
squeezed,gequetscht
merge,verschmelzen
journalism,Journalismus
nominated,nominiert
sundown,Sonnenuntergang
assistants,Assistenten
miraculous,Wunder-
stared,starrte
prescribed,vorgeschrieben
lotta,viel
swearing,Fluchen
guarantees,Garantien
massachusetts,Massachusetts
junction,Kreuzung
consumption,Verbrauch
astrid,Astrid
metropolis,Metropole
iceland,Island
bridal,Braut-
virgins,Jungfrauen
victorious,siegreich
squirt,spritzen
pads,Pads
modified,modifiziert
hanson,Hanson
casket,Schatulle
blaze,Flamme
kimble,Kimble
cliffs,Klippen
destroyer,Zerstörer
offshore,Off-Shore-
tendency,Tendenz
nip,zwicken
scanning,Scannen
first-class,erste Klasse
viva,Viva
intensive,intensiv
gustav,Gustav
endangered,gefährdet
va,va
circling,kreisend
ave,durchschnittlich
stashed,versteckt
das,das
backward,rückwärts
hai,Hallo
chamberlain,Kammerherr
sari,Sari
thermal,Thermal-
opponents,Gegner
fiber,Faser
last-minute,Last-Minute
toto,Toto
circumstance,Umstand
geography,Geographie
stargate,Stargate
interpret,interpretieren
sicily,Sizilien
pisses,pinkelt
preaching,Predigt
transporter,Transporter
bosom,Busen
salsa,Salsa
eighty,achtzig
shred,Fetzen
dread,Furcht
duration,Dauer
beggars,Bettler
mein,mein
josephine,Josephine
networks,Netzwerke
formality,Formalität
heater,Heizung
par,Par
smug,selbstgefällig
ordeal,Tortur
rhonda,Rhonda
agriculture,Landwirtschaft
katya,Katya
fowler,Fowler
descended,abgestiegen
lasting,dauerhaft
abyss,Abgrund
marries,heiratet
aurora,Aurora
sleigh,Schlitten
frenchman,Franzose
rouge,Rouge
survives,überlebt
margo,Margo
redhead,Rothaarige
terrence,Terrence
creativity,Kreativität
dominant,dominant
isis,Isis
kip,pennen
corny,kitschig
aubrey,Aubrey
graphic,Grafik
irrational,irrational
mathematical,mathematische
sacked,entlassen
paws,Pfoten
chariot,Streitwagen
havoc,Chaos
andreas,Andreas
midget,Zwerg
celestial,himmlisch
cetera,cetera
nino,Nino
upgrade,Upgrade
blasting,Sprengung
skulls,Schädel
videotape,Videoband
wedded,verheiratet
babysit,babysitten
ancestor,Vorfahr
transit,Transit
rained,regnete
thingy,Dingsbums
wellington,Wellington
abide,aushalten
reserves,Reserven
rim,Rand
chico,Chico
settles,siedelt
decisive,entscheidend
motors,Motoren
cheesy,käsig
symbolic,symbolisch
roxy,Roxy
clink,Klirren
handicapped,behindert
mating,Paarung
cranky,verschroben
brightest,hellsten
molecules,Moleküle
meyer,Meyer
sheridan,Sheridan
animation,Animation
grail,Gral
voluntarily,freiwillig
creeping,schleichend
furnace,Ofen
thine,dein
titus,Titus
pierced,gepierct
bu,bu
chinatown,Chinatown
slade,Slade
sai,Sai
toothpaste,Zahnpasta
cuddle,kuscheln
langley,Langley
egyptians,Ägypter
bankruptcy,Konkurs
lever,Hebel
shaman,Schamane
nipple,Nippel
weeds,Unkraut
becker,Becker
reacted,reagierte
mashed,püriert
sloane,Sloane
regent,Regent
bentley,Bentley
tiles,Fliesen
decoy,Köder
crusade,Kreuzzug
vivid,lebendig
slides,Folien
jennings,Jennings
catering,Gastronomie
dishonest,unehrlich
subs,Untertitel
lurking,lauern
airplanes,Flugzeuge
shaky,wackelig
barren,unfruchtbar
alligator,Alligator
moth,Motte
uncover,aufdecken
lorna,Lorna
axel,Achse
expressing,Ausdruck
clacking,klappern
doggie,Hündchen
airlines,Fluggesellschaften
dum,dumm
unicorn,Einhorn
jackets,Jacken
goofy,albern
marcy,Marcy
businessmen,Geschäftsleute
bums,Penner
folded,gefaltet
defender,Verteidiger
alarmed,alarmiert
goody,Leckerei
noose,Schlinge
chic,schick
forgiving,vergebend
thatcher,Thatcher
index,Index
blush,erröten
fertile,fruchtbar
amateurs,Amateure
deliveries,Lieferungen
armour,Rüstung
werner,Werner
shits,Scheiße
twinkle,funkeln
parted,getrennt
syndicate,Syndikat
alexandra,Alexandra
righty,Rechtshänder
regions,Regionen
technician,Techniker
waffles,Waffeln
skirts,Röcke
baroness,Baronin
castro,Castro
malfunction,Fehlfunktion
memorable,unvergesslich
middle-aged,im mittleren Alter
thea,thea
calories,Kalorien
cuisine,Küche
motorbike,Motorrad
snoop,Schnüffler
acknowledged,anerkannt
spelled,Dinkel
evolve,evolve
cox,Cox
sedative,Beruhigungsmittel
array,Array
tenderness,Zärtlichkeit
klingon,Klingonisch
garland,Girlande
smuggled,geschmuggelt
nicola,Nicola
raju,Raju
reversed,umgedreht
royce,Royce
beforehand,vorher
continuous,kontinuierlich
yoko,Yoko
cecil,Cecil
seniors,Senioren
mri,MRT
synthetic,Synthetik
forgave,vergab
discoveries,Entdeckungen
kimmy,Kimmy
agitated,agitiert
attendance,Teilnahme
maple,Ahorn
pools,Schwimmbäder
wanker,Wichser
casa,Haus
firearms,Schusswaffen
offenders,Straftäter
obligations,Verpflichtungen
moan,jammern
signor,Signor
graffiti,Graffiti
supplied,geliefert
linen,Leinen
defect,Defekt
patriotic,patriotisch
ethical,ethisch
pest,Pest
lengths,Längen
vin,Vin
minnie,Minnie
spectrum,Spektrum
distinction,Unterscheidung
decorate,schmücken
bounds,Grenzen
hums,summt
mandarin,Mandarin
reluctant,widerwillig
rand,Rand
retain,zurückbehalten
justine,Justine
educate,erziehen
minnesota,Minnesota
mp,mp
cruiser,Kreuzer
permits,Genehmigungen
screwdriver,Schraubendreher
exploration,Erforschung
mace,Keule
newborn,Neugeborenes
shivering,Zittern
slime,Schleim
oddly,seltsam
badger,Dachs
bruised,gequetscht
luigi,Luigi
attaboy,Bravo!
eyeballs,Augäpfel
institutions,Institutionen
panama,Panama
boundary,Grenze
hypothesis,Hypothese
drought,Trockenheit
rembrandt,Rembrandt
absorbed,absorbiert
clinking,klirrend
executioner,Henker
darts,Darts
catalina,Catalina
lured,angelockt
lingerie,Unterwäsche
gon,gon
flaws,Mängel
thinner,Verdünner
lucien,Lucien
tug,Schlepper
cornered,in die Enge getrieben
bertie,Bertie
uptown,Uptown
clash,Zusammenstoß
aerial,Antenne
hansen,Hansen
relentless,unerbittlich
viable,lebensfähig
raul,Raul
wen,wann
scholars,Gelehrte
marley,Marley
limitations,Einschränkungen
shelves,Regale
funerals,Beerdigungen
criticize,kritisieren
jacqueline,Jacqueline
