you,אַתָה
busting,מתפרץ
investigated,נחקר
admission,הוֹדָאָה
essay,מַסָה
twitter,לְצַפְצֵף
depths,מעמקים
fewer,פחות
guarding,שְׁמִירָה
altered,השתנה
filing,הגשה
ecstasy,אֶקסְטָזָה
snatch,לַחטוֹף
stored,מְאוּחסָן
tropical,טְרוֹפִּי
pharmacy,בֵּית מִרקַחַת
dalton,דלתון
altitude,גוֹבַה
admired,העריץ
dickhead,אידיוט
priya,פרייה
mamma,אִמָא
moe,מו
grind,לִטחוֹן
bombay,בומביי
lowest,הנמוך ביותר
makin,מאקין
sentences,משפטים
mute,לְהַשְׁתִיק
fulltime,משרה מלאה
scratching,גירוד
imprisoned,כָּלוּא
danish,דַנִי
glowing,מַברִיק
zhang,ג'אנג
martini,מַרטִינִי
leah,לאה
empress,קֵיסָרִית
equipped,מְצוּיָד
finale,סִיוּם
tarzan,טרזן
storms,סופות
sniff,לְרַחְרֵח
slick,חֲלַקְלַק
unarmed,לא חמוש
violated,הפרה
vent,פּוּרקָן
dd,יום
breakthrough,פְּרִיצַת דֶרֶך
stud,סוּס הַרבָּעָה
addressed,התייחסו
tactical,טַקטִי
vessels,כלי שיט
procedures,נהלים
ching,צ'ינג
dine,לִסעוֹד
draws,מצייר
crowds,המונים
limb,אֵיבָר
wool,צֶמֶר
montana,מונטנה
giovanni,ג'ובאני
jerks,אידיוטים
numb,חֲסַר תְחוּשָׁה
oceans,אוקיינוסים
priceless,לֹא יְסוּלֵא בְּפָּז
rocking,נִענוּעַ
commanding,מפקד
relaxing,מַרגִיעַ
clatters,רעשים
merci,תודה
gerard,ג'רארד
packs,חבילות
parlor,טְרַקלִין
cabbage,כְּרוּב
intruder,פּוֹלֵשׁ
considerable,רַב
argued,טען
paladin,פלאדין
tellin,לספר
pupils,תלמידים
inspire,לְעוֹרֵר
positively,באופן חיובי
igor,איגור
traded,נסחר
shipped,נשלח
feminine,נָשִׁי
vague,מְעוּרפָּל
partly,חֶלקִית
6th,שישי
insight,תוֹבָנָה
lucia,לוסיה
stages,שלבים
screenplay,תַסרִיט
marquis,מַרקִיז
rahul,רהול
ripe,בָּשֵׁל
awaiting,ממתינים
pigeons,יונים
clayton,קלייטון
tempted,פיתוי
inherit,לָרֶשֶׁת
decline,יְרִידָה
pennsylvania,פנסילבניה
fang,נִיב
shitting,מחרבן
tens,עשרות
gigantic,עֲנָקִי
guv,בוס
readings,קריאות
headmaster,מְנַהֵל
tenth,עֲשִׂירִית
seals,אטמים
peyton,פייטון
avoided,נמנע
blankets,שמיכות
overlapping,חוֹפֵף
flipped,התהפך
yield,תְשׁוּאָה
ads,מודעות
backstage,אֲחוֹרֵי הַקְלַעִים
quiz,חִידוֹן
mosque,מִסגָד
weaver,אוֹרֵג
puppies,גורים
stated,נָקוּב
vicki,ויקי
weirdo,תִמהוֹנִי
belongings,חפצים
functions,פונקציות
reservations,הזמנות
chilly,קָרִיר
betsy,בטסי
eldest,בְּכוֹר
traditions,מסורות
factories,מפעלים
feedback,מָשׁוֹב
repeatedly,שוב ושוב
exquisite,מְעוּדָן
pickle,חמוצים
masses,המונים
pauline,פאולין
frogs,צפרדעים
crosses,צלבים
headaches,כאבי ראש
arctic,אַרקטִי
reinforcements,תגבורות
secondary,מִשׁנִי
pajamas,פִּיגָ'מָה
roles,תפקידים
asteroid,אַסטֵרוֹאִיד
unsub,חשוד
mixing,עִרבּוּב
courier,שָׁלִיחַ
jeanne,ז'אן
carrots,גזרים
fuckers,מזדיינים
translated,מְתוּרגָם
longing,גַעגוּעִים
cigars,סיגרים
manipulate,לְתַפְעֵל
liberal,לִיבֵּרָלִי
investors,משקיעים
bun,לַחמָנִיָה
sly,עַרמוּמִי
pickles,חֲמוּצִים
temperatures,טמפרטורות
sweetest,הכי מתוק
motto,מוֹטוֹ
moss,אֵזוֹב
yum,יאמי
melting,הַתָכָה
yan,יאן
requesting,מבקש
lava,לָבָה
kris,כריס
monthly,יַרחוֹן
noses,אפים
tickle,לְדַגדֵג
ufo,עב"ם
timothy,טימותי
stacey,סטייסי
midst,אֶמצַע
herbert,הרברט
purchased,רכש
tis,זה
convenience,נוֹחוּת
flashlight,פָּנַס כִּיס
dewey,דיואי
tripped,מעד
easiest,הכי קל
shouted,צעק
splitting,פְּצִיחָה
bryce,ברייס
commands,פקודות
demanded,דרש
cuff,יָדָה
cosmos,קוֹסמוֹס
curfew,עוֹצֶר
instructed,הורה
notorious,יָדוּעַ לְשִׁמצָה
prague,פראג
q,ש
streak,פַּס
equivalent,שווה ערך
pitiful,מְעוֹרֵר רַחֲמִים
fin,סְנַפִּיר
greeting,בְּרָכָה
propaganda,תַעֲמוּלָה
doorstep,מִפתָן הַדֶלֶת
hilda,הילדה
butterflies,פרפרים
fascinated,מוּקסָם
jude,ג'וד
beatrice,ביאטריס
miriam,מרים
dumping,הֲצָפַת הַשׁוּק
karan,קארן
condo,דירה
fearless,נוֹעָז
cripple,נָכֶה
errand,שְׁלִיחוּת
halls,אולמות
imitates,מחקה
harley,הארלי
ravi,ראווי
gretchen,גרטשן
sailed,הפליג
nico,ניקו
baking,אֲפִיָה
connecting,מְקַשֵׁר
bourbon,בּוּרבּוֹן
cathedral,קָתֶדרָלָה
malone,מלון
bong,באנג
tying,קְשִׁירָה
lists,רשימות
strangle,לַחֲנוֹק
stripped,חָשׂוּף
loans,הלוואות
manchester,מנצ'סטר
briefly,בקצרה
tessa,טסה
unfinished,לא גמור
experimental,נִסיוֹנִי
greeks,יוונים
lil,קטן
mainland,יַבֶּשֶׁת
judgement,פְּסַק דִין
stammers,גמגום
pike,כִּידוֹן
liars,שקרנים
slot,חָרִיץ
amazon,אֲמָזוֹנָה
flooded,מוּצָף
torment,לַעֲנוֹת
mermaid,בְּתוּלַת הַיָם
rapist,אַנָס
sanders,מלטשות
triggered,הופעל
expects,מצפה
lisbon,ליסבון
reader,קוֹרֵא
keyboard,מִקלֶדֶת
roam,לִנְדוֹד
seventeen,שְׁבַע עֶשׂרֵה
openly,בְּגָלוּי
deacon,כּוֹמֶר זוּטָר
olga,אולגה
jackpot,קוּפָּה
soaked,מוּספָּג
printing,הַדפָּסָה
yuck,איכס
shorty,קצר
extract,לְהוֹצִיא
prostitutes,זונות
cherish,לְהוֹקִיר
logs,יומני בולי עץ
takin,טאקין
sponge,סְפוֹג
bates,בייטס
cuffs,אזיקים
virginity,בְּתוּלִים
torturing,עינוי
unity,אַחְדוּת
coop,לול
forge,לְהַחשִׁיל
morse,מורס
guru,גורו
tai,טאי
skilled,מְיוּמָן
dev,מפתח
insists,מתעקש
calf,עֵגֶל
oof,אוף
allowance,הַפרָשָׁה
homosexual,הומוסקסואל
vijay,ויג'אי
shapes,צורות
rosemary,רוֹזמָרִין
idle,לְהִתְבַּטֵל
slaughtered,שָׁחוּט
resent,לְהִתְרַעֵם
cassandra,קסנדרה
leaking,דליפה
likewise,כְּמוֹ כֵן
riddle,חִידָה
ghetto,גֶטוֹ
sunglasses,מִשְׁקפֵי שֶׁמֶשׁ
vega,וגה
newest,החדש ביותר
valve,שַׁסתוֹם
geek,חנון
fucks,מזדיינים
gangsters,גנגסטרים
pies,פשטידות
publisher,מוֹצִיא לָאוֹר
troubling,מטריד
trembling,רַעַד
marathon,מָרָתוֹן
douche,שְׁטִיפָה
conducting,ניצוח
sundays,ימי ראשון
shrieks,צרחות
fiancee,אֲרוּסָה
frankenstein,פרנקנשטיין
summers,קיצים
wei,ווי
liang,ליאנג
burglar,פּוֹרֵץ
spiders,עכבישים
norway,נורבגיה
crops,גידולים
infant,תִינוֹק
falcon,בַּז
pursuing,רודף
humiliate,לְהַשְׁפִּיל
hydrogen,מֵימָן
karaoke,קריוקי
encountered,נתקלתי
alberto,אלברטו
corey,קורי
scope,תְחוּם
cultures,תרבויות
speakers,רמקולים
superstar,סופרסטאר
orgasm,אוֹרגַזמָה
byron,ביירון
gravy,רוֹטֶב
calculations,חישובים
vocal,ווֹקָאלִי
severely,חמורות
hating,שׂוֹנֵא
novels,רומנים
mindy,מינדי
boiled,מְבוּשָׁל
metaphor,מֵטָפוֹרָה
kindergarten,גַן יְלָדִים
fades,דוהה
anders,אנדרס
fi,פי
brazilian,ברזילאי
devastating,הרסני
bea,ביאה
interfering,מִתעַרֵב
dripping,טִפטוּף
ops,פעולות
cuz,כי
holden,הולדן
suited,מתאים
merciful,רַחוּם
hayley,היילי
affirmative,חִיוּבִי
runaway,בּוֹרֵחַ
shoo,לעזאזל
italians,איטלקים
wales,ויילס
santiago,סנטיאגו
adapt,לְהִסְתָגֵל
renee,רנה
mal,מאל
smartest,הכי חכם
blacks,שחורים
struggled,נאבק
prostitution,זְנוּת
payback,נקמה
buenos,טוב
vintage,בָּצִיר
diapers,חִתוּלִים
killings,רציחות
courthouse,בית המשפט
tong,טונג
cubs,גורים
surfing,גְלִישָׁה
indiana,אינדיאנה
spotlight,זַרקוֹר
frontier,גְבוּל
monte,מונטה
stocks,מניות
patterson,פטרסון
holiness,קְדוּשָׁה
denmark,דנמרק
isolation,בידוד
starters,מָנוֹת רִאשׁוֹנוֹת
resigned,שֶׁהִתפַּטֵר
acquainted,מכיר
meow,מִיָאוּ
appearances,הופעות
loft,עֲלִיַת גַג
snitch,לְהַלשִׁין
ribbon,סֶרֶט
dares,מעזים
greatness,גְדוּלָה
fallon,פאלון
coolest,הכי מגניב
decency,הֲגִינוּת
mayday,מאי יום
michigan,מישיגן
reactor,כור
buckle,אַבזָם
vanity,הֶבֶל
simmons,סימונס
earning,הִשׂתַכְּרוּת
marriages,נישואים
docks,רציפים
lopez,לופז
alleged,כִּביָכוֹל
asap,בְּהֶקְדֵם הַאֶפְשַׁרִי
preparations,הכנות
bugging,מציקים
conquered,כבוש
cuckoo,קוּקִיָה
crib,עֲרִיסָה
yogurt,יוֹגוּרט
secondly,שֵׁנִית
nixon,ניקסון
portland,פורטלנד
fishy,חָשׁוּד
flick,סְטִירָה קַלָה
scratched,שרוט
muffin,מַאפִין
hale,בָּרִיא
tailor,לְהַתְאִים
chimney,אֲרוּבָּה
nuns,נזירות
ezra,עזרא
packet,חֲבִילָה
homemade,תוֹצֶרֶת בַּיִת
farming,חַקלָאוּת
genuinely,בְּכֵנוּת
rumours,שמועות
daniels,דניאלס
blouse,חוּלצָה
kite,עֲפִיפוֹן
buses,אוטובוסים
hassan,חסן
rhyme,חֲרִיזָה
invaded,פלש
quentin,קוונטין
equation,משוואה
transmitter,מַשׁדֵר
morons,אידיוטים
lime,סִיד
rotting,נרקב
remorse,חֲרָטָה
otis,אוטיס
marker,סַמָן
aiming,מכוון
adds,מוסיף
chores,מטלות
gem,פְּנִינָה
blasted,אָרוּר
grabs,תופס
courageous,אַמִיץ
determination,נְחִישׁוּת
beaver,בּוֹנֶה
publishing,הוֹצָאָה לְאוֹר
crickets,צרצרים
well-known,ידוע
exercises,תרגילים
testament,בְּרִית
apocalypse,אַפּוֹקָלִיפּסָה
phew,פיו
dicks,זין
paralyzed,מְשׁוּתָק
headlines,כותרות
stripes,פסים
santos,סנטוס
breaths,נשימות
abort,לְהַפִּיל
heap,גַל
ketchup,קֶטשׁוֹפּ
responded,הגיב
edmund,אדמונד
gracie,גרייסי
protects,מגן
tummy,בֶּטֶן
hog,חֲזִיר
yakuza,יאקוזה
weeping,בְּכִי
fragments,שברים
catastrophe,קָטַסטרוֹפָה
bp,לחץ דם
churches,כנסיות
pins,סיכות
shaving,גילוח
legit,חוּקִי
yoo,יו
targeted,ממוקד
simpler,פשוט יותר
noticing,מבחין
rover,נוֹדֵד
lars,לארס
moreover,יֶתֶר עַל כֵּן
releasing,משחרר
fascist,פָשִׁיסטִי
greta,גרטה
spitting,יְרִיקָה
colt,סוּסוֹן
tristan,טריסטן
hardy,הארדי
truce,הַפסָקַת אֵשׁ
plaza,פְּלַזָה
bronze,בְּרוֹנזָה
guarded,שָׁמוּר
airline,חֶברַת תְעוּפָה
ramon,רמון
incapable,לֹא מְסוּגָל
punches,אגרופים
sanchez,סאנצ'ז
hq,מטה
privately,באופן פרטי
vatican,הוותיקן
surround,לְהַקִיף
barrett,בארט
edna,עדנה
alvin,אלווין
consolation,נֶחָמָה
gutter,מַרזֵב
lan,רשת תקשורתית
astonishing,מַפתִיעַ
broker,סַרְסוּר
seizure,תְפִיסָה
fright,פַּחַד
leaning,נשען
mic,מיקרופון
scarlett,סקרלט
berry,ברי
paulie,פאולי
lacking,נָטוּל
verge,לִגבּוֹל
lucifer,לוציפר
contribute,לִתְרוֹם
jewellery,תַכשִׁיטִים
richards,ריצ'רדס
erotic,אֵרוֹטִי
feng,פנג
siblings,אחים ואחיות
est,צפויה
dre,דרה
cass,קאס
disk,דִיסק
op,אופ
comics,קומיקס
obstacle,מִכשׁוֹל
ale,בִּירָה
coral,אַלְמוֹג
hamburger,הֶמבּוּרגֶר
biscuit,עוּגִיָה
redemption,גְאוּלָה
thug,בִּריוֹן
concussion,זַעֲזוּעַ
martinez,מרטינז
disgust,סְלִידָה
wright,רייט
nsa,לאומיים לאומיים
arise,לְהִתְעוֹרֵר
celebrities,ידוענים
kev,קאב
dolphins,דולפינים
kidneys,כליות
leaked,דלף
solving,פְּתִירָה
plasma,פְּלַסמָה
singapore,סינגפור
scram,לְהִסְתַלֵק
regain,לְקַבֵּל בְּחַזָרָה
conductor,מְנַצֵחַ
ministers,שרים
gender,מִין
removing,הסרת
cocky,יהיר
richest,העשיר ביותר
deciding,החלטה
poo,קקי
dispute,מַחֲלוֹקֶת
brute,פְּרָאִי
incidents,אירועים
telly,טֵלֶוִיזִיָה
capsule,כּמוּסָה
chefs,שפים
psychopath,פְּסִיכוֹפָּת
dumpster,פח אשפה
lire,לירה
jarod,ג'רוד
bind,לִקְשׁוֹר
chops,צלעות
crust,קְרוּם
poorly,גרוע
weighs,שוקל
bundle,עָנִיץ
vibrating,רוֹטֵט
ricardo,ריקרדו
encouraging,מְעוֹדֵד
dwayne,דוויין
polo,פּוֹלוֹ
singers,זמרים
ada,עדה
meteor,מֵטֵאוֹר
firmly,בְּתוֹקֶף
prettiest,הכי יפה
hormones,הורמונים
starboard,ימין
chauffeur,נֶהָג
download,הורדה
garrison,חֵיל הַמַצָב
recovering,מתאושש
heated,מְחוּמָם
hillary,הילרי
cctv,טלוויזיה במעגל סגור
postcard,גְלוּיָה
darlin,יקירתי
convert,לְהַמִיר
celia,סיליה
abi,אבי
sissy,גֶבֶר נָשִׁי
reef,שׁוּנִית
treasury,מִשׂרַד הַאוֹצָר
calmly,ברוגע
mathematics,מָתֵימָטִיקָה
ar,אר
ups,עליות
shameful,מֵבִּישׁ
abbey,מִנזָר
strategic,אִסטרָטֵגִי
wrists,פרקי ידיים
payroll,גִלְיוֹן שָׂכָר
beethoven,בטהובן
immense,עָצוּם
heartless,חֲסַר לֵב
magnus,מגנוס
banged,דפקתי
montgomery,מונטגומרי
protector,מָגֵן
michelangelo,מיכלאנג'לו
teller,כַּספָּר
raging,סוֹעֵר
applying,יישום
mop,לְנַגֵב
sol,סוֹל
atom,אָטוֹם
paolo,פאולו
unload,לִפְרוֹק
detector,גַלַאִי
switching,מיתוג
handles,ידיות
favorites,מועדפים
stinky,מסריח
lina,לינה
norton,נורטון
regional,אֵזוֹרִי
heil,הייל
richer,עשיר יותר
secrecy,סוֹדִיוּת
thighs,ירכיים
rigged,מְבוּיָם
thesis,תֵזָה
zeke,זיק
consumed,מְאוּכָּל
ahold,החזקה
tuned,מְכוּוָן
atlantis,אטלנטיס
repaired,מְתוּקָן
leverage,תְנוּפָה
winnie,ויני
weary,לְהַלאוֹת
costa,קוסטה
rue,לְהִצְטַעֵר
cowboys,קאובויים
employ,לְהַעֲסִיק
provoke,לְגָרוֹת
stool,שְׁרַפרַף
postpone,לִדחוֹת
extensive,נִרחָב
beau,מְחַזֵר
urgently,בֵּדְחִיפוּת
optimistic,אוֹפּטִימִי
lotus,לוֹטוּס
apologizing,מתנצל
spooky,מַפְחִיד
skate,לְהַחלִיק עַל מִחלָקַיִם
maze,מָבוֹך
arrests,מעצרים
dialing,חִיוּג
fireplace,אָח
gt,GT
vicar,כּוֹמֶר
beetle,חיפושית
horace,הוראס
suspicions,חשדות
stupidity,טִפּשׁוּת
restricted,מוגבל
skating,הַחלָקָה
pupil,תַלמִיד
homo,הומו
thumbs,אגודלים
hostess,מְאָרַחַת
cheng,צ'נג
sneaky,מִתגַנֵב
swollen,נָפוּחַ
por,פור
unlocked,נעול
eliza,אלייזה
gladys,גלדיס
mixture,תַעֲרוֹבֶת
porsche,פורשה
diagnosed,מאובחן
vaughn,ווהן
ri,רי
liberation,שִׁחרוּר
nay,לָאו
crows,עורבים
rockets,רקטות
reindeer,אַיָל
shampoo,שַׁמפּוֹ
milton,מילטון
mai,מאי
skiing,סקִי
overhead,מִמַעַל
disturbance,הַפרָעָה
cohen,כּוֹהֵן
spits,יורק
crank,כַּנֶנֶת
crocodile,תַנִין
bulls,שוורים
medals,מדליות
sierra,סיירה
motivation,מוֹטִיבָצִיָה
dangers,סכנות
exploring,לחקור
mist,עֲרָפֶל
galaxies,גלקסיות
ju,ג'ו
sculpture,פֶּסֶל
marjorie,מרג'ורי
adrenaline,אדרנלין
malik,מאליק
allied,בעלות הברית
manor,אֲחוּזָה
convoy,שיירה
carly,קרלי
elliott,אליוט
merit,לִזכּוֹת
cutter,מַחתֵך
stressful,מלחיץ
forming,טְבִיעָה
bikini,בִּיקִינִי
sway,לְהִתְנַדְנֵד
virgil,וירג'יל
soy,סויה
nell,נל
salty,מָלוּחַ
elf,שֵׁדוֹן
belts,חגורות
yvonne,איבון
disney,דיסני
contractor,קַבְּלָן
rodeo,רוֹדֵאוֹ
crackers,קרקרים
playboy,פלייבוי
arch,קֶשֶׁת
operated,מוּפעָל
crews,צוותים
scanner,סוֹרֵק
dads,אבות
limbs,גפיים
bathe,לִרְחוֹץ
cardiac,שֶׁל הַלֵב
persuaded,שכנע
argentina,ארגנטינה
velvet,קְטִיפָה
hyde,הייד
stem,גֶזַע
rewarded,מתוגמל
taiwan,טייוואן
warfare,לוֹחָמָה
lakhs,לאקים
filter,לְסַנֵן
pumped,שָׁאוּב
sterling,שׁטֶרלִינג
gran,סבתא
fills,מילויים
chet,ח
disc,דיסק
percentage,אֲחוּזִים
bravery,אומץ לב
edges,קצוות
diaper,לְחַתֵל
lyle,לייל
ida,אידה
preserved,נשמר
sutton,סאטון
katrina,קטרינה
champions,אלופים
partying,מסיבות
sergei,סרגיי
pd,פ.ד.
morality,מוּסָרִיוּת
crate,אַרְגָז
mina,מינה
complications,סיבוכים
sausages,נקניקיות
smoothly,בצורה חלקה
rafael,רפאל
cradle,עֶרֶשׂ
leopard,נָמֵר
chu,צ'ו
gardner,גרדנר
athens,אַתוּנָה
abu,אבו
kramer,קרמר
magnet,מַגנֵט
psychotic,פְּסִיכוֹטִי
vaccine,תַרכִּיב
motivated,מוטיבציה
aggression,תוֹקפָּנוּת
courses,קורסים
willis,וויליס
expanding,מתרחב
vance,ואנס
bases,בסיסים
burglary,פְּרִיצָה
stumbled,מעד
buns,לחמניות
confronted,התעמת
geneva,ז'נבה
increasingly,יותר ויותר
sidewalk,מִדרָכָה
shady,מוּצַל
defended,מוּגָן
resolution,הַחְלָטָה
chooses,בוחר
tapped,הקשה
exploding,הִתְפּוֹצְצוּת
punks,פאנקיסטים
scenery,נוֹף
hitch,תַקָלָה
severed,מנותק
wink,קְרִיצָה
initially,בְּהַתחָלָה
assessment,הַעֲרָכָה
shredder,מגרסה
villains,נבלים
miners,כורים
introducing,מציגים
focusing,התמקדות
rainy,גָשׁוּם
amendment,תִקוּן
getaway,מילוט
recognised,מוּכָּר
blackout,הַאֲפָלָה
leash,רְצוּעָה
muhammad,מוחמד
eyebrows,גבות
livin,לחיות
bouncing,הַקפָּצָה
nipples,פטמות
raft,רַפסוֹדָה
pharaoh,פַּרעֹה
pots,כְּלֵי מִטְבָּח
refreshing,מְרַעֲנֵן
wandered,שוטט
roz,רוז
abel,אבל
beatles,הביטלס
confined,מוּגבָּל
contagious,מדבק
madeline,מדליין
beijing,בייג'ינג
frequently,לְעִתִים קְרוֹבוֹת
operational,מִבצָעִי
shakes,שייקים
thanking,מוֹדֶה
suffers,סובל
basil,בָּזִילִיקוּם
babylon,בָּבֶל
drilling,הִתעַמְלוּת
agencies,סוכנויות
buffet,מִזנוֹן
farms,חוות
motives,מניעים
cocoa,קָקָאוֹ
perception,תְפִיסָה
targeting,מיקוד
thudding,חבטה
blares,צפצופים
dense,צָפוּף
pinned,מוצמד
pending,תָלוּי וְעוֹמֵד
nod,מָנוֹד רֹאשׁ
crunch,לִכסוֹס
stains,כתמים
nervously,בעצבנות
caribbean,הקריביים
bouquet,זֵר
stabbing,דְקִירָה
screws,ברגים
boone,בון
philosopher,פִילוֹסוֹף
bulb,נוּרָה
sinner,חוֹטֵא
ongoing,מתמשך
editing,עֲרִיכָה
veteran,וָתִיק
drip,לְטַפטֵף
mara,מארה
inspiring,מעורר השראה
gale,סְעָרָה
flint,צוּר
nova,נובה
nevada,נבאדה
manning,אִיוּשׁ
membership,חֲבֵרוּת
puerto,פורטו
raphael,רפאל
chalk,גִיר
liable,עָלוּל
manuscript,כְּתַב יָד
organised,מְאוּרגָן
clanging,צלצול
markets,שווקים
rama,ראמה
austria,אוֹסְטְרֵיָה
chocolates,שוקולדים
trafficking,סחר בבני אדם
philly,פילדלפיה
unaware,לֹא מוּדָע
loot,לִבזוֹז
perish,לָמוּת
processed,מְעוּבָּד
clone,שיבוט
whooshing,שריקה
hangover,צִירֵי הִתפַּכְּחוּת
flatter,לְהַחמִיא
wretch,אומלל
weasel,סַמוּר
columbia,קולומביה
israeli,יִשׂרְאֵלִי
shatters,מתנפץ
lace,תַחרָה
indication,סִימָן
allan,אלן
cora,קורה
drifting,נסחף
grady,גריידי
undress,לְהִתְפַּשֵׁט
dolphin,דוֹלפִין
faked,מזויף
depart,לַעֲזוֹב
monument,אַנדַרטָה
tyres,צמיגים
marissa,מריסה
lorraine,לוריין
pow,פאו
invade,לִפְלוֹשׁ
scooby,סקובי
hazel,לוּז
rep,נציג
heavier,כבד יותר
tart,טַארט
mocking,לַעֲגָנִי
forgets,שוכח
sinister,מְרוּשָׁע
christy,כריסטי
dex,דקס
judas,יְהוּדָה
assemble,לְהַרְכִּיב
shortcut,קיצור דרך
transformation,טרנספורמציה
posts,פוסטים
generosity,נְדִיבוּת
amusement,שַׁעֲשׁוּעַ
beta,בטא
counseling,ייעוץ
bobo,בובו
honors,הצטיינות
snatched,חטף
phyllis,פיליס
measured,נמדד
gamma,גמא
squeals,צווחות
evidently,בָּרוּר
mildred,מילדרד
caitlin,קייטלין
dubai,דובאי
lantern,פָּנָס
combine,לְשַׁלֵב
nero,שחור
trey,טריי
toughest,הקשה ביותר
limp,לִצְלוֹעַ
implying,מרמז
matrix,מַטרִיצָה
dots,נקודות
kilometres,קילומטרים
evacuation,פינוי
earliest,המוקדם ביותר
incompetent,חֲסַר יְכוֹלֶת
closure,סֶגֶר
descent,מוֹצָא
parachute,מַצנֵחַ
analyze,לְנַתֵחַ
crushing,גְרִיסָה
classmates,חברים לכיתה
excessive,מוּפרָז
tighter,הדוק יותר
hump,גַבנוּן
fuzzy,מְעוּרפָּל
tad,יַלדוֹן
punishing,עֲנִישָׁה
pageant,תחרות
wan,חלש
reveals,מגלה
wildlife,חַיוֹת בַּר
clare,קלר
poking,דקירות
rehearsing,חזרות
homecoming,חזרה הביתה
swelling,נְפִיחוּת
shrieking,צורח
squawking,צווחות
tardis,טארדיס
caine,קיין
statues,פסלים
practiced,מְתוּרגָל
christianity,נַצְרוּת
hazard,מִפגָע
stretched,מָתוּחַ
dea,דאה
trudy,טרודי
slug,שַׁבְּלוּל
frustration,תִסכּוּל
edie,אדי
deception,הוֹנָאָה
lillian,ליליאן
trespassing,הַסָגָה
elimination,אלימינציה
comforting,מנחם
len,לן
preach,לְהַטִיף
practise,לְתַרְגֵל
damages,נְזִיקִין
ex-boyfriend,החבר לשעבר
exits,יציאות
yer,שלך
appointments,פגישות
significance,מַשְׁמָעוּת
drummer,מְתוֹפֵף
specimen,דוּגמָה
voodoo,וודו
cleo,קליאו
misunderstand,לא להבין
asthma,אַסְתְמָה
errands,סידורים
hypocrite,צָבוּעַ
snorts,נחירות
advocate,עוֹרֵך דִין
cutie,חמוד
obtained,השיג
cristina,כריסטינה
radioactive,רַדִיוֹאַקטִיבִי
richmond,ריצ'מונד
ideals,אידיאלים
apprentice,שׁוּליִה
unreasonable,לֹא סָבִיר
inmate,אָסִיר
siege,מָצוֹר
cobra,קוֹבּרָה
increases,מגדיל
harbour,נָמָל
illegally,באופן לא חוקי
rattle,טִרטוּר
trim,מְטוּפָּח
noodle,אִטְרִיָה
antibiotics,אַנְטִיבִּיוֹטִיקָה
mattered,היה חשוב
declaration,הַצהָרָה
virtual,וירטואלי
intuition,אִינטוּאִיצִיָה
revs,סל"ד
darcy,דארסי
scales,מֹאזנַיִם
testified,העיד
gigi,ג'יג'י
twenty-five,עשרים וחמש
bypass,לַעֲקוֹף
pneumonia,דלקת ריאות
manly,גַברִי
medicines,תרופות
slowing,האטה
groan,אֲנָקָה
dungeon,צִינוֹק
chaps,בחורים
ncis,NCIS
consequence,תוֹצָאָה
intercept,לְעַכֵּב
badass,קשוח
examples,דוגמאות
fists,אגרופים
klink,קלינק
substantial,מַמָשִׁי
brag,לְהִתְרַבְרֵב
pitcher,כַּד
onboard,על הסיפון
amigo,חבר
courtyard,חָצֵר
royalty,תַמְלוּג
spontaneous,ספּוֹנטָנִי
ca,קא
restroom,שירותים
peep,לְהָצִיץ
negotiating,משא ומתן
ache,כְּאֵב
swat,לְהַצְלִיף
emerge,לָצֵאת
gambler,מְהַמֵר
references,הפניות
bonjour,בונז'ור
darkest,האפל ביותר
insecure,לֹא בָּטוּחַ
attendant,מְטַפֵּל
sympathetic,אוֹהֵד
lila,לילה
heroine,אֲלִילָה
choked,חָנוּק
unidentified,לא מזוהה
plumbing,אִינסְטָלַצִיָה
darker,כהה יותר
ariel,אריאל
crude,גַס
dictionary,מילון
sparks,ניצוצות
auditions,אודישנים
demo,הַדגָמָה
oppose,לְהִתְנַגֵד
fingernails,ציפורניים
mineral,מִינֵרָלִי
collateral,בטחונות
istanbul,איסטנבול
venom,אֶרֶס
tempting,מְפַתֶה
relay,מִמסָר
bamboo,בָּמבּוּק
particle,חֶלְקִיק
ying,יינג
torres,טורס
broadcasting,שידור
banking,בַּנקָאוּת
reminding,תזכורת
cassidy,קאסידי
axl,אקסל
ferguson,פרגוסון
estimated,מְשׁוֹעָר
hebrew,עִברִית
electronics,אֶלֶקטרוֹנִיקָה
octopus,תָמְנוּן
meaningful,מַשְׁמָעוּתִי
stranded,נָטוּשׁ
daytime,שְׁעוֹת הַיוֹם
dowry,נְדוּנִיָה
starved,מוּרעָב
ex-girlfriend,חברה לשעבר
collision,הִתנַגְשׁוּת
admitting,מודה
comeback,הִתאוֹשְׁשׁוּת
hungarian,הוּנגָרִי
faculty,סגל
operative,פָּעִיל
liza,ליזה
tenants,דיירים
revealing,חושפני
ko,קו
ounce,אוּנְקִיָה
mediterranean,יָם תִיכוֹנִי
gadget,מַכשִׁיר
paramedics,פרמדיקים
console,לְנַחֵם
cyril,סיריל
drawers,תַחתוֹנִים
caravan,קָרוֹן
spinal,שֶׁל עַמוּד הַשִׁדרָה
bummer,מבאס
crippled,נָכֶה
bled,דימם
defy,לְהַתְרִיס
luna,לונה
herbs,עשבי תיבול
hwang,הואנג
queue,תוֹר
blinded,עיוור
studios,אולפנים
9th,תשיעי
goddammit,לעזאזל
recess,הַפסָקָה
countdown,סְפִירָה לְאָחוֹר
maddy,מאדי
dracula,דרקולה
