you,ти
erika,Еріка
sophomore,другокурсник
radios,радіоприймачі
ringo,Рінго
medallion,медальйон
eiffel,Ейфелева вежа
yamato,ямато
wilder,дикіший
dyke,дамба
bailiff,судовий пристав
peril,небезпека
plaintiff,позивач
emilia,Емілія
transmitted,передано
bonnet,капот
assassinated,убитий
emptiness,порожнеча
helmets,шоломи
normandy,Нормандія
cheetah,гепард
clips,кліпи
thicker,товстіший
whiz,свист
saga,сага
bullock,бик
binoculars,бінокль
accord,згода
diva,діва
jeanette,Жанетт
birmingham,Бірмінгем
pick-up,пікап
sita,сіта
concierge,консьєрж
clams,молюски
questionable,сумнівний
volunteering,волонтерство
lunches,обіди
spooked,наляканий
pinpoint,точно визначити
hereafter,далі
brook,струмок
weakened,ослаблений
verses,вірші
marshals,маршали
deposited,депонований
cleans,очищає
ironically,іронічно
bodily,тілесний
distances,відстані
hypnosis,гіпноз
secretive,потайливий
dominion,панування
civic,громадянський
tori,торі
bursts,сплески
uncertainty,невизначеність
streams,потоки
vortex,вихор
tights,колготки
sponsors,спонсори
tickles,лоскотання
cello,віолончель
herring,оселедець
ab,аб
disability,інвалідність
griffith,Гріффіт
orchid,орхідея
hostility,ворожість
conflicts,конфлікти
pans,сковорідки
housekeeping,прибирання
panthers,пантери
wonderland,країна чудес
ruiz,Руїс
interrogated,допитаний
andromeda,Андромеда
premium,преміум
broccoli,броколі
garfield,Гарфілд
mussolini,Муссоліні
pottery,гончарство
shrapnel,осколки
planner,планувальник
jacked,здутий
robyn,Робін
rounded,округлий
giuseppe,Джузеппе
cactus,кактус
motherland,батьківщина
defendants,відповідачі
wilt,в'янення
jia,цзя
executives,керівники
spoons,ложки
belinda,Белінда
unbelievably,неймовірно
fairness,справедливість
continuously,безперервно
spices,спеції
organisms,організми
regretted,шкодує
monarch,монарх
narrative,розповідь
roth,рот
catcher,ловець
dictatorship,диктатура
controversy,суперечка
manu,ману
alejandro,Алехандро
josef,Йозеф
dignified,гідний
bonded,зв'язаний
tilt,нахил
beginnings,початки
peaks,піки
tissues,тканини
pretentious,претензійний
dell,дельта
jeopardize,поставити під загрозу
osborne,Осборн
diversity,різноманітність
shabby,жалюгідний
brownies,брауні
overdo,перестаратися
sharma,Шарма
crunching,хрускіт
tel,тел.
marnie,Марні
separating,розділення
horrid,жахливий
overrated,переоцінений
harmon,гармон
rethink,переосмислити
mastered,опанував
eww,фу
reopen,знову відкрити
camels,верблюди
tux,смокінг
denis,Денис
depended,залежав
tak,так
whine,скиглити
axis,вісь
orchard,фруктовий сад
cherries,вишні
pleasing,приємний
unforgivable,непрощенний
craziest,найбожевільніший
rods,стрижні
distressed,засмучений
bubbling,бульбашки
interact,взаємодіяти
manipulating,маніпулювання
rewind,перемотування назад
burgundy,бордовий
blacked,чорний
trillion,трильйон
onwards,далі
reservoir,резервуар
participation,участь
caucasian,європеоїд
flushing,промивання
serbian,сербський
manhood,мужність
lao,лао
matilda,Матильда
exhale,видих
dinah,Діна
in-laws,родичі чоловіка/дружини
caramel,карамель
slander,наклеп
identifying,ідентифікація
drunkard,п'яниця
blooming,квітучий
stocking,панчоха
one-on-one,один на один
rinse,полоскати
artwork,твори мистецтва
catholics,католики
stormy,бурхливий
refresh,освіжити
elisa,Еліза
cor,кор
floats,поплавці
expanded,розширений
chilling,охолодження
congo,Конго
afghan,афганський
backside,задня частина
antarctica,Антарктида
sandals,сандалі
investigative,слідчий
wills,заповіти
searches,пошуки
yawns,позіхає
collaboration,співпраця
untouched,недоторканий
psyched,натхненний
hussein,Хусейн
departments,відділи
tuxedo,смокінг
mak,мак
bummed,засмучений
heinrich,Генріх
finer,тонший
manure,гній
compatible,сумісний
moor,болото
keg,кег
monsignor,монсеньйор
peeled,очищений
dona,дона
stings,укуси
seeker,шукач
watering,полив
ids,ідентифікатори
malaria,малярія
aj,ай
walters,Волтерс
sinatra,Сінатра
lending,кредитування
dodgers,Доджерс
fortnight,два тижні
reassure,заспокоїти
braun,Браун
meddling,втручання
overthrow,повалення
postmortem,розтин
achievements,досягнення
excellence,досконалість
latch,засувка
coppers,мідяки
raids,рейди
dickens,Діккенс
drifted,дрейфував
leeds,Лідс
obsessive,нав'язливий
upwards,вгору
lynette,Лінетт
oatmeal,вівсянка
midday,полудень
implants,імплантати
unmarried,неодружений
murat,Мурат
sewers,каналізацію
bowie,Боуї
mercenary,найманець
perks,пільги
outrun,випередити
copying,копіювання
upload,завантажити
freya,Фрея
helga,Хельга
shu,шу
bumping,підстрибування
inland,углиб країни
yorkshire,Йоркшир
humbly,смиренно
injections,ін'єкції
participating,учасник
python,пітон
laurent,Лоран
cockroaches,таргани
puberty,статеве дозрівання
technologies,технології
crumble,кришитися
toots,зуби
miki,Мікі
roscoe,Роско
clot,згусток
exterminate,винищувати
rake,граблі
cholesterol,холестерин
deli,делікатеси
augustus,Август
sublime,піднесений
bottled,у пляшках
fung,грибок
charlene,Шарлін
demolition,знесення
methane,метан
appendix,апендикс
aches,болі
ahoy,ей
distractions,відволікаючі фактори
dashing,лихий
plank,дошка
medications,ліки
chevy,Шевроле
zurich,Цюрих
makers,творці
invading,вторгнення
loner,одинак
comm,зв'язок
grissom,Гріссом
miner,шахтар
senile,старечий
commando,командос
mantle,мантія
manufactured,виготовлений
broth,бульйон
interaction,взаємодія
lsd,ЛСД
sesame,кунжут
auschwitz,Освенцим
restraint,стриманість
devour,пожирати
zachary,Захарі
sardines,сардини
orb,куля
govern,керувати
respiratory,респіраторний
elope,втекти
webber,Веббер
wreckage,уламки
lumber,пиломатеріали
consists,складається
operates,працює
needless,непотрібний
faulty,несправний
alps,Альпи
assassinate,вбити
santo,Санто
edinburgh,Единбург
staggering,приголомшливий
jillian,Джилліан
murmurs,бурмотіння
bologna,Болонья
unleashed,розв'язаний
brushing,чищення щіткою
surgeries,хірургічні операції
coffees,кава
advancing,просування
celeste,Селеста
trixie,Тріксі
commonly,зазвичай
mentality,менталітет
cordelia,Корделія
hammered,забитий
meltdown,зрив
rayna,Райна
mastermind,натхненник
luciano,Лучано
olsen,Олсен
brow,брови
galactic,галактичний
muriel,Мюріель
strand,пасмо
tedious,нудний
burrito,буріто
builders,будівельники
encrypted,зашифрований
threads,нитки
wronged,скривджений
judd,Джадд
gill,зябро
cremated,кремований
collectors,колекціонери
prosper,процвітати
sheppard,пастух
terri,Террі
ferdinand,Фердинанд
handicap,гандикап
disciplinary,дисциплінарний
hardcore,хардкор
hens,кури
inventions,винаходи
export,експорт
alain,Ален
vowed,обіцяв
snappy,різкий
kingdoms,королівства
vocabulary,словниковий запас
cromwell,Кромвель
tj,Т. Дж.
reacting,реагуючи
conceive,зачати
sling,слінг
transporting,транспортування
murderous,вбивчий
marius,Маріус
checkmate,шах і мат
patio,внутрішній дворик
rebound,відскок
baptized,охрещений
hooves,копита
payday,день зарплати
jodie,Джоді
pranks,витівки
seizures,судоми
enable,увімкнути
seaweed,морські водорості
delirious,марення
cyborg,кіборг
telephoned,телефонував
bravely,сміливо
huey,Х'юї
markings,маркування
widows,вдови
gianni,Джанні
hologram,голограма
fielding,польовий
dibs,права
triumphant,тріумфальний
washes,миє
wilbur,Вілбур
lexi,Лексі
hauling,перевезення
buckingham,Букінгем
steadily,стабільно
processes,процеси
bey,бей
projection,проекція
creed,віросповідання
acquitted,виправданий
mink,норка
meddle,втручатися
buts,але
kwon,квон
scoundrels,негідники
spectators,глядачі
blushing,червоніючи
closeup,крупним планом
faye,Фей
frigging,чортівня
torches,смолоскипи
kato,като
barlow,Барлоу
mix-up,плутанина
horseman,вершник
prescott,Прескотт
vacations,відпустки
avalanche,лавина
marking,маркування
fret,лад
pacey,швидкий
glasgow,Глазго
editorial,редакційна
fleas,блохи
eyeball,очне яблуко
trails,стежки
insides,нутрощі
bonfire,багаття
micah,Міка
anu,ану
urgency,терміновість
bearer,пред'явник
provincial,провінційний
clueless,безпорадний
chaplin,Чаплін
mercer,мерсер
tempo,темп
conner,Коннер
capitalist,капіталістичний
bumpy,горбкуватий
maternal,материнський
harass,переслідувати
stomp,тупотіти
cheeseburger,чізбургер
chime,дзвін
oppression,гноблення
resembles,схожий
festive,святковий
mayhem,хаос
fleeting,швидкоплинний
zodiac,зодіак
geezer,старий
thorns,колючки
gags,кляпи
freelance,фрілансер
whatnot,щось інше
scots,шотландці
brutus,Брут
cylinder,циліндр
teri,Тері
pouch,сумка
sato,Сато
fossils,скам'янілості
twenty-four,двадцять чотири
marko,Марко
crosby,Кросбі
plausible,правдоподібний
disgraceful,ганебний
dax,Дакс
brushed,щіткою
dai,дай
holed,дірявий
encore,біс
ludwig,Людвіг
impulses,імпульси
heads-up,попередження
takeoff,зліт
ceremonies,церемонії
resulting,в результаті
refers,посилається
shatter,розбити
fascists,фашисти
entertained,розважали
mckenzie,Маккензі
rin,Рін
lama,лама
specialists,спеціалісти
phenomena,явища
preventing,запобігання
affectionate,ніжний
precedent,прецедент
contributed,зробив свій внесок
blindfold,пов'язка на очі
schmuck,чмоку
raf,раф
hatchet,сокира
bambi,Бембі
statute,статут
offscreen,за кадром
gao,гао
carefree,безтурботний
pollen,пилок
endurance,витривалість
dialed,набраний
virtues,чесноти
coping,подолання
penitentiary,пенітенціарної установи
hallucinating,галюцинації
combo,комбо
bowel,кишечник
hypothetically,гіпотетично
jana,Яна
mayonnaise,майонез
vineyard,виноградник
tam,там
digits,цифри
myers,Майєрс
evolutionary,еволюційний
ribbons,стрічки
kabir,Кабір
francesco,Франческо
advertise,рекламувати
saline,фізіологічний розчин
edgy,різкий
girlie,дівчинка
rao,рао
regained,повернуто
parental,батьківський
barbarian,варвар
brewing,пивоваріння
tat,татуювання
disrupt,порушити
unanimous,одностайний
implications,наслідки
high-end,високого класу
candice,Кендіс
scallops,гребінці
vibrations,вібрації
homesick,туга за домівкою
stung,ужалений
casanova,Казанова
tormented,мучений
wi-fi,Wi-Fi
steamed,приготований на пару
baptism,хрещення
leagues,ліги
kwan,кван
thunderclap,грім
harassed,переслідуваний
velma,Велма
chimp,шимпанзе
consulted,консультувався
scripts,скрипти
restoration,реставрація
retribution,відплата
bows,луки
unforgettable,незабутній
afterward,після цього
adventurous,авантюрний
swab,тампон
inevitably,неминуче
expectation,очікування
xu,Сюй
carcass,туша
notary,нотаріус
lukas,Лукас
armand,Арманд
perverted,збочений
surrogate,сурогатна мати
spat,плюнув
dazzling,сліпучий
snipers,снайпери
lai,лай
cartman,Картмен
capabilities,можливості
midwife,акушерка
gains,здобутки
grumbling,бурчання
retainer,фіксатор
bleak,похмурий
houdini,Гудіні
inquiries,запити
expel,вигнати
berger,бургер
markers,маркери
reap,жати
specs,специфікації
morn,ранок
deceit,обман
carole,Керол
coloured,кольоровий
degenerate,дегенерат
adi,аді
petals,пелюстки
dues,внески
tensed,напружений
battered,побитий
withdrew,відкликався
darlings,кохані
starbuck,Старбак
patton,Паттон
mound,курган
accurately,точно
frenzy,шаленство
senators,сенатори
saturdays,суботи
nemesis,заклятий ворог
rocker,рокер
whiff,запах
tagged,позначено тегом
fearing,боячись
fringe,бахрома
peninsula,півострів
carey,Кері
radiator,радіатор
tolerated,терпимий
tor,тор
clucking,кудкудахтання
stun,оглушити
specimens,зразки
reuben,Рубен
accomplices,співучасники
somber,похмурий
assailant,нападник
mutation,мутація
ke,ке
straightaway,одразу
spun,прядено
reclaim,повернути
paramedic,парамедик
capturing,захоплення
gaston,гастон
biopsy,біопсія
proportions,пропорції
colleges,коледжі
doubting,сумніваючись
theoretical,теоретичний
funnier,смішніше
whee,вуа
indefinitely,на невизначений термін
disasters,катастрофи
sen,сен
forwards,форварди
quo,кво
addressing,звертання
pakistani,пакистанський
neon,неон
slurping,сьорбання
felon,злочинець
inflation,інфляція
stallion,жеребець
blackjack,блекджек
passive,пасивний
milligrams,міліграми
irritated,роздратований
worldly,мирський
manipulation,маніпуляції
strips,смужки
hijacked,викрадений
jingling,дзвін
pushy,нав'язливий
macaroni,макарони
bulldog,бульдог
rigid,жорсткий
maxim,максима
checkpoint,контрольно-пропускний пункт
soothing,заспокійливий
hateful,ненависний
folding,складання
reduction,зменшення
loaned,позичений
undermine,підривати
frontal,лобовий
victories,перемоги
empathy,емпатія
achilles,ахіллес
overload,перевантаження
topanga,топанга
piercing,пірсинг
stamped,штампований
potent,потужний
bristol,Брістоль
snob,сноб
hypothetical,гіпотетичний
detection,виявлення
unharmed,неушкоджений
subjected,підданий
boils,фурункули
crocodiles,крокодили
coupons,купони
culinary,кулінарний
mahjong,маджонг
fleur,квітка
niko,Ніко
lira,ліра
nonstop,без зупинок
giddy,запаморочливий
teachings,вчення
clinging,чіпляючись
silenced,замовк
ramen,рамен
goodman,Гудмен
disposition,розпорядження
enforce,примусити
gunner,стрільця
ragnar,Рагнар
ploy,хитрощі
suburban,приміський
sleepover,ночівля
slutty,розпусна
imply,натякати
cheerleaders,черлідерки
conception,зачаття
werewolves,перевертні
catalog,каталог
paranormal,паранормальне
shun,уникати
biker,байкер
jellyfish,медуза
municipal,муніципальний
ruckus,галас
adviser,радник
alerted,попереджений
commune,комуна
granite,граніт
fr,фр
formalities,формальності
proximity,близькість
unavailable,недоступний
fargo,Фарго
defenseless,беззахисний
innovation,інновації
paradox,парадокс
koreans,корейці
valleys,долини
walden,Волден
trooper,солдат
infrastructure,інфраструктура
barrow,курган
interns,стажери
taro,таро
bertha,Берта
proctor,наглядач
hovering,зависання
feminist,феміністка
declan,Деклан
observations,спостереження
prone,схильний
spins,обертання
conversion,конверсія
emerging,нові
sheffield,Шеффілд
dustin,пилу
ares,арів
crazier,божевільніший
od,од
goldie,золотий
bulbs,цибулини
blindly,сліпо
rabies,сказ
smurf,смурф
brownie,брауні
formerly,раніше
chastity,цнотливість
desirable,бажаний
barriers,бар'єри
hoops,обручі
grains,зерна
considerably,значно
anand,Ананд
baptist,баптист
decorating,декорування
proposals,пропозиції
lahey,лахей
staging,постановка
diabetic,діабетичний
baskets,кошики
macbeth,Макбет
rehabilitation,реабілітація
muscular,м'язистий
revolting,огидний
glacier,льодовик
expressions,вирази
hiroshima,Хіросіма
imitation,імітація
footprint,слід
beaumont,Бомонт
stupidest,найдурніший
unborn,ненароджений
jacobs,Джейкобс
displayed,відображається
commanders,командирів
confirming,підтверджуючи
garment,одяг
latter,останній
indonesia,Індонезія
enlightened,просвітлений
plight,тяжке становище
hel,пекло
dorian,Доріан
ogre,людожер
warnings,попередження
incision,розріз
inquire,запитати
tampered,підроблений
prophets,пророки
listener,слухач
substances,речовини
rapping,реп
kisser,цілує
hind,лань
apb,АПБ
ulysses,Улісс
butters,масла
dci,dci
tripp,тріпп
dublin,Дублін
meows,нявкання
preference,перевага
minding,турбота
mirage,міраж
prediction,прогнозування
dodgy,сумнівний
drenched,промоклий
backbone,хребет
sightings,спостереження
goku,Гоку
bessie,Бессі
virtuous,доброчесний
earns,заробляє
grizzly,грізлі
slob,неохайний
floods,повені
enquiry,запит
begs,благає
juror,присяжний
strained,напружений
monitored,моніторинг
brethren,брати
oblivion,забуття
contracted,контракт
bookie,букмекер
painters,художники
amnesty,амністія
cot,розкладачка
cosmetics,косметика
mortar,розчин
wilfred,Вілфред
friction,тертя
drunks,п'яниці
correspondent,кореспондент
marlowe,Марлоу
outskirts,околиця
veer,поворот
gaga,гага
wacky,дивакуватий
mann,чоловік
sparky,блискучий
adieu,прощання
informing,інформування
swung,розгойдувався
trina,тріна
hamburgers,гамбургери
interruption,переривання
mediocre,посередній
fulfil,виконати
schedules,розклади
sinks,раковини
pathologist,патологоанатом
disposed,утилізований
knit,в'язати
excluded,виключені
scraps,обрізки
sob,ридання
unhealthy,нездоровий
borgia,Борджіа
prestigious,престижний
rotate,обертати
tracey,Трейсі
concubine,наложниця
sanjay,Санджай
ridden,осідланий
ballot,бюлетень
fischer,Фішер
complexion,колір обличчя
bugle,горн
humanitarian,гуманітарний
gurney,каталка
whit,нітрохи
hoot,уклік
sumo,сумо
holocaust,голокост
io,введення-виведення
yao,яо
servers,сервери
hartley,Гартлі
fabio,Фабіо
salim,Салім
sleepless,безсонні
fern,папороть
forbes,Форбс
calcium,кальцій
frown,нахмуритися
deranged,божевільний
exhaustion,виснаження
rebuilt,відбудований
legislation,законодавство
sighting,спостереження
discomfort,дискомфорт
tru,правда
technological,технологічний
saigon,Сайгон
lacked,бракувало
bermuda,Бермудські острови
hit-and-run,наїзд та втеча з місця події
wept,плакав
disperse,розігнати
kosher,кошерний
entrepreneur,підприємець
tyra,Тайра
worshipped,поклонявся
siu,сіу
unauthorized,несанкціонований
long-distance,міжміський
romanian,румунський
melbourne,Мельбурн
flanders,Фландрія
connors,Коннорс
drinker,п'яниця
hedley,Хедлі
wyoming,Вайомінг
hotshot,гаряча людина
joaquin,Хоакін
myrtle,мирт
europeans,європейці
deputies,депутати
ther,там
highlights,яскраві моменти
musashi,Мусасі
cate,cate
plateau,плато
remy,Ремі
set-up,налаштування
sordid,брудний
placement,розміщення
quota,квота
adjusted,скоригований
tuning,тюнінг
rockefeller,Рокфеллер
bartlett,Бартлетт
hormone,гормон
apparatus,апарат
gringo,грінго
vancouver,Ванкувер
samaritan,самарянин
curves,криві
perceived,сприймається
catalogue,каталог
gall,жовч
luckiest,найщасливіший
escobar,Ескобар
vending,торговельні автомати
thelma,Тельма
greeted,привітав
scoring,підрахунок очок
housewives,домогосподарки
beverage,напій
fellowship,товариство
thieving,крадіжка
tidal,припливний
genre,жанр
unfit,непридатний
fetus,плід
lanes,смуги
socialism,соціалізм
outlaws,злочинці
entrust,довірити
rosalie,Розалі
oversight,нагляд
reflex,рефлекс
vacate,звільнити
goldberg,Голдберг
mercenaries,найманці
exercising,фізичні вправи
bev,бев
prosperous,процвітаючий
symptom,симптом
certificates,сертифікати
larsen,Ларсен
suffocate,задушити
roadblock,блокпост
detain,затримувати
inquisition,інквізиція
qualifications,кваліфікації
paparazzi,папараці
eater,їдець
prefect,префект
flapping,махання
discrimination,дискримінація
incorporated,включено
callahan,Каллаган
strengths,сильні сторони
rowdy,галасливий
productions,постановки
publication,публікація
collects,збирає
winslow,Вінслоу
hodges,ходжес
astronomers,астрономи
prevents,запобігає
museums,музеї
windsor,Віндзор
nebraska,Небраска
lobe,частку
poses,пози
inscription,напис
left-handed,лівша
outpost,форпост
snuff,нюхальний тютюн
luxurious,розкішний
contributions,внески
purgatory,чистилище
documented,документально
showcase,вітрина
delilah,Даліла
jurors,присяжні
unimportant,неважливий
moisture,вологість
lefty,лівша
hendrix,Хендрікс
replica,репліка
wondrous,дивовижний
horoscope,гороскоп
hampshire,Гемпшир
esteban,Естебан
departing,відлітаючи
instruct,інструктувати
morbid,хворобливий
disagreement,незгода
misguided,помилковий
optimism,оптимізм
traders,трейдери
humane,гуманний
commodore,комодор
rink,каток
initiation,ініціація
calamity,лихо
nectar,нектар
operatives,оперативники
judicial,судова
callin,телефоную
swarm,рій
drumming,гра на барабанах
shithole,лайно
annabelle,Аннабель
spartacus,Спартак
trolley,візок
theorists,теоретики
rowan,горобина
bowels,кишечник
density,щільність
researcher,дослідник
timid,боязкий
meself,я сам
garth,Гарт
denton,denton
romania,Румунія
earnings,заробіток
stalk,стебло
righteousness,праведність
fours,четвірки
kel,кель
slaps,ляпаси
confide,довіряти
bravest,найхоробріший
fencing,огорожа
laurence,Лоуренс
masturbate,мастурбувати
vale,долина
triggers,тригери
wiener,сарделька
painless,безболісний
believers,віруючих
eruption,виверження
obligated,зобов'язаний
mojo,мохо
essex,Ессекс
eternally,вічно
dispatched,відправлений
repulsive,відразливий
ness,ність
devised,розроблений
headlights,фари
exiled,вигнаний
impeccable,бездоганний
donors,донори
crucified,розп'ятий
customary,звичайний
billboard,рекламний щит
costly,дороговартісний
imitate,наслідувати
definitive,остаточний
simplicity,простота
waved,махав
pavel,Павло
scolded,сварливий
separates,розділяє
carr,карр
nichols,Ніколс
setback,невдача
lakh,лакх
liters,літрів
relics,реліквії
clockwork,годинниковий механізм
cdc,CDC
ventilation,вентиляція
civilizations,цивілізації
brawl,бійка
bog,болото
pressures,тиски
chills,озноб
tex,Текс
pussies,кицьки
phrases,фрази
gob,товстун
pricks,уколи
jars,банки
rivera,Рівера
disable,вимкнути
lancaster,Ланкастер
godfrey,Годфрі
pickled,маринований
novelty,новизна
equations,рівняння
doubtful,сумнівний
sexist,сексист
capone,Капоне
buffer,буфер
castles,замки
reproduce,відтворювати
goodwin,Гудвін
blueberry,чорниця
ryu,рю
oskar,Оскар
flo,фло
potty,горщик
algeria,Алжир
geometry,геометрія
dumbest,найдурніший
bahamas,Багами
bleating,бекання
horizontal,горизонтальний
assisted,допоміг
indebted,заборгував
spook,привид
fertilizer,добриво
techno,техно
hinges,петлі
zhu,чжу
helium,гелій
imposed,нав'язаний
financing,фінансування
restrictions,обмеження
implied,мається на увазі
idaho,Айдахо
simplest,найпростіший
traits,риси
implement,впровадити
supervise,наглядати
evident,очевидний
skank,шалава
gogh,Гог
analyzing,аналіз
drooling,слинотеча
princesses,принцеси
coastal,прибережний
bargaining,торг
matrimony,шлюб
airfield,аеродром
sensual,чуттєвий
takashi,Такаші
lennon,Леннон
cycles,цикли
grimes,бруд
feeble,слабкий
moreno,Морено
hutton,Хаттон
spikes,шипи
rugged,міцний
reviewing,огляд
potassium,калій
tombs,гробниці
mimics,міміки
elton,Елтон
homage,шана
devious,підступний
postcards,листівки
crimson,малиновий
activist,активіст
rulers,правителі
rowing,веслування
conditioner,кондиціонер
quoting,цитуючи
filmmaker,кінорежисер
softball,софтбол
outline,контур
doses,дози
perjury,лжесвідчення
etiquette,етикет
joyous,радісний
intestines,кишечник
residential,житловий
envelopes,конверти
tortoise,черепаха
unjust,несправедливий
fetish,фетиш
blasts,вибухи
completion,завершення
davenport,Девенпорт
heartbreak,розбите серце
safari,сафарі
brochure,брошура
larson,Ларсон
limousine,лімузин
hiccups,гикавка
boast,хвалитися
portraits,портрети
escorted,супроводжував
magnitude,величина
collapsing,руйнування
selina,Селіна
coupon,купон
utility,корисність
gourmet,гурман
wrecking,руйнування
snore,хропіння
motions,рухи
courting,залицяння
suicides,самогубства
meera,міра
apprehended,затриманий
prescribe,виписати
aldo,Альдо
lian,ліан
installation,встановлення
likeness,подібність
interface,інтерфейс
metals,метали
blindness,сліпота
sluts,повії
thakur,Тхакур
onetime,колишній
accelerator,прискорювач
awol,самовільне захоплення
firms,фірми
kale,кале
stretches,розтягується
tack,пришвартуватися
auxiliary,допоміжний
swipe,проведіть пальцем
shelters,притулки
childbirth,пологи
livelihood,засоби до існування
longed,прагнув
swordsman,фехтувальник
resourceful,винахідливий
sabbath,субота
stormed,штурмований
self-destruct,самознищення
gaps,прогалини
incentive,стимул
showdown,розбірки
harding,Гардінг
ref,посилання
molten,розплавлений
frosty,морозний
franky,Френкі
henceforth,відтепер
renewed,оновлений
sitter,няня
petey,Піті
richardson,Річардсон
fingertips,кінчики пальців
handcuffed,закутий у кайданки
cocking,зведення курка
catfish,сом
johann,Йоганн
charger,зарядний пристрій
disciplined,дисциплінований
outing,прогулянка
como,Комо
una,уна
glitch,глюк
jell-o,желе
grants,гранти
porcelain,порцеляна
remarried,одружився повторно
firepower,вогнева міць
captioned,з субтитрами
hampton,Гемптон
flawed,недосконалий
uno,один
griff,гриф
scarcely,ледве
rips,розриви
roach,тарган
stairwell,сходова клітка
memorized,завчений
coded,закодований
negligence,недбалість
belgrade,Белград
arteries,артерії
toot,гудок
stunts,трюки
buttocks,сідниці
forks,виделки
mentions,згадує
loco,локомотив
cedric,Седрік
mika,Міка
adler,Адлер
bellows,міхи
snowy,сніжний
pelvis,таз
hymn,гімн
audit,аудит
slashed,урізаний
frantic,шалений
negroes,негри
calves,телята
pao,пао
aloha,алоха
sahara,Сахара
freshly,свіжо
sabotaged,саботований
poodle,пудель
archaeologists,археологи
gore,кров
meatball,фрикадельки
maggots,личинки
horrifying,жахливий
prosecuted,переслідуваний
briefed,проінструктований
cider,сидр
pompous,помпезний
boomer,бумер
hard-on,ерекція
coulson,Коулсон
waiters,офіціанти
abundance,достаток
barricade,барикада
gallon,галон
kali,калі
literal,буквальний
scrubbing,тертя
implies,має на увазі
discouraged,знеохочений
kowalski,Ковальський
almond,мигдаль
chestnut,каштан
syphilis,сифіліс
criteria,критерії
contacting,контакт
trainee,стажер
haskell,Хаскелл
elvira,Ельвіра
rambo,Рембо
rad,радіація
poe,По
farmhouse,фермерський будинок
hallucination,галюцинації
heals,зцілює
samba,самба
lizards,ящірки
straws,соломинки
silicon,кремній
reptiles,рептилії
waldo,Вальдо
paces,кроки
fenton,Фентон
slugs,слимаки
leftover,залишки
ze,зе
freighter,вантажне судно
bashed,розгромлений
convicts,каторжників
jerky,в'ялене м'ясо
solemnly,урочисто
accommodation,проживання
slag,шлак
nonstop,без зупинок
lemons,лимони
whitman,Вітмен
lemme,лемме
verified,перевірено
jethro,Джетро
fancied,уявляв
partridge,куріпка
defiance,непокора
laila,Лайла
hottie,красуня
rohan,Рохан
stripping,зачистки
pant,штанина
mutton,баранина
hypocrisy,лицемірство
dyson,Дайсон
invaluable,безцінний
ce,це
lucrative,прибутковий
cbs,ЦБС
slows,уповільнює
penal,штрафний
uploaded,завантажено
akbar,Акбар
orchestral,оркестровий
endlessly,нескінченно
hitchcock,Гічкок
broads,баби
redo,переробити
illegitimate,незаконний
dmv,DMV
self-respect,самоповага
ceased,припинився
blender,блендер
accordance,відповідність
brandt,Брандт
dobbs,Доббс
makeover,макіяж
viagra,віагра
enhanced,покращений
unprofessional,непрофесійний
scanned,скановані
mow,косити
whiskers,вуса
tourism,туризм
listeners,слухачі
rebirth,відродження
predicament,скрутне становище
vendor,постачальник
confessions,зізнання
patriots,патріоти
jakob,Якоб
illiterate,неписьменний
hounds,гончі
malicious,зловмисний
labyrinth,лабіринт
psyche,психіка
cher,дорога
honda,Хонда
florist,флорист
nathaniel,Натаніель
extraterrestrials,інопланетяни
unthinkable,немислимий
frail,кволий
plato,Платон
planetary,планетарний
hitched,причеплений
elle,Елль
flair,чуття
ruse,хитрість
observatory,обсерваторія
heavyweight,важковаговик
diplomacy,дипломатія
tonya,Тоня
sri,шрі
ev,ев
nutty,горіховий
extravagant,екстравагантний
caterpillar,гусениця
skeptical,скептичний
ideology,ідеологія
pak,пак
chainsaw,бензопила
healthier,здоровіший
linking,зв'язування
prudent,розсудливий
cutler,ножівник
mugs,кухлі
junkies,наркомани
rudder,кермо
hermann,Германн
ot,от
laundering,відмивання
kaufman,Кауфман
pints,пінти
succession,правонаступництво
possesses,володіє
urges,спонукає
structural,структурний
lollipop,льодяник
atmospheric,атмосферний
weirder,дивніший
sory,вибачте
stride,крок
blizzard,хуртовина
extracted,видобутий
administer,управляти
meghan,Меган
pinocchio,Піноккіо
state-of-the-art,найсучасніший
grimm,Грімм
fireball,вогняна куля
individually,індивідуально
flask,колба
obeyed,підкорився
swain,юнак
hubble,Хаббл
burgess,міщанин
rohit,рохіт
coffins,труни
booster,підсилювач
erratic,нестабільний
undergo,пройти
typed,надрукований
bearded,бородатий
fucked-up,збожеволів
salami,салямі
ports,порти
hamptons,Гемптонс
marsha,Марша
versa,навпаки
oval,овальний
downfall,падіння
warwick,Ворвік
ulcer,виразка
friendships,дружні стосунки
domination,панування
dementia,деменція
arthritis,артрит
refusal,відмова
juvie,неповнолітній
journals,журнали
volatile,леткий
performers,виконавці
beneficial,корисний
seaman,моряк
iranian,іранський
sputtering,розпилення
sled,сани
mortality,смертність
carlson,Карлсон
hysteria,істерія
hui,хуей
beseech,благати
endings,закінчення
shea,ши
miscarriage,викидень
patrons,меценати
moya,моя
hun,хен
racer,гонщик
plots,ділянки
hoop,обруч
dojo,додзьо
vents,вентиляційні отвори
unfamiliar,незнайомий
slab,плита
persecution,переслідування
monarchy,монархія
himmler,Гіммлер
philosophical,філософський
