you,tu
hindsight,retrospectiva
mummies,múmias
bedding,roupa de cama
craven,covarde
shitless,sem merda
first-rate,de primeira classe
songwriter,compositor
scented,perfumado
plankton,plâncton
baird,Baird
locomotive,locomotiva
ticked,marcado
mapped,mapeado
jolt,solavanco
reforms,reformas
gucci,Gucci
overcoat,sobretudo
bishops,bispos
conscientious,consciencioso
venetian,veneziano
evey,todos
calder,Calder
logistics,logística
ahmet,Ahmet
dieter,pessoa em dieta
rampant,desenfreado
waverly,Waverly
whitehall,Whitehall
hock,jarrete
chrome,cromo
sandman,homem de areia
balancing,equilíbrio
canals,canais
oxen,bois
superhuman,sobre-humano
ein,ein
rogues,patifes
dossier,dossiê
pikachu,pikachu
waxed,encerado
infested,infestado
benz,benz
folklore,folclore
double-cross,dupla traição
turban,turbante
carriages,carruagens
warm-up,aquecimento
lanka,Lanka
ade,ade
recycled,reciclado
alden,alden
busiest,mais ocupado
courteous,cortês
baptize,batizar
bowing,reverência
ventura,Ventura
pamphlets,panfletos
amiss,errado
michaela,michaela
hex,hexadecimal
swapping,trocando
detergent,detergente
afflicted,afligido
overalls,macacão
reboot,reinício
pining,saudade
nazareth,Nazaré
insubordination,insubordinação
sputters,pulverização
slammer,slammer
vices,vícios
dungeons,masmorras
binary,binário
hesitating,hesitante
attendants,atendentes
fined,multado
sanford,Sanford
volkswagen,Volkswagen
excrement,excremento
dictates,dita
epstein,Epstein
swims,nada
ethic,ética
boulders,pedregulhos
lockwood,Lockwood
bucharest,Bucareste
twos,dois
cornelia,Cornélia
founders,fundadores
tb,tuberculose
locksmith,serralheiro
circulating,circulante
seine,Sena
rattlesnake,cascavel
toying,brincando
cardiff,Cardiff
chitchat,bate-papo
chimpanzee,chimpanzé
envied,invejado
nocturnal,noturno
galleries,galerias
partisan,partidário
cluck,cacarejo
falco,falco
hobson,Hobson
clandestine,clandestino
doctorate,doutorado
blackadder,blackadder
smudge,sujar
bona,boa
pressuring,pressurização
kindest,mais gentil
moray,moreia
cuddy,aconchego
beastly,bestial
agile,ágil
sodas,refrigerantes
visas,vistos
portia,Pórcia
specter,espectro
det,det
nabbed,capturado
integration,integração
granville,Granville
bayou,pântano
sorceress,feiticeira
harvesting,colheita
bakers,padeiros
litigation,litígio
misa,Misa
disruption,interrupção
shellfish,marisco
kerala,Kerala
grasping,agarrando
prakash,prakash
apostles,apóstolos
kraft,Kraft
extermination,extermínio
arsonist,incendiário
gathers,reúne
tsui,tsui
tubby,gordinho
refreshment,refresco
bony,ossudo
fifty-fifty,cinquenta-cinquenta
tuttle,tuttle
diligent,diligente
handiwork,trabalho manual
disguises,disfarces
sneaks,esgueira-se
installing,instalando
betrays,trai
malhotra,malhotra
transvestite,travesti
darth,darth
secular,secular
newer,mais recente
watery,aquoso
pecker,pénis
surrendering,render-se
intestine,intestino
md,md
repentance,arrependimento
pushups,flexões
burdens,encargos
mont,monte
plums,ameixas
sulk,ficar de mau humor
arden,jardim
cleavage,clivagem
blunder,erro
panty,calcinha
detox,desintoxicação
thyself,tu mesmo
anticipating,antecipando
scoffing,zombando
recognizing,reconhecendo
uptempo,ritmo acelerado
judgments,julgamentos
headmistress,diretora
goddamnit,droga
telepathic,telepático
spineless,sem espinha dorsal
astrology,astrologia
reza,Reza
dopey,bobo
drummond,Drummond
trusty,fiel
loveliest,mais adorável
ditching,abandono
reassigned,reatribuído
elly,elly
faber,faber
pusher,empurrador
col,col
chucky,Chucky
dashed,arrancado
cashmere,caxemira
cams,câmeras
etcetera,etc.
mistletoe,visco
sorcery,feitiçaria
teas,chás
innkeeper,dono da hospedaria
maidens,donzelas
tranquility,tranquilidade
mais,mais
indicator,indicador
phaser,faser
nutritious,nutritivo
rb,rb
mutated,mutado
varied,variado
inhouse,interno
heightened,intensificado
blatant,flagrante
proclamation,proclamação
guerrillas,guerrilhas
trident,tridente
collin,Colin
corvette,corveta
ticklish,cócegas
gaping,boquiaberto
ideally,idealmente
oars,remos
scandals,escândalos
vengeful,vingativo
widowed,viúva
brit,britânico
emmanuel,Emanuel
postmortem,post-mortem
salted,salgado
surpassed,superou
exert,exercer
poorest,mais pobres
systematically,sistematicamente
evac,evacuação
radically,radicalmente
purify,purificar
vibrate,vibrar
announces,anuncia
transgender,transgénero
lofty,elevado
sequences,sequências
nance,nance
addy,addy
tulips,tulipas
illustrated,ilustrado
unlocking,destrancando
shudders,arrepios
nurturing,nutrir
merrill,Merrill
generates,gera
disloyal,desleal
aggressively,agressivamente
skywalker,Skywalker
asbestos,amianto
haru,Haru
improv,improvisação
ems,ems
hayat,Hayat
unpunished,impune
displaced,deslocado
andersen,andersen
bowen,Bowen
mi5,mi5
thundering,estrondoso
semi,semi
crutch,muleta
silo,silo
screw-up,erro
yokohama,Yokohama
rubs,esfrega
dipshit,idiota
levy,imposto
symmetry,simetria
inflammation,inflamação
unaccounted,não contabilizado
nikola,Nikola
licorice,alcaçuz
applauds,aplaude
homeroom,sala de aula
kabaddi,kabaddi
grievous,grave
counselling,aconselhamento
ortega,ortega
trample,pisoteio
nani,nani
tipsy,bêbado
rigorous,rigoroso
brewer,cervejeiro
hurdle,obstáculo
chisel,formão
kiran,Kiran
bistro,bistrô
hao,hao
wainwright,Wainwright
chests,baús
newkirk,Newkirk
bottomless,sem fundo
combustion,combustão
erupted,entrou em erupção
autobots,autobots
clifton,clifton
forwarded,encaminhado
katrine,Katrina
tidings,notícias
stubbornness,teimosia
dix,dez
pelican,pelicano
matchmaker,casamenteiro
howell,Howell
geiger,geiger
moles,toupeiras
binge,compulsão
piping,tubulação
tiff,desavença
penalties,penalidades
enables,permite
irrigation,irrigação
hunchback,corcunda
margins,margens
relocated,realocado
centres,centros
pitches,campos
vaults,cofres
hyacinth,jacinto
gable,frontão
swirling,redemoinho
filly,potra
putty,massa
revisit,revisit
fanatics,fanáticos
concerto,concerto
double-crossed,traído
unbeatable,imbatível
matey,amigo
kemal,Kemal
carthage,Cartago
loophole,brecha
replies,respostas
beeper,pager
injure,ferir
cookbook,livro de receitas
align,alinhar
sanctity,santidade
spilt,derramado
whence,donde
geographic,geográfica
admirers,admiradores
mislead,enganar
a-team,equipa a
treadmill,esteira
ferrara,ferrara
fated,predestinado
resurrect,ressuscitar
rina,rina
fetal,fetal
coca,coca
qaeda,Al-Qaeda
nona,nona
hoots,gritos
tampons,tampões
crept,rastejou
mania,mania
unplug,desconectar
veggie,vegetariano
keyes,chaves
subordinate,subordinar
timely,oportuno
telugu,telugu
proofs,provas
ivanovich,Ivanovich
appropriately,apropriadamente
vendors,fornecedores
recap,recapitular
roo,canguru
dinky,pequeno
accountants,contadores
archaeology,arqueologia
mikael,mikael
strangler,estrangulador
genghis,Gengis
freshmen,calouros
nic,nico
nothingness,nada
katarina,Catarina
authorised,autorizado
brightness,brilho
maximus,máximo
payson,Payson
bogart,Bogart
urinating,urinar
dok,dok
violets,violetas
compromises,compromissos
defences,defesas
ibm,IBM
scanlon,Scanlon
corp,corporação
compulsory,obrigatório
seasoning,tempero
taft,Taft
famously,famoso
surfaced,surgiu
gibraltar,Gibraltar
cuckold,corno
uneven,desigual
reopened,reaberto
blip,breve
valhalla,Valhalla
midori,midori
similarity,semelhança
frodo,Frodo
gizmo,dispositivo
swindler,vigarista
indulgence,indulgência
wat,wat
co-op,cooperativa
topper,topo
alligators,jacarés
garry,garry
dives,mergulhos
minneapolis,Minneapolis
reeling,cambaleando
bene,bem
outlets,pontos de venda
siamese,siameses
rupee,rupia
unrealistic,irrealista
endangering,colocando em risco
gonzalez,González
gist,essência
adventurer,aventureiro
prosthetic,protética
bayonet,baioneta
julianne,Julianne
bismarck,bismarck
dresden,Dresden
paro,paro
next-door,ao lado
encoded,codificado
ruff,áspera
luce,Luce
supermodel,supermodel
pollock,pollock
calmer,mais calmo
chestnuts,castanhas
parsley,salsa
overgrown,coberto de vegetação
storming,tempestuoso
run-in,confronto
alfa,alfa
sicker,mais doente
maru,maru
abbas,abas
inge,inge
resilient,resiliente
ly,ly
monet,dinheiro
abominable,abominável
empires,impérios
revise,rever
vets,veterinários
arches,arcos
condor,condor
apaches,apaches
blackouts,apagões
advertised,anunciado
quixote,Quixote
labored,trabalhou
yee-haw,iô-há!
excavation,escavação
salud,saúde
ironed,passado a ferro
francie,francie
bartholomew,Bartolomeu
laboratories,laboratórios
twenty-three,vinte e três
riddled,crivado
flung,arremessado
yanked,puxado
sadder,mais triste
neurons,neurónios
licenses,licenças
dingdong,dingdong
communicated,comunicado
nutshell,casca de noz
scofield,scofield
savor,saborear
cbc,cbc
bedrock,rocha matriz
tempered,temperado
bunty,bunty
pol,pol
cleansed,purificado
favourites,favoritos
rigging,cordame
dawned,amanhecer
inconclusive,inconclusivo
graph,gráfico
twigs,galhos
callous,insensível
tyr,tyr
bosch,Bosch
embezzlement,peculato
decapitated,decapitado
seinfeld,Seinfeld
bannister,corrimão
mccain,McCain
clusters,aglomerados
annex,anexo
samuels,Samuels
royalties,royalties
seville,Sevilha
admittedly,reconhecidamente
gimmick,truque
two-thirds,dois terços
lobos,lobos
verb,verbo
mistaking,confundindo
abrasions,abrasões
frazer,frazer
stow,arrumar
unchanged,inalterado
andes,andes
neglecting,negligenciar
daggers,adagas
hypnotic,hipnótico
distributing,distribuindo
stonehenge,Stonehenge
hailing,saudando
vapor,vapor
clemens,Clemens
blanchard,Blanchard
waive,renunciar
lavish,luxuoso
cultivated,cultivado
sunscreen,protetor solar
buffoon,palhaço
hooded,encapuzado
obstructing,obstruindo
bonuses,bónus
rapture,êxtase
olympia,olímpia
grate,grelha
inconsiderate,inconsiderado
armchair,cadeirão
floppy,flexível
loitering,vadiagem
clement,clemente
drainage,drenagem
sho,show
mongolia,Mongólia
woodland,floresta
looted,saqueado
scruples,escrúpulos
frisky,brincalhão
rubies,rubis
sovereignty,soberania
recovers,recupera
betrayer,traidor
promoter,promotor
ugliness,feiúra
cancellation,cancelamento
bribing,suborno
merged,fundido
aggie,aggie
barons,barões
regression,regressão
susana,Susana
punishable,punível
ganges,Ganges
bachelors,bacharels
forgetful,esquecido
asha,asha
pilate,pilates
disgruntled,desapontado
fireflies,pirilampos
deceitful,enganador
splat,splat
movers,mudanças
mended,consertado
plating,revestimento
misunderstandings,mal-entendidos
cryptic,enigmático
monika,monika
jefe,chefe
marmalade,marmelada
coals,carvões
ignores,ignora
rhythms,ritmos
sculpted,esculpido
vicente,Vicente
pounce,ataque
lesley,Lesley
all-star,estrela
completes,completa
pim,pim
assert,afirmar
ht,ht
favored,favorecido
curled,enrolado
pelvic,pélvico
pansy,amor-perfeito
requiring,exigindo
entities,entidades
tenor,tenor
measly,míseros
tino,Tino
hoodlums,bandidos
indie,indie
ladders,escadas
tasteful,de bom gosto
lassiter,Lassiter
shaker,agitador
maritime,marítimo
absorbing,absorvente
mclaren,McLaren
splendor,esplendor
sax,saxofone
denounced,denunciado
antics,travessuras
hailed,aclamado
meanest,mais cruel
sprinkles,granulado
trampoline,trampolim
swag,estilo
roaches,baratas
othello,Otelo
profiling,perfilamento
lifesaver,salva-vidas
slurring,arrastando
platonic,platónico
hoi,oi
cretin,cretino
hyenas,hienas
harshly,severamente
camila,Camila
krypton,criptónio
autobiography,autobiografia
humorous,humorístico
seamus,Seamus
hussy,vadia
nodding,acenando com a cabeça
comp,comp
lyman,Lyman
cooperate,cooperar
keenan,keenan
fiscal,fiscal
baltic,báltico
hallways,corredores
gracefully,graciosamente
comforted,confortado
promenade,calçadão
champs,campeões
exorcist,exorcista
courtesan,cortesã
clubbing,balada
alloy,liga
drive-in,drive-in
right-handed,destro
guitarist,guitarrista
suede,camurça
roasting,assar
kun,kun
plaid,xadrez
rollers,rolos
nyu,NYU
flannel,flanela
seventy-five,setenta e cinco
niche,nicho
census,censo
mata,mata
braver,mais corajoso
verona,Verona
hysterically,histericamente
shriek,grito
klan,klan
bathrobe,roupão de banho
atrocious,atroz
borough,bairro
chalice,cálice
frazier,frazier
airspace,espaço aéreo
hesitant,hesitante
aborted,abortado
jeweler,joalheiro
rhetoric,retórica
brice,Brice
strickland,Strickland
seamstress,costureira
feverish,febril
saffron,açafrão
storing,armazenando
mla,mla
regeneration,regeneração
augusta,Augusta
scorpio,Escorpião
algiers,Argel
forbade,proibiu
hushed,silencioso
suitors,pretendentes
governing,governando
dotty,doido
matured,amadurecido
tropics,trópicos
threes,três
trapping,armadilhas
chantal,Chantal
swann,cisne
warrick,Warrick
slots,caça-níqueis
dune,duna
horseshit,merda
extinguish,extinguir
juggle,malabarismo
yon,yon
mobilize,mobilizar
trucking,transporte rodoviário
berman,berman
hakeem,Hakeem
framework,enquadramento
kan,kan
attackers,atacantes
prenup,acordo pré-nupcial
orphaned,órfão
parry,aparar
respective,respectivo
dario,Dário
prerogative,prerrogativa
chipper,animado
ramiro,ramiro
attenborough,attenborough
mortified,mortificado
crusoe,crusoe
axes,eixos
pickpocket,batedor de carteiras
on-line,online
flammable,inflamável
apos,apos
leicester,Leicester
archery,arco e flecha
blanc,branco
henchmen,capangas
talon,garra
hardison,Hardison
purses,bolsas
glucose,glicose
whims,caprichos
muff,manguito
cauldron,caldeirão
roundabout,rotunda
gorman,Gorman
estranged,afastados
phobia,fobia
aang,Aang
vanishes,desaparece
watchers,observadores
banning,proibição
navel,umbigo
ascension,ascensão
piazza,praça
goth,gótico
projectile,projétil
fueled,abastecido
brothels,bordéis
jitters,nervosismo
crybaby,chorão
upstream,a montante
notification,notificação
bennie,Bennie
a-bomb,bomba atómica
fabricated,fabricado
grumbles,resmungos
ck,ck
ish,ish
regis,registos
inga,inga
textile,têxtil
realism,realismo
dominance,domínio
circulate,circular
autistic,autista
sickly,doentio
ambulances,ambulâncias
sac,saco
siri,Siri
spiritually,espiritualmente
recreational,recreativo
forwarding,encaminhamento
tetanus,tétano
fliers,panfletos
prowl,espreitar
quot,citação
atop,topo
itches,comichão
meningitis,meningite
post-op,pós-operatório
emailed,enviado por e-mail
dimes,moedas de dez cêntimos
suburb,subúrbio
hartman,Hartman
aztec,asteca
mocha,mocha
accursed,amaldiçoado
dmitri,Dmitri
sarajevo,Sarajevo
kern,kern
launcher,lançador
improvised,improvisado
defying,desafiando
sofie,Sofia
mohammad,Maomé
halley,Halley
ducking,abaixando
alexandre,Alexandre
uglier,mais feio
mitt,luva
taurus,Touro
warheads,ogivas
apps,aplicativos
inspected,inspecionado
stuck-up,arrogante
undoing,desfazer
counties,condados
perm,permanente
shuffling,embaralhando
half-brother,meio-irmão
bengali,bengali
weakling,fraco
grampa,vovô
humid,húmido
infants,bebês
barman,barman
straits,estreitos
annulment,anulação
qiu,qiu
mapping,mapeamento
spotting,avistamento
eyed,olhos
zing,zing
decode,descodificar
umbilical,umbilical
blackboard,lousa
probes,sondas
cutlery,talheres
booger,meleca
hasta,até
shoelaces,cadarços
redeemed,resgatado
morgana,Morgana
hue,matiz
exterminator,exterminador
aristocracy,aristocracia
wavelength,comprimento de onda
merry-go-round,carrossel
replacements,substituições
bongo,bongo
fittest,mais apto
glum,triste
deanna,Deanna
gloucester,Gloucester
drive-by,drive-thru
perilous,perigoso
snooze,soneca
commandos,comandos
wasps,vespas
abhi,Abhi
jimmie,Jimmie
full-scale,escala completa
processor,processador
pendleton,Pendleton
ascertain,verificar
deadliest,mais mortal
reproductive,reprodutivo
prophecies,profecias
instinctively,instintivamente
commencing,começando
mined,extraído
reassured,tranquilizado
dislikes,não gosta
jokers,coringas
phasers,fasers
strayed,desviou-se
feller,cara
templeton,templo
all-powerful,todo-poderoso
curling,ondulação
winthrop,Winthrop
monoxide,monóxido
xin,xin
rankin,classificação
rolls-royce,Rolls-Royce
armada,armada
overreact,reagir de forma exagerada
twirl,girar
kits,kits
hanks,Hanks
fountains,fontes
sawdust,serragem
firefly,vaga-lume
interstellar,interestelar
subdue,subjugar
massimo,máximo
fabrics,tecidos
simulate,simular
libraries,bibliotecas
arbitrary,arbitrário
petrov,Petrov
ratchet,catraca
vascular,vascular
coos,arrulhos
babysitter,babá
handmade,feito à mão
bluebell,campânula
five-star,cinco estrelas
ultraviolet,ultravioleta
obesity,obesidade
sensations,sensações
deem,considerar
higgs,Higgs
reigns,reinados
dub,dublagem
bounces,quica
nicaragua,Nicarágua
dawes,Dawes
self-confidence,autoconfiança
shrek,Shrek
basque,basco
burrow,toca
pawned,penhorado
boardwalk,calçadão
poultry,aves
scrapbook,álbum de recortes
fantasize,fantasiar
watered,regado
offending,ofensivo
roswell,Roswell
magdalena,Madalena
overkill,exagero
sodom,Sodoma
antelope,antílope
discord,discórdia
henna,henna
pigsty,chiqueiro
aristocrats,aristocratas
downstream,a jusante
undies,cuecas
dashboard,painel
chez,Chez
inconsistent,inconsistente
wickedness,maldade
bok,bok
disagreed,discordo
susannah,Susana
piccolo,flautim
vila,vila
soto,soto
would-be,aspirante
pauper,pobre
oxide,óxido
cauliflower,couve-flor
fiddler,violinista
ivo,ivo
matteo,matteo
right-wing,de direita
nitro,nitro
guacamole,guacamole
branson,Branson
cosette,Cosette
pawns,peões
cardinals,cardeais
tailed,caudado
verde,verde
vd,vd
fiji,fiji
extinguished,extinto
enquire,perguntar
prude,pudica
lik,tipo
boundless,ilimitado
climbers,alpinistas
romantically,romanticamente
hefner,Hefner
strands,fios
arrivals,Chegadas
hula,hula
combed,penteado
sou,sou
corresponding,correspondente
kindred,parentes
repel,repelir
pil,pil
worst-case,pior cenário
genoa,Génova
durham,Durham
squish,esmagar
shopkeeper,lojista
grownups,adultos
nik,nik
showroom,showroom
warts,verrugas
overdoing,exagerar
laxmi,Lakshmi
laundromat,lavanderia
small-town,cidade pequena
humanoid,humanoide
dreadfully,terrivelmente
cheery,alegre
shards,fragmentos
shenanigans,trapaças
std,padrão
rhythmically,ritmicamente
ronaldo,Ronaldo
hbo,HBO
atticus,Ático
bligh,bligh
masons,maçons
encourages,encoraja
barrage,barragem
blockhead,cabeça oca
sealing,vedação
annihilated,aniquilado
glover,luveiro
harvested,colhido
trisha,Trisha
overloaded,sobrecarregado
narc,narcisista
tulsa,tulsa
persia,Pérsia
spills,derramamentos
timo,timo
taxpayer,contribuinte
ser,ser
menacing,ameaçador
clippers,máquinas de cortar cabelo
flirted,flertou
spiderman,Homem-Aranha
foreboding,pressentimento
exhilarating,emocionante
understudy,substituto
cv,cv
maman,mamãe
castile,Castela
tact,tato
schematics,esquemas
roseanne,Roseanne
smarts,inteligência
provision,provisão
mccartney,McCartney
manga,mangá
housed,alojado
doghouse,casinha de cão
milhouse,Milhouse
anchovies,anchovas
ny,Nova Iorque
fab,fabuloso
warbling,gorjeando
ofcourse,claro
huntington,Huntington
ghouls,ghouls
applicants,candidatos
tigger,gatilho
stringer,longarina
critters,bichos
yemen,Iémen
vantage,vantagem
canadians,canadenses
abandonment,abandono
theology,teologia
commemorate,comemorar
compressions,compressões
nerdy,nerd
raleigh,Raleigh
frenchmen,franceses
ld,ld
nourishment,nutrição
sender,remetente
nursed,amamentada
gulls,gaivotas
argentine,argentino
oan,oan
consciously,conscientemente
tenner,dez
waiver,renúncia
magnetism,magnetismo
woodwork,carpintaria
remission,remissão
nils,nils
hooligan,hooligan
dysfunction,disfunção
hijacking,sequestro
dickinson,Dickinson
vanquished,vencido
widen,ampliar
mobility,mobilidade
rafi,rafi
microphones,microfones
provisional,provisório
hamper,cesta
mcallister,McAllister
membrane,membrana
fundraiser,angariação de fundos
anarchists,anarquistas
horst,Horst
hahaha,hahaha
lecturer,conferencista
tampon,tampão
maxi,maxi
sanatorium,sanatório
tangle,emaranhado
hearted,de coração
gabriella,Gabriella
succumb,sucumbir
scab,crosta
dissatisfied,insatisfeito
cali,Califórnia
butting,cabeçada
lain,lain
presentable,apresentável
prompted,solicitado
nietzsche,Nietzsche
boating,passeios de barco
eichmann,Eichmann
relates,relaciona
bashir,Bashir
swedes,suecos
trumps,trunfos
yuk,eca
hypothermia,hipotermia
sasquatch,Pé Grande
binder,fichário
unlocks,desbloqueia
potions,poções
insure,assegurar
bohemian,boémio
made-up,decidir
ilya,Ilya
skylar,Skylar
petrovich,Petrović
jester,bobo da corte
excites,excita
uniquely,exclusivamente
cris,cris
regulate,regular
factions,facções
irreplaceable,insubstituível
pied,malhado
smithers,ferreiros
unofficially,extraoficialmente
canterbury,cantuária
shank,haste
alpine,alpino
prowess,proeza
fernandez,Fernández
trashy,inútil
blower,ventilador
tenderly,ternamente
depicted,retratado
carlyle,Carlyle
disturbs,perturba
mussels,mexilhões
mali,mali
sigma,sigma
croissant,croissant
charades,charadas
mince,carne moída
kilograms,quilogramas
homies,manos
boasting,ostentando
dined,jantou
xanax,xanax
high-class,alta classe
passageway,passagem
left-hand,esquerdo
ranting,desabafo
pixie,duende
pharaohs,faraós
nitrate,nitrato
hyperspace,hiperespaço
insurgents,insurgentes
yiddish,iídiche
trends,tendências
elevation,elevação
figaro,Fígaro
litres,litros
pastime,passatempo
altering,alterando
ussr,URSS
brie,brie
spec,especificação
abolished,abolido
earthlings,terráqueos
evict,despejar
janeiro,janeiro
pricey,caro
mending,conserto
pesky,irritante
turbulent,turbulento
attributes,atributos
nessa,nessa
downey,Downey
gerda,Gerda
albino,albino
activation,ativação
flamingo,flamingo
polling,votação
eggnog,gemada
lor,lor
bashing,batendo
expulsion,expulsão
verity,verdade
granddaddy,vovô
dominican,dominicano
flattened,achatado
mba,MBA
analyse,analisar
untimely,prematuro
reversal,reversão
kensington,Kensington
ambiguous,ambíguo
tortures,torturas
glock,glock
clouded,nublado
chakra,chakra
percival,percival
sundae,sundae
housewarming,inauguração
lum,lum
diagnose,diagnosticar
emblem,emblema
posterity,posteridade
thermos,garrafa térmica
lookit,olha só
perseverance,perseverança
vivien,Vivien
hamid,Hamid
mayfield,Mayfield
midge,mosquito
garrity,garrity
okey-dokey,ok-dokey
untied,desamarrado
bulge,protuberância
sheen,brilho
greased,engraxado
self-righteous,presunçoso
optic,ótico
pasquale,Pasquale
low-level,baixo nível
ridges,cristas
twitching,contração
myron,Myron
mariano,mariano
exterminated,exterminado
grrr,grrr
crossfire,fogo cruzado
topping,cobertura
impudent,impudente
bloods,sangues
lupe,lupe
gravely,gravemente
manifestation,manifestação
moat,fosso
prefecture,prefeitura
esme,esme
kwang,kwang
hei,ei
noticeable,perceptível
muir,Muir
mausoleum,mausoléu
claudette,Claudette
consignment,consignação
algorithms,algoritmos
tonsils,amígdalas
wrongful,injusto
knackered,exausto
lacy,rendado
successes,sucessos
daddies,papais
grilling,grelhar
zeppelin,zepelim
lok,lok
catalyst,catalisador
bergen,Bergen
checkout,Confira
jobless,desempregado
rhea,ema
dotted,pontilhado
tarot,tarô
promotions,promoções
dangle,balançar
firecracker,fogos de artifício
laces,cadarços
concessions,concessões
aphrodisiac,afrodisíaco
expresses,expressa
crowning,coroação
worships,cultos
quarrels,brigas
launches,lançamentos
vicodin,vicodina
utensils,utensílios
walnuts,nozes
snare,laço
croissants,croissants
parrots,papagaios
deficiency,deficiência
sores,feridas
destroyers,destruidores
firecrackers,fogos de artifício
conjecture,conjectura
airways,vias aéreas
saucy,atrevido
terrors,terrores
swindle,golpe
taffy,caramelo
coerced,coagido
pornographic,pornográfico
imaginable,imaginável
digestion,digestão
aye-aye,sim-sim
craze,mania
watt,watt
metaphors,metáforas
critique,crítica
veterinary,veterinário
warships,navios de guerra
potts,potes
presto,presto
depleted,esgotado
shapiro,shapiro
har,har
sarcophagus,sarcófago
slump,queda
hooky,mata-moscas
improves,melhora
workings,funcionamento
thunderstorm,tempestade
hellish,infernal
keegan,Keegan
trickster,trapaceiro
decadent,decadente
lordy,meu deus
henning,galinhas
fiddling,tocando
saroyan,saroyan
armani,Armani
gaul,Gália
devise,elaborar
triplets,trigêmeos
navarro,navarro
humbled,humilde
cabo,cabo
pacino,pacino
asians,asiáticos
triumphs,triunfos
cross-examine,interrogatório cruzado
gout,gota
dubbed,apelidado
devoid,desprovido
compensated,compensado
johnston,Johnston
rika,Rika
karel,karel
bombardment,bombardeamento
get-together,reunir
frightfully,assustadoramente
piero,Piero
salvo,salva
licks,lambidas
overflow,transbordamento
multiplied,multiplicado
attributed,atribuído
spores,esporos
orchestrated,orquestrado
slasher,assassino
uncharted,desconhecido
pimple,espinha
quench,extinguir
rendering,renderização
stubbs,Stubbs
purcell,Purcell
disks,discos
giver,doador
hardcore,hardcore
sunil,Sunil
hayward,Hayward
sm,sm
rapids,corredeiras
ulterior,ulterior
yelp,Yelp
deduct,deduzir
confer,conferir
stockton,Stockton
khalid,Khalid
fares,tarifas
perpetrators,perpetradores
impure,impuro
summat,soma
oar,remo
keyhole,fechadura
pertinent,pertinente
domingo,domingo
purring,ronronando
standstill,parada
groupie,groupie
danube,Danúbio
interruptions,interrupções
vroom,vrum
integral,integrante
femme,mulher
loins,lombos
dar,dar
untold,incontáveis
wickham,Wickham
progression,progressão
maja,maja
undeniable,inegável
o2,o2
acapulco,acapulco
inadvertently,inadvertidamente
inexplicable,inexplicável
radish,rabanete
albright,albright
lingo,gíria
illogical,ilógico
shindo,shindo
yosemite,Yosemite
sieg,cerco
snows,neves
thefts,roubos
exceedingly,extremamente
herc,Hércules
crushes,paixões
stint,período
flustered,perturbado
alto,alto
violinist,violinista
rishi,rishi
bonehead,cabeça-dura
kravitz,Kravitz
optional,opcional
passwords,senhas
fontaine,fonte
sanctions,sanções
staking,apostar
playback,reprodução
lomax,lomax
spinster,solteirona
fawn,cervo
vials,frascos
spouting,cuspindo
osman,osman
melville,melville
refreshed,renovado
jessi,Jessi
stooges,patetas
disfigured,desfigurado
reefs,recifes
conversing,conversando
anubis,Anúbis
takers,tomadores
ronin,ronin
intuitive,intuitivo
hippy,hippie
to-do,pendência
scarves,lenços
albania,Albânia
excalibur,excalibur
xing,xing
dinnertime,hora do jantar
harboring,abrigando
watanabe,Watanabe
chas,chas
award-winning,premiado
orville,Orville
productivity,produtividade
injecting,injetando
cross-country,pelo país
loyalties,lealdades
unresolved,não resolvido
froggy,sapinho
messin,bagunçando
stub,toco
teo,teo
kao,kao
derivative,derivado
sparing,poupando
wichita,Wichita
shayne,shayne
denim,jeans
bonsoir,boa noite
grievances,queixas
undetected,não detectado
scams,golpes
rugs,tapetes
subjective,subjetivo
cicero,Cícero
converting,convertendo
transformer,transformador
noone,ninguém
inventive,inventivo
eloquent,eloquente
soot,fuligem
amalia,Amália
umpire,árbitro
quicksand,areia movediça
succeeding,sucesso
georgian,georgiano
bitterly,amargamente
sloth,preguiça
contraction,contração
fondue,fondue
physiology,fisiologia
britches,calças
removes,remove
longevity,longevidade
intergalactic,intergaláctico
lupus,lúpus
sms,SMS
extremists,extremistas
remi,remi
high-level,de alto nível
golfing,golfe
dab,toque
gaza,Gaza
tapestry,tapeçaria
lithium,lítio
sacrificial,sacrificial
confetti,confete
experimented,experimentado
gurgles,gorgolejos
debs,debs
typhoid,tifóide
racers,corredores
advert,anúncio
conditioned,condicionado
siddharth,siddharth
inconceivable,inconcebível
rusted,enferrujado
gazelle,gazela
cartels,cartéis
burdened,sobrecarregado
murky,turvo
ros,ros
sayid,disse
artemis,Ártemis
divinity,divindade
prays,reza
warranty,garantia
ceramic,cerâmica
chilean,chileno
harker,arqueiro
canton,cantão
obese,obeso
enzyme,enzima
repetition,repetição
kosovo,Kosovo
silencer,silenciador
bores,chatos
multitude,multidão
improbable,improvável
hybrids,híbridos
cubans,cubanos
juliana,Juliana
scepter,cetro
jailer,carcereiro
baldrick,Baldrick
manuscripts,manuscritos
concealing,ocultar
air-conditioning,ar condicionado
bureaucratic,burocrático
branding,marca
pompeii,Pompeia
zoya,zoya
pedigree,genealogia
halifax,Halifax
declares,declara
killian,killian
revolving,giratório
wexler,Wexler
trippin,viajando
indirectly,indiretamente
dragonfly,libélula
contusions,contusões
holographic,holográfico
catheter,cateter
one-armed,um só braço
