you,あなた
shillings,シリング
kari,カリ
tents,テント
revoir,さようなら
hedge,ヘッジ
snorting,鼻を鳴らす
viper,毒蛇
digger,掘削機
breaker,ブレーカ
meatballs,ミートボール
suppress,抑制する
witty,機知に富んだ
wonderfully,素晴らしい
shogun,将軍
encouragement,奨励
intercepted,傍受した
goddamned,くそったれ
posting,投稿
cleanse,浄化する
competitor,競合他社
abbot,修道院長
trenches,塹壕
sizzling,ジュージューする
lyon,リヨン
mustang,マスタング
kg,kg
rested,休養した
reflected,反映
standup,立ち上がる
habitat,生息地
molecular,分子
obnoxious,不快な
wraith,亡霊
sarcasm,皮肉
tung,タング
renowned,有名な
tofu,豆腐
wildly,激しく
blondie,ブロンド
refund,返金
goon,チンピラ
pulp,パルプ
exaggerated,誇張された
embedded,埋め込み
chateau,シャトー
harlan,ハーラン
provoked,挑発した
antony,アントニー
guido,グイド
nile,ナイル川
alfie,アルフィー
cages,檻
skates,スケート靴
resemble,似ている
sticker,ステッカー
lennox,レノックス
unstoppable,止められない
veal,仔牛肉
fe,fe
isle,島
characteristics,特徴
earthquakes,地震
coldblooded,冷血
ambushed,待ち伏せ攻撃
zap,チッ
reaper,死神
deployed,デプロイ済み
biblical,聖書的な
puck,パック
mystic,神秘家
aya,アヤ
gaby,ギャビー
intends,意図する
muffins,マフィン
speedy,スピーディー
republicans,共和党員
bolts,ボルト
enrique,エンリケ
hoax,でっち上げ
raided,襲撃された
intersection,交差点
presently,現在
supplier,サプライヤー
shuffle,シャッフル
edited,編集済み
rubbed,こすった
vegan,ビーガン
outdoors,屋外
distinctive,特徴的
upcoming,近日公開
brighton,ブライトン
wagons,荷馬車
granger,グレンジャー
peeing,おしっこ
oracle,オラクル
glitter,グリッター
amulet,お守り
suspend,つるす
guild,ギルド
convertible,コンバーチブル
squared,二乗
battling,戦う
steward,スチュワード
weston,ウェストン
gateway,ゲートウェイ
rites,儀式
distributed,分散型
pavement,舗装
projector,プロジェクター
rugby,ラグビー
jt,jt
fragment,断片
baldwin,ボールドウィン
obscene,わいせつ
zebra,シマウマ
raping,レイプ
analyst,アナリスト
eta,イータ
elbows,肘
detonator,雷管
disneyland,ディズニーランド
rails,レール
earthly,地上の
modesty,謙虚さ
assess,評価
vinci,ヴィンチ
librarian,司書
moran,モラン
suffice,十分
gravitational,重力
crowley,クロウリー
slumber,眠り
homie,ホーミー
bribes,賄賂
aces,エース
sodium,ナトリウム
hubert,ヒューバート
trajectory,軌跡
credible,信頼できる
declined,拒否しました
canary,カナリア
eyesight,視力
jug,水差し
duplicate,重複
developments,開発
capitalism,資本主義
polished,磨かれた
defenses,防御
xi,xi
crates,木箱
fences,フェンス
differ,異なる
hodgins,ホッジンス
enzo,エンツォ
chaotic,混沌とした
gardening,園芸
gram,グラム
tinker,いじくり回す
forecast,予報
ti,ティ
pinched,つまむ
tangled,もつれた
macy,メイシー
plunge,急降下
bulletproof,防弾
module,モジュール
firewood,薪
pizzas,ピザ
overly,過度に
retail,小売り
novak,ノヴァク
grover,グローバー
arturo,アルトゥーロ
appalling,ひどい
rows,行
felicia,フェリシア
concentrating,集中する
transferring,転送中
mash,マッシュ
growl,唸り声
sliced,スライス
rewards,報酬
braces,ブレース
livestock,家畜
users,ユーザー
recruiting,採用活動
gunman,ガンマン
dictate,指示する
bathrooms,バスルーム
nobles,貴族
picky,気難しい
linus,ライナス
platter,プラッター
vultures,ハゲワシ
organism,生物
sweeter,より甘い
scarecrow,かかし
manufacturing,製造
pup,子犬
mitzvah,ミツヴァ
crackles,パチパチという音
proudly,誇りを持って
interpreter,通訳者
leigh,リー
genetically,遺伝的に
frying,揚げる
redeem,償還
cara,キャラ
ledge,棚
qing,青
tyranny,専制政治
charleston,チャールストン
cutest,最もかわいい
skins,スキン
rosy,バラ色
nomination,指名
textbook,教科書
descendants,子孫
sabine,サビーヌ
saunders,サンダース
hast,急いで
dubois,デュボア
finland,フィンランド
loretta,ロレッタ
unsolved,未解決
pioneer,開拓
ramirez,ラミレス
suzie,スージー
hugged,抱きしめた
angelica,アンジェリカ
cesare,チェーザレ
throttle,スロットル
powered,電源オン
carving,彫刻
thrive,繁栄する
allergy,アレルギー
icu,集中治療室
suzy,スージー
pong,ポン
squares,正方形
alphabet,アルファベット
threesome,3P
accordingly,それに応じて
sect,宗派
maternity,出産
scarce,希少
internship,インターンシップ
morty,モーティ
tones,トーン
sirs,紳士方
unwell,体調不良
nellie,ネリー
import,輸入
temporal,時間的
mohammed,モハメッド
anticipate,予想する
democrats,民主党員
pfft,ぷっ
terminated,終了しました
spree,乱痴気騒ぎ
ami,アミ
interviewer,インタビュアー
respectfully,敬意を込めて
futile,無駄な
dictator,独裁者
stuffy,息苦しい
wai,ワイ
mammals,哺乳類
fasten,留める
neptune,ネプチューン
giggle,くすくす笑う
grandchild,孫
pharmaceutical,医薬品
persian,ペルシャ語
tactic,戦術
itching,かゆみ
observer,観察者
tesla,テスラ
wallpaper,壁紙
thorne,ソーン
jiang,江
austrian,オーストリア
output,出力
goliath,ゴリアテ
trophies,トロフィー
joyful,楽しい
spouse,配偶者
giorgio,ジョルジオ
rightly,正しく
hobbies,趣味
vito,ヴィト
naming,ネーミング
yates,イェーツ
stale,古くなった
teamwork,チームワーク
obedient,従順な
switches,スイッチ
rating,評価
regulation,規制
raving,熱狂する
dioxide,二酸化炭素
boner,勃起
bc,紀元前
implant,インプラント
mari,マリ
satisfactory,満足できる
espresso,エスプレッソ
bach,バッハ
sleeper,寝台
construct,構築する
rations,配給
munch,むしゃむしゃ
anjali,アンジャリ
coordinate,座標
stag,雄鹿
dominique,ドミニク
backseat,後部座席
chrissy,クリッシー
analyzed,分析
reschedule,スケジュール変更
uphold,支持する
sorority,女子学生クラブ
bono,ボノ
princeton,プリンストン
inconvenient,不便
crumbs,パンくず
reconstruction,再建
pipeline,パイプライン
reunited,再会
confidentiality,機密保持
embraced,抱擁
overruled,覆された
enlightenment,啓発
puddle,水たまり
mortals,人間
comfortably,快適に
vlad,ヴラド
misha,ミシャ
ukraine,ウクライナ
swam,泳いだ
annette,アネット
demonic,悪魔的な
sora,ソラ
demise,死
donatello,ドナテッロ
fungus,菌類
barefoot,裸足
tacos,タコス
skeletons,骨格
beak,嘴
fanfare,ファンファーレ
maryland,メリーランド州
felipe,フェリペ
picard,ピカード
mascot,マスコット
drastic,劇的な
proceeding,進行状況
presidents,大統領
intrude,侵入する
stiles,スタイルズ
sums,合計
deprived,剥奪された
advertisement,広告
farting,おならをする
straightened,まっすぐにした
foremost,第一に
adjustment,調整
charade,シャレード
blanks,空白
stig,スティグ
puncture,穿刺
spank,叩く
utah,ユタ州
booing,ブーイング
abs,腹筋
minimal,ミニマル
gals,女の子たち
flashes,フラッシュ
andrei,アンドレイ
requirements,要件
greenhouse,温室
marx,マルクス
vermont,バーモント州
comprehend,理解する
canoe,カヌー
baton,バトン
arsehole,クソ野郎
graduating,卒業する
partially,部分的に
sensing,センシング
kinky,変態
titans,タイタンズ
microscope,顕微鏡
intimidating,威圧的
ren,レン
babu,バブ
territories,領土
vaguely,漠然と
geese,ガチョウ
hardship,苦難
karin,カリン
exceptions,例外
jing,ジン
gramps,おじいちゃん
doubles,ダブルス
knitting,編み物
slowed,減速
administrator,管理者
blacksmith,鍛冶屋
ctu,クトゥ
tolling,通行料
correspondence,対応
fashionable,ファッショナブル
overlooked,見落とされている
siobhan,シオバン
matron,寮母
arcade,アーケード
gestures,ジェスチャー
lonnie,ロニー
quits,辞める
outnumbered,数で劣勢
lockhart,ロックハート
verbal,口頭
mc,MC
terminate,終了する
hosts,ホスト
rye,ライ麦
chirps,さえずる
presidency,大統領職
roberta,ロベルタ
devote,献身する
dumps,ダンプ
hallo,こんにちは
improvise,即興で
monique,モニーク
pooh,プー
starship,宇宙船
spades,スペード
fumes,煙
cawing,カラスの鳴き声
aluminum,アルミニウム
squeak,きしむ音
drafted,ドラフト
ssh,SSH
everest,エベレスト
michaels,マイケルズ
commonwealth,連邦
candace,キャンディス
cappuccino,カプチーノ
cucumber,キュウリ
inventor,発明家
folder,フォルダ
slamming,叩きつける
favours,好意
peppers,ピーマン
appeals,控訴
walton,ウォルトン
reasoning,推論
adequate,十分な
snickers,スニッカーズ
glued,接着
ifs,もし
nets,ネット
hangar,ハンガー
godmother,名付け親
empty-handed,手ぶら
forum,フォーラム
joys,喜び
foolishness,愚かさ
sybil,シビル
crest,紋章
playful,遊び心のある
peers,仲間
horrors,恐怖
grownups,大人たち
bleach,漂白剤
disastrous,悲惨な
lineup,並ぶ
glamour,グラマー
coronation,戴冠式
halo,ハロ
highlight,ハイライト
ziva,ジヴァ
ponies,ポニー
errors,エラー
viv,ヴィヴ
alvarez,アルバレス
pluto,冥王星
weights,重さ
arabia,アラビア
imperative,命令形
trader,トレーダー
galileo,ガリレオ
tainted,汚染された
drugstore,薬局
lenses,レンズ
obstruction,障害物
segment,セグメント
envious,羨ましい
gertrude,ガートルード
twisting,ねじる
nikolai,ニコライ
insured,保険に加入した
overlook,見下ろす
icon,アイコン
rollin,ローリング
commentator,コメンテーター
pitt,ピット
camilla,カミラ
cerebral,脳の
qin,秦
zelda,ゼルダ
spoiling,台無しにする
tsar,皇帝
frames,フレーム
cushion,クッション
divers,ダイバー
hallowed,神聖な
chute,シュート
cavity,空洞
reds,レッド
volcanoes,火山
angelina,アンジェリーナ
sahib,サヒブ
strung,弦を張った
watts,ワット
monopoly,独占
bros,兄弟
immigrant,移民
back-up,バックアップ
apache,Apache
caffeine,カフェイン
squeezing,絞る
postponed,延期した
encounters,遭遇
stuttering,どもり
rut,発情期
calmed,落ち着いた
opener,オープナー
baek,ペク
impotent,インポテンツ
tabs,タブ
franchise,フランチャイズ
entity,実在物
slimy,ぬるぬる
hygiene,衛生
andi,アンディ
containment,封じ込め
knickers,ニッカーズ
jumpy,神経質な
pistols,ピストル
irregular,不規則
lowly,卑しい
controller,コントローラ
rung,はしご
hades,ハデス
anarchy,無政府状態
wisely,賢明に
blackmailed,脅迫された
dudley,ダドリー
dramatically,劇的に
researching,研究
borg,ボーグ
touchy,敏感
fay,フェイ
seventy,70
bullies,いじめっ子
stealth,ステルス
divisions,部門
yearbook,年鑑
abdul,アブドゥル
poll,投票
blinds,ブラインド
sneezes,くしゃみ
bigfoot,ビッグフット
ninety,90
dharma,ダルマ
cramp,けいれん
cockpit,コックピット
truthful,正直な
lilith,リリス
ghastly,恐ろしい
edwin,エドウィン
whines,泣き言を言う
corrections,訂正
missionary,宣教師
infinity,無限
cola,コーラ
penance,苦行
moist,湿った
sham,偽物
investor,投資家
founding,創設
caldwell,コールドウェル
orientation,方向
captains,船長
flop,失敗作
columbo,コロンボ
jamming,ジャミング
yoo-hoo,よっしゃー
crossroads,交差点
infrared,赤外線
pleading,嘆願
sven,スヴェン
carroll,キャロル
flushed,紅潮した
magda,マグダ
gaming,ゲーム
gurgling,ゴボゴボという音
vinny,ヴィニー
prairie,草原
component,成分
saudi,サウジ
slapping,平手打ち
gases,ガス
aching,痛む
lau,ラウ
abusive,虐待的
vermin,害虫
bracelets,ブレスレット
tyre,タイヤ
rift,リフト
wiring,配線
gauge,ゲージ
robby,ロビー
lifelong,生涯
abstract,抽象的な
pilgrimage,巡礼
theoretically,理論的には
mythology,神話
johnnie,ジョニー
photographers,写真家
wilma,ウィルマ
render,与える
rocked,揺さぶった
iq,IQ
licked,舐めた
android,アンドロイド
rhythmic,リズミカルな
pianist,ピアニスト
clover,クローバー
unwanted,望ましくない
salvador,サルバドール
troupe,劇団
feat,フィーチャー
primarily,主に
preposterous,とんでもない
drying,乾燥
unseen,目に見えない
raoul,ラウル
vulture,ハゲワシ
constantine,コンスタンティン
outlet,出口
git,git
pictured,写真
functional,機能的
nitrogen,窒素
cc,cc
lest,さもないと
right-hand,右手
speechless,言葉が出ない
delusions,妄想
peeping,覗き見
follow-up,フォローアップ
refrain,控える
jerking,ガクガク
engaging,魅力的
accountable,責任がある
piles,山積み
ch,ch
intro,イントロ
rescuing,救助する
orgy,乱交
zane,ゼイン
jaguar,ジャガー
prue,プルー
concerts,コンサート
schemes,計画
abusing,虐待する
fatigue,倦怠感
taj,タジ
charitable,慈善
lili,リリ
attracts,引き付ける
stirred,かき混ぜた
invaders,侵略者
wench,女
kittens,子猫
riggs,リッグス
gras,草
heartbroken,心が張り裂けそう
suffocating,息苦しい
youse,あなたね
underage,未成年
amar,アマル
bugged,バグ
dimitri,ディミトリ
klinger,クリンガー
metropolitan,メトロポリタン
unions,労働組合
worf,ウォーフ
cds,CD
hamster,ハムスター
omelet,オムレツ
humility,謙虚
grad,卒業生
obedience,従順
grub,幼虫
victorian,ビクトリア朝
lassie,ラッシー
posed,ポーズをとる
conway,コンウェイ
resentment,恨み
didi,ディディ
locke,ロック
dat,ダット
booming,急成長
aunts,叔母たち
shay,シェイ
brigadier,准将
intrusion,侵入
hedgehog,ハリネズミ
recipes,レシピ
tacky,安っぽい
hk,香港
saviour,救世主
physicist,物理学者
yonder,あちら
admiring,賞賛する
anyplace,どこでも
forfeit,没収
lullaby,子守唄
oasis,オアシス
unleash,解き放つ
avengers,アベンジャーズ
indifferent,無関心
boxers,ボクサー
truthfully,正直に言うと
organise,整理する
actresses,女優たち
grin,にやりと笑う
arranging,アレンジする
voila,ほら
hydra,ヒドラ
shutters,シャッター
pearson,ピアソン
genesis,創世記
daria,ダリア
energetic,エネルギッシュな
postal,郵便
henrik,ヘンリック
aloud,声に出して
archive,アーカイブ
nauseous,吐き気
funniest,最も面白い
muse,ミューズ
ernst,エルンスト
constitutional,憲法
recital,リサイタル
covenant,契約
cloudy,曇り
prestige,名声
olivier,オリヴィエ
pencils,鉛筆
gunnar,グンナー
helper,ヘルパー
decks,デッキ
astray,迷子
leland,リーランド
ip,IP
casing,ケーシング
cooing,クークーと鳴く
sterile,無菌
bagel,ベーグル
releases,リリース
recognizes,認識する
intimidate,威嚇する
forgery,偽造
kenya,ケニア
bred,繁殖した
dunn,ダン
vector,ベクター
huck,ハック
nausea,吐き気
sakura,桜
detonate,爆発させる
lenin,レーニン
inhuman,非人道的
horsepower,馬力
violating,違反する
pascal,パスカル
informer,密告者
hooting,ホーホー
plugged,プラグ
oriental,オリエンタル
pretends,ふりをする
tram,路面電車
reyes,レイエス
spoils,戦利品
chaplain,従軍牧師
farce,茶番
parasites,寄生虫
whipping,鞭打ち
cruising,クルージング
violently,激しく
tile,タイル
ashtray,灰皿
und,と
neighing,いななき
zones,ゾーン
donut,ドーナツ
spoilt,甘やかされた
nobility,貴族
decoration,装飾
sharpe,シャープ
scoot,スクート
kelso,ケルソ
abdominal,腹部
updated,更新済み
blueprints,設計図
dealings,取引
pitched,投げた
resource,リソース
coalition,連合
hoss,ホス
professors,教授たち
espionage,スパイ活動
dishwasher,食器洗い機
minded,意識
cheyenne,シャイアン
resulted,結果として
brewster,ブリュースター
wrestler,レスラー
cons,短所
protesting,抗議する
barbarians,野蛮人
loony,狂人
kangaroo,カンガルー
rite,儀式
dialect,方言
counsellor,カウンセラー
tsunami,津波
locket,ロケット
sorcerer,魔術師
pilgrims,巡礼者
incorrect,正しくない
parameters,パラメータ
risotto,リゾット
unreliable,信頼できない
geniuses,天才たち
agricultural,農業
willard,ウィラード
marital,結婚
wilkes,ウィルクス
scramble,スクランブル
hera,ヘラ
swears,誓う
starvation,飢餓
summons,召喚
aquarium,水族館
flavors,フレーバー
sanity,正気
roxanne,ロクサーヌ
caste,カースト
wedge,ウェッジ
bedside,ベッドサイド
experimenting,実験する
truths,真実
tribunal,裁判所
emerson,エマーソン
darlene,ダーリーン
automated,自動化
treachery,裏切り
explorer,エクスプローラ
greens,グリーン
dunk,ダンク
amused,面白がる
fishes,魚類
kappa,カッパ
oleg,オレグ
goblin,ゴブリン
appreciates,感謝する
lark,ヒバリ
commissioned,委託された
reassuring,安心できる
disclose,開示する
seaside,シーサイド
politely,丁寧に
preoccupied,気を取られている
incense,お香
folly,愚行
pear,梨
vikings,バイキング
irs,IRS
lavender,ラベンダー
graceful,優雅な
stretcher,担架
grande,グランデ
simulation,シミュレーション
lasers,レーザー
groovy,グルーヴィー
discussions,議論
basin,流域
sacrificing,犠牲にする
luncheon,ランチョン
disobey,不服従
snot,鼻水
mil,ミル
sinful,罪深い
yearning,憧れ
gruesome,ぞっとするような
aide,補佐官
shen,シェン
haha,ははは
masculine,男性的な
mortimer,モーティマー
extras,追加特典
hopper,ホッパー
guides,ガイド
banjo,バンジョー
dina,ディナ
camelot,キャメロット
blazing,燃え盛る
dos,2
crowned,戴冠
gonzalo,ゴンサロ
painkillers,鎮痛剤
rave,レイヴ
foley,フォーリー
silvia,シルビア
sylvie,シルヴィ
cover-up,隠ぺいする
cassette,カセット
sorting,並べ替え
misplaced,紛失した
sprung,飛び出した
practising,練習する
prehistoric,先史時代
howls,遠吠え
enterprises,企業
designing,デザイン
suspense,サスペンス
patti,パティ
japs,日本人
renounce,放棄する
paints,塗料
relying,頼る
rendered,レンダリングされた
herald,ヘラルド
randomly,ランダムに
stylish,スタイリッシュ
spleen,脾臓
mugged,強盗
investing,投資
protestant,プロテスタント
circumstantial,状況的
smear,塗抹標本
pantry,パントリー
guiding,ガイド
flavour,風味
hollis,ホリス
cursing,罵り
erection,勃起
gravel,砂利
artifact,アーチファクト
raccoon,ラクーン
classics,古典作品
enlighten,啓発する
enhance,強化する
delivers,届ける
spinach,ほうれん草
binding,バインディング
goldman,ゴールドマン
invalid,無効
touring,ツーリング
johns,ジョンズ
fashioned,作られた
gilmore,ギルモア
spilling,こぼれる
ledger,元帳
quieter,静かに
meadows,牧草地
majestic,雄大な
frequencies,周波数
zhou,周
historian,歴史家
containers,コンテナ
marisa,マリサ
diplomat,外交官
wrinkles,しわ
aryan,アーリア人
subtitling,字幕
para,パラ
nationals,国民
natalia,ナタリア
rudolph,ルドルフ
palestine,パレスチナ
insulin,インスリン
torpedoes,魚雷
pagan,異教徒
swimmer,スイマー
disgraced,不名誉な
bygones,過去のことは水に流そう
intellect,知性
accommodate,収容する
posture,姿勢
adjusting,調整する
giraffe,キリン
peer,ピア
petersburg,サンクトペテルブルク
religions,宗教
hammering,ハンマーで叩く
audiences,観客
ruben,ルーベン
gigs,ライブ
damaging,有害
colossal,巨大な
renew,更新する
iceberg,氷山
vigilante,自警団
emile,エミール
dougie,ダギー
biggie,ビギー
pietro,ピエトロ
chewed,噛んだ
cellular,携帯電話
indecent,わいせつ
dangerously,危険なほど
duane,デュアン
bribed,賄賂
rascals,悪党
chai,チャイ
ramona,ラモナ
grammar,文法
thrash,スラッシュ
hutch,ハッチ
runners,ランナー
pager,ページャ
stumble,つまずく
dispatcher,ディスパッチャ
thankyou,ありがとう
stump,切り株
wraps,ラップ
gator,ワニ
teammates,チームメイト
skye,スカイ
weakest,最も弱い
disconnect,切断
melts,溶ける
morally,道徳的に
feud,確執
apiece,一枚
theatrical,演劇的な
distinguish,区別する
cooperating,協力する
passions,情熱
strive,努力する
flourish,繁栄する
reeves,リーブス
unnecessarily,不必要に
janie,ジェイニー
perceive,知覚する
upstate,ニューヨーク州北部
accuracy,正確さ
cosmo,コスモ
bitterness,苦味
fundraiser,募金活動
reflects,反映する
insolent,生意気な
strauss,シュトラウス
circular,円形
generated,生成された
rumble,ゴロゴロ
pilgrim,巡礼者
squirrels,リス
purge,パージ
xander,ザンダー
mingle,交流する
manufacture,製造
firemen,消防士
casually,さりげなく
handler,ハンドラ
hobbs,ホッブス
slain,殺害された
phd,博士号
multiply,乗算する
confinement,監禁
patches,パッチ
divert,方向転換する
alfonso,アルフォンソ
protests,抗議活動
versions,バージョン
ambrose,アンブローズ
adriana,アドリアナ
ia,ia
mit,ミット
youthful,若々しい
numbered,番号付き
mustafa,ムスタファ
herbal,ハーブ
kathryn,キャスリン
gunther,グンター
lawful,合法
stacked,積み重ねられた
damian,ダミアン
reasonably,合理的に
suzuki,スズキ
myra,マイラ
logged,ログ
prospects,見通し
mainstream,主流
sykes,サイクス
alimony,扶養料
stating,述べる
budapest,ブダペスト
nelly,ネリー
awakened,目覚めた
curses,呪い
ore,鉱石
slices,スライス
curl,カール
uprising,反乱
cabaret,キャバレー
manufacturer,メーカー
ration,配給
boulder,岩
manpower,人員
badges,バッジ
mush,ドロドロ
recycling,リサイクル
disarm,武装解除
elusive,捉えどころのない
snarls,唸り声
chiu,チウ
flawless,完璧
considers,考慮する
harmful,有害
horseback,乗馬
owens,オーウェンズ
admits,認める
morales,モラレス
helene,ヘレン
thankfully,ありがたいことに
recreate,再現する
travelers,旅行者
navigate,ナビゲーション
pun,ダジャレ
ethnic,エスニック
voiceover,ナレーション
kono,この
esteemed,尊敬される
exterior,外観
duffy,ダフィー
triad,トライアド
licensed,ライセンス取得済み
gems,宝石
moira,モイラ
mutants,変異体
testifying,証言する
dissolve,溶解する
iraqi,イラク人
robes,ローブ
wildest,最もワイルドな
portfolio,ポートフォリオ
tossing,投げる
pussycat,猫
booby,ブービー
nbc,nbc
simms,シムズ
knack,才能
lodged,宿泊した
cpr,心肺蘇生
lei,レイ
racism,人種差別
nato,NATO
mayo,マヨネーズ
gillian,ジリアン
stingy,けちん坊
kaiser,カイザー
shooters,シューター
napkins,ナプキン
continents,大陸
registry,レジストリ
fags,ファグ
shah,シャー
blinking,点滅
duo,デュオ
gymnastics,体操
jag,ジャグ
bernadette,バーナデット
valiant,勇敢な
exploited,悪用された
attachment,添付ファイル
trans,翻訳
intruders,侵入者
owning,所有する
mega,メガ
crispy,サクサク
administrative,管理
hawks,タカ
crave,切望する
qu,qu
reviewed,レビュー済み
persuasive,説得力のある
turmoil,混乱
promoting,プロモーション
shoving,押し出す
bette,ベティ
unworthy,ふさわしくない
elevators,エレベーター
fulfilling,充実感
ronny,ロニー
rooting,根を張る
irma,イルマ
mcqueen,マックイーン
stoop,かがむ
ee,ee
greer,グリア
panicking,パニック
panels,パネル
demonstrated,実証した
myths,神話
mattie,マティ
volleyball,バレーボール
cheats,チート
chord,コード
berkeley,バークレー
oblige,義務
radiant,輝く
anticipation,期待
fibers,繊維
daleks,ダーレク
aroused,興奮した
paralysis,麻痺
ferocious,凶暴な
heinous,凶悪な
roulette,ルーレット
emergencies,緊急事態
olaf,オラフ
enjoyable,楽しい
torso,胴体
compassionate,思いやりのある
softer,より柔らかい
delegation,代表団
fangs,牙
plaque,銘板
alonso,アロンソ
moi,私
bowman,弓兵
uterus,子宮
buggy,バギー
kristina,クリスティーナ
denies,否定する
tally,集計
neighs,いななく
unusually,異常に
tibet,チベット
fez,フェズ
charcoal,木炭
healer,ヒーラー
weirdest,最も奇妙な
eel,うなぎ
recordings,録音
tamil,タミル語
naw,いや
camouflage,迷彩
seagulls,カモメ
hub,ハブ
shoulda,すべきだった
mailman,郵便配達人
buckley,バックリー
furry,毛むくじゃら
pronto,すぐに
sedan,セダン
kermit,カーミット
amir,アミール
edible,食用
trifle,些細なこと
delusion,妄想
foundations,基礎
calcutta,カルカッタ
cubes,キューブ
colon,結腸
crotch,股
tariq,タリク
costing,コスト
resisted,抵抗した
leila,レイラ
snail,カタツムリ
ursula,ウルスラ
strippers,ストリッパー
vista,ビスタ
sorta,まあ、そんな感じ。
fiend,悪魔
ultra,ウルトラ
restrain,抑制する
pinkie,ピンキー
voluntary,自発的
widely,広く
uncommon,珍しい
blackie,ブラッキー
farrell,ファレル
infiltrate,浸潤
erika,エリカ
sophomore,2年生
radios,ラジオ
ringo,リンゴ
medallion,メダリオン
eiffel,エッフェル塔
yamato,ヤマト
wilder,よりワイルドな
dyke,堤防
bailiff,執行官
peril,危険
plaintiff,原告
emilia,エミリア
transmitted,送信済み
bonnet,ボンネット
assassinated,暗殺された
emptiness,空虚
helmets,ヘルメット
normandy,ノルマンディー
cheetah,チーター
clips,クリップ
thicker,より厚い
whiz,天才
saga,サーガ
bullock,雄牛
binoculars,双眼鏡
accord,アコード
diva,歌姫
jeanette,ジャネット
birmingham,バーミンガム
pick-up,選び出す
sita,シータ
concierge,コンシェルジュ
clams,アサリ
questionable,疑わしい
volunteering,ボランティア活動
lunches,ランチ
spooked,怖がった
pinpoint,ピンポイントで
hereafter,今後
brook,小川
weakened,弱体化した
verses,詩
marshals,保安官
deposited,預金
cleans,洗浄
ironically,皮肉なことに
bodily,身体的な
distances,距離
hypnosis,催眠
secretive,秘密主義
dominion,支配権
civic,シビック
tori,トリ
bursts,爆発
uncertainty,不確実性
streams,ストリーム
vortex,渦
tights,タイツ
sponsors,スポンサー
tickles,くすぐる
cello,チェロ
herring,ニシン
ab,アブ
disability,障害
griffith,グリフィス
orchid,蘭
hostility,敵意
conflicts,紛争
pans,フライパン
housekeeping,ハウスキーピング
panthers,パンサーズ
wonderland,ワンダーランド
ruiz,ルイス
interrogated,尋問された
andromeda,アンドロメダ
premium,プレミアム
broccoli,ブロッコリー
garfield,ガーフィールド
mussolini,ムッソリーニ
pottery,陶器
shrapnel,榴弾の破片
planner,プランナー
jacked,ジャックド
robyn,ロビン
rounded,丸みを帯びた
giuseppe,ジュゼッペ
cactus,カクタス
motherland,祖国
defendants,被告人
wilt,しおれる
jia,賈
executives,幹部
spoons,スプーン
belinda,ベリンダ
unbelievably,信じられない
fairness,公平さ
continuously,継続的に
spices,スパイス
organisms,生物
regretted,残念だ
monarch,君主
narrative,物語
roth,ロス
catcher,キャッチャー
dictatorship,独裁
controversy,論争
manu,マヌ
alejandro,アレハンドロ
josef,ヨゼフ
dignified,威厳のある
bonded,結合
tilt,傾ける
beginnings,始まり
peaks,ピーク
tissues,組織
pretentious,気取った
dell,デル
jeopardize,危険にさらす
osborne,オズボーン
diversity,多様性
shabby,みすぼらしい
brownies,ブラウニー
overdo,やり過ぎ
sharma,シャルマ
crunching,バリバリバリと音を立てる
tel,電話
marnie,マーニー
separating,分離
horrid,恐ろしい
overrated,過大評価されている
harmon,ハーモン
rethink,再考する
mastered,マスターした
eww,うわぁ
reopen,再開
camels,ラクダ
tux,タキシード
denis,デニス
depended,依存する
tak,タク
whine,愚痴をこぼす
axis,軸
orchard,オーチャード
cherries,さくらんぼ
pleasing,喜ばしい
unforgivable,許されない
craziest,最もクレイジーな
rods,ロッド
distressed,苦しい
bubbling,泡立つ
interact,交流する
manipulating,操作する
rewind,巻き戻し
burgundy,バーガンディ
blacked,黒く塗られた
trillion,兆
onwards,以降
reservoir,貯水池
participation,参加
caucasian,白人
flushing,フラッシング
serbian,セルビア語
manhood,男らしさ
lao,ラオ
matilda,マチルダ
exhale,息を吐き出す
dinah,ダイナ
in-laws,義理の両親
caramel,キャラメル
slander,中傷
identifying,識別する
drunkard,酔っぱらい
blooming,開花
stocking,ストッキング
one-on-one,マンツーマン
rinse,リンス
artwork,アート作品
catholics,カトリック教徒
stormy,嵐のような
refresh,更新
elisa,エリサ
cor,コル
floats,浮遊物
expanded,拡張
chilling,ゾッとする
congo,コンゴ
afghan,アフガン
backside,裏側
antarctica,南極大陸
sandals,サンダル
investigative,調査
wills,遺言
searches,検索
yawns,あくびをする
collaboration,コラボレーション
untouched,手つかず
psyched,興奮した
hussein,フセイン
departments,部門
tuxedo,タキシード
mak,マク
bummed,がっかりした
heinrich,ハインリッヒ
finer,より細かい
manure,肥料
compatible,互換性がある
moor,荒野
keg,樽
monsignor,司教
peeled,皮をむいた
dona,ドナ
stings,刺す
seeker,シーカー
watering,水やり
ids,ID
malaria,マラリア
aj,aj
walters,ウォルターズ
sinatra,シナトラ
lending,融資
dodgers,ドジャース
fortnight,2週間
reassure,安心させる
braun,ブラウン
meddling,干渉
overthrow,打倒
postmortem,死後
achievements,業績
excellence,卓越性
latch,ラッチ
coppers,警官
raids,襲撃
dickens,ディケンズ
drifted,漂流した
leeds,リーズ
obsessive,強迫観念
upwards,上向き
lynette,リネット
oatmeal,オートミール
