you,أنت
entrances,المداخل
claustrophobic,رهاب الأماكن المغلقة
hick,هيك
bison,البيسون
barack,باراك
chivalry,الفروسية
meena,مينا
judah,يهوذا
poseidon,بوسيدون
bonkers,مجنون
surfaces,الأسطح
jest,مزحة
teammate,زميل الفريق
toddler,طفل صغير
lager,لاغر
antoinette,أنطوانيت
high-profile,شخصيات بارزة
incarcerated,مسجون
stylist,حلاق
propeller,المروحة
novice,مبتدئ
scarier,أكثر رعباً
bloodthirsty,متعطش للدماء
nightcap,مشروب ليلي
entries,إدخالات
curved,منحني
chants,أناشيد
juanita,خوانيتا
warms,يدفئ
viceroy,نائب الملك
cornelius,كورنيليوس
rustle,حفيف
vertigo,دوار
communal,جماعي
pu,بو
hemorrhaging,نزيف
springtime,فصل الربيع
avi,avi
puzzled,حائر
syrian,سوري
pedestrian,للمشاة
marino,مارينو
blazer,بليزر
ballpark,ملعب
plagued,مبتلى
consistency,تناسق
bronson,برونسون
untraceable,لا يمكن تتبعه
relativity,النسبية
grazing,رعي
paging,الترحيل
regretting,نادم
recharge,إعادة شحن
ahhhh,آه
polluted,ملوث
plotted,مخطط
smoky,دخاني
bertrand,برتراند
buggers,اللصوص
katia,كاتيا
revered,مُبجَّل
aman,أمان
nandu,ناندو
cassius,كاسيوس
uss,يو إس إس
deepak,ديباك
vittorio,فيتوريو
bloodbath,حمام دم
psychosis,ذهان
mulligan,موليجان
backgrounds,خلفيات
downing,داونينج
ramesh,راميش
affections,عواطف
cbi,مكتب التحقيقات المركزي
finley,فينلي
repercussions,التداعيات
krang,كرانغ
humping,حدب
shone,أشرق
dietrich,ديتريش
bub,بوب
hornet,زنبور
emperors,الأباطرة
mme,سيدتي
rhetorical,بلاغي
unsettling,مُقلق
wacko,مجنون
famished,جائع
distortion,تشويه
vishnu,فيشنو
publishers,الناشرين
meek,وديع
reunite,لم الشمل
carotid,الشريان السباتي
chinaman,صيني
terrance,تيرانس
telephones,الهواتف
tock,توك
competitions,المسابقات
lapse,انقضاء
gayle,جايل
lightyears,سنوات ضوئية
plunder,نهب
unloaded,تم تفريغها
plump,طبطب
trendy,عصري
sears,سيرز
vasquez,فاسكيز
bureaucracy,البيروقراطية
carlotta,كارلوتا
rhode,رود
fins,الزعانف
intending,بقصد
conspiring,التآمر
sadist,سادي
seminary,المعهد الديني
bicycles,الدراجات
sculpting,النحت
condescending,متعالٍ
orgasms,النشوة الجنسية
lenore,لينور
moonshine,لغو
incurable,عضال
pamphlet,كتيب
clinics,العيادات
nottingham,نوتنغهام
nominate,ترشح
wholesome,صحي
termites,النمل الأبيض
thunderbird,طائر الرعد
mckenna,ماكينا
frigid,بارد جداً
aviv,أفيف
occurring,يحدث
ese,إيسي
summertime,فصل الصيف
skype,سكايب
bikers,راكبو الدراجات النارية
induced,مستحث
missionaries,المبشرون
arabian,عربي
lacrosse,لاكروس
rarity,ندرة
gaines,مكاسب
dumpling,زلابية
brood,الحضنة
creamy,دسم
weenie,ويني
goddam,اللعنة
supergirl,سوبر جيرل
roadblocks,حواجز الطرق
lennie,ليني
seductive,مغر
ornaments,الزينة
annoys,يزعج
wards,الأجنحة
tintin,تان تان
dimensional,الأبعاد
reverence,التبجيل
charly,شارلي
belches,تجشؤ
hooligans,المشاغبون
lavatory,مرحاض
cabbie,سائق سيارة أجرة
adrien,أدريان
extinguisher,مطفأة حريق
vader,فادر
madagascar,مدغشقر
breeds,السلالات
audacity,جرأة
cadaver,جثة
fluff,زغب
yoshida,يوشيدا
raina,راينا
willpower,قوة الإرادة
sicilian,صقلية
bewitched,مسحور
cannonball,قذيفة مدفع
esta,esta
sampson,سامبسون
aorta,الأبهر
head-on,وجها لوجه
sidelines,على الهامش
candies,حلوى
defeating,هزيمة
kruger,كروجر
penetrating,اختراقي
aqua,أكوا
quitter,شخص يستسلم
wil,سوف
hydraulic,هيدروليكي
pulitzer,بوليتزر
trucker,سائق شاحنة
clinks,رنين
pooped,متعب
calculus,حساب التفاضل والتكامل
tau,تاو
peeling,تقشير
filters,الفلاتر
overtake,تجاوز
ell,ell
kobayashi,كوباياشي
transforming,تحويلي
cultured,مثقف
magnets,المغناطيس
cartridge,خرطوشة
langston,لانغستون
choppers,المروحيات
sera,سيرا
nuggets,قطع الدجاج
honoring,تكريماً
historians,المؤرخون
shanti,شانتي
fainting,إغماء
dears,أعزاء
delights,يُبهج
soothe,مهدئ
gazette,جريدة
unhappiness,التعاسة
bertram,بيرترام
continuity,الاستمرارية
pauly,باولي
packaging,التغليف
suns,صن
sheba,شيبا
enmity,العداء
mansfield,مانسفيلد
scorn,ازدراء
staple,أساسي
sitcom,مسلسل كوميدي
commie,شيوعي
toasted,محمص
coyotes,ذئاب البراري
vary,يتغير
singin,الغناء
decorator,مصمم ديكور
laird,اللورد
liner,بطانة
eggplant,باذنجان
alliances,التحالفات
huts,أكواخ
appealed,استأنف
molecule,جزيء
mossad,الموساد
petite,صغيرتي
synagogue,كنيس يهودي
palestinians,الفلسطينيون
quilt,لحاف
gynecologist,طبيب نسائي
stutter,تلعثم
warhead,رأس حربي
articulate,فصيح
spacetime,الزمكان
giulio,جوليو
nudge,تلميح
os,os
mordecai,موردخاي
bombshell,قنبلة
monaco,موناكو
brooding,الاجترار
vertebrae,الفقرات
therapeutic,علاجي
booker,بوكر
coordination,تنسيق
atf,مكتب الكحول والتبغ والأسلحة النارية والمتفجرات
mathematician,عالم رياضيات
smeared,ملطخ
mizuki,ميزوكي
uncontrollable,لا يمكن السيطرة عليه
stampede,تدافع
giselle,جيزيل
amor,حب
prospective,مأمول
limestone,الحجر الجيري
conduit,قناة
kabul,كابول
modern-day,العصر الحديث
dipper,قحافة
willoughby,ويلوبي
avenger,المنتقم
orbits,مدارات
sentry,خفير
scrapes,خدوش
mishap,حادث
lyric,كلمات الأغنية
disapprove,عدم الموافقة
intimidation,الترهيب
doubling,مضاعفة
impending,وشيك
sachin,ساشين
shootin,إطلاق نار
shrinks,يتقلص
themes,المواضيع
shamed,عار
indications,دواعي الاستعمال
senora,السيدة
crumb,كسرة خبز
limitless,بلا حدود
ahmad,أحمد
tiberius,تيبيريوس
caveman,رجل الكهف
bonny,بوني
faintest,أضعف صوت
hawkes,هوكس
grandeur,عظمة
deke,ديك
prasad,براساد
showering,الاستحمام
dildo,دسار
executions,عمليات إعدام
corroborate,تأكيد
contingency,الطوارئ
suri,سوري
avenged,تم الانتقام
defenders,المدافعون
translates,يترجم
mila,ميلا
primo,بريمو
bestow,تضفي
combinations,التوليفات
godforsaken,ضائع
pedestal,قاعدة
stout,شجاع
glaciers,الأنهار الجليدية
mahal,محل
moby,موبي
valentino,فالنتينو
dishonor,العار
otter,قضاعة
eminent,شخصية بارزة
supernova,مستعر أعظم
weir,وير
java,جافا
seasick,دوار البحر
populations,السكان
flips,تقلبات
mooing,خوار
mani,ماني
cabins,كبائن
pang,ألم
presumptuous,متغطرس
subversive,تخريبي
tokugawa,توكوغاوا
elastic,مرن
libya,ليبيا
single-handedly,بمفرده
pristine,نقي
width,عرض
sweats,عرق
accomplishments,الإنجازات
remainder,الباقي
resides,يقيم
impaired,معاق
yellowstone,يلوستون
retreated,تراجع
lateral,جانبي
remembrance,ذكرى
smelt,الهف
biased,متحيزة
strangulation,الخنق
prying,التجسس
hermes,هيرميس
two-way,ثنائي الاتجاه
sphinx,أبو الهول
self-defence,الدفاع عن النفس
internally,داخليا
rhoda,رودا
fisk,فيسك
sympathies,تعاطف
nickels,نيكلز
galloping,يركض
lamar,لامار
dara,دارا
never-ending,لا نهاية لها
downloading,تنزيل
douchebag,أحمق
lotto,اليانصيب
danvers,دانفرز
rephrase,إعادة صياغة
casablanca,كازابلانكا
ventilator,مروحة
kraut,مخلل الملفوف
sanitation,الصرف الصحي
ekg,تخطيط القلب الكهربائي
diseased,مريض
eskimo,الإسكيمو
confessor,المعترف
aladdin,علاء الدين
rutledge,روتليدج
ruddy,أحمر
brodie,برودي
flashback,فلاش باك
caged,محبوس
imperfect,غير كامل
routines,الروتين
reconnect,إعادة الاتصال
plymouth,بليموث
quantico,كوانتيكو
sanctioned,تمت الموافقة عليه
vulnerability,وهن
rearrange,إعادة الترتيب
synced,متزامن
citadel,قلعة
guillermo,غييرمو
nibble,عاب
forcibly,بالقوة
world-famous,مشهور عالميًا
insinuating,التلميح
malignant,خبيث
enslaved,مستعبد
canister,علبة
intersect,تتقاطع
zeros,أصفار
undefeated,لم يهزم
gunned,أطلق النار
candlelight,ضوء الشموع
clancy,كلانسي
big-ass,مؤخرة كبيرة
meng,منغ
salesmen,بائعين
britta,بريتا
daisies,الأقحوان
maxie,ماكسي
thad,ثاد
hairdo,تسريحة
oblivious,غافل
yoda,يودا
criticizing,انتقاد
truffle,الكمأة
vie,في
crisps,رقائق البطاطس
strangling,خنق
petit,صغير
shootout,تبادل إطلاق النار
abduct,اختطاف
cloning,استنساخ
ranked,مصنف
dazzle,انبهار
stork,اللقلق
coronary,الشريان التاجي
jive,جيف
mathieu,ماثيو
lard,شحم الخنزير
shedding,هي في السرير
massages,جلسات تدليك
poaching,الصيد غير المشروع
immaculate,طاهر
hefty,ضخم
stocked,مخزون
buddhism,البوذية
monologue,مونولوج
mehmet,محمد
satanic,شيطاني
linear,خطي
swami,سوامي
blackmailer,المبتز
bora,بورا
endorse,أؤيد
enid,إينيد
liege,سيد
looky,انظر
subsequent,تالي
madden,مادن
snip,قص
hernia,فتق
philosophers,الفلاسفة
rapists,مغتصبون
recommending,التوصية
highways,الطرق السريعة
bloodline,سلالة الدم
septic,خزان صرف صحي
categories,فئات
graces,نعم
hammers,المطارق
yeast,خميرة
mueller,مولر
cummings,كامينغز
avocado,الأفوكادو
logically,منطقياً
oaf,أحمق
corbett,كوربيت
prompt,اِسْتَدْعَى
alonzo,ألونزو
mushy,طري
ei,ei
campsite,موقع التخييم
eels,ثعابين البحر
safeguard,حماية
bling,بريق
farted,أطلق ريحاً
auf,على
flex,ثني
fruitcake,كعكة الفواكه
danes,الدنماركيون
fulton,فولتون
heiress,وريثة
beets,الشمندر
izzie,إيزي
racetrack,مضمار سباق
ganesh,غانيش
escorts,مرافقات
leaps,قفزات
rajesh,راجيش
parson,بارسون
gazing,التحديق
pap,باب
imprint,بصمة
jigsaw,أحجية الصور المقطوعة
coven,جماعة السحرة
palin,بالين
ach,كل
discourage,تثبيط
recycle,إعادة التدوير
constantinople,القسطنطينية
sheesh,يا إلهي
appalled,مصدوم
lisbeth,ليسبث
unlawful,غير قانوني
birthplace,مكان الميلاد
wank,العادة السرية
thriller,إثارة
hepatitis,التهاب الكبد
clutches,القابضات
yves,إيف
publicist,مسؤول العلاقات العامة
briscoe,بريسكو
insistent,مُلح
hires,التعيينات
tentacles,مخالب
archangel,رئيس الملائكة
schiller,شيلر
submerged,مغمور
brianna,بريانا
manuela,مانويلا
rd,rd
intoxicating,مسكرة
crock,جرة
hither,هنا
cliche,كليشية
castor,الخروع
forty-five,خمسة وأربعون
anastasia,أناستازيا
timeless,خالدة
enquiries,استفسارات
occurrence,حدوث
pilates,بيلاتس
hypocritical,منافق
sharper,أكثر حدة
healy,صحي
manufacturers,المصنعين
governed,محكوم
proteins,البروتينات
resurrected,أُعيد إحياؤه
hearst,هيرست
cushions,وسائد
psychiatrists,الأطباء النفسيون
halves,أنصاف
menopause,سن اليأس
butchers,الجزارين
preserving,الحفاظ على
environments,البيئات
ponytail,ذيل حصان
all-out,بكل قوة
louse,قملة
dilated,متوسع
garbled,مشوش
prognosis,التكهن
neutron,النيوترون
airtight,محكم
yo-yo,يويو
jazzy,موسيقى الجاز
ufos,الأجسام الطائرة المجهولة
compounds,المركبات
blazes,النيران
bulgarian,البلغارية
lebeau,ليبو
coney,كوني
bulgaria,بلغاريا
armageddon,هرمجدون
contributing,ساهم
sinbad,سندباد
inauguration,افتتاح
slicing,التقطيع
restraints,القيود
accents,اللهجات
frederic,فريدريك
cavern,كهف
kremlin,الكرملين
warship,سفينة حربية
olly,أولي
militant,متشدد
objectives,أهداف
newscaster,مذيع الأخبار
verne,فيرن
calculator,آلة حاسبة
nicknames,ألقاب
kiddie,طفل
replay,إعادة التشغيل
tibetan,التبتي
daycare,حضانة أطفال
abuses,انتهاكات
zee,زي
righto,حسناً
programmes,البرامج
yung,يونغ
snout,خطم
rein,ريشة
dwarfs,الأقزام
mono,كثرة الوحيدات
darned,اللعنة
embryo,جنين
frosting,صقيع
obituary,نعي
tickled,دغدغت
truffles,الكمأ
susceptible,مُعَرَّض ل
heaps,أكوام
tingling,وخز
canvass,قماش
brits,البريطانيون
cherokee,شيروكي
tov,توف
twenties,العشرينات
neanderthals,إنسان نياندرتال
perk,ميزة
pebbles,الحصى
braid,جديلة
fleece,صوف
sensory,حسية
chirp,غرد
assaults,الاعتداءات
pheasant,التدرج
variables,المتغيرات
mas,ماس
moping,المسح
docked,راسية
websites,مواقع الويب
bj,bj
popeye,باباي
minefield,حقل ألغام
sp,sp
histories,التاريخ
distrust,انعدام الثقة
yapping,نباح
vigil,وقفة احتجاجية
problematic,إشكالي
conventions,الاتفاقيات
smitten,مفتون
craps,لعبة النرد
invoke,استدعاء
unconventional,غير تقليدي
barnett,بارنيت
rundown,انقلب
oily,زيتي
giacomo,جياكومو
coordinated,منسق
prejudiced,متحامل
scrambling,التدافع
seams,الدرزات
eyelashes,رموش
frannie,فراني
arose,نشأت
corky,كوركي
discard,ينبذ
purchasing,شراء
ignacio,إغناسيو
hijack,خطف
yam,بطاطا
masquerade,تنكر
logging,تسجيل الدخول
arises,ينشأ
dempsey,ديمبسي
michiko,ميتشيكو
settlements,المستوطنات
fetching,جلب
goebbels,غوبلز
eagerly,بشغف
wring,اعصر
orbital,مداري
janeway,جانواي
maggot,يرقة
umbrellas,المظلات
nationality,جنسية
cheddar,جبنة الشيدر
mana,مانا
keel,عارضة
meryl,ميريل
alignment,تنسيق
heterosexual,مغاير الجنس
fats,الدهون
narrows,يضيق
heinz,هاينز
irritate,تهيج
emissary,مبعوث
taunting,استهزاء
hangman,الجلاد
bjorn,بيورن
cunts,عاهرة
comma,فاصلة
whimsical,غريب الأطوار
format,شكل
peachy,خوخي
godspeed,بالتوفيق
sony,سوني
hitman,هيتمان
bleeping,صوت تنبيه
demonstrating,إظهار
jove,جوف
overflowing,فيضان
tully,تولي
censorship,الرقابة
hispanic,من أصل إسباني
rizzo,ريزو
bestowed,مُنِحَ
shuddering,ارتجف
fitch,فيتش
pathological,مرضي
silhouette,خيال
mccann,ماكان
obsessing,مهووس
sugars,السكريات
bachelorette,حفل توديع العزوبية
bonaparte,بونابرت
impartial,محايد
metabolism,الاسْتِقْلاب
astronomical,فلكي
newcomers,الوافدون الجدد
tabloid,صحيفة شعبية
vanquish,قهر
zorro,زورو
willa,ويلا
slurps,رشفات
preschool,مرحلة ما قبل المدرسة
remake,طبعة جديدة
heresy,بدعة
homeboy,يا صاحبي
ag,الزراعة
ravishing,ساحر
finesse,براعة
ticktock,تيك توك
minimize,تقليل
boca,بوكا
woodrow,وودرو
nigh,ليلة
nil,لا شيء
astronomer,عالم فلك
selective,انتقائي
choo,تشو
arraignment,جلسة توجيه الاتهام
crawley,كراولي
superpowers,قوى خارقة
springer,سبرينغر
impenetrable,منيع
underdog,المستضعف
gossiping,النميمة
jig,تهزهز
poached,مسلوق
sculpt,نحت
hokkaido,هوكايدو
daniela,دانييلا
equator,خط الاستواء
sexier,أكثر جاذبية
incorporate,أَدْخَل
cath,القسطرة
shivers,قشعريرة
vinyl,الفينيل
long-range,بعيد المدى
accumulated,تراكم
malpractice,سوء الممارسة
ascend,صعود
ecosystem,النظام البيئي
vs,مقابل
forefathers,الأجداد
grit,حصى
etienne,إتيان
emilie,إيميلي
soles,باطن القدم
determines,يحدد
nylon,نايلون
blob,كتلة
snug,دافئ
gladiators,المصارعون
valentin,فالنتين
collaborate,التعاون
clothed,مُلبس
uproar,ضجة
avail,متوفر
gentry,الطبقة الأرستقراطية
defied,تحدي
parkinson,باركنسون
prune,تقليم
hem,هدب
ellison,إليسون
ning,نينغ
hide-and-seek,الغميضة
lawfully,بشكل قانوني
fairfax,فيرفاكس
tumors,الأورام
hots,هوت
cade,كاد
ver,الإصدار
mimic,تقليد
nacho,ناتشو
gordo,غوردو
thoughtless,طائش
shitload,كمية هائلة
thrice,ثلاث مرات
schoolboy,تلميذ
dusting,تنظيف الغبار
ori,أوري
tabloids,الصحف الشعبية
mermaids,حوريات البحر
residual,المتبقي
sancho,سانشو
striped,مخطط
dod,وزارة الدفاع
blisters,بثور
aftermath,التداعيات
stems,السيقان
inhaler,جهاز استنشاق
reinforce,تعزز
qualifies,مؤهل
lube,مادة التشحيم
provoking,استفزازي
continuum,سلسلة متصلة
guan,غوان
uma,أوما
observant,ملاحظ
peng,بينغ
peppermint,النعناع
fused,مندمج
csu,جامعة ولاية كاليفورنيا
neanderthal,إنسان نياندرتال
dukes,ديوكس
pierrot,بييرو
measurement,قياس
prima,بريما
sergey,سيرجي
authenticity,أصالة
swagger,اختيال
soundtrack,الموسيقى التصويرية
taipei,تايبيه
forman,فورمان
strut,تبختر
ensemble,فرقة موسيقية
duval,دوفال
tantrum,نوبة غضب
motivate,تحفيز
annihilate,إبادة
signore,سيد
disrupted,تعطل
divorcing,الطلاق
medics,المسعفون
confided,أقسم
beale,بيل
brandi,براندي
wreath,إكليل
maui,ماوي
bale,بالة
clergy,رجال الدين
aida,عايدة
bieber,بيبر
retaliate,الانتقام
genome,الجينوم
vacancy,خالي
tranquilizer,مهدئ
diligence,الاجتهاد
loops,الحلقات
impertinent,وقح
hwan,هوان
advancement,التقدم
armpit,إبط
districts,المناطق
cavalier,كافاليير
specializes,متخصصون
chong,تشونغ
combing,تمشيط الشعر
self-control,ضبط النفس
mascara,الماسكارا
massa,ماسا
revised,مُراجع
compulsion,إكراه
bran,نخالة
buoy,عوامة
criticized,تعرض للانتقاد
adversity,الشدائد
beneficiary,المستفيد
punjabi,البنجابية
openings,فرص عمل
arne,آرني
graphics,الرسومات
huntsmen,الصيادون
ozone,الأوزون
interpreted,تم تفسيره
incomprehensible,غير مفهوم
kaoru,كاورو
lenient,متساهل
perky,مرح
herod,هيرودس
unavoidable,لا مفر منه
retract,التراجع
flowed,تدفق
compression,ضغط
demolish,هدم
prodigal,مبذر
generously,بسخاء
anonymously,بشكل مجهول
peabody,بيبودي
crocker,كروكر
amid,وسط
youths,الشباب
dispense,صرف
roe,رو
telepathy,التخاطر
occupational,مهني
osgood,أوسجود
roxie,روكسي
loudspeaker,مكبر الصوت
torched,أحرق
yawn,التثاؤب
hyena,الضبع
reiko,ريكو
milkman,حلاب
dal,دال
hillside,منحدر التل
transcripts,نصوص محاضر الجلسات
prevention,وقاية
tout,بائع متجول
toenails,أظافر القدم
mazel,مازيل
imaginative,خيالي
heretic,مهرطقي
hives,خلايا النحل
squawk,صياح
repression,قمع
arithmetic,الحساب
dramas,مسلسلات
subsequently,تبعًا
cardassian,آسيوي
clanks,أصوات طقطقة
renewal,تجديد
shocker,صدمة
spectacles,نظارات
interval,فاصلة
quickie,علاقة سريعة
proceeded,ثم تابع
prometheus,بروميثيوس
performs,يؤدي
senorita,سنيوريتا
deadbeat,متخلف عن السداد
burbank,بوربانك
mooney,موني
geology,الجيولوجيا
withdrawing,الانسحاب
nav,الملاحة
thi,هذا
sinus,الجيوب الأنفية
kennel,بيت الكلاب
feldman,فيلدمان
sixpack,عبوة من ست قطع
millennia,آلاف السنين
subscription,اشتراك
marquise,ماركيزة
warlord,أمير الحرب
zed,زيد
governors,المحافظين
unintelligible,غير مفهوم
dag,يوم
gaia,جايا
withheld,تم حجب
involuntary,لا إرادي
reciting,التلاوة
massacred,مذبحة
rosetta,روزيتا
boa,أفعى
oils,زيوت
pelt,قذف
brittle,هش
unprepared,غير مستعد
willingness,الاستعداد
cutters,قواطع
ins,التأمين
coarse,خشن
frieda,فريدا
mala,مالا
walrus,فظ البحر
portrayed,تم تصويره
contemplating,التأمل
blaster,مسدس ليزري
tricia,تريشيا
scrubs,مقشرات
bebe,بيبي
defeats,الهزائم
hollering,صراخ
simmer,غليان
valencia,فالنسيا
annihilation,الإبادة
textbooks,الكتب المدرسية
filipino,فلبيني
filmmakers,صناع الأفلام
tennyson,تينيسون
ps,ملاحظة:
luv,حبي
firewall,جدار الحماية
lyons,ليونز
weld,لحام
facade,واجهة
conserve,الحفاظ
stepdad,زوج الأم
khanna,خانا
divulge,كشف
gab,جاب
kieran,كيران
ravens,الغربان
ta-ta,تا-تا
wiley,وايلي
weirdos,غريبي الأطوار
quartet,الرباعي
kickass,اركل مؤخرته
conferences,المؤتمرات
dusted,مُغبر
silicone,سيليكون
clocked,تم تسجيل الوقت
tanning,دباغة
breathless,لاهث
smacking,صفع
mantra,تعويذة
vests,سترات
epiphany,عيد الغطاس
motherhood,الأمومة
decor,ديكور
perch,جثم
flux,تدفق
maynard,ماينارد
totem,الطوطم
cherie,شيري
secluded,منعزل
smother,خنق
checkup,فحص
patronize,عاضد
mower,جزازة
pediatrician,طبيب أطفال
bridesmaids,وصيفات الشرف
jehovah,يهوه
dem,ديم
informants,المخبرين
thunk,دقات
tract,المسار
pliers,كماشة
harming,إيذاء
pooch,كلب
coca-cola,كوكا كولا
anti,مضاد
reinstated,أُعيد تعيينه
gland,غدة
stricken,مصاب
dials,الأقراص
zeta,زيتا
exes,الأزواج السابقون
haines,هاينز
tandy,تاندي
disputes,النزاعات
dizziness,دوخة
knowingly,عن علم
frida,فريدا
newcastle,نيوكاسل
groves,البساتين
stalag,ستالاغ
festivals,المهرجانات
grudges,الضغائن
blabbering,الثرثرة
plural,جمع
curriculum,مقرر
firehouse,مركز الإطفاء
coo,سجع
pug,كلب البج
clerks,موظفين
savvy,ذكي
chopin,شوبان
rebekah,ريبيكا
dictated,مُملى
siding,التكسية الخارجية
dios,ديوس
peking,بكين
valor,الشجاعة
dahlia,زهرة الداليا
liras,ليرات
affordable,بسعر معقول
scrawny,هزيل
disorderly,فوضوي
psi,رطل لكل بوصة مربعة
unattractive,غير جذاب
eulogy,مديح
marlow,مارلو
felonies,الجرائم الجنائية
gingerbread,خبز الزنجبيل
gent,رجل نبيل
misdemeanor,جنحة
spaniard,إسباني
flagged,تم وضع علامة
optimist,متفائل
mori,موري
commons,المشاعات
waitresses,نادلات
wanders,يتجول
mugging,السرقة
crammed,مكتظ
babysit,جليسة أطفال
cayman,جزر كايمان
accommodations,أماكن الإقامة
possessive,التملك
shutdown,اغلق
compressed,مضغوط
czechoslovakia,تشيكوسلوفاكيا
geologist,جيولوجي
crossbow,القوس والنشاب
aspiring,الطموح
autism,توحد
commandment,الوصية
fateful,مصيري
rooftops,أسطح المنازل
leningrad,لينينغراد
lexington,ليكسينغتون
archers,الرماة
cremation,حرق الجثث
petroleum,البترول
diem,يوم
moped,دراجة نارية صغيرة
clair,كلير
blooms,أزهار
lamborghini,لامبورغيني
dysfunctional,مختل وظيفيا
picturing,تصوير
ifl,ifl
purchases,المشتريات
debrief,جلسة إحاطة
pulses,النبضات
make-believe,إجعل يعتقد
devin,ديفين
barbershop,صالون حلاقة
rana,رانا
condone,التغاضي
excitedly,بحماس
antarctic,أنتاركتيكا
manned,مأهول
crafts,الحرف اليدوية
awaited,في انتظار
atkins,أتكينز
beards,اللحى
chaser,مطارد
subbing,الترجمة
chatty,ثرثار
inez,إينيز
maintains,يحافظ
readily,بسهولة
gunny,غاني
baffled,حائر
insatiable,لا يشبع
archibald,أرشيبالد
skater,متزلج
jungles,الأدغال
upstanding,منتصب
spacious,واسع
probst,بروبست
sheng,شينغ
foolproof,مضمونة النتائج
nutter,مجنون
confine,حصر
fam,عائلة
diablo,ديابلو
leone,ليون
daydreaming,أحلام اليقظة
incest,زنا المحارم
abba,أبا
mathilde,ماتيلد
unanswered,لم يتم الرد
exaggeration,مبالغة
shorten,اختصر
ramu,رامو
biggs,بيغز
guise,زي
graze,الرعي
clarinet,الكلارينيت
cuddly,لطيف
americas,الأمريكتان
scavenger,زبال
middleman,الوسيط
garde,غارد
alot,كثيراً
crusader,صليبي
baa,باء
propane,البروبان
sickening,مقزز
thrills,إثارة
toothache,ألم الأسنان
overhear,سمع بالصدفة
altercation,مشاجرة
tudor,تيودور
freckles,النمش
furthest,أبعد
fuses,الصمامات
swamps,المستنقعات
ambassadors,سفراء
zhen,زين
superpower,قوة عظمى
enraged,غاضب
esmeralda,إزميرالدا
loomis,لوميس
unpopular,غير شعبي
locating,تحديد الموقع
fitzpatrick,فيتزباتريك
ordinance,مرسوم
grocer,بقال
courtship,تودد
zak,زاك
pics,صور
ripple,تموج
smashes,تحطيم
conjure,استحضار
winch,ونش
shipments,الشحنات
hustling,السعي والاجتهاد
glorified,ممجد
spied,تم التجسس
cabinets,الخزائن
cylinders,أسطوانات
mongrel,كلب هجين
dui,القيادة تحت تأثير الكحول
chlorine,الكلور
radiology,الأشعة
hadley,هادلي
oscars,جوائز الأوسكار
projections,التوقعات
soggy,مندي
regal,ملكي
assumes,يفترض
boycott,مقاطعة
klingons,الكلينغون
progressed,تقدم
telescopes,التلسكوبات
bradshaw,برادشو
pats,باتس
unclean,نجس
banners,لافتات
mesa,ميسا
consumers,المستهلكون
germ,جرثومة
stafford,ستافورد
excursion,نزهة
heartland,قلب أمريكا
jenn,جين
gm,صباح الخير
spontaneously,بشكل عفوي
takeda,تيكا
dun,كميت
initiating,بدء
modifications,التعديلات
feces,براز
droid,الروبوت
alcoholics,مدمنو الكحول
horde,حشد
grips,مقابض
roderick,رودريك
premise,الفرضية
scorpions,العقارب
campaigning,الحملات الانتخابية
obstinate,عنيد
fiver,خمسة جنيهات
outburst,انفجار غضب
diaphragm,غشاء
handbook,كتيب
rudolf,رودولف
serbs,الصرب
derived,مشتق
croak,تشاءم
executing,تنفيذ
interim,مؤقتًا
snowed,تساقطت الثلوج
rosary,مسبحة
scourge,بلاء
pippi,بيبي
drowns,يغرق
crore,الكرور عشرة ملا يين
tic,tic
adrift,تائه
bisexual,ثنائي الجنس
pointers,المؤشرات
eradicate,استئصال
spunk,شجاعة
snyder,سنايدر
three-way,ثلاثي الاتجاهات
self-conscious,الوعي الذاتي
hyper,فرط النشاط
inning,شوط
expendable,قابل للاستهلاك
addams,أدامز
noelle,نويل
chandu,شاندو
ono,أونو
sutter,sutter
hazy,ضبابي
relocate,الانتقال
alleys,الأزقة
sunflower,عباد الشمس
irritable,سريع الانفعال
hanger,علاقة ملابس
neuro,الأعصاب
clooney,كلوني
silky,حريري
tricking,الخدع
popsicle,مصاصة مثلجات
yau,ياو
urging,حث
moroccan,مغربي
encyclopedia,موسوعة
stripe,شريط
stationary,أدوات مكتبية
ptsd,اضطراب ما بعد الصدمة
secondhand,اليد الثانية
sermons,الخطب
dink,دينك
parched,جاف
guinness,غينيس
ravioli,رافيول
predicting,التنبؤ
masterson,ماسترسون
helsinki,هلسنكي
excruciating,مؤلم للغاية
callum,كالوم
consensual,بالتراضي
compute,حساب
trays,صواني
nikhil,نيخيل
overjoyed,فرحة غامرة
liberals,الليبراليون
mcguire,ماكغواير
warehouses,المستودعات
durga,دورجا
harald,هارالد
stereotype,الصورة النمطية
cartridges,الخراطيش
whitaker,ويتاكر
raiding,الغارات
sustainable,مستمر
commissar,المفوض
soiled,متسخ
standpoint,وجهة نظر
fruity,فاكهي
rafa,رافا
creams,الكريمات
watcher,مراقب
thereafter,بعد ذلك
egon,إيجون
drifter,دخيل
financed,ممولة
fairytale,حكاية خيالية
intimately,بشكل حميم
keisha,كيشا
wrapper,إزار
spectator,المشاهد
purest,أنقى أنواع النقاء
raisin,زبيب
alchemy,الخيمياء
antimatter,المادة المضادة
withered,ذابل
saki,ساكي
maki,ماكي
rutherford,روثرفورد
shovels,المجارف
piers,أرصفة
